word,source,spike_week,spike_share,spike_baseline,spike_channels,n_titles,n_channels
starmer,spike rank 73,2026-06-22,0.0180,0.0039,46,1525,66
netanyahu,spike rank 74,2026-07-27,0.0190,0.0049,47,1776,124
attack,spike rank 75,2026-03-09,0.0241,0.0102,61,4615,175
nyc,spike rank 76,2026-03-09,0.0192,0.0054,38,1264,114
mamdani,spike rank 77,2026-07-20,0.0230,0.0092,49,1888,144
newsom,spike rank 79,2026-02-23,0.0177,0.0043,43,792,132
hasan piker,spike rank 80 (piker),2026-05-25,0.0173,0.0039,28,410,106
case,spike rank 81,2026-08-31,0.0206,0.0075,47,2611,159
prices,spike rank 82,2026-03-09,0.0166,0.0036,53,1619,102
racist,spike rank 83,2026-02-02,0.0161,0.0032,43,565,114
candace owens,spike rank 84,2026-08-10,0.0184,0.0055,22,562,77
ai,spike rank 85,2026-09-07,0.0240,0.0112,59,4046,181
dsa,spike rank 86,2026-08-10,0.0146,0.0023,22,323,81
wilson,spike rank 87,2026-08-10,0.0144,0.0022,22,266,69
death,spike rank 88,2026-07-13,0.0179,0.0058,55,2034,172
doj,spike rank 89,2026-01-19,0.0203,0.0084,42,2317,112
rights,spike rank 90,2026-04-27,0.0145,0.0027,36,680,119
game,spike rank 91,2026-06-08,0.0146,0.0030,42,741,136
