level,group,genre,measure,n_months,spearman_trend,p,first_month_value,last_full_month_value
creator,@ANINewsIndia,videos,F8_controlled,9,-0.217,0.5755,0.2265,0.1047
creator,@ANINewsIndia,videos,F9_controlled,9,-0.733,0.0246,-0.0126,-0.2044
creator,@ANINewsIndia,videos,F10_controlled,9,-0.883,0.0016,1.2494,1.0479
creator,@ANINewsIndia,videos,F11_controlled,9,0.05,0.8984,0.8671,0.8176
creator,@ANINewsIndia,videos,F12_controlled,9,-0.917,0.0005,0.2908,0.0258
creator,@ANINewsIndia,videos,curiosity_gap,9,0.617,0.0769,0.0233,0.0313
creator,@ANINewsIndia,videos,outrage,9,-0.333,0.3807,0.3496,0.3633
creator,@ANINewsIndia,videos,humor,9,-0.749,0.0203,0.0007,0.0
creator,@AssociatedPress,streams,F1_controlled,9,0.683,0.0424,0.4557,0.5402
creator,@AssociatedPress,streams,F2_controlled,9,-0.467,0.2054,0.3026,-0.7304
creator,@AssociatedPress,streams,F3_controlled,9,-0.167,0.6682,3.1402,3.596
creator,@AssociatedPress,streams,F4_controlled,9,0.75,0.0199,-0.1436,0.1275
creator,@AssociatedPress,streams,F5_controlled,9,0.317,0.4064,-0.3288,-0.3679
creator,@AssociatedPress,streams,F6_controlled,9,0.45,0.2242,-0.4558,-0.3135
creator,@AssociatedPress,streams,F7_controlled,9,-0.983,0.0,0.9352,0.1265
creator,@AssociatedPress,streams,F8_controlled,9,0.833,0.0053,0.0765,2.0623
creator,@AssociatedPress,streams,F9_controlled,9,0.117,0.765,-0.6943,-0.6595
creator,@AssociatedPress,streams,F10_controlled,9,0.55,0.125,-0.9821,-0.67
creator,@AssociatedPress,streams,F11_controlled,9,0.1,0.798,-0.8682,-1.4644
creator,@AssociatedPress,streams,F12_controlled,9,0.517,0.1544,-0.6212,-0.6259
creator,@AssociatedPress,streams,curiosity_gap,9,-0.467,0.2054,0.0407,0.0108
creator,@AssociatedPress,streams,outrage,9,-0.717,0.0298,0.0872,0.0215
creator,@AssociatedPress,streams,humor,9,0.274,0.4758,0.0,0.0
creator,@AssociatedPress,videos,F1_controlled,9,-0.117,0.765,0.9284,0.7992
creator,@AssociatedPress,videos,F2_controlled,9,0.467,0.2054,0.8798,1.1644
creator,@AssociatedPress,videos,F3_controlled,9,-0.133,0.7324,-0.7179,-0.6828
creator,@AssociatedPress,videos,F4_controlled,9,0.8,0.0096,-0.0441,0.0382
