genre,titles,kind,group,n_creators,n_style_clusters,largest_cluster_share,members
videos,political,lane split across style clusters,right_commentary,67,6,0.403,@ActualJusticeWarrior (S0); @PragerU (S0); @OwenReport (S0); @MyronGainesX (S0); @MichaelKnowles (S0); @TheBrianKilmeadeShow (S0); @MLChristiansen (S0); @TomiLahrenIsFearless (S0); @JesseKellyDC (S0); @XAVIAER (S0); @chicksonright (S0); @clayandbuck (S0); @GrahamAllen (S0); @fightbackpodcast (S0); @newdiscourses (S0); @marklevinshow (S0); @AnthonyBrianLogan (S0); @laurenchenclips (S0); @BlazeTV (S0); @lizwheeler (S0); @BrittanyVenti (S0); @glennbeck (S1); @ThePodcastoftheLotusEaters (S1); @dineshdsouza (S1); @TheAmalaEkpunobi (S1); @RufoandLomez (S1); @bbrettcooper (S1); @SydneyWatson (S1); @bennyjohnson (S1); @Styxhexenhammer666 (S1); @theisabelbrown (S1); @StevenCrowder (S1); @X22Report-y5y (S1); @RubinReport (S1); @RileyGaines (S1); @RealDanBongino (S1); @AndrewKlavan (S1); @BenShapiro (S1); @CamHigby (S1); @ChadPrather1 (S1); @ClipsCandaceOwens (S1); @JustPearlyThings (S1); @LiberalHivemind (S1); @FreshFitMiami (S1); @MarkDice (S1); @PartOfTheProblem (S1); @MattWalsh (S1); @OfficialSaharTV (S1); https://rumble.com/c/nickjfuentes (S2); @FleccasTalks (S2); https://rumble.com/c/BannonsWarRoom (S3); @turningpointusa (S3); @AfterPartyEmily (S3); @AndWeKnowOfficial-o9b (S3); @RealAlexClark (S3); @MegynKelly (S3); @BlackConservativePerspective (S8); @Timcast (S8); @TheQuartering (S8); @DrSteveTurleyTV (S8); https://rumble.com/c/TheAlexJonesShowLive (S8); @JacksonHinkleOfficial (S8); @TheOfficerTatum (S8); @TimcastNews (S8); @TimcastIRL (S8); @jlptalk (S9); @CashJordan (S9)
videos,political,lane split across style clusters,right_tv_network,4,3,0.5,@RealAmericasVoice (S0); @oann (S0); @NewsmaxTV (S4); @RSBN (S7)
videos,political,lane split across style clusters,streamer_reaction,22,4,0.455,@lonerboxlive (S0); @BadEmpanadaLive (S0); @destinyhqclips (S0); @destiny (S0); @HasanReactionsfanTwo (S0); @HasanabiClips (S0); @LIVESNEAKO (S0); @The_Crucible (S0); @SaltyCracker (S0); @TheSerfTimes (S0); @Xanderhal (S1); @Vaush (S1); @TheVaushPit (S1); @AsmonTV (S1); @MikeFromPA (S1); @HasanAbi (S1); @DylanBurnsLIVE (S1); @DestinyDGGClips (S1); @hutch (S1); @PiscoLitty (S2); @deanwithrs (S8); @DailyDenims (S8)
videos,political,lane split across style clusters,us_legacy_tv,9,2,0.889,@60minutes (S2); @ABCNews (S4); @CBSNews (S4); @CNN (S4); @FoxNews (S4); @FoxNewsChannelClips (S4); @NBCNews (S4); @NewsNation (S4); @msnow (S4)
videos,political,lane split across style clusters,us_press_print_digital,17,5,0.412,@NYTPodcasts (S0); @nypost (S0); @markets (S0); @wsj (S1); @nytimes (S1); @nationalreview (S1); @TheAtlantic (S1); @TheDailyBeast (S1); @Forbes (S2); @Semafor (S3); @Vox (S4); @axios (S4); @TechCrunch (S4); @POLITICO (S4); @NPR (S4); @thehill (S4); @USATODAY (S4)
videos,political,lane split across style clusters,wire_international,10,5,0.6,@Firstpost (S2); @ANINewsIndia (S4); @AssociatedPress (S4); @BBCNews (S4); @Reuters (S4); @SkyNews (S4); @aljazeeraenglish (S4); @TheEconomist (S6); @TimesNowWorld (S8); @timesofindia (S9)
videos,political,style cluster spanning lanes,S0,89,10,0.281,@DarkHorsePod (centrist_heterodox); @TheLincolnProject (centrist_heterodox); @bulwarkmedia (centrist_heterodox); @wethefifth (centrist_heterodox); @TimDillonShow (humour_satire); @lovettorleaveitpodcast (humour_satire); @BreakThroughNews (independent_digital_news); @DemocracyNow (independent_digital_news); @DropSiteNews (independent_digital_news); @LeverNews (independent_digital_news); @NovaraMedia (independent_digital_news); @PoliticsJOE (independent_digital_news); @breakingpoints (independent_digital_news); @rolandsmartin (independent_digital_news); @underthedesknews (independent_digital_news); @zeteo (independent_digital_news); https://rumble.com/c/GGreenwald (independent_digital_news); @ClubRandomPodcast (interview_podcast); @HangOutwithSeanHannity (interview_podcast); @TheAdamCarollaShow1 (interview_podcast); @TuckerCarlson (interview_podcast); @joerogan (interview_podcast); @triggerpod (interview_podcast); @usefulidiots (interview_podcast); @winston_marshall (interview_podcast); @DannyHaiphongYT (left_commentary); @DueDissidence (left_commentary); @FarronBalanced (left_commentary); @Forthepeoplepodcast305 (left_commentary); @JackCocchiarellaShow (left_commentary); @JamarlThomas (left_commentary); @OwenJonesTalks (left_commentary); @PTLRadioShow (left_commentary); @RebelHQ (left_commentary); @SabbySabs (left_commentary); @TheDamageReport (left_commentary); @TheDonLemonShow (left_commentary); @TheJoyReidShow (left_commentary); @TheMajorityReport (left_commentary); @TheMichaelCohenShow (left_commentary); @TheRealTabithaSpeaks (left_commentary); @TheYoungTurks (left_commentary); @adammockler (left_commentary); @dollemore (left_commentary); @fastpoliticspodcast (left_commentary); @jimacosta (left_commentary); @marclamonthillnetwork (left_commentary); @podsaveamerica (left_commentary); @thejimmydoreshow (left_commentary); @therationalnational (left_commentary); @DemocracyDocket (legal_institutional); @GlennKirschner2 (legal_institutional); @RobertGouveiaEsq (legal_institutional); @ActualJusticeWarrior (right_commentary); @AnthonyBrianLogan (right_commentary); @BlazeTV (right_commentary); @BrittanyVenti (right_commentary); @GrahamAllen (right_commentary); @JesseKellyDC (right_commentary); @MLChristiansen (right_commentary); @MichaelKnowles (right_commentary); @MyronGainesX (right_commentary); @OwenReport (right_commentary); @PragerU (right_commentary); @TheBrianKilmeadeShow (right_commentary); @TomiLahrenIsFearless (right_commentary); @XAVIAER (right_commentary); @chicksonright (right_commentary); @clayandbuck (right_commentary); @fightbackpodcast (right_commentary); @laurenchenclips (right_commentary); @lizwheeler (right_commentary); @marklevinshow (right_commentary); @newdiscourses (right_commentary); @RealAmericasVoice (right_tv_network); @oann (right_tv_network); @BadEmpanadaLive (streamer_reaction); @HasanReactionsfanTwo (streamer_reaction); @HasanabiClips (streamer_reaction); @LIVESNEAKO (streamer_reaction); @SaltyCracker (streamer_reaction); @TheSerfTimes (streamer_reaction); @The_Crucible (streamer_reaction); @destiny (streamer_reaction); @destinyhqclips (streamer_reaction); @lonerboxlive (streamer_reaction); @NYTPodcasts (us_press_print_digital); @markets (us_press_print_digital); @nypost (us_press_print_digital)
videos,political,style cluster spanning lanes,S1,69,10,0.391,@KimIversen (centrist_heterodox); @RestPoliticsUS (centrist_heterodox); @UnHerd (centrist_heterodox); @chriscuomo (centrist_heterodox); https://rumble.com/c/russellbrand (centrist_heterodox); @ZeihanonGeopolitics (explainer_geopolitics); @nousnetwork (explainer_geopolitics); @AlexStein99 (humour_satire); @SMN (humour_satire); @franifio (humour_satire); @GeopoliticalEconomyReport (independent_digital_news); @RedactedNews (independent_digital_news); @ColemanHughesOfficial (interview_podcast); @EzraKleinShow (interview_podcast); @JillianMichaels (interview_podcast); @Politicon (interview_podcast); @ZubyMusic (interview_podcast); @judgingfreedom (interview_podcast); @morebridgetphetasy (interview_podcast); @samharrisorg (interview_podcast); @MrTariqNasheed (left_commentary); @PoliticsGirl (left_commentary); @TheHumanistReport (left_commentary); @Tim_Black (left_commentary); @thedavidpakmanshow (left_commentary); @thomhartmann (left_commentary); @LeejaMiller (legal_institutional); @LegalEagle (legal_institutional); @AndrewKlavan (right_commentary); @BenShapiro (right_commentary); @CamHigby (right_commentary); @ChadPrather1 (right_commentary); @ClipsCandaceOwens (right_commentary); @FreshFitMiami (right_commentary); @JustPearlyThings (right_commentary); @LiberalHivemind (right_commentary); @MarkDice (right_commentary); @MattWalsh (right_commentary); @OfficialSaharTV (right_commentary); @PartOfTheProblem (right_commentary); @RealDanBongino (right_commentary); @RileyGaines (right_commentary); @RubinReport (right_commentary); @RufoandLomez (right_commentary); @StevenCrowder (right_commentary); @Styxhexenhammer666 (right_commentary); @SydneyWatson (right_commentary); @TheAmalaEkpunobi (right_commentary); @ThePodcastoftheLotusEaters (right_commentary); @X22Report-y5y (right_commentary); @bbrettcooper (right_commentary); @bennyjohnson (right_commentary); @dineshdsouza (right_commentary); @glennbeck (right_commentary); @theisabelbrown (right_commentary); @AsmonTV (streamer_reaction); @DestinyDGGClips (streamer_reaction); @DylanBurnsLIVE (streamer_reaction); @HasanAbi (streamer_reaction); @MikeFromPA (streamer_reaction); @TheVaushPit (streamer_reaction); @Vaush (streamer_reaction); @Xanderhal (streamer_reaction); @hutch (streamer_reaction); @TheAtlantic (us_press_print_digital); @TheDailyBeast (us_press_print_digital); @nationalreview (us_press_print_digital); @nytimes (us_press_print_digital); @wsj (us_press_print_digital)
videos,political,style cluster spanning lanes,S2,8,7,0.25,@chinainsights-r2w (independent_digital_news); @ponderingpolitics (left_commentary); @FleccasTalks (right_commentary); https://rumble.com/c/nickjfuentes (right_commentary); @PiscoLitty (streamer_reaction); @60minutes (us_legacy_tv); @Forbes (us_press_print_digital); @Firstpost (wire_international)
videos,political,style cluster spanning lanes,S3,12,5,0.5,@RonPlacone (humour_satire); @BadFaithPodcast (interview_podcast); @MichaelMaliceofficial (interview_podcast); @VivaFrei (legal_institutional); @cafedotcom (legal_institutional); @AfterPartyEmily (right_commentary); @AndWeKnowOfficial-o9b (right_commentary); @MegynKelly (right_commentary); @RealAlexClark (right_commentary); @turningpointusa (right_commentary); https://rumble.com/c/BannonsWarRoom (right_commentary); @Semafor (us_press_print_digital)
