term,n_titles,degree,strength,betweenness,community
alex pretti,109,1,2.19269,0.00000,7
pretti,126,1,2.15432,0.00000,7
dana,76,1,2.02057,0.00000,7
mamdani,959,12,31.08376,0.02965,8
nyc,608,9,21.56575,0.01616,8
city,297,6,18.34041,0.00993,8
sanctuary,102,3,14.98019,0.00184,8
socialist,338,6,13.93713,0.01218,8
truth,772,4,9.91424,0.00353,8
bombshell,429,5,9.76549,0.01504,8
tax,276,3,9.58229,0.00092,8
bomb,154,3,9.42466,0.00294,8
drops,294,3,8.62611,0.00447,8
times,137,2,7.75102,0.00092,8
takeover,182,2,7.44148,0.00261,8
grocery,57,2,6.76664,0.00261,8
socialists,139,2,6.20809,0.00011,8
report,843,2,6.12153,0.00261,8
york,258,2,5.86101,0.00353,8
democratic,259,2,5.73924,0.00049,8
policies,168,1,5.59798,0.00000,8
cities,78,1,5.03997,0.00000,8
teen,180,1,4.51593,0.00000,8
cuts,70,1,4.38521,0.00000,8
square,49,1,4.28268,0.00000,8
jobs,142,1,3.99279,0.00000,8
council,73,1,3.95701,0.00000,8
store,50,1,3.86055,0.00000,8
york city,48,1,3.47702,0.00000,8
nyc mayor,60,1,3.18235,0.00000,8
nypd,96,1,3.11400,0.00000,8
hall,106,1,2.88567,0.00000,8
tell,118,1,2.82597,0.00000,8
zohran,212,1,2.70725,0.00000,8
zohran mamdani,194,1,2.67646,0.00000,8
dark,218,1,1.91162,0.00000,8
epstein,807,17,41.76909,0.02744,9
ag,188,5,20.52411,0.00427,9
doj,560,8,18.39579,0.00761,9
footage,300,4,12.87557,0.00674,9
blanche,151,3,12.06312,0.00069,9
melania,189,4,12.01768,0.01544,9
ai,622,4,11.91235,0.00445,9
deposition,51,3,10.71924,0.00000,9
probe,186,4,10.69022,0.00403,9
bondi,190,3,8.32842,0.00335,9
attorney,205,2,7.82922,0.00016,9
released,221,3,7.43154,0.00735,9
future,273,3,7.23893,0.00619,9
clinton,211,2,6.53903,0.00000,9
files,394,2,6.51739,0.00261,9
hillary,146,2,6.29299,0.00000,9
lady,101,2,5.16418,0.00000,9
todd blanche,98,1,4.85154,0.00000,9
todd,132,1,4.60706,0.00000,9
bodycam,85,1,4.08000,0.00000,9
release,109,1,3.95843,0.00000,9
shows,380,1,3.84055,0.00000,9
ties,97,1,3.47540,0.00000,9
centers,84,1,3.20510,0.00000,9
data centers,70,1,3.18588,0.00000,9
data,226,1,2.97146,0.00000,9
charges,191,1,2.81944,0.00000,9
hillary clinton,92,1,2.77944,0.00000,9
jeffrey,82,1,2.67263,0.00000,9
testify,57,1,2.60124,0.00000,9
clintons,63,1,2.44952,0.00000,9
gates,83,1,1.89795,0.00000,9
court,767,15,32.33004,0.01917,10
supreme court,472,12,27.96102,0.00795,10
supreme,555,12,27.36322,0.00795,10
major,762,10,18.58078,0.02744,10
sports,203,6,18.25014,0.00449,10
