creator,genre,month,n_titles,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F1_controlled,F2_controlled,F3_controlled,F4_controlled,F5_controlled,F6_controlled,F7_controlled,F8_controlled,F9_controlled,F10_controlled,F11_controlled,F12_controlled,group,organisation,clipper,curiosity_gap,outrage,humor,question,breaking_live,episode_show,interview_guest,reaction,confrontation,listicle,howto_explainer,partial_month,low_n
@ANINewsIndia,streams,2026-03,780,0.0458824905914115,0.1251111572921618,2.6277414259493534,-0.2774676146677037,-0.9158070823400556,1.4258435371926386,1.7080809278613327,0.3130047094481983,-0.7899439300973072,-0.195514048359624,0.7984712844121883,1.2305714006258823,-0.2400859593274809,0.2149356549251624,1.4808828290229477,-0.012703516318133,-0.3368385482987225,0.6863718868603832,0.7217212878237025,-0.029806466235065,-0.4116066020701848,-0.5694614525846428,0.0504382084867299,0.5830626317211693,neutral,ANI,False,0.07435897435897436,0.2564102564102564,0.0,0.0,0.6538461538461539,0.0,0.07307692307692308,0.005128205128205128,0.06282051282051282,0.0,0.0,False,False
@ANINewsIndia,streams,2026-04,794,0.7567068688207077,-0.1173355657351453,2.799911333928348,-0.3732045439559792,-1.037902711716605,2.0840898549058497,1.6946981335455222,0.3779335298620494,-0.4144232106214172,-0.3853300255044224,1.0019234524996912,1.1737745288884691,0.2064426152637407,-0.0419690555253733,1.4745642047216223,-0.0477391195145512,-0.3956361604227345,1.0292832431649703,0.7208551353895092,-0.0204973145247245,0.0046149029393499,-0.7428331622161047,0.0882600107208976,0.7525643119015707,neutral,ANI,False,0.09949622166246852,0.1385390428211587,0.0,0.0012594458438287153,0.672544080604534,0.0,0.04534005037783375,0.0012594458438287153,0.031486146095717885,0.0,0.0,False,False
@ANINewsIndia,streams,2026-05,839,0.6289801193439232,0.1361758377889721,3.031150601833249,-0.3297309797738432,-0.9923284287163732,1.875402762903333,1.365063176514584,0.3223596171667361,-0.3034357582839523,-0.3189743909619675,1.0310550779365324,0.7588015973304059,0.0183192214850539,0.239692297951363,1.6543406833281318,0.0047969936652337,-0.3279607954962378,0.7905952501431193,0.3741501439212638,-0.1305400621743142,0.1411901080717482,-0.7025704012517863,0.0313784209135951,0.3554416216614176,neutral,ANI,False,0.07628128724672228,0.2359952324195471,0.0,0.0023837902264600714,0.7258641239570918,0.0,0.08700834326579261,0.013110846245530394,0.033373063170441,0.0,0.003575685339690107,False,False
@ANINewsIndia,streams,2026-06,949,0.741132055120853,-0.0885309897526831,3.272040735032907,-0.2329790183973626,-0.9813435397800148,1.837654226497738,1.0491459466484836,0.3793332943094571,-0.2274969643077648,0.0247298252700116,1.0147527694174627,0.6028635372598135,0.1457813417226226,-0.0037468132298906,1.8971303568830715,0.0993618769496129,-0.3160442937202866,0.7883359764053213,0.0034831228008724,-0.0752121654540896,0.2067788733375259,-0.3254100508949878,0.0728001090610177,0.2095703756639381,neutral,ANI,False,0.08640674394099052,0.2476290832455216,0.0,0.004214963119072708,0.7629083245521602,0.0,0.08113804004214963,0.0410958904109589,0.02423603793466807,0.0,0.003161222339304531,False,False
@ANINewsIndia,streams,2026-07,970,0.4634443180341628,-0.1615035425355734,3.480685357021309,-0.2542002751967878,-1.003494252606293,1.65032387327468,0.9220764889109432,0.2973869453334767,-0.5921776750199986,0.0170774095544492,0.8708973222055224,0.5383703337814825,-0.1631613060722848,-0.0572717408378284,2.067460909873464,0.1011356770798047,-0.3284532275135164,0.6050025231440455,-0.1156126213848574,-0.1773233060885515,-0.1206019854148699,-0.3008301076467618,-0.1197512896020132,0.1959587592927032,neutral,ANI,False,0.08969072164948454,0.37628865979381443,0.002061855670103093,0.002061855670103093,0.8371134020618557,0.0,0.05567010309278351,0.05360824742268041,0.06391752577319587,0.0,0.003092783505154639,False,False
@ANINewsIndia,streams,2026-08,878,0.4281855207066858,-0.2807022748694918,3.233877425065368,-0.337874422228427,-0.9696513338794296,1.5494484293473445,0.8181319763837366,0.3030930801638464,-0.896829826439143,-0.0102198953332065,0.9964622913124884,0.2391184355506019,-0.1612370360555867,-0.1958728710091684,1.884704362847062,0.0187767841837486,-0.3122228650735933,0.5529541191971288,-0.2577351597729425,-0.1904435444254918,-0.396130004091503,-0.3484615153009933,0.0296754236949627,-0.0561243043666967,neutral,ANI,False,0.09111617312072894,0.33826879271070615,0.0,0.0056947608200455585,0.8246013667425968,0.0,0.07175398633257403,0.02847380410022779,0.05125284738041002,0.0,0.00683371298405467,False,False
@ANINewsIndia,streams,2026-09,452,0.7927945045019886,-0.4501614379041649,3.384265995495141,-0.2576960525211724,-0.8902635201789422,1.5614278073057186,0.7229323431385807,0.5473309236124659,-0.3809065257752491,-0.1408389328143021,1.1516090046042915,0.3915793234189872,0.0952265485547427,-0.3797332864586705,2.0657064156204417,0.0497876399296857,-0.2622792218215883,0.7039621863210246,-0.3491239113109133,0.0048090462961094,-0.0442703190834447,-0.5612147509481675,0.1417354960504824,-0.1088634132239548,neutral,ANI,False,0.048672566371681415,0.3053097345132743,0.0,0.0,0.8119469026548672,0.0,0.11946902654867257,0.01327433628318584,0.02654867256637168,0.0,0.0022123893805309734,True,False
@ANINewsIndia,videos,2026-01,1459,0.8208162530692563,0.6079169401668151,-0.0583454428101297,-0.2621824237591761,-0.5984446341274025,0.6178757141439708,1.8682736939905984,0.5608003876114553,-0.2940021802379961,1.7557511463951143,1.5602829344021545,0.9036975429714348,0.5622431958634132,0.6455132402547478,-0.8640785113441816,-0.0644108964399684,-0.1751765177464416,0.1464431108791152,1.007365002564249,0.2265131696049017,-0.0126948521845032,1.2493917923623503,0.8670920874937924,0.2906530132528884,neutral,ANI,False,0.023303632625085675,0.34955448937628514,0.0006854009595613434,0.06031528444139822,0.06100068540095956,0.0013708019191226869,0.12063056888279644,0.01782042494859493,0.05962988348183688,0.0013708019191226869,0.02604523646333105,False,False
@ANINewsIndia,videos,2026-02,1258,1.0951481309756046,0.555540892396914,-0.0367028489932462,-0.2363055463075161,-0.6911614100871094,0.6963291454863227,1.7918588159101636,0.5812028094140747,-0.1322381740653725,1.994293352095689,1.718806327465355,0.8115538756606308,0.6278203938174568,0.6124327746219356,-1.0205718340855936,0.0201278063202292,-0.1956979660423357,0.0727051779588276,0.8770677745294428,0.1513571137710972,0.1368805999475467,1.53154273431196,0.8721137124543483,0.2366774101429308,neutral,ANI,False,0.023052464228934817,0.3410174880763116,0.000794912559618442,0.04848966613672496,0.051669316375198726,0.0,0.11844197138314785,0.022257551669316374,0.0834658187599364,0.00397456279809221,0.02702702702702703,False,False
@ANINewsIndia,videos,2026-03,1365,-0.209643073804775,0.6656551307701388,-0.0358109858372099,-0.0998806300811601,-0.465831584486324,0.4096527863580967,1.7742938713532113,0.4557392753167577,-0.487703869566769,2.1229542313749072,0.97976399051345,1.5945645489191915,-0.0485028395522158,0.6424377660325249,-0.6593610733134891,0.0771663132793089,-0.121268806863855,0.1489781658042986,0.9419095170151242,0.1411777068917443,-0.1892038635923694,1.5024837858754143,0.4601219156164449,0.5313809121093915,neutral,ANI,False,0.021245421245421246,0.47619047619047616,0.0007326007326007326,0.07692307692307693,0.063003663003663,0.0,0.09377289377289377,0.024175824175824177,0.063003663003663,0.002197802197802198,0.020512820512820513,False,False
@ANINewsIndia,videos,2026-04,1240,0.6544639688676794,0.711600863754025,-0.0107617020323545,-0.1970339340303945,-0.5867133333572507,0.6357253293125656,1.8765728525312175,0.3511067906450406,-0.2805384434233858,2.070588792530689,1.4900565865550448,1.0242626312543064,0.6291844752535575,0.677633402068191,-0.7585567724818797,-0.0108599718112478,-0.2081841367078769,0.1394099063233024,1.100987119773267,0.0731307363911127,-0.0088994927849654,1.4629503747400543,0.8861211148700849,0.1159099173323229,neutral,ANI,False,0.024193548387096774,0.4266129032258065,0.0008064516129032258,0.0532258064516129,0.075,0.0008064516129032258,0.10483870967741936,0.014516129032258065,0.07096774193548387,0.0016129032258064516,0.021774193548387097,False,False
@ANINewsIndia,videos,2026-05,1242,0.844575560962025,0.5477193751791959,0.0240778914614718,-0.2825612140334755,-0.5599185001920239,0.8834657877550629,1.7307875688799363,0.370796140639526,-0.2389072310213662,1.7088643551364582,1.5806602739943303,0.6346319300500491,0.4621263845819527,0.5863069713631519,-0.9479670321240744,-0.0216116498727214,-0.0819028804042896,0.2070586913024801,0.8480941493514061,-0.0384001077581277,0.1109569058763003,1.2326856561419723,0.778991023374979,0.0641638338304836,neutral,ANI,False,0.020933977455716585,0.33735909822866345,0.0,0.04428341384863124,0.06763285024154589,0.005636070853462158,0.11272141706924316,0.0249597423510467,0.04186795491143317,0.0024154589371980675,0.033816425120772944,False,False
