word,pairs,landscape_co_mentions,landscape_avoidances,group_pairs,channel_co_mentions,timing_readings,co_mention_partners,avoidance_partners,group_partners,channel_partners,timing
attack,79,6,0,1,0,3,israel (2.5x); iran (1.7x); iranian (2.8x); racist (3.2x); venezuela (1.8x); arrested (2.1x),,"nyc (left 1.66, neutral 1.24, right 5.49)",,iran: co-move (+0.32); strikes: co-move (+0.33); nato: co-move (negative) (-0.33)
nyc,79,3,2,1,0,1,mamdani (44.2x); dsa (6.4x); arrested (2.7x),trump (0.26); iran (0.18),"attack (left 1.66, neutral 1.24, right 5.49)",,mamdani: co-move (+0.55)
mamdani,79,4,2,0,1,2,nyc (44.2x); netanyahu (11.1x); speech (3.1x); aoc (2.7x),trump (0.29); iran (0.11),,"dsa (2.9x, 14 ch)",nyc: co-move (+0.55); iran: mamdani leads by 1 d (negative) (-0.32)
newsom,79,3,0,0,1,0,california (13.9x); doj (4.9x); fraud (4.5x),,,"state (1.9x, 19 ch)",
hasan piker,79,3,0,0,1,0,cuba (23.7x); abdul el-sayed (8.0x); uk (8.3x),,,"charlie kirk (4.0x, 9 ch)",
case,79,8,2,0,1,3,charlie kirk (10.3x); lindsay clancy (6.9x); supreme court (4.6x); hearing (3.5x); trial (3.2x); doj (2.6x); maduro (4.4x); scotus (3.2x),trump (0.37); iran (0.17),,"epstein (1.6x, 33 ch)",trial: co-move (+0.30); prices: case leads by 6 d (negative) (-0.35); racist: case leads by 3 d (+0.34)
prices,79,2,0,3,0,3,oil (25.8x); iran (2.1x),,"war (left 2.05, neutral 3.90, right 1.55); strait of hormuz (left 0.97, neutral 2.28, right 5.98); trump (left 1.30, neutral 1.04, right 2.06)",,oil: co-move (+0.36); war: co-move (+0.38); case: case leads by 6 d (negative) (-0.35)
racist,79,2,0,1,0,2,obama (16.6x); attack (3.2x),,"maga (left 1.88, neutral 21.35, right 0.99)",,case: case leads by 3 d (+0.34); ai: racist leads by 9 d (+0.33)
candace owens,79,4,0,0,1,1,charlie kirk (5.7x); wilson (26.0x); andrew (9.0x); debate (4.7x),,,"maga (2.3x, 14 ch)",canada: candace owens leads by 10 d (+0.34)
ai,79,2,2,2,0,1,china (2.5x); melania (3.8x),iran (0.20); trump (0.36),"war (left 0.58, neutral 0.33, right 1.11); venezuela (left 1.22, neutral 0.20)",,racist: racist leads by 9 d (+0.33)
dsa,79,2,0,0,1,2,aoc (5.8x); nyc (6.4x),,,"mamdani (2.9x, 14 ch)",graham: dsa leads by 14 d (+0.31); platner: dsa leads by 12 d (+0.31)
wilson,79,3,0,0,0,0,candace owens (26.0x); debate (6.8x); charlie kirk (6.9x),,,,
death,79,7,0,1,0,2,lindsey graham (19.9x); graham (12.2x); charlie kirk (5.0x); venezuela (3.7x); alex (3.5x); protests (2.6x); woman (2.4x),,"trump (left 0.87, neutral 0.34, right 0.45)",,nato: nato leads by 4 d (+0.34); epstein: epstein leads by 4 d (negative) (-0.34)
doj,79,5,1,2,0,0,epstein (5.9x); epstein files (8.0x); fraud (3.9x); newsom (4.9x); case (2.6x),iran (0.16),"trump (left 1.84, neutral 1.22, right 1.50); rights (left 1.23, neutral 1.40, right 16.10)",,
rights,79,2,0,2,1,0,supreme court (8.8x); scotus (9.0x),,"doj (left 1.23, neutral 1.40, right 16.10); iran (left 0.30, neutral 0.80, right 0.08)","alex (3.4x, 9 ch)",
game,79,0,0,0,0,0,,,,,
