creator,genre,month,n_titles,lane,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F1_controlled,F2_controlled,F3_controlled,F4_controlled,F5_controlled,F6_controlled,F7_controlled,F8_controlled,F9_controlled,F10_controlled,F11_controlled,F12_controlled
@ABCNews,videos,2026-04,924,us_legacy_tv,0.8334545815697183,-0.12143147895957568,-0.2532319682350463,-0.318743765374402,-0.09310026672423438,-0.7459944889616279,1.757753020851774,0.19344762975224938,-0.6203142544726274,0.31238758771901315,0.013084788505628522,0.045969135821545416,0.7217653240280709,0.14673852025059803,-0.6455976912583797,-0.16443571654860756,0.15670369837352754,-0.569227954680846,1.2157556436612136,-0.30987313262518545,-0.5274818499574162,0.06730734230252121,0.16045608933849725,-0.3220063238504052
@ABCNews,videos,2026-05,883,us_legacy_tv,0.8679598064743608,-0.04834918527838119,-0.36081151522411703,-0.306930336484481,-0.05404318787281455,-0.5061713359947574,1.647056734248654,0.1880976903865341,-0.550018444031868,0.33368208917875886,0.06466004392921723,-0.07711018869388538,0.7601017304496724,0.20898122498148053,-0.6651233141180731,-0.14391087213410622,0.1260148597559866,-0.41510981655932383,1.1517169319329363,-0.32980774520558925,-0.4872483173592659,0.17597781738188872,0.2242593672567862,-0.29462587155284775
@ABCNews,videos,2026-06,915,us_legacy_tv,0.799898543536272,-0.22067058101371187,-0.3987172998837943,-0.3730884251582373,-0.1994791398494498,-0.6311727941063504,1.7921338620041503,0.40438756669561904,-0.7069957308653296,0.28924251910641097,-0.045791819237618256,-0.09501430744863339,0.6870651207480933,0.0892455683260415,-0.6476539410238794,-0.19039809134739932,0.031201810189316656,-0.580859448115364,1.310614586077757,-0.1897891453042186,-0.6004492414427626,0.19643735663168482,0.09894064122708468,-0.20852430461815322
@ABCNews,videos,2026-07,883,us_legacy_tv,0.9984212649767867,-0.17553717170435001,-0.31938439998576007,-0.3778072943206999,-0.11007560572642237,-0.6497058072934847,1.690564649613211,0.3785660314592981,-0.5857489315616611,0.04407294237022934,0.07578429333716873,-0.09908493533569165,0.7310776327433237,0.11909111060938027,-0.6048209610667059,-0.1869922951323357,0.08609766752539864,-0.5928889050359397,1.2195945446766234,-0.24469469020007492,-0.4900285607530369,-0.05449584547958717,0.11968962287866165,-0.1698540244936991
@ABCNews,videos,2026-08,1073,us_legacy_tv,0.7249535993271633,-0.11663806852563638,-0.37753957650349623,-0.4124954739384902,-0.2160882849578007,-0.6853164294601373,1.8342257070089945,0.2690927090128909,-0.5544118382074134,0.07725135566525694,-0.047939890776984524,-0.12615911416360548,0.637527094775973,0.18033869979268838,-0.6723805074438076,-0.21525388813973326,0.023397305819358786,-0.6057541200081648,1.3087181655153861,-0.3740253055241279,-0.4902911191146136,-0.00453610733323146,0.16327027146086454,-0.19579979908400308
@ABCNews,videos,2026-09,565,us_legacy_tv,0.7641139279776171,-0.29556976203321333,-0.3069971981340446,-0.3277852037980946,-0.051047133607525635,-0.7951812322509388,1.6106110249849908,0.784612654638351,-0.6342395661046153,0.09827044247530885,-0.09576342606293188,-0.16671051170710263,0.5325876512930654,-0.06461185340814488,-0.5734532771493323,-0.12584067026238036,0.14173381439681473,-0.7131502924964288,1.057475622232866,-0.1504272646360546,-0.5446674832888588,0.0036656961078884625,0.11057079716601215,-0.1676722281641824
@ANINewsIndia,streams,2026-01,720,wire_international,0.8901872244213628,0.15137895028894685,2.4023975167189167,-0.3160053609115397,-1.0421724651727093,1.6500222401069617,1.6024405794483378,0.3825080669051339,-0.591567846918053,-0.07723905021264728,1.2325977354068325,0.3708508920405979,0.35843662740670074,0.21927696551854048,1.0776964187024887,-0.01138856102051612,-0.35566539435793154,0.6729054031813629,0.5569685731817671,-0.030775954844126263,-0.1329613845580753,-0.42027279227831493,0.31764893562982105,0.1059923275844904
@ANINewsIndia,streams,2026-02,804,wire_international,0.985358483907522,0.26247861366624153,2.9179622005774926,-0.2656582599997793,-1.0335008469400349,1.626553772343305,1.566451203886498,0.41535872695228043,-0.5025256839395746,-0.19300684699904624,1.246953898929394,0.41534022324975217,0.4366476952273313,0.3162568349289079,1.6092936708069014,0.004238682360557871,-0.34405965888455176,0.6846316736400551,0.5431801973364753,0.06868198484382725,-0.11730812432036604,-0.511372986037567,0.3909475398189127,0.08877568884678068
@ANINewsIndia,streams,2026-03,770,wire_international,0.45920234113358555,0.08933017302703827,2.5787816600802502,-0.17269402731722425,-0.909490839782514,1.5943605626651676,1.5920332632537497,0.4350811815279075,-0.5557192548188539,-0.20068536716716567,0.9705460808994236,0.8301139887287278,0.02126449358529738,0.12122135626992674,1.4272352585366308,0.060869313729291885,-0.33314241389554505,0.8343344573845041,0.6112646891898713,0.07906346954736694,-0.2366680084784136,-0.6236462906420793,0.17375080144259544,0.2624472731698319
@ANINewsIndia,streams,2026-04,735,wire_international,0.23003409164921865,0.02012586561301483,2.6735162594446518,-0.3590645469544964,-1.034363325751947,1.7407555974623448,1.756204969830311,0.3858545148495031,-0.6460950995203669,-0.2552870448692425,0.7942473942168164,0.8154881375760885,-0.25982955588598916,0.05157702341980182,1.2759543343833504,-0.06754479043206293,-0.3033183787751941,0.6942765235456564,0.6871283503199449,0.04204090305404148,-0.1910139931062395,-0.5986507032214508,-0.08113095221083089,0.41397233219247676
