term_a,term_b,observed,expected_strat,lift_strat,z_cmh,q_cmh,channels,weight
epstein,missing,21.00000,7.76384,2.70485,5.14610,0.00000,14.00000,1.43555
court,order,26.00000,10.52387,2.47057,5.14103,0.00000,13.00000,1.30485
shock,announcement,34.00000,15.17662,2.24029,5.13877,0.00000,5.00000,1.16368
trump,course,26.00000,12.97468,2.00390,5.07732,0.00000,12.00000,1.00281
war,expands,26.00000,11.42099,2.27651,5.07382,0.00000,13.00000,1.18682
iran,striking,24.00000,10.88511,2.20485,5.07027,0.00000,12.00000,1.14068
files,rep,31.00000,13.56835,2.28473,5.06055,0.00000,7.00000,1.19202
attack,jordan,22.00000,8.21499,2.67803,5.05630,0.00000,7.00000,1.42117
air,missiles,24.00000,9.36692,2.56221,5.02706,0.00000,5.00000,1.35739
israeli,violence,22.00000,8.38385,2.62409,5.00528,0.00000,5.00000,1.39182
epstein,silence,25.00000,10.79148,2.31664,4.94910,0.00000,18.00000,1.21204
ice,city,20.00000,7.64544,2.61594,4.88319,0.00000,10.00000,1.38733
epstein,details,31.00000,14.20359,2.18255,4.84905,0.00000,12.00000,1.12601
attack,panic,36.00000,17.07602,2.10822,4.82084,0.00000,10.00000,1.07603
china,canada,26.00000,11.56752,2.24767,4.80106,0.00000,11.00000,1.16843
epstein,musk,27.00000,11.99508,2.25092,4.76564,0.00000,18.00000,1.17052
drops,melania,22.00000,8.68899,2.53194,4.75681,0.00000,11.00000,1.34024
deal,venezuela,21.00000,8.26299,2.54145,4.74431,0.00001,12.00000,1.34565
america,political,25.00000,10.48861,2.38354,4.72901,0.00001,16.00000,1.25310
maga,kid,24.00000,11.52754,2.08197,4.65759,0.00001,7.00000,1.05795
war,zone,23.00000,9.86534,2.33140,4.60261,0.00001,10.00000,1.22119
keir,labour,20.00000,8.25683,2.42224,4.59416,0.00001,6.00000,1.27634
day,ceasefire,20.00000,7.83661,2.55213,4.59320,0.00001,10.00000,1.35170
ice,erupts,35.00000,17.48924,2.00123,4.53870,0.00001,16.00000,1.00089
ice,defends,27.00000,12.90711,2.09187,4.48960,0.00002,12.00000,1.06479
breaking,federal,21.00000,8.93143,2.35125,4.48001,0.00002,9.00000,1.23343
russia,weapons,23.00000,9.78109,2.35148,4.46016,0.00002,5.00000,1.23357
iran,retired,21.00000,9.64886,2.17642,4.40931,0.00002,6.00000,1.12196
uk,minister,30.00000,14.43886,2.07773,4.39028,0.00003,6.00000,1.05501
ukraine,sea,20.00000,8.31148,2.40631,4.27711,0.00004,6.00000,1.26682
drops,bombs,23.00000,10.12342,2.27196,4.19952,0.00006,5.00000,1.18394
nuclear,threat,27.00000,12.86909,2.09805,4.09177,0.00009,8.00000,1.06905
putin,hell,21.00000,9.35442,2.24493,4.03877,0.00012,5.00000,1.16667
