creator,genre,month,n_titles,n_chars_mean,n_tokens_mean,mean_word_len_mean,n_chars_raw_mean,allcaps_word_share_mean,has_allcaps_word_p100,full_caps_title_p100,cap_token_share_mean,lowercase_start_p100,q_mark_p100,excl_p100,multi_punct_p100,colon_p100,pipe_p100,ellipsis_p100,trailing_ellipsis_p100,quotes_p100,brackets_p100,dash_p100,emoji_count_p100,emoji_p100,digit_p100,dollar_p100,percent_p100,hashtag_p100,at_mention_p100,comma_p100,period_end_p100,year_mention_p100,first_sg_p100,first_pl_p100,second_person_p100,contraction_p100,imperative_p100,q_word_start_p100,wh_any_p100,intensifier_p100,superlative_p100,shock_word_p100,pos_eval_p100,neg_eval_p100,negation_p100,violence_verb_p100,hedge_p100,discourse_marker_p100,nominalisation_p100,n_person_p100,n_org_p100,n_gpe_p100,has_person_p100,entity_first_p100,how_to_p100,explainer_p100,why_marker_p100,curiosity_lex_p100,fwd_ref_start_p100,listicle_p100,reaction_lex_p100,interview_lex_p100,confrontation_lex_p100,lead_colon_label_p100,lead_breaking_p100,lead_live_p100,pipe_segments_raw_mean,colon_segments_raw_mean,brackets_raw_p100,brand_stripped_p100,episode_raw_p100,date_raw_p100,quoted_speech_p100,has_finite_verb_p100,past_tense_p100,present_tense_p100,modal_p100,future_will_p100,det_share_mean,stopword_share_mean,propn_share_mean,noun_share_mean,verb_share_mean,adj_share_mean,adv_share_mean,num_share_mean,vader_neg_mean,vader_pos_mean,vader_compound_mean,formulaic_p100,lane,organisation,clipper
@ABCNews,streams,2026-02,95,57.4,9.23157894736842,4.953715611873506,64.6842105263158,0.2382091008406798,92.63157894736842,0.0,0.6095462724410093,0.0,0.0,0.0,0.0,92.63157894736842,32.631578947368425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2105263157894735,0.0,0.0,0.0,0.0,9.473684210526317,3.1578947368421053,3.1578947368421053,0.0,0.0,8.421052631578947,0.0,1.0526315789473684,0.0,0.0,0.0,0.0,2.1052631578947367,1.0526315789473684,1.0526315789473684,1.0526315789473684,0.0,1.0526315789473684,0.0,46.31578947368421,53.68421052631579,109.47368421052633,36.84210526315789,46.31578947368421,7.368421052631578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.631578947368421,0.0,82.10526315789474,0.0,80.0,1.3263157894736841,0.9263157894736842,0.0,32.631578947368425,0.0,0.0,0.0,92.63157894736842,6.315789473684211,91.57894736842105,0.0,0.0,0.012627898417372102,0.3982142857142857,0.3885341292694234,0.1572829939238608,0.12605010744329628,0.019522718423647216,0.10686782945296877,0.003508771929824561,0.02209473684210526,0.025063157894736846,0.002978947368421054,78.94736842105263,us_legacy_tv,ABC News,False
@ABCNews,streams,2026-03,70,59.214285714285715,9.785714285714286,4.798496780996781,66.6,0.2390674603174603,95.71428571428572,0.0,0.6231675537347806,0.0,0.0,0.0,0.0,94.28571428571428,27.142857142857142,0.0,0.0,1.4285714285714286,0.0,0.0,0.0,0.0,2.857142857142857,0.0,0.0,0.0,0.0,7.142857142857142,2.857142857142857,2.857142857142857,0.0,1.4285714285714286,5.714285714285714,0.0,1.4285714285714286,0.0,0.0,0.0,7.142857142857142,8.571428571428571,0.0,1.4285714285714286,0.0,0.0,1.4285714285714286,0.0,41.42857142857143,40.0,127.14285714285714,47.14285714285714,35.714285714285715,15.714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,1.4285714285714286,17.142857142857142,0.0,74.28571428571429,0.0,71.42857142857143,1.2714285714285714,0.9571428571428572,0.0,34.285714285714285,0.0,0.0,1.4285714285714286,78.57142857142857,1.4285714285714286,78.57142857142857,0.0,0.0,0.013213174240374595,0.3975261444904302,0.4169875485465932,0.14770334320699205,0.0984026908518284,0.03121623529794693,0.08793898561755704,0.0018607442977190873,0.04194285714285714,0.067,0.05537285714285715,75.71428571428571,us_legacy_tv,ABC News,False
@ABCNews,streams,2026-04,73,47.28767123287671,7.863013698630137,4.735779289203947,55.178082191780824,0.2927024839696073,90.41095890410958,0.0,0.6450541087527388,0.0,0.0,0.0,0.0,87.67123287671232,13.698630136986301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.47945205479452,0.0,0.0,0.0,0.0,1.36986301369863,0.0,1.36986301369863,0.0,0.0,0.0,4.10958904109589,4.10958904109589,0.0,2.73972602739726,0.0,1.36986301369863,0.0,0.0,39.726027397260275,27.397260273972602,94.52054794520548,19.17808219178082,23.28767123287671,12.32876712328767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.21917808219178,0.0,72.6027397260274,0.0,71.23287671232876,1.1369863013698631,0.9041095890410958,0.0,39.726027397260275,0.0,0.0,0.0,56.16438356164384,1.36986301369863,56.16438356164384,0.0,0.0,0.020407647684037692,0.43834745923787016,0.43647755682405154,0.13835708342154757,0.07693115036990944,0.02896090390046877,0.10787325307873254,0.0008058017727639,0.029561643835616436,0.015041095890410958,-0.01757945205479452,76.71232876712328,us_legacy_tv,ABC News,False
@ABCNews,streams,2026-05,71,54.36619718309859,8.80281690140845,4.837638691511931,62.140845070422536,0.2880980130980131,90.14084507042254,0.0,0.6899597272836709,0.0,0.0,0.0,0.0,90.14084507042254,40.845070422535215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.633802816901409,0.0,0.0,0.0,0.0,5.633802816901409,1.4084507042253522,4.225352112676056,0.0,0.0,1.4084507042253522,0.0,1.4084507042253522,0.0,0.0,0.0,0.0,4.225352112676056,0.0,0.0,0.0,0.0,0.0,0.0,29.577464788732392,45.07042253521127,130.98591549295776,26.76056338028169,35.2112676056338,11.267605633802818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.042253521126761,0.0,70.4225352112676,0.0,63.38028169014085,1.408450704225352,0.9014084507042254,0.0,40.845070422535215,0.0,0.0,0.0,94.36619718309859,2.8169014084507045,92.95774647887323,0.0,0.0,0.013841029862156622,0.41024695179624754,0.4372316064217473,0.1311317008500107,0.11983487951797811,0.013815370857624378,0.1096296504747209,0.003286384976525822,0.01784507042253521,0.04621126760563381,0.069443661971831,81.69014084507043,us_legacy_tv,ABC News,False
@ABCNews,streams,2026-06,49,40.51020408163265,7.142857142857143,4.313532839043043,52.08163265306123,0.37963080003896327,95.91836734693877,2.0408163265306123,0.8228296080336898,0.0,0.0,0.0,0.0,93.87755102040816,63.26530612244898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.081632653061225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.448979591836736,26.53061224489796,157.14285714285714,2.0408163265306123,24.489795918367346,6.122448979591836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.6734693877551,0.0,83.6734693877551,1.6326530612244898,0.9387755102040817,0.0,63.26530612244898,0.0,0.0,0.0,89.79591836734694,0.0,89.79591836734694,0.0,0.0,0.012620372824454457,0.5190399169991007,0.4687096916688754,0.07287083664634685,0.1185131195335277,0.011054421768707481,0.1730983302411874,0.0017006802721088435,0.0,0.026,0.03166530612244898,91.83673469387756,us_legacy_tv,ABC News,False
@ABCNews,streams,2026-07,50,44.52,7.7,4.456128982128982,55.0,0.3287599067599068,92.0,0.0,0.7995281385281384,0.0,0.0,0.0,0.0,92.0,54.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,8.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,10.0,36.0,138.0,18.0,26.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,64.0,0.0,64.0,1.54,0.92,0.0,56.00000000000001,0.0,0.0,0.0,92.0,6.0,92.0,0.0,0.0,0.005916666666666666,0.47306060606060607,0.46786524586524586,0.07021950271950271,0.13567554667554668,0.01346053946053946,0.141,0.008303030303030303,0.014839999999999999,0.0408,0.03178,78.0,us_legacy_tv,ABC News,False
@ABCNews,streams,2026-08,73,48.50684931506849,8.136986301369863,4.576087040813068,59.45205479452055,0.3132852687647208,90.41095890410958,0.0,0.7646894581826089,0.0,0.0,0.0,0.0,89.04109589041096,53.42465753424658,0.0,0.0,0.0,0.0,1.36986301369863,0.0,0.0,5.47945205479452,0.0,0.0,0.0,0.0,10.95890410958904,0.0,0.0,0.0,0.0,1.36986301369863,0.0,1.36986301369863,0.0,1.36986301369863,0.0,0.0,1.36986301369863,0.0,0.0,0.0,0.0,0.0,0.0,12.32876712328767,42.465753424657535,139.72602739726028,12.32876712328767,36.986301369863014,9.58904109589041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.21917808219178,0.0,64.38356164383562,0.0,64.38356164383562,1.5616438356164384,0.8904109589041096,0.0,56.16438356164384,0.0,0.0,0.0,83.56164383561644,4.10958904109589,83.56164383561644,0.0,0.0,0.007633633489797874,0.4612826290908483,0.4489623350293862,0.08624632397163039,0.12078048023433746,0.014282533136174088,0.1441019786910198,0.004574363992172211,0.028917808219178078,0.021232876712328767,-0.024141095890410958,86.3013698630137,us_legacy_tv,ABC News,False
@ABCNews,streams,2026-09,33,38.878787878787875,6.787878787878788,4.573773448773449,52.54545454545455,0.30892255892255893,63.63636363636363,0.0,0.7694980104071013,3.0303030303030303,0.0,0.0,0.0,69.6969696969697,60.60606060606061,0.0,0.0,3.0303030303030303,0.0,0.0,0.0,0.0,6.0606060606060606,0.0,0.0,0.0,0.0,6.0606060606060606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0606060606060606,3.0303030303030303,0.0,0.0,0.0,0.0,0.0,0.0,9.090909090909092,33.33333333333333,136.36363636363635,6.0606060606060606,30.303030303030305,15.151515151515152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.090909090909092,0.0,60.60606060606061,0.0,60.60606060606061,1.606060606060606,0.696969696969697,0.0,60.60606060606061,0.0,0.0,3.0303030303030303,84.84848484848484,0.0,84.84848484848484,0.0,0.0,0.00202020202020202,0.44237614237614237,0.459944684944685,0.10262145262145261,0.10798460798460797,0.012626262626262626,0.16085858585858587,0.011616161616161615,0.02375757575757576,0.04090909090909091,0.05005151515151515,81.81818181818183,us_legacy_tv,ABC News,False
@ABCNews,videos,2026-01,875,59.476571428571425,9.499428571428572,5.389103329443666,62.139428571428574,0.04060954283811427,21.6,0.1142857142857143,0.3082624676910391,2.1714285714285713,1.9428571428571426,0.0,0.0,14.62857142857143,1.0285714285714285,0.0,0.0,14.399999999999999,0.0,0.5714285714285714,0.0,0.0,14.971428571428572,0.5714285714285714,0.1142857142857143,0.0,0.0,13.714285714285715,0.1142857142857143,3.2,1.1428571428571428,9.142857142857142,3.5428571428571427,2.857142857142857,1.7142857142857144,4.685714285714285,6.9714285714285715,1.4857142857142858,5.942857142857143,10.514285714285714,5.257142857142857,2.057142857142857,3.2,1.2571428571428571,8.228571428571428,0.2285714285714286,29.25714285714286,36.114285714285714,36.22857142857143,57.48571428571429,31.428571428571427,44.91428571428571,1.0285714285714285,1.4857142857142858,0.1142857142857143,0.0,0.4571428571428572,0.0,2.057142857142857,19.314285714285713,0.4571428571428572,1.7142857142857144,0.4571428571428572,0.0,1.0114285714285713,0.17485714285714285,0.0,11.657142857142858,0.0,11.314285714285715,13.942857142857143,61.828571428571436,24.8,52.34285714285715,4.457142857142857,1.9428571428571426,0.02185923882005262,0.236455729891024,0.2538608952843805,0.25406207840024736,0.13171358021800303,0.07921366480588064,0.010444288759547494,0.014955290151884579,0.11613142857142857,0.08286400000000001,-0.07077805714285713,37.371428571428574,us_legacy_tv,ABC News,False
@ABCNews,videos,2026-02,946,60.06976744186046,9.578224101479915,5.403343388573934,62.664904862579284,0.03852754011316379,24.101479915433405,0.0,0.3207443953744165,2.1141649048625792,2.2198731501057085,0.10570824524312897,0.0,13.742071881606766,0.9513742071881607,0.0,0.0,15.433403805496829,0.0,0.42283298097251587,0.0,0.0,13.636363636363635,0.6342494714587738,0.10570824524312897,0.0,0.0,11.20507399577167,0.10570824524312897,1.0570824524312896,0.7399577167019027,6.659619450317125,1.9027484143763214,2.3255813953488373,2.536997885835095,4.334038054968287,6.13107822410148,2.1141649048625792,6.553911205073996,9.090909090909092,4.862579281183932,3.171247357293869,4.0169133192389,2.854122621564482,5.07399577167019,0.21141649048625794,30.76109936575053,43.86892177589852,37.9492600422833,46.19450317124736,39.112050739957716,42.600422832980975,0.42283298097251587,0.7399577167019027,0.3171247357293869,0.21141649048625794,0.10570824524312897,0.0,2.1141649048625792,19.133192389006343,1.3742071881606766,0.9513742071881607,0.0,0.0,1.0095137420718816,0.16279069767441862,0.0,11.416490486257928,0.0,11.416490486257928,15.961945031712474,58.985200845665965,19.23890063424947,51.26849894291755,2.9598308668076108,1.3742071881606766,0.01833908597576998,0.23162445855187494,0.2673305686736265,0.25741431268286874,0.11779048476247428,0.08334624676648941,0.009132648880503625,0.01417818307803188,0.10315116279069768,0.0710507399577167,-0.06756511627906978,33.40380549682875,us_legacy_tv,ABC News,False
