category,scope,creator,title
outrage,corpus,@LukeBeasley,"SHOCK BREAKING: TRUMP S*X BOMBSHELL ERUPTS, PUBLIC MELTDOWN BACKFIRES!"
outrage,corpus,@BlackConservativePerspective,Leftists PANIC As Wife EXPOSES Another HUMILIATING Scandal Against IMPLODING Communist Democrat!
outrage,left,@timesofindia,‘Humiliated’ Trump Fires EXPLOSIVE WARNING To Canada In Extreme Meltdown | ‘NO MORE BENEFITS!’
outrage,left,@LukeBeasley,"SHOCK BREAKING: TRUMP S*X BOMBSHELL ERUPTS, PUBLIC MELTDOWN BACKFIRES!"
outrage,left,@TheMichaelCohenShow,Trump SPIRALS as UNHINGED Attacks THREATENS HIM
outrage,neutral,@TimesNowWorld,KREMLIN EXPLODES AT MEDIA: Peskov Slams BBC & CNN “Objectivity” After Deadly Starobelsk Strike
outrage,neutral,@ANINewsIndia,"Shocking! Iran under dual attack; U.S. & Isreal unleash fury, national emergency declared in Israel"
outrage,neutral,@thejimmydoreshow,Israel Planning FALSE FLAG Attack On Europe – To Blame On Hamas!
outrage,right,@BlackConservativePerspective,Leftists PANIC As Wife EXPOSES Another HUMILIATING Scandal Against IMPLODING Communist Democrat!
outrage,right,@VivaFrei,Canada is DOOMED! So-Called Conservative MP Jamil Jivani is Being EVISCERATED for TELLING THE TRUTH!
outrage,right,@DrSteveTurleyTV,Woke Liberals HUMILIATED as TRANS SHOOTER Kills 10 in Canada!!!
humor,corpus,@TimcastIRL,THIS IS HILARIOUS
humor,corpus,@TimcastNews,THIS IS HILARIOUS
humor,corpus,@TheQuartering,THIS IS HILARIOUS
humor,left,@CNN,Obama jokes Colbert could run for president
humor,left,@MikeFromPA,This Is HILARIOUS!
humor,left,@RebelHQ,"Panel ERUPTS in Laughter Over Pic of GOPer Who Said Dems Have ""Low T"""
humor,neutral,@USATODAY,"Watch Conan O'Brien joke about AI replacement, Harvard lawsuits"
humor,neutral,@hutch,@thesoypill & jstlk discuss my bernie sanders take lol
humor,neutral,@markets,Jon Stewart Jokes About Fed in Surveillance Shout-Out
humor,right,@TimcastIRL,THIS IS HILARIOUS
humor,right,@TimcastNews,THIS IS HILARIOUS
humor,right,@TheQuartering,THIS IS HILARIOUS
