term,n_titles,n_channels,is_phrase,phrase_words
cities,342,71,False,
medical,342,76,False,
member,342,67,False,
ohio,342,56,False,
presser,342,37,False,
rates,342,47,False,
things,342,95,False,
votes,342,80,False,
blast,341,44,False,
bring,340,84,False,
deals,340,54,False,
fail,340,100,False,
talking,340,116,False,
efforts,339,41,False,
reach,339,40,False,
coast,337,38,False,
mind,337,116,False,
holy,336,65,False,
prepares,336,60,False,
shooter,336,71,False,
celebrate,335,51,False,
tribute,335,47,False,
congressional,334,72,False,
facing,334,73,False,
heavy,334,25,False,
pick,334,58,False,
proposal,334,47,False,
bilateral,333,17,False,
body,333,66,False,
dramatic,333,35,False,
oman,333,33,False,
tulsi,333,85,False,
wnba,333,75,False,
won,333,115,False,
ali,332,57,False,
career,332,88,False,
keeps,332,102,False,
palestinian,332,46,False,
patriot,332,46,False,
stock,332,60,False,
protect,331,85,False,
abuse,330,76,False,
better,330,93,False,
expose,330,104,False,
forum,330,44,False,
spencer pratt,330,72,True,spencer|pratt
england,329,30,False,
german,329,43,False,
hails,329,15,False,
joe rogan,329,84,True,joe|rogan
ministry,329,19,False,
month,329,83,False,
asks,328,75,False,
rocks,328,48,False,
secy,328,13,False,
terrifying,328,76,False,
drama,327,76,False,
hollywood,327,93,False,
pulse,327,11,False,
rises,327,43,False,
blames,326,78,False,
doctor,326,78,False,
looms,326,51,False,
mocks,326,52,False,
outrage,326,78,False,
surrender,326,70,False,
capital,325,45,False,
davis,325,59,False,
liberals,325,59,False,
powell,325,52,False,
praises,325,49,False,
senators,325,52,False,
cases,324,52,False,
thing,324,96,False,
captures,323,34,False,
dsa,323,81,False,
hiding,323,97,False,
late,323,73,False,
map,323,64,False,
savannah,323,39,False,
sheriff,323,49,False,
explosions,322,25,False,
housing,322,79,False,
program,322,58,False,
andy burnham,321,31,True,andy|burnham
melts,321,66,False,
movement,321,102,False,
offers,321,51,False,
proof,321,89,False,
tears,321,56,False,
remains,320,41,False,
tour,320,69,False,
billionaire,319,84,False,
deepens,319,32,False,
high-stakes,319,31,False,
financial,318,75,False,
jon,318,84,False,
mojtaba,318,23,False,
paper,318,40,False,
deaths,317,55,False,
farmers,317,48,False,
fetterman,317,66,False,
hillary clinton,317,67,True,hillary|clinton
incident,317,56,False,
islam,317,62,False,
seat,317,70,False,
chicago,316,67,False,
escalate,316,52,False,
flee,316,59,False,
robert,316,70,False,
saying,316,103,False,
western,316,63,False,
el,315,64,False,
hot,315,82,False,
online,315,80,False,
weeks,315,64,False,
crypto,314,68,False,
george,314,94,False,
ken,314,63,False,
plus,314,37,False,
save act,314,64,True,save|act
jesus,313,102,False,
labour,313,30,False,
laura,313,62,False,
mangione,313,46,False,
discusses,312,44,False,
gutfeld,312,10,False,
jail,312,83,False,
numbers,312,76,False,
reality check,312,49,True,reality|check
schools,312,73,False,
smoke,312,40,False,
west bank,312,42,True,west|bank
begin,311,54,False,
dave,311,91,False,
dubai,311,41,False,
jack smith,311,51,True,jack|smith
openai,311,44,False,
retaliation,311,52,False,
boss,310,66,False,
camp,310,58,False,
husband,310,85,False,
marc,310,38,False,
pilot,310,60,False,
jan,309,57,False,
knicks,309,68,False,
months,309,69,False,
passes,309,64,False,
conspiracy,308,110,False,
enforcement,308,53,False,
spy,308,76,False,
suffers,308,51,False,
town,308,78,False,
build,307,67,False,
charge,307,74,False,
send,307,74,False,
shoots,307,69,False,
alliance,306,65,False,
explode,306,64,False,
us-israel,306,25,False,
amendment,305,83,False,
conservative,305,99,False,
democracy,305,82,False,
direct,305,28,False,
games,305,64,False,
meloni,305,17,False,
mental,305,81,False,
professor,305,88,False,
wars,305,110,False,
cover-up,304,79,False,
exchange,304,54,False,
flag,304,75,False,
bell,303,36,False,
data centers,303,87,True,data|centers
dozens,303,31,False,
hope,303,77,False,
kamala,303,73,False,
network,303,79,False,
piers,303,55,False,
radical,303,70,False,
sees,303,56,False,
wall street,303,49,True,wall|street
aide,302,50,False,
calling,302,98,False,
relationship,302,70,False,
took,302,110,False,
kyle,301,57,False,
lives,301,81,False,
ms,301,43,False,
plea,301,48,False,
south korea,301,33,True,south|korea
detained,300,56,False,
die,300,100,False,
harry,300,54,False,
success,300,58,False,
victim,300,81,False,
activist,299,77,False,
north korea,299,46,True,north|korea
reported,299,35,False,
access,298,48,False,
grow,298,53,False,
list,298,89,False,
nba,298,71,False,
revolution,298,92,False,
rule,298,72,False,
bowl,297,84,False,
celebration,297,62,False,
lawmaker,297,37,False,
place,297,67,False,
veteran,297,64,False,
attorney general,296,55,True,attorney|general
billions,296,71,False,
deploys,296,42,False,
fair,296,72,False,
phone,296,97,False,
ryan,296,78,False,
astronauts,295,35,False,
delivers remarks,295,20,True,delivers|remarks
sec,295,46,False,
burns,294,67,False,
busted,294,52,False,
candidates,294,66,False,
cartel,294,66,False,
central,294,31,False,
islamic,294,58,False,
nvidia,294,21,False,
somali,294,70,False,
film,293,59,False,
hall,293,73,False,
intensifies,293,38,False,
lines,293,56,False,
newsmax,293,11,False,
speaker,293,47,False,
tankers,293,48,False,
baby,292,98,False,
climate,292,71,False,
impeachment,292,64,False,
jimmy,292,82,False,
racism,292,78,False,
rate,292,45,False,
sources,292,29,False,
activists,291,73,False,
destiny,291,40,False,
evil,291,108,False,
higher,291,51,False,
kent,291,72,False,
sex,291,76,False,
philippines,290,21,False,
boost,289,36,False,
daughter,289,68,False,
diplomacy,289,38,False,
empire,289,92,False,
house correspondents,289,51,True,house|correspondents
largest,289,65,False,
person,289,89,False,
round,289,49,False,
company,288,67,False,
disturbing,288,75,False,
renee,288,74,False,
complete,287,82,False,
ipo,287,36,False,
olympics,287,60,False,
turned,287,95,False,
winter storm,287,33,True,winter|storm
challenge,286,56,False,
mn,286,49,False,
survivor,286,48,False,
destruction,285,65,False,
posobiec,285,16,False,
ted,285,67,False,
terrified,285,71,False,
bus,284,62,False,
expands,284,45,False,
hub,284,29,False,
tell,284,101,False,
university,284,58,False,
welcomes,284,29,False,
beat,283,92,False,
bizarre,283,65,False,
double,283,67,False,
healthcare,283,68,False,
port,283,29,False,
resign,283,63,False,
savannah guthrie,283,33,True,savannah|guthrie
board of peace,282,47,True,board|peace
citizens,282,63,False,
lot,282,51,False,
republic,282,39,False,
youth,282,49,False,
jake,281,61,False,
schumer,281,56,False,
wilson,281,70,False,
banned,280,109,False,
confirmation,280,41,False,
consequences,280,70,False,
deputy,280,40,False,
photo,280,54,False,
yemen,280,32,False,
approval,279,69,False,
companies,279,62,False,
death toll,279,37,True,death|toll
piers morgan,279,55,True,piers|morgan
remain,279,32,False,
san,279,55,False,
football,278,51,False,
guy,278,77,False,
honor,278,43,False,
leaving,278,88,False,
likely,278,46,False,
oh,278,58,False,
steps,278,50,False,
warships,278,29,False,
jewish,277,69,False,
leftist,277,76,False,
rain,277,42,False,
beach,276,51,False,
cover,276,81,False,
apple,275,43,False,
comey,275,63,False,
flags,274,52,False,
mps,274,13,False,
names,274,62,False,
participates,274,18,False,
plant,274,44,False,
promises,274,71,False,
reportedly,274,34,False,
age,273,84,False,
alive,273,77,False,
confronts,273,70,False,
humiliation,273,51,False,
regime change,273,73,True,regime|change
celebrations,272,30,False,
detention,272,53,False,
syria,272,37,False,
festival,271,40,False,
narrative,271,83,False,
palestinians,271,42,False,
patrol,271,58,False,
propaganda,271,106,False,
rages,271,65,False,
snaps,271,44,False,
trap,271,92,False,
khanna,270,67,False,
proves,270,86,False,
region,270,34,False,
rocket,270,31,False,
rutte,270,19,False,
super bowl,270,80,True,super|bowl
vice,270,33,False,
crockett,269,71,False,
fighters,269,32,False,
forever,269,95,False,
mitch,269,69,False,
staff,269,66,False,
ben shapiro,268,60,True,ben|shapiro
brings,268,63,False,
county,268,44,False,
emotional,268,55,False,
ending,268,75,False,
flames,268,31,False,
kushner,268,65,False,
scene,268,48,False,
tulsi gabbard,268,74,True,tulsi|gabbard
fed chair,267,40,True,fed|chair
palestine,267,69,False,
prof,267,34,False,
step,267,58,False,
blocked,266,68,False,
honors,266,31,False,
mystery,266,57,False,
thinks,266,102,False,
witness,266,48,False,
birthday,265,64,False,
denmark,265,38,False,
modern,265,81,False,
offer,265,51,False,
quits,265,74,False,
tom homan,265,53,True,tom|homan
verdict,265,64,False,
watters,265,26,False,
airlines,264,48,False,
chip,264,30,False,
edge,264,42,False,
education,264,56,False,
kremlin,264,17,False,
larry,264,55,False,
shots,264,63,False,
stupid,264,84,False,
clear,263,53,False,
fast,263,77,False,
flash,263,26,False,
local,263,54,False,
op,263,29,False,
touts,263,29,False,
centre,262,12,False,
horror,262,58,False,
ii crew,262,28,True,ii|crew
insider,262,82,False,
ministers,262,17,False,
muslims,262,48,False,
primaries,262,52,False,
sneako,262,22,False,
urgent,262,42,False,
dream,261,64,False,
levin,261,38,False,
markwayne,261,39,False,
raise,261,56,False,
whistleblower,261,80,False,
debt,260,70,False,
living,260,72,False,
absolutely,259,71,False,
captured,259,63,False,
hands,259,71,False,
road,259,58,False,
taken,259,69,False,
accidentally,258,64,False,
bernie,258,78,False,
dolly,258,68,False,
embarrassing,258,75,False,
ram,258,14,False,
secrets,258,71,False,
silent,258,72,False,
warn,258,56,False,
departs,257,14,False,
earnings,257,15,False,
joe kent,257,66,True,joe|kent
records,257,68,False,
roundtable,257,26,False,
york city,257,41,True,york|city
bahrain,256,24,False,
bans,256,79,False,
cops,256,68,False,
events,256,44,False,
grilled,256,52,False,
indictment,256,62,False,
linked,256,44,False,
nukes,256,63,False,
reporters,256,51,False,
south carolina,256,40,True,south|carolina
actor,255,46,False,
card,255,74,False,
indonesia,255,16,False,
music,255,67,False,
parton,255,65,False,
socialism,255,72,False,
storms,255,54,False,
fights,254,73,False,
fox host,254,24,True,fox|host
pride,254,69,False,
stephen miller,254,57,True,stephen|miller
try,254,88,False,
acting,253,49,False,
dhs funding,253,31,True,dhs|funding
lake,253,53,False,
remark,253,18,False,
terrorism,253,69,False,
voice,253,46,False,
alex jones,252,62,True,alex|jones
appears,252,50,False,
iii,252,37,False,
rage,252,77,False,
secret service,252,56,True,secret|service
tate,252,79,False,
arab,251,31,False,
broke,251,109,False,
epic fury,251,36,True,epic|fury
farage,251,32,False,
islamabad,251,23,False,
markwayne mullin,251,36,True,markwayne|mullin
raids,251,63,False,
renee good,251,67,True,renee|good
retired,251,29,False,
sick,251,88,False,
standoff,251,34,False,
loose,250,35,False,
nuke,250,58,False,
pass,250,66,False,
treasury,250,45,False,
truce,250,22,False,
congo,249,23,False,
declaration,249,27,False,
flights,249,33,False,
stein,249,13,False,
buy,248,69,False,
combat,248,37,False,
debates,248,61,False,
hunter,248,82,False,
luigi,248,49,False,
progress,248,34,False,
replace,248,68,False,
suddenly,248,61,False,
warship,248,27,False,
terrorist,247,65,False,
tpusa,247,62,False,
wedding,247,59,False,
breaks silence,246,52,True,breaks|silence
destroying,246,108,False,
kimmel,246,69,False,
max,246,63,False,
real reason,246,89,True,real|reason
scrambles,246,46,False,
built,245,72,False,
era,245,82,False,
girls,245,71,False,
mean,245,66,False,
sues,245,64,False,
van,245,62,False,
visa,245,39,False,
boat,244,47,False,
ceuta,244,34,False,
friends,244,79,False,
level,244,53,False,
ongoing,244,38,False,
reaches,244,50,False,
rich,244,93,False,
station,244,40,False,
wanted,244,83,False,
disastrous,243,51,False,
embassy,243,33,False,
falling,243,92,False,
stories,243,68,False,
trigger,243,54,False,
vaccine,243,55,False,
zero,243,64,False,
affordability,242,49,False,
casualties,242,36,False,
expect,242,61,False,
investors,242,39,False,
medal,242,42,False,
natalie,242,49,False,
nationwide,242,48,False,
poland,242,37,False,
soldier,242,57,False,
extreme,241,53,False,
heatwave,241,21,False,
infrastructure,241,50,False,
temple,241,27,False,
agree,240,54,False,
border patrol,240,55,True,border|patrol
dolly parton,240,65,True,dolly|parton
mideast,240,20,False,
nfl,240,61,False,
oath,240,45,False,
robot,240,45,False,
whcd,240,57,False,
bibi,239,37,False,
bond,239,41,False,
deposition,239,50,False,
draws,239,31,False,
failing,239,83,False,
fifth,239,56,False,
happen,239,77,False,
marks,239,29,False,
myron,239,14,False,
projects,239,33,False,
sanders,239,66,False,
seizes,239,51,False,
weather,239,43,False,
bunny,238,87,False,
driver,238,53,False,
lady,238,53,False,
nomination,238,34,False,
oversight,238,34,False,
patrick,238,60,False,
polling,238,55,False,
red sea,238,30,True,red|sea
stunt,238,68,False,
falls apart,237,49,True,falls|apart
looking,237,58,False,
norway,237,22,False,
review,237,60,False,
shadow,237,49,False,
shipping,237,33,False,
brics summit,236,10,True,brics|summit
carl,236,12,False,
exposing,236,95,False,
hand,236,66,False,
karen,236,63,False,
maduro capture,236,38,True,maduro|capture
nd,236,43,False,
spirals,236,48,False,
admission,235,50,False,
begs,235,65,False,
bombed,235,48,False,
miami,235,56,False,
scared,235,78,False,
confirmed,234,50,False,
fleet,234,30,False,
hopes,234,39,False,
joke,234,93,False,
tiktok,234,80,False,
col,233,30,False,
commander,233,44,False,
driving,233,70,False,
including,233,35,False,
kings,233,73,False,
mitch mcconnell,233,63,True,mitch|mcconnell
ayatollah,232,55,False,
hypocrisy,232,67,False,
images,232,40,False,
immediately,232,72,False,
influence,232,57,False,
luigi mangione,232,43,True,luigi|mangione
ro,232,67,False,
traffic,232,41,False,
uranium,232,37,False,
club,231,65,False,
contempt,231,52,False,
democratic party,231,62,True,democratic|party
girl,231,81,False,
golden,231,67,False,
hour,231,62,False,
ireland,231,44,False,
mosque,231,54,False,
prosecutor,231,50,False,
shield,231,38,False,
switzerland,231,34,False,
accountability,230,57,False,
african,230,45,False,
airports,230,63,False,
burn,230,59,False,
cruz,230,58,False,
data center,230,65,True,data|center
longer,230,82,False,
mark carney,230,29,True,mark|carney
rant,230,79,False,
receives,230,35,False,
sent,230,75,False,
surveillance,230,69,False,
united states,230,57,True,united|states
admit,229,79,False,
aliens,229,63,False,
amazon,229,49,False,
aren't,229,84,False,
authorities,229,37,False,
conditions,229,39,False,
idea,229,81,False,
investment,229,39,False,
olympic,229,53,False,
oval,229,47,False,
throws,229,59,False,
tragedy,229,60,False,
vessel,229,27,False,
worth,229,63,False,
bad bunny,228,83,True,bad|bunny
bar,228,54,False,
cameras,228,68,False,
communist,228,66,False,
drive,228,49,False,
jersey,228,51,False,
socialists,228,61,False,
attacking,227,80,False,
backfire,227,68,False,
crushed,227,62,False,
imminent,227,67,False,
ken paxton,227,45,True,ken|paxton
presidency,227,71,False,
sales,227,39,False,
small,227,55,False,
jesse jackson,226,46,True,jesse|jackson
mike johnson,226,44,True,mike|johnson
ro khanna,226,63,True,ro|khanna
thailand,226,20,False,
walk,226,70,False,
allegedly,225,39,False,
class,225,91,False,
conversation,225,76,False,
helping,225,62,False,
hero,225,71,False,
knows,225,82,False,
later,225,69,False,
rocked,225,41,False,
shirley,225,75,False,
threaten,225,59,False,
afghanistan,224,41,False,
disgusting,224,81,False,
fix,224,80,False,
pastor,224,74,False,
sounds alarm,224,38,True,sounds|alarm
th anniversary,224,45,True,th|anniversary
bridge,223,49,False,
gates,223,63,False,
humiliating,223,55,False,
important,223,69,False,
trillion,223,59,False,
berlin,222,27,False,
breaks loose,222,18,True,breaks|loose
closed,222,60,False,
diego,222,45,False,
documents,222,60,False,
enemy,222,67,False,
id,222,60,False,
pays,222,47,False,
severe,222,31,False,
suspected,222,34,False,
warfare,222,63,False,
actions,221,54,False,
blame,221,86,False,
jack posobiec,221,14,True,jack|posobiec
playing,221,74,False,
uses,221,77,False,
blood,220,68,False,
jerusalem,220,31,False,
kennedy center,220,45,True,kennedy|center
lands,220,32,False,
pulls,220,61,False,
brain,219,84,False,
brazil,219,30,False,
earthquakes,219,32,False,
escape,219,70,False,
lied,219,99,False,
tests,219,43,False,
angry,218,64,False,
cause,218,71,False,
development,218,33,False,
hell breaks,218,17,True,hell|breaks
hide,218,80,False,
nick shirley,218,72,True,nick|shirley
plane crash,218,31,True,plane|crash
quit,218,65,False,
regional,218,32,False,
sexual,218,45,False,
colbert,217,69,False,
deportation,217,58,False,
fuentes,217,56,False,
nears,217,38,False,
note,217,47,False,
path,217,55,False,
rush,217,50,False,
share,217,49,False,
sotu,217,66,False,
struck,217,53,False,
zone,217,38,False,
confronted,216,71,False,
lays,216,45,False,
reserve,216,44,False,
route,216,25,False,
visibly,216,18,False,
credit,215,52,False,
feared,215,42,False,
foreign ministry,215,13,True,foreign|ministry
immigrants,215,67,False,
losses,215,50,False,
scott bessent,215,42,True,scott|bessent
araghchi,214,10,False,
billionaires,214,76,False,
henry,214,47,False,
moving,214,61,False,
players,214,54,False,
royal,214,42,False,
sale,214,43,False,
broken,213,93,False,
chancellor,213,23,False,
condemns,213,34,False,
disappearance,213,27,False,
kenya,213,17,False,
lawrence,213,23,False,
lee,213,67,False,
lower,213,43,False,
nyt,213,56,False,
oval office,213,47,True,oval|office
rescued,213,39,False,
cold,212,56,False,
google,212,57,False,
hunt,212,47,False,
landmark,212,35,False,
overnight,212,38,False,
we've,212,66,False,
catastrophic,211,53,False,
centcom,211,26,False,
collapsing,211,86,False,
describes,211,37,False,
dog,211,74,False,
indians,211,14,False,
los,211,47,False,
planned,211,51,False,
snow,211,37,False,
soccer,211,42,False,
struggle,211,54,False,
buying,210,77,False,
implodes,210,45,False,
journalists,210,74,False,
little,210,70,False,
marjorie,210,49,False,
phase,210,48,False,
seek,210,36,False,
weekly,210,18,False,
wisconsin,210,55,False,
accounts,209,53,False,
chairman,209,30,False,
controversial,209,65,False,
hakeem,209,58,False,
james talarico,209,63,True,james|talarico
kevin warsh,209,32,True,kevin|warsh
mode,209,65,False,
options,209,39,False,
pushing,209,60,False,
queen,209,49,False,
sean,209,57,False,
season,209,48,False,
aftermath,208,48,False,
annual,208,28,False,
cruise ship,208,32,True,cruise|ship
friend,208,71,False,
riots,208,59,False,
square,208,41,False,
angeles,207,43,False,
having,207,78,False,
prove,207,72,False,
scientists,207,55,False,
bigger,206,67,False,
cargo,206,30,False,
flooding,206,27,False,
interviews,206,60,False,
birth,205,48,False,
corrupt,205,72,False,
judges,205,46,False,
led,205,48,False,
preparing,205,59,False,
settlement,205,53,False,
sir,205,21,False,
suicide,205,47,False,
summer,205,52,False,
awards,204,42,False,
barrage,204,20,False,
cuban,204,66,False,
saw,204,77,False,
airstrikes,203,23,False,
arctic,203,36,False,
happy,203,76,False,
helicopter,203,42,False,
insight,203,13,False,
los angeles,203,43,True,los|angeles
single,203,70,False,
ballot,202,53,False,
battleground,202,19,False,
changing,202,68,False,
decline,202,63,False,
died,202,63,False,
slam,202,50,False,
thomas massie,202,62,True,thomas|massie
allen,201,41,False,
clip,201,62,False,
matter,201,80,False,
advisor,200,56,False,
cash,200,59,False,
flock,200,68,False,
officially,200,68,False,
arizona,199,44,False,
bold,199,34,False,
enter,199,39,False,
gains,199,41,False,
grab,199,61,False,
joy,199,64,False,
kharg,199,39,False,
maxwell,199,61,False,
prediction,199,68,False,
rand,199,47,False,
squad,199,28,False,
sudan,199,23,False,
appeal,198,47,False,
hilton,198,58,False,
influencer,198,80,False,
machine,198,69,False,
met,198,65,False,
nominee,198,53,False,
redacted,198,19,False,
secure,198,46,False,
crucial,197,33,False,
feel,197,63,False,
light,197,60,False,
mou,197,41,False,
movie,197,73,False,
straight,197,73,False,
threatening,197,67,False,
aipac,196,51,False,
brussels,196,13,False,
chance,196,60,False,
defending,196,83,False,
deportations,196,61,False,
jason,196,57,False,
martin,196,61,False,
paid,196,76,False,
pirro,196,41,False,
telling,196,90,False,
tough,196,47,False,
words,196,58,False,
wrap,196,16,False,
audio,195,68,False,
ballots,195,53,False,
critics,195,73,False,
dropped,195,79,False,
hakeem jeffries,195,55,True,hakeem|jeffries
hockey,195,56,False,
labor,195,54,False,
nyc mayor,195,40,True,nyc|mayor
points,195,61,False,
spirit,195,56,False,
table,195,41,False,
trading,195,63,False,
cancels,194,50,False,
false,194,77,False,
homeland,194,42,False,
justice department,194,29,True,justice|department
anymore,193,84,False,
cracks,193,56,False,
diplomatic,193,28,False,
documentary,193,69,False,
eric swalwell,193,59,True,eric|swalwell
foreign policy,193,53,True,foreign|policy
iran-us,193,17,False,
khan,193,27,False,
knew,193,76,False,
leftists,193,55,False,
mount,193,33,False,
ransom,193,29,False,
red line,193,43,True,red|line
robby,193,13,False,
shortage,193,46,False,
steal,193,82,False,
cars,192,44,False,
cornyn,192,39,False,
dialogue,192,16,False,
downed,192,37,False,
lt,192,34,False,
matters,192,57,False,
planning,192,56,False,
prosecutors,192,45,False,
rand paul,192,46,True,rand|paul
rift,192,33,False,
scrutiny,192,36,False,
collins,191,57,False,
door,191,55,False,
escalating,191,44,False,
founder,191,49,False,
hamas,191,51,False,
hunter biden,191,71,True,hunter|biden
i've,191,72,False,
jared,191,71,False,
nigeria,191,28,False,
pray,191,25,False,
removed,191,64,False,
ruins,191,36,False,
sentenced,191,43,False,
ap,190,16,False,
arguments,190,42,False,
blitz,190,14,False,
freaks,190,50,False,
groups,190,53,False,
gunman,190,34,False,
kicks,190,49,False,
link,190,41,False,
model,190,55,False,
relief,190,36,False,
ron,190,45,False,
stolen,190,77,False,
anger,189,38,False,
defies,189,43,False,
ebola outbreak,189,32,True,ebola|outbreak
gave,189,79,False,
israelis,189,41,False,
marine,189,51,False,
reject,189,60,False,
started,189,88,False,
starts,189,78,False,
ted cruz,189,50,True,ted|cruz
weak,189,61,False,
alarming,188,35,False,
conservatives,188,71,False,
egypt,188,35,False,
indiana,188,47,False,
kamala harris,188,58,True,kamala|harris
nick fuentes,188,52,True,nick|fuentes
tiger,188,32,False,
tupac,188,28,False,
ad,187,68,False,
evacuated,187,29,False,
federal agents,187,38,True,federal|agents
female,187,67,False,
genocide,187,58,False,
mtg,187,52,False,
northern,187,26,False,
refinery,187,18,False,
splc,187,56,False,
stars,187,50,False,
cabinet meeting,186,37,True,cabinet|meeting
comment,186,59,False,
drills,186,24,False,
emerge,186,46,False,
halftime,186,76,False,
immigrant,186,56,False,
involved,186,44,False,
mojtaba khamenei,186,20,True,mojtaba|khamenei
scare,186,67,False,
seize,186,51,False,
sending,186,58,False,
sense,186,66,False,
alien,185,62,False,
boy,185,70,False,
command,185,28,False,
criticism,185,53,False,
jasmine,185,61,False,
park,185,52,False,
respond,185,59,False,
stopped,185,85,False,
timeline,185,51,False,
abc,184,43,False,
af,184,23,False,
cancel,184,87,False,
capitol hill,184,36,True,capitol|hill
custody,184,38,False,
deliver,184,39,False,
deployed,184,44,False,
effort,184,37,False,
frontline,184,18,False,
fuels,184,34,False,
planet,184,26,False,
prince andrew,184,60,True,prince|andrew
resort,184,34,False,
synagogue,184,33,False,
unity,184,41,False,
argument,183,66,False,
bernie sanders,183,54,True,bernie|sanders
flip,183,61,False,
insurrection,183,70,False,
jong,183,29,False,
mail-in,183,55,False,
sachs,183,28,False,
stranded,183,40,False,
teams,183,41,False,
walks,183,70,False,
addiction,182,50,False,
carpet,182,29,False,
closes,182,46,False,
greatest,182,72,False,
heard,182,64,False,
holding,182,51,False,
operation epic,182,32,True,operation|epic
prepare,182,58,False,
protester,182,57,False,
reopen,182,32,False,
territory,182,34,False,
unrest,182,33,False,
domestic,181,53,False,
funds,181,51,False,
josh,181,70,False,
louisiana,181,44,False,
remove,181,54,False,
slush,181,47,False,
survive,181,70,False,
terrible,181,75,False,
voting rights,181,53,True,voting|rights
caracas,180,21,False,
cenk,180,43,False,
ford,180,47,False,
forward,180,52,False,
guest,180,61,False,
heading,180,52,False,
hong,180,55,False,
kim jong,180,28,True,kim|jong
kulinski,180,20,False,
leading,180,61,False,
truck,180,50,False,
weigh,180,29,False,
announce,179,42,False,
athletes,179,56,False,
boycott,179,51,False,
fan,179,51,False,
hammer,179,62,False,
hurt,179,47,False,
investigating,179,51,False,
kharg island,179,38,True,kharg|island
kid,179,64,False,
moon mission,179,25,True,moon|mission
ossoff,179,48,False,
shocker,179,27,False,
slush fund,179,47,True,slush|fund
spark,179,44,False,
spread,179,55,False,
sudden,179,51,False,
ugly,179,70,False,
ask,178,59,False,
breakdown,178,75,False,
crushes,178,52,False,
fighter jet,178,42,True,fighter|jet
kyle kulinski,178,20,True,kyle|kulinski
mark levin,178,29,True,mark|levin
personal,178,64,False,
rhetoric,178,44,False,
security council,178,17,True,security|council
signing,178,31,False,
takaichi,178,17,False,
came,177,78,False,
citizen,177,77,False,
cries,177,56,False,
fireworks,177,33,False,
hostage,177,54,False,
hotel,177,42,False,
matthew,177,33,False,
nypd,177,32,False,
passengers,177,30,False,
pull,177,63,False,
sinks,177,34,False,
brother,176,55,False,
choice,176,54,False,
easter,176,66,False,
establishment,176,63,False,
fallen,176,58,False,
giving,176,73,False,
halt,176,30,False,
leo xiv,176,22,True,leo|xiv
messi,176,23,False,
terms,176,34,False,
theory,176,84,False,
track,176,48,False,
transgender,176,53,False,
xiv,176,22,False,
danger,175,67,False,
deployment,175,42,False,
district,175,51,False,
feud,175,42,False,
firefighters,175,30,False,
information,175,50,False,
majority,175,56,False,
mexican,175,46,False,
predicts,175,54,False,
resolution,175,36,False,
ufo files,175,41,True,ufo|files
ended,174,72,False,
executive order,174,42,True,executive|order
jasmine crockett,174,60,True,jasmine|crockett
lutnick,174,48,False,
mega,174,31,False,
notice,174,51,False,
rails,174,52,False,
river,174,28,False,
runoff,174,29,False,
shields,174,20,False,
trump-xi,174,22,False,
advice,173,76,False,
assassination attempt,173,72,True,assassination|attempt
breakthrough,173,39,False,
doubles,173,57,False,
economic forum,173,32,True,economic|forum
government shutdown,173,38,True,government|shutdown
letter,173,61,False,
magnitude,173,18,False,
mistrial,173,45,False,
san diego,173,40,True,san|diego
sound,173,58,False,
supporter,173,46,False,
treatment,173,48,False,
uss lincoln,173,34,True,uss|lincoln
warned,173,66,False,
airspace,172,32,False,
blown,172,45,False,
ca,172,49,False,
hike,172,27,False,
partial,172,24,False,
player,172,52,False,
shoot,172,45,False,
shootings,172,48,False,
avoid,171,62,False,
cop,171,58,False,
flips,171,58,False,
friday,171,45,False,
ghislaine,171,54,False,
jeff,171,63,False,
law enforcement,171,39,True,law|enforcement
stands,171,53,False,
technology,171,42,False,
tourism,171,39,False,
greene,170,51,False,
hints,170,36,False,
lawyers,170,59,False,
pause,170,36,False,
refuse,170,64,False,
slammed,170,37,False,
stops,170,68,False,
tactics,170,58,False,
bodycam,169,47,False,
construction,169,40,False,
cooperation,169,25,False,
hates,169,90,False,
kentucky,169,47,False,
laws,169,66,False,
marriage,169,66,False,
oz,169,40,False,
resume,169,30,False,
approves,168,36,False,
assets,168,33,False,
clintons,168,52,False,
coalition,168,44,False,
dna,168,38,False,
feds,168,65,False,
giant,168,47,False,
journey,168,36,False,
korean,168,33,False,
mob,168,50,False,
ontario,168,38,False,
orban,168,31,False,
paying,168,76,False,
satellite,168,20,False,
stabbing,168,41,False,
castro,167,42,False,
deranged,167,49,False,
facts,167,62,False,
horrific,167,60,False,
indicted,167,59,False,
japanese,167,31,False,
minute,167,39,False,
number,167,56,False,
prayer,167,47,False,
secretly,167,66,False,
arsenal,166,30,False,
austin,166,64,False,
battles,166,44,False,
civilians,166,35,False,
ck,166,41,False,
federal reserve,166,39,True,federal|reserve
heart,166,49,False,
january,166,43,False,
mess,166,59,False,
rebel,166,21,False,
scenes,166,49,False,
training,166,45,False,
von,166,33,False,
bolton,165,41,False,
crumbles,165,41,False,
dispute,165,35,False,
dumb,165,63,False,
fragile,165,33,False,
ingraham,165,14,False,
intensify,165,32,False,
promise,165,60,False,
residence,165,20,False,
rick,165,52,False,
ring,165,53,False,
siege,165,37,False,
tourists,165,31,False,
vessels,165,22,False,
warnings,165,46,False,
brink,164,62,False,
drugs,164,56,False,
finals,164,47,False,
intense,164,39,False,
netflix,164,45,False,
request,164,42,False,
rnc,164,45,False,
southern lebanon,164,21,True,southern|lebanon
