term,n_titles,n_channels,is_phrase,phrase_words
reason,501,132,False,
internet,500,112,False,
young,500,122,False,
ballroom,499,75,False,
dies,499,72,False,
soldiers,499,78,False,
human,498,89,False,
wake,498,57,False,
called,497,119,False,
attends,496,27,False,
statement,496,61,False,
anniversary,495,65,False,
jordan,495,81,False,
sh,495,63,False,
socialist,495,94,False,
french,494,48,False,
cut,493,93,False,
gas prices,493,75,True,gas|prices
ilhan,493,87,False,
doing,492,119,False,
leadership,489,74,False,
poll,489,78,False,
completely,488,103,False,
iraq,488,56,False,
destroy,487,132,False,
memorial,487,66,False,
deadline,486,58,False,
muslim,486,67,False,
price,485,79,False,
ufo,485,68,False,
far,483,124,False,
st,482,75,False,
stunned,482,55,False,
devastating,481,76,False,
journalist,481,106,False,
refuses,481,102,False,
southern,480,65,False,
weighs,480,53,False,
went,480,132,False,
wh,480,50,False,
stunning,479,65,False,
accuses,478,53,False,
ilhan omar,478,87,True,ilhan|omar
attacked,477,102,False,
king charles,477,58,True,king|charles
zohran mamdani,476,88,True,zohran|mamdani
lie,474,139,False,
nolan,474,56,False,
defeat,472,93,False,
lying,472,129,False,
paul,472,92,False,
showdown,472,63,False,
updates,472,65,False,
analysis,471,53,False,
child,471,103,False,
church,471,97,False,
fear,471,110,False,
meta,471,57,False,
sky,471,34,False,
civil,470,118,False,
failed,469,120,False,
jeffrey,469,85,False,
ebola,468,41,False,
check,467,83,False,
survivors,467,57,False,
seen,466,85,False,
abdul,465,96,False,
fm,465,14,False,
heated,464,77,False,
takeover,464,111,False,
turkey,464,53,False,
anti-ice,463,76,False,
shocks,463,63,False,
karmelo,462,74,False,
analyst,461,47,False,
block,461,72,False,
covid,461,81,False,
returns,461,78,False,
shuts,461,86,False,
turning,461,126,False,
assault,460,76,False,
early,459,57,False,
kennedy,459,71,False,
panel,458,78,False,
wild,458,104,False,
guard,457,69,False,
rfk jr,457,85,True,rfk|jr
epic,456,81,False,
fighter,456,69,False,
project,456,88,False,
tanker,456,53,False,
graham platner,455,101,True,graham|platner
potential,454,53,False,
presidential,454,79,False,
shut,454,108,False,
powerful,453,69,False,
briefs,452,18,False,
heat,452,58,False,
mom,452,86,False,
soon,452,70,False,
corruption,451,101,False,
united,451,80,False,
aid,450,57,False,
desperate,450,100,False,
mullin,450,47,False,
god,449,103,False,
jones,449,103,False,
long,449,91,False,
jinping,448,37,False,
comes,447,117,False,
didn't,447,123,False,
targeted,447,73,False,
european,446,53,False,
jackson,446,79,False,
join,446,71,False,
mistake,446,106,False,
crowd,445,69,False,
teen,445,76,False,
wildfires,445,40,False,
birthright citizenship,444,94,True,birthright|citizenship
fiery,444,41,False,
kevin,444,73,False,
love,444,123,False,
alex pretti,441,91,True,alex|pretti
visits,441,44,False,
press briefing,440,30,True,press|briefing
correspondents,439,61,False,
july,439,80,False,
trip,439,93,False,
fallout,438,84,False,
maine,438,71,False,
talarico,438,89,False,
growing,437,75,False,
head,437,92,False,
idf,437,51,False,
qatar,437,41,False,
role,437,58,False,
hantavirus,436,71,False,
hundreds,436,57,False,
houthis,435,38,False,
humiliates,435,66,False,
iranians,435,64,False,
issue,435,72,False,
revolt,435,69,False,
wells,434,38,False,
assembly,433,15,False,
hate,433,133,False,
mp,433,34,False,
opposition,433,46,False,
term,433,70,False,
xi jinping,433,37,True,xi|jinping
london,432,46,False,
massie,432,82,False,
tries,432,102,False,
tyler robinson,431,61,True,tyler|robinson
grand,430,57,False,
parade,430,46,False,
supporters,430,85,False,
warsh,430,33,False,
surprise,429,82,False,
cbs,428,74,False,
father,428,82,False,
stuns,428,52,False,
coverage,427,63,False,
focus,427,47,False,
piker,427,108,False,
crazy,426,121,False,
swalwell,426,75,False,
leaks,425,62,False,
scam,425,119,False,
raises,423,64,False,
weekend,423,62,False,
raid,422,78,False,
costs,421,58,False,
jets,421,39,False,
sunday,421,47,False,
violent,421,80,False,
wildfire,421,33,False,
signals,420,54,False,
super,420,105,False,
streets,419,54,False,
karmelo anthony,418,72,True,karmelo|anthony
toll,417,46,False,
welcome,417,56,False,
adam,416,98,False,
blue,416,98,False,
committee,416,50,False,
highlights,416,44,False,
reflecting,416,72,False,
correspondents dinner,415,60,True,correspondents|dinner
rips,415,56,False,
stand,415,96,False,
start,415,89,False,
gavin,414,106,False,
posts,414,80,False,
andy,413,55,False,
sounds,413,62,False,
attempt,412,104,False,
comments,412,73,False,
past,412,79,False,
session,412,30,False,
eyes,411,64,False,
multiple,411,62,False,
nolan wells,411,32,True,nolan|wells
capitol,410,59,False,
hasan piker,410,106,True,hasan|piker
view,410,85,False,
answer,409,96,False,
nearly,409,71,False,
need to know,409,48,True,need|know
trans,408,94,False,
charged,407,64,False,
megyn,407,59,False,
low,406,85,False,
rogan,406,93,False,
safety,406,54,False,
used,405,93,False,
clashes,404,46,False,
earth,404,76,False,
hillary,404,84,False,
lead,402,78,False,
legacy,402,86,False,
mcconnell,402,72,False,
redistricting,401,60,False,
reflecting pool,401,66,True,reflecting|pool
situation,401,91,False,
winning,401,113,False,
jim,400,80,False,
leads,399,61,False,
seeks,398,39,False,
ambassador,397,52,False,
answers,397,73,False,
true,397,118,False,
blocks,396,65,False,
critical,396,71,False,
