creator,lane,n_titles,score_shuffled,score_pass1,change,side_shuffled,side_pass1
@RealAlexClark,right_commentary,50,0.16,0.14,0.01999999999999999,right,right
@POLITICO,us_press_print_digital,50,-0.04,-0.06,0.019999999999999997,neither / unclear,left
@NBCNews,us_legacy_tv,50,-0.04,-0.06,0.019999999999999997,neither / unclear,left
@ZeihanonGeopolitics,explainer_geopolitics,50,0.02,0.0,0.02,neither / unclear,neither / unclear
@LIVESNEAKO,streamer_reaction,50,-0.02,-0.04,0.02,neither / unclear,neither / unclear
@wsj,us_press_print_digital,50,0.0,-0.02,0.02,neither / unclear,neither / unclear
@CoreyGilShusterAskProject,explainer_geopolitics,50,0.02,0.0,0.02,neither / unclear,neither / unclear
@Semafor,us_press_print_digital,50,0.02,0.0,0.02,neither / unclear,neither / unclear
@aljazeeraenglish,wire_international,50,-0.06,-0.08,0.020000000000000004,left,left
@FoxNews,us_legacy_tv,50,0.38,0.36,0.020000000000000018,right,right
@dollemore,left_commentary,50,-0.84,-0.86,0.020000000000000018,left,left
@DropSiteNews,independent_digital_news,50,-0.38,-0.4,0.020000000000000018,left,left
@Timcast,right_commentary,50,0.34,0.32,0.020000000000000018,right,right
@bbrettcooper,right_commentary,50,0.26,0.24,0.020000000000000018,right,right
@RubinReport,right_commentary,50,0.66,0.64,0.020000000000000018,right,right
@HangOutwithSeanHannity,interview_podcast,50,0.28,0.26,0.020000000000000018,right,right
@briantylercohen,left_commentary,50,-0.82,-0.84,0.020000000000000018,left,left
@ActualJusticeWarrior,right_commentary,50,0.78,0.76,0.020000000000000018,right,right
@MyronGainesX,right_commentary,50,0.38,0.36,0.020000000000000018,right,right
@OutKick,right_commentary,50,0.26,0.24,0.020000000000000018,right,right
@NovaraMedia,independent_digital_news,50,-0.36,-0.38,0.020000000000000018,left,left
@AndWeKnowOfficial-o9b,right_commentary,50,0.84,0.82,0.020000000000000018,right,right
@TheDonLemonShow,left_commentary,50,-0.6,-0.62,0.020000000000000018,left,left
@franifio,humour_satire,50,-0.38,-0.4,0.020000000000000018,left,left
@katiephangnews,left_commentary,50,-0.8,-0.84,0.039999999999999925,left,left
@aaronparnas1,left_commentary,50,-0.92,-0.96,0.039999999999999925,left,left
@AfterPartyEmily,right_commentary,50,0.5,0.46,0.03999999999999998,right,right
