creator,genre,n_videos,median_views,mean_views,gini,top10_share,top1_share,alpha,xmin,n_tail,lr_vs_lognormal,lr_p,powerlaw_like,zipf_views_all,zipf_views_head,group,organisation,clipper,subscribers,F1_controlled,F2_controlled,F3_controlled,F4_controlled,F5_controlled,F6_controlled,F7_controlled,F8_controlled,F9_controlled,F10_controlled,F11_controlled,F12_controlled,curiosity_gap,outrage,humor
@deanwithrs,streams,268,70000.0,72235.07462686567,0.1322430540617847,0.15470840435972932,0.02789400278940028,2.3261025136285367,33000.0,268,-12.574242160385964,2.925925850543709e-36,False,0.23058259137307408,0.23502500543637267,left,Dean Withers,False,938000.0,-0.2971642560410005,-0.0246246903544769,-0.361439779667783,0.4146397139425478,-0.1153483718053398,-0.4560277621673081,-0.3216690762332332,-0.3144218647466935,1.2282487844882088,-0.4414703189961853,-0.0283920396741198,-0.9298757872353132,0.0451127819548872,0.943609022556391,0.0037593984962406
@deanwithrs,videos,265,54000.0,101422.64150943396,0.5201046556605529,0.4665327231461845,0.13572943408862595,2.3125159602232404,39000.0,200,-0.21550737805314862,0.829371760350667,False,0.8203145298775492,0.5936036364262074,left,Dean Withers,False,938000.0,-0.2746628380450963,0.2633825422592904,-0.2097942562744737,-0.1486177309610257,-0.4127935241728107,-0.3863852682056699,0.0518596934034622,-0.3383785277970417,1.4547372416122424,-0.1388996820581866,0.2563720436688725,-0.4632977400752817,0.0037735849056603,0.9433962264150944,0.0037735849056603
@destiny,videos,267,138000.0,155913.85767790262,0.22689221168295692,0.19861154483653223,0.035600182565038795,2.9963494147265797,94000.0,237,-3.6669146011176483,0.00024549473687011193,False,0.3875510701959652,0.27770737916268085,left,Destiny,False,878000.0,0.1714632811812458,-0.6544666509015885,-0.4633919700215931,-0.042170946562103,-0.2646600116050994,-0.67961881405276,-0.2528389856984762,-0.2244330535843171,-0.2361251868836876,-0.3382373411713326,-1.021658252317793,-0.1465517337392988,0.0711610486891385,0.6666666666666666,0.0074906367041198
@destinyhqclips,videos,197,32000.0,36247.451776649745,0.3266217792952339,0.22742715469023694,0.02884851839051035,2.9620772609267165,27000.0,125,-3.0160936183997724,0.002560541896980346,False,0.6130632356268315,0.14967768250169597,neutral,Destiny,True,10500.0,-0.0423638718216791,-0.91198993119513,-0.3852979206463988,-0.0641625953848675,-0.3638682603250055,-0.5206927247469741,0.0714895250813106,-0.1058913936268212,-0.1924258387264006,-0.494435148734938,-0.1043987637873677,-1.405713434777662,0.0355329949238578,0.5939086294416244,0.0
@dollemore,videos,1439,36000.0,61272.82835302293,0.5206917188719977,0.39486637420666065,0.09588121345195051,2.77584960076155,77000.0,347,-1.5347757980356278,0.1248389096255289,False,0.8873721556438005,0.44414686292319594,left,Jesse Dollemore,False,1300000.0,-0.436532951279475,-0.3901531684017957,-0.4922996159581044,-0.3130072009724348,-0.3858194853986817,0.4041829091119305,-0.2216156670704387,-0.0242605149715239,1.0434057450846417,-0.2769002271087529,0.5604078948351457,-0.0949804558631004,0.0083391243919388,0.9381514940931204,0.0041695621959694
@fastpoliticspodcast,videos,135,47000.0,71902.22222222222,0.4635838335553999,0.3314171508633123,0.07973791568797133,2.9665374532852216,80000.0,45,-1.0539680804461942,0.29189753122575857,False,0.8738181351309721,0.39027766070824743,left,Fast Politics,False,91200.0,0.0659685378021136,-0.7294662163480647,-0.3623214767354539,-0.4088421177147375,1.3670456121227204,1.547869851692472,-0.75177590345843,-0.2126248524559504,-0.3032215300401589,-0.5284161326027327,-1.1172564103278118,0.2651873102736847,0.0,0.6758620689655173,0.0
@fightbackpodcast,videos,632,8400.0,19704.95253164557,0.638562314450073,0.5006612582938331,0.1404421075791362,2.827584714180076,49000.0,63,-0.5836788463204554,0.5594364018619316,False,1.185557673523968,0.5506179767892426,right,Jake Shields,False,206000.0,-0.2244881002207561,-0.2307800842213005,-0.2645357033825409,-0.1428103931175403,0.5084229240443676,0.572984344563567,-0.6877956142470596,-0.3894890261689599,0.2346389790798809,-0.6210024139632857,-0.1770109581190253,-0.3535643283574469,0.0318979266347687,0.5614035087719298,0.0
@franifio,videos,267,8600.0,18804.74157303371,0.6115999139357924,0.5011087728690629,0.22964165942687975,2.722942886646214,27000.0,46,0.6573327875497619,0.5109669585967542,False,1.0233103944357473,0.7612893573417002,left,Bitchuation Room,False,286000.0,0.5658285862731791,-0.2474684109611061,-0.5199037619515056,-0.2010070969420809,0.6684791577495596,-0.4269207894957564,-0.666822844505634,-0.5642682190938577,-0.4486644106033723,-0.8746276418969279,-1.1509770474485423,0.2595303573059945,0.0460992907801418,0.6028368794326241,0.0070921985815602
@glennbeck,streams,125,56000.0,62664.0,0.1896060257883314,0.20158304608706754,0.05195965785778118,2.014568257035287,22000.0,125,-7.787478965837851,6.835941622965034e-15,False,0.3395637534131697,0.33181749457314524,right,Blaze Media,False,1790000.0,0.145293806716237,0.1490365967497014,-0.2295588033133015,-0.122556648118175,1.8595528612293424,-0.4836696307219159,-0.8189334790194664,-0.0927792748588652,-0.6331213530522183,-0.5892595734966491,-0.1485473258757127,-0.1213992745247735,0.048,0.624,0.008
@glennbeck,videos,460,116000.0,177556.08695652173,0.49520302804822075,0.37208083667377606,0.0851047678749397,2.443911702670566,130000.0,207,-2.1925693765694856,0.0283384195146258,False,0.8849762679652418,0.41926293928314545,right,Blaze Media,False,1790000.0,0.0580350861222449,1.0136384428377667,-0.2883293533596722,0.4717228979954538,1.137007256754094,-0.6902263121600413,-1.279716527019921,-0.3087314274064573,-0.3093006752782836,-0.0154599791754595,0.2115081880044149,0.0544361137569709,0.1108695652173913,0.6478260869565218,0.0
@harryjsisson,videos,688,112000.0,151443.16860465117,0.4165177139463616,0.31089450432803,0.06574344317127175,2.459985672575022,93000.0,406,-3.7138395368553687,0.00020413826021505656,False,0.7089334230537243,0.38286484636212526,left,Harry Sisson,False,605000.0,-0.7058484359846342,-0.4921854884168556,0.1278616564889362,1.4651532167463333,-0.3067147874158532,-0.2465728248380045,-0.587034159794058,-0.1428258671830465,1.1465488649450433,-0.6696910677872817,-0.5753723255713755,-0.7909242097369138,0.0837004405286343,0.9383259911894272,0.0
@hutch,videos,162,18000.0,21451.234567901236,0.3310520240824405,0.2624384909786769,0.05323587810422722,2.9578572959825573,16000.0,95,-1.6569744146472567,0.09752464795155709,False,0.5825454246592515,0.33272988041445467,neutral,Hutch,False,841000.0,0.6672882456039027,-0.3232070589999107,-0.2992492570341998,-0.0235293771039158,0.264486917167655,-0.676514290691804,-0.3208703757610039,-0.133651776153277,-0.1255456933829388,-0.4554451353617053,-0.6841608086216356,-0.1155343298926108,0.0308641975308641,0.5185185185185185,0.0185185185185185
@jimacosta,streams,161,37000.0,46909.316770186335,0.4020651080105834,0.30758434404957363,0.06421799692812881,2.8726592792162515,38000.0,80,-1.0880882894369068,0.27655613297542625,False,0.725586702271195,0.34451929919440055,left,Jim Acosta,False,336000.0,0.7364811979992306,0.7464733442143645,1.3992329080454735,0.3530309074976644,0.5717190484424,0.977017080299638,-0.955898423390686,-0.2803777853060611,0.5478937653076142,0.4921890323105282,-0.1169038625917514,0.0673871093980947,0.01875,0.55,0.0
@jimacosta,videos,312,19000.0,46172.75,0.6336792536159629,0.4942420111540426,0.13598596908016425,2.508934160531733,66000.0,65,-1.055373366569697,0.2912545987548921,False,1.2089710791612216,0.504846373561563,left,Jim Acosta,False,336000.0,0.4847400179922824,0.8849513491596581,-0.2209012080760548,0.1069848237613067,1.0349578939420765,0.5904017322580217,-1.2810915729994594,0.0676219276659357,-0.4929128914020082,0.8906931465326207,-0.140584336049742,0.9556444452580904,0.0383386581469648,0.645367412140575,0.0
