creator,genre,all_caps,selective_caps,title_case,sentence_case,mixed_other,short_other,n_titles,caps_any,low_n,group,organisation,clipper
@DannyHaiphongYT,videos,0.0,1.0,0.0,0.0,0.0,0.0,53,1.0,False,left,Danny Haiphong,False
@MeidasTouch,videos,0.0030165912518853697,0.9951734539969834,0.0012066365007541479,0.0006033182503770739,0.0,0.0,3315,0.9981900452488688,False,left,MeidasTouch Network,False
@katiephangnews,videos,0.0,0.9973753280839895,0.0026246719160104987,0.0,0.0,0.0,381,0.9973753280839895,False,left,MeidasTouch Network,False
@CashJordan,videos,0.0,0.9933110367892977,0.006688963210702341,0.0,0.0,0.0,299,0.9933110367892977,False,right,Cash Jordan,False
@SabbySabs,videos,0.0017035775127768314,0.989778534923339,0.008517887563884156,0.0,0.0,0.0,587,0.9914821124361158,False,left,Sabby Sabs,False
@AndWeKnowOfficial-o9b,videos,0.0,0.9891304347826086,0.0,0.010869565217391304,0.0,0.0,184,0.9891304347826086,False,right,And We Know,False
@BlackConservativePerspective,videos,0.0,0.9848993288590604,0.015100671140939598,0.0,0.0,0.0,1192,0.9848993288590604,False,right,Black Conservative Perspective,False
@DrSteveTurleyTV,videos,0.002398081534772182,0.9784172661870504,0.019184652278177457,0.0,0.0,0.0,417,0.9808153477218226,False,right,Steve Turley,False
@briantylercohen,videos,0.003925417075564278,0.9646712463199215,0.004906771344455349,0.02649656526005888,0.0,0.0,1019,0.9685966633954858,False,left,Brian Tyler Cohen,False
@ActualJusticeWarrior,videos,0.0,0.9619565217391305,0.03804347826086957,0.0,0.0,0.0,368,0.9619565217391305,False,right,Actual Justice Warrior,False
@aaronparnas1,videos,0.0013003901170351106,0.9583875162548765,0.0377113133940182,0.002600780234070221,0.0,0.0,769,0.9596879063719116,False,left,Aaron Parnas,False
@TheOfficerTatum,videos,0.008347245409015025,0.9465776293823038,0.045075125208681135,0.0,0.0,0.0,599,0.9549248747913188,False,right,Officer Tatum,False
@StatusCoup,videos,0.00408997955010225,0.9447852760736196,0.05112474437627812,0.0,0.0,0.0,489,0.9488752556237219,False,left,Status Coup,False
@LukeBeasley,videos,0.15058611361587015,0.7889990982867449,0.009918845807033363,0.0369702434625789,0.0036068530207394047,0.009918845807033363,1109,0.939585211902615,False,left,Luke Beasley,False
@RobertGouveiaEsq,videos,0.0015151515151515152,0.9348484848484848,0.05454545454545454,0.004545454545454545,0.0,0.004545454545454545,660,0.9363636363636363,False,right,Robert Gouveia,False
@breakingpoints,videos,0.0070140280561122245,0.9268537074148296,0.06613226452905811,0.0,0.0,0.0,998,0.9338677354709418,False,left,Breaking Points,False
@TheDonLemonShow,videos,0.005747126436781609,0.9252873563218391,0.06609195402298851,0.0028735632183908046,0.0,0.0,348,0.9310344827586208,False,left,Don Lemon,False
@harryjsisson,videos,0.04113924050632911,0.884493670886076,0.060126582278481014,0.014240506329113924,0.0,0.0,632,0.9256329113924051,False,left,Harry Sisson,False
@TimcastIRL,videos,0.5157766990291263,0.40898058252427183,0.02912621359223301,0.0036407766990291263,0.0,0.04247572815533981,824,0.9247572815533981,False,right,Timcast,False
@LegalAFMTN,videos,0.0015426147319706903,0.9170844581565754,0.07905900501349789,0.0023139220979560356,0.0,0.0,2593,0.9186270728885461,False,left,MeidasTouch Network,False
@DueDissidence,videos,0.0,0.9093959731543624,0.08892617449664429,0.0,0.0,0.0016778523489932886,596,0.9093959731543624,False,left,Due Dissidence,False
@JacksonHinkleOfficial,videos,0.7551020408163265,0.15160349854227406,0.014577259475218658,0.023323615160349854,0.01749271137026239,0.037900874635568516,343,0.9067055393586005,False,neutral,Jackson Hinkle,False
@AnaEscobarShow,videos,0.0,0.90625,0.09375,0.0,0.0,0.0,32,0.90625,True,right,Ana Escobar,False
@PiersMorganUncensored,videos,0.0,0.8959537572254336,0.10404624277456648,0.0,0.0,0.0,173,0.8959537572254336,False,neutral,Piers Morgan,False
@deanwithrs,videos,0.0,0.8924302788844621,0.10358565737051793,0.00398406374501992,0.0,0.0,251,0.8924302788844621,False,left,Dean Withers,False
@SecularTalk,videos,0.08078602620087336,0.8005822416302766,0.11863173216885008,0.0,0.0,0.0,1374,0.88136826783115,False,left,Kyle Kulinski,False
@AnthonyBrianLogan,videos,0.0,0.8798283261802575,0.11587982832618025,0.004291845493562232,0.0,0.0,233,0.8798283261802575,False,right,Anthony Brian Logan,False
@Timcast,videos,0.45977011494252873,0.40229885057471265,0.06321839080459771,0.017241379310344827,0.011494252873563218,0.04597701149425287,174,0.8620689655172413,False,right,Timcast,False
@ponderingpolitics,videos,0.0625,0.798132183908046,0.0035919540229885057,0.03807471264367816,0.0007183908045977011,0.09698275862068965,1392,0.860632183908046,False,left,Pondering Politics,False
@SMN,videos,0.0,0.8578947368421053,0.14210526315789473,0.0,0.0,0.0,190,0.8578947368421053,False,left,Some More News,False
@MikeFromPA,videos,0.16,0.696,0.136,0.008,0.0,0.0,125,0.856,False,left,Mike from PA,False
@bennyjohnson,videos,0.0006882312456985547,0.8534067446662078,0.14384033035099794,0.0006882312456985547,0.0,0.0013764624913971094,1453,0.8540949759119063,False,right,Benny Johnson,False
@TimcastNews,videos,0.5105973025048169,0.34296724470134876,0.007707129094412331,0.011560693641618497,0.09248554913294797,0.03468208092485549,519,0.8535645472061657,False,right,Timcast,False
@BlazeTV,videos,0.0,0.8371531966224367,0.158021712907117,0.0048250904704463205,0.0,0.0,829,0.8371531966224367,False,right,Blaze Media,False
@TheQuartering,videos,0.5682888540031397,0.24489795918367346,0.10675039246467818,0.0015698587127158557,0.0031397174254317113,0.07535321821036106,637,0.8131868131868132,False,right,TheQuartering,False
@dollemore,videos,0.002180232558139535,0.8023255813953488,0.19476744186046513,0.0007267441860465116,0.0,0.0,1376,0.8045058139534883,False,left,Jesse Dollemore,False
@JesseKellyDC,videos,0.0,0.799163179916318,0.200836820083682,0.0,0.0,0.0,478,0.799163179916318,False,right,Jesse Kelly,False
@RebelHQ,videos,0.0,0.7966386554621848,0.20336134453781513,0.0,0.0,0.0,1190,0.7966386554621848,False,left,TYT Network,False
@VivaFrei,videos,0.0032258064516129032,0.7741935483870968,0.21935483870967742,0.0032258064516129032,0.0,0.0,310,0.7774193548387096,False,right,Viva Frei,False
https://rumble.com/c/nickjfuentes,videos,0.036065573770491806,0.740983606557377,0.15081967213114755,0.05901639344262295,0.0,0.013114754098360656,305,0.7770491803278688,False,right,Nick Fuentes,False
@thejimmydoreshow,videos,0.0,0.7706592386258124,0.22934076137418755,0.0,0.0,0.0,1077,0.7706592386258124,False,neutral,Jimmy Dore,False
@TimesNowWorld,videos,0.0,0.7681705736835905,0.22605725055954765,0.005654376251619743,0.00011779950524207798,0.0,8489,0.7681705736835905,False,neutral,Times Group,False
@RestPoliticsUS,videos,0.02403846153846154,0.7403846153846154,0.23557692307692307,0.0,0.0,0.0,208,0.764423076923077,False,left,The Rest Is Politics US,False
@MichaelMaliceofficial,videos,0.0,0.7450980392156863,0.2549019607843137,0.0,0.0,0.0,51,0.7450980392156863,False,right,Michael Malice,False
@HasanReactionsfanTwo,videos,0.0,0.7272727272727273,0.26332288401253917,0.009404388714733543,0.0,0.0,319,0.7272727272727273,False,left,HasanAbi,True
@DoubleDownNews,videos,0.0625,0.65625,0.21875,0.0625,0.0,0.0,64,0.71875,False,left,Double Down News,False
@jlptalk,videos,0.0,0.7133105802047781,0.2832764505119454,0.0034129692832764505,0.0,0.0,293,0.7133105802047781,False,right,Jesse Lee Peterson,False
@OwenJonesTalks,videos,0.0,0.7123893805309734,0.28761061946902655,0.0,0.0,0.0,226,0.7123893805309734,False,left,Owen Jones,False
@MrReaganUSA,videos,0.0,0.7083333333333334,0.2916666666666667,0.0,0.0,0.0,24,0.7083333333333334,True,right,Mr Reagan,False
@PiscoLitty,videos,0.018518518518518517,0.6851851851851852,0.2777777777777778,0.018518518518518517,0.0,0.0,54,0.7037037037037037,False,left,Pisco,False
@CamHigby,videos,0.0,0.7011494252873564,0.2988505747126437,0.0,0.0,0.0,174,0.7011494252873564,False,right,Cam Higby,False
@lonerboxlive,videos,0.0,0.6829268292682927,0.3170731707317073,0.0,0.0,0.0,82,0.6829268292682927,False,right,LonerBox,False
@glennbeck,videos,0.0,0.6819221967963387,0.3135011441647597,0.004576659038901602,0.0,0.0,437,0.6819221967963387,False,right,Blaze Media,False
@usefulidiots,videos,0.0111731843575419,0.6703910614525139,0.2737430167597765,0.0446927374301676,0.0,0.0,179,0.6815642458100558,False,left,Useful Idiots,False
@adammockler,videos,0.021800947867298578,0.6578199052132702,0.13838862559241707,0.176303317535545,0.0009478672985781991,0.004739336492890996,1055,0.6796208530805687,False,left,Adam Mockler,False
@BadFaithPodcast,videos,0.0,0.6753246753246753,0.3246753246753247,0.0,0.0,0.0,77,0.6753246753246753,False,left,Bad Faith,False
@OfficialSaharTV,videos,0.026474127557160047,0.6438026474127557,0.3237063778580024,0.006016847172081829,0.0,0.0,831,0.6702767749699158,False,right,Sahar TV,False
@TheDamageReport,videos,0.0,0.6683250414593698,0.33101160862354895,0.0,0.0,0.0006633499170812604,3015,0.6683250414593698,False,left,TYT Network,False
@OutKick,videos,0.0,0.6595744680851063,0.3404255319148936,0.0,0.0,0.0,47,0.6595744680851063,True,right,Fox Corporation,False
@FoxNews,videos,0.0002588326646822829,0.6560113886372461,0.019024200854147792,0.32457616151158275,0.00012941633234114146,0.0,7727,0.6562702213019284,False,right,Fox News,False
@timesofindia,videos,0.0,0.6542893725992317,0.3438967136150235,0.0018139137857447717,0.0,0.0,9372,0.6542893725992317,False,left,Times Group,False
@LiberalHivemind,videos,0.08625,0.565,0.04625,0.28125,0.00125,0.02,800,0.6512499999999999,False,right,Liberal Hivemind,False
@thedavidpakmanshow,videos,0.048020765736534715,0.6022063595068138,0.0025957170668397143,0.34523036988968203,0.0012978585334198572,0.0006489292667099286,1541,0.6502271252433485,False,left,David Pakman,False
@lizwheeler,videos,0.0,0.6493506493506493,0.35064935064935066,0.0,0.0,0.0,77,0.6493506493506493,False,right,Liz Wheeler,False
@FoxNewsChannelClips,videos,0.0,0.6465596753366537,0.004427227448810182,0.34901309721453605,0.0,0.0,5421,0.6465596753366537,False,right,Fox News,True
@fightbackpodcast,videos,0.011986301369863013,0.625,0.3544520547945205,0.00684931506849315,0.0,0.0017123287671232876,584,0.636986301369863,False,right,Jake Shields,False
@thehill,videos,0.0,0.6252163164400495,0.088504326328801,0.28627935723114956,0.0,0.0,4045,0.6252163164400495,False,neutral,The Hill,False
https://rumble.com/c/GGreenwald,videos,0.0,0.618421052631579,0.3815789473684211,0.0,0.0,0.0,76,0.618421052631579,False,left,Glenn Greenwald,False
@MyronGainesX,videos,0.0,0.6164383561643836,0.3780821917808219,0.005479452054794521,0.0,0.0,365,0.6164383561643836,False,right,Myron Gaines,False
@DestinyDGGClips,videos,0.005235602094240838,0.6020942408376964,0.3769633507853403,0.015706806282722512,0.0,0.0,191,0.6073298429319371,False,right,Destiny,True
@TheSerfTimes,videos,0.004291845493562232,0.5879828326180258,0.055793991416309016,0.34763948497854075,0.0,0.004291845493562232,233,0.592274678111588,False,left,Serf Times,False
@lovettorleaveitpodcast,videos,0.0,0.5909090909090909,0.4090909090909091,0.0,0.0,0.0,110,0.5909090909090909,False,left,Crooked Media,False
@FarronBalanced,videos,0.002346041055718475,0.5882697947214076,0.4023460410557185,0.007038123167155425,0.0,0.0,1705,0.5906158357771261,False,left,Farron Balanced,False
@podsaveamerica,videos,0.0,0.5629860031104199,0.4214618973561431,0.015552099533437015,0.0,0.0,643,0.5629860031104199,False,left,Crooked Media,False
@SavSays,videos,0.0,0.5625,0.3125,0.125,0.0,0.0,16,0.5625,True,right,Sav Says,False
@FleccasTalks,videos,0.4236111111111111,0.13541666666666666,0.12152777777777778,0.0,0.0,0.3194444444444444,288,0.5590277777777778,False,right,Fleccas Talks,False
@PTLRadioShow,videos,0.0006329113924050633,0.5569620253164557,0.3905063291139241,0.05189873417721519,0.0,0.0,1580,0.5575949367088607,False,left,Pushing the Limits,False
@TheYoungTurks,videos,0.004804138950480414,0.5391722099039172,0.4556541019955654,0.0003695491500369549,0.0,0.0,2706,0.5439763488543976,False,left,TYT Network,False
@HasanAbi,videos,0.505922165820643,0.03553299492385787,0.22842639593908629,0.12690355329949238,0.05245346869712352,0.050761421319796954,591,0.5414551607445008,False,left,HasanAbi,False
@chicksonright,videos,0.0,0.5381165919282511,0.45739910313901344,0.002242152466367713,0.0,0.002242152466367713,446,0.5381165919282511,False,right,Chicks on the Right,False
https://rumble.com/c/TheAlexJonesShowLive,videos,0.28460038986354774,0.253411306042885,0.44834307992202727,0.009746588693957114,0.0,0.003898635477582846,513,0.5380116959064327,False,right,InfoWars,False
@The_Crucible,videos,0.0,0.518348623853211,0.43577981651376146,0.04128440366972477,0.0,0.0045871559633027525,218,0.518348623853211,False,right,The Crucible,False
@NovaraMedia,videos,0.0,0.5008849557522124,0.49557522123893805,0.0035398230088495575,0.0,0.0,565,0.5008849557522124,False,left,Novara Media,False
