creator,genre,text,zipf_exponent_top200,n_titles,n_tokens,n_types,top_5,top1_share
@CNN,streams,normalised,0.7404,94,791,440,trump iran full house conference,0.0329
@CNN,videos,normalised,0.832,1757,18042,4713,trump the to iran in,0.0252
@CamHigby,streams,normalised,0.7324,59,412,182,live the minneapolis in on,0.0631
@CamHigby,videos,normalised,0.727,186,1825,754,i the to in ice,0.0219
@CashJordan,videos,normalised,0.7126,299,3191,910,trump as mamdani iran s,0.0382
@ChadPrather1,streams,normalised,0.8252,201,1777,675,the when of god to,0.081
@ChadPrather1,videos,normalised,0.7006,160,1762,909,the of in a s,0.0448
@ClipsCandaceOwens,videos,normalised,0.7484,192,1300,603,the kirk candace to charlie,0.0438
@ClubRandomPodcast,videos,normalised,0.6616,197,1478,636,maher bill the on to,0.0555
@ColemanHughesOfficial,videos,normalised,0.6433,54,502,305,the a of is and,0.0518
@CoreyGilShusterAskProject,videos,normalised,0.7278,53,471,208,you the do what israelis,0.0722
@DailyDenims,videos,normalised,0.7204,215,1743,859,the is to a on,0.0407
@DannyHaiphongYT,streams,normalised,0.8483,227,2990,693,iran trump us as war,0.0585
@DannyHaiphongYT,videos,normalised,0.8541,64,838,323,iran trump us war in,0.0489
@DarkHorsePod,videos,normalised,0.6692,70,649,408,on the darkhorse of bret,0.0555
@DemocracyDocket,videos,normalised,0.8227,129,1282,571,the trump to is trump's,0.046
@DemocracyNow,videos,normalised,0.8803,814,9732,3144,s u of on world,0.0322
@DestinyDGGClips,videos,normalised,0.8257,209,2003,748,this the destiny hasan is,0.0275
@DoubleDownNews,videos,normalised,0.7513,66,652,297,the to israel you want,0.0613
@DrSteveTurleyTV,videos,normalised,0.868,442,4376,1291,the just as trump to,0.034
@DropSiteNews,videos,normalised,0.8127,204,2163,1027,the iran s in to,0.0259
@DueDissidence,streams,normalised,0.6786,112,1727,950,trump iran w in at,0.0261
@DueDissidence,videos,normalised,0.7734,643,6059,2358,in to trump for on,0.0203
@DylanBurnsLIVE,videos,normalised,0.7111,190,1449,747,ukraine trump in to the,0.0324
@EzraKleinShow,videos,normalised,0.6775,65,517,292,the of is s and,0.0754
@FarronBalanced,streams,normalised,0.6882,188,1408,655,trump as to republicans after,0.0866
@FarronBalanced,videos,normalised,0.7793,1780,14780,3109,trump to s is in,0.0675
@Firstpost,streams,normalised,0.8744,2500,35049,5471,live iran us trump war,0.0698
@Firstpost,videos,normalised,0.9432,2500,34492,6275,firstpost vantage on with iran,0.0408
@FleccasTalks,videos,normalised,0.6441,290,1201,848,the to a new in,0.0316
@Forbes,videos,normalised,0.8264,1256,14838,4084,the s to how a,0.0437
@Forthepeoplepodcast305,videos,normalised,0.7272,115,1125,666,to the trump in iran,0.0258
@FoxNews,streams,normalised,0.77,645,6219,1812,trump in on at the,0.0363
@FoxNews,videos,normalised,0.8202,2500,23810,5287,in to the iran trump,0.0208
@FoxNewsChannelClips,videos,normalised,0.7683,2500,25302,6260,to the in is of,0.0206
@FreshFitMiami,streams,normalised,0.7028,75,839,461,the to a her in,0.0334
@FreshFitMiami,videos,normalised,0.7601,111,1295,564,the a women and to,0.0324
@GeopoliticalEconomyReport,videos,normalised,0.8662,72,826,360,the is us iran war,0.0581
@GlennKirschner2,videos,normalised,0.799,262,2436,923,to trump's trump the of,0.0353
@GrahamAllen,videos,normalised,0.7457,247,2359,1062,the candace to owens in,0.0445
@HangOutwithSeanHannity,videos,normalised,0.6129,154,1453,684,the s to why reveals,0.0592
@HasanAbi,videos,normalised,0.7909,628,3414,1244,is the this to trump,0.0469
@HasanAbiVODs3,videos,normalised,1.0241,181,1335,388,hasanabi 2026 august july may,0.1356
@HasanReactionsfanTwo,videos,normalised,0.7681,340,2845,1110,to trump reacts hasanabi the,0.0348
