term_a,term_b,observed,expected_strat,lift_strat,z_cmh,q_cmh,channels,weight
murder,karmelo,38.00000,10.79350,3.52064,10.26367,0.00000,13.00000,1.81584
iran,escalates,41.00000,11.40940,3.59353,10.26063,0.00000,17.00000,1.84540
supreme court,virginia,25.00000,4.58969,5.44699,10.25801,0.00000,11.00000,2.44546
nancy,note,28.00000,7.06781,3.96162,10.23600,0.00000,5.00000,1.98609
amid,shutdown,21.00000,3.22752,6.50655,10.20227,0.00000,5.00000,2.70189
iran,d-day,21.00000,3.99753,5.25324,10.18514,0.00000,12.00000,2.39321
dems,fetterman,24.00000,4.08833,5.87037,10.18030,0.00000,7.00000,2.55345
election,rigged,26.00000,5.31104,4.89547,10.17435,0.00000,8.00000,2.29145
goes,rant,22.00000,3.80942,5.77515,10.16604,0.00000,14.00000,2.52986
gop,midterms,28.00000,5.46364,5.12479,10.15383,0.00000,11.00000,2.35749
guthrie,mom,38.00000,11.43395,3.32344,10.15061,0.00000,9.00000,1.73268
war,us-iran,31.00000,7.33121,4.22850,10.15059,0.00000,8.00000,2.08014
white,black,104.00000,47.54851,2.18724,10.14932,0.00000,24.00000,1.12911
vance,fraud,57.00000,17.29336,3.29606,10.14608,0.00000,16.00000,1.72074
case,judge,36.00000,8.36680,4.30272,10.14519,0.00000,15.00000,2.10525
rep,ilhan omar,22.00000,3.60589,6.10112,10.13391,0.00000,9.00000,2.60907
attack,nyc,43.00000,11.09153,3.87683,10.13024,0.00000,17.00000,1.95488
andrew,candace,42.00000,13.87565,3.02689,10.12673,0.00000,19.00000,1.59783
guthrie,investigation,45.00000,14.79912,3.04072,10.10275,0.00000,8.00000,1.60441
iran,uranium,31.00000,7.65895,4.04755,10.08688,0.00000,11.00000,2.01705
trump,address,79.00000,31.86818,2.47896,10.08498,0.00000,22.00000,1.30974
party,socialists,21.00000,3.41777,6.14435,10.08483,0.00000,10.00000,2.61926
scandal,walz,27.00000,5.43987,4.96336,10.08354,0.00000,14.00000,2.31132
act,nick,20.00000,3.42148,5.84542,10.08129,0.00000,10.00000,2.54731
supreme,virginia,25.00000,4.69420,5.32573,10.07850,0.00000,11.00000,2.41298
epstein,bondi,31.00000,7.54430,4.10906,10.07451,0.00000,15.00000,2.03881
fauci,pleads,32.00000,8.55919,3.73867,10.06331,0.00000,18.00000,1.90252
dems,slams,33.00000,7.06082,4.67368,10.06275,0.00000,8.00000,2.22456
fraud,dr,43.00000,11.07844,3.88141,10.06211,0.00000,17.00000,1.95658
trump,praises,53.00000,17.29842,3.06386,10.04716,0.00000,16.00000,1.61535
deal,venezuela,21.00000,3.40997,6.15841,10.04290,0.00000,9.00000,2.62256
nancy,guthrie disappearance,30.00000,8.31745,3.60687,10.04072,0.00000,7.00000,1.85075
ai,future,23.00000,3.92761,5.85597,10.02790,0.00000,14.00000,2.54991
secret,revealed,20.00000,3.09918,6.45333,10.02597,0.00000,12.00000,2.69004
stop,nick,21.00000,3.83832,5.47115,10.01298,0.00000,11.00000,2.45184
hearing,charlie kirk,56.00000,20.93983,2.67433,10.00851,0.00000,13.00000,1.41918
strait,control,20.00000,3.10019,6.45123,9.99699,0.00000,5.00000,2.68957
charlie kirk,legacy,23.00000,4.19975,5.47652,9.99696,0.00000,15.00000,2.45326
iran,tensions,56.00000,18.05814,3.10110,9.98749,0.00000,13.00000,1.63278
strikes,military,48.00000,13.28503,3.61309,9.97582,0.00000,9.00000,1.85323
act,voter id,22.00000,3.92968,5.59842,9.97148,0.00000,11.00000,2.48502
don't,like,38.00000,9.19220,4.13394,9.96993,0.00000,11.00000,2.04752
hearing,charlie,61.00000,24.47577,2.49226,9.96458,0.00000,13.00000,1.31745
iranian,drone,32.00000,6.92132,4.62339,9.95032,0.00000,7.00000,2.20895
rep,ilhan,22.00000,3.70431,5.93903,9.94777,0.00000,9.00000,2.57023
senate,showdown,20.00000,3.09975,6.45213,9.93307,0.00000,9.00000,2.68978
strikes,israeli,27.00000,5.25209,5.14081,9.92057,0.00000,6.00000,2.36199
kirk,legacy,25.00000,4.92663,5.07446,9.90969,0.00000,15.00000,2.34325
nancy guthrie,guthrie disappearance,29.00000,7.98459,3.63200,9.89343,0.00000,7.00000,1.86076
white house,plot,22.00000,3.72719,5.90257,9.88878,0.00000,12.00000,2.56134
lindsay,defense,33.00000,7.81627,4.22196,9.88852,0.00000,10.00000,2.07791
trump,endorsement,40.00000,11.43656,3.49756,9.88217,0.00000,16.00000,1.80635
white,leavitt,31.00000,6.77719,4.57416,9.88153,0.00000,7.00000,2.19351
nancy,disappearance,32.00000,9.17912,3.48617,9.87267,0.00000,7.00000,1.80164
nancy,search,37.00000,10.71369,3.45352,9.86457,0.00000,8.00000,1.78807
going,viral,29.00000,6.26384,4.62975,9.86067,0.00000,13.00000,2.21093
minnesota,somali,42.00000,11.89571,3.53068,9.84456,0.00000,18.00000,1.81995
dhs,tsa,21.00000,3.65663,5.74299,9.81349,0.00000,9.00000,2.52180
nancy guthrie,note,26.00000,6.58830,3.94639,9.81221,0.00000,5.00000,1.98053
nancy guthrie,disappearance,31.00000,8.78688,3.52799,9.78988,0.00000,7.00000,1.81884
reveals,shocking,28.00000,5.58762,5.01108,9.78518,0.00000,12.00000,2.32512
nancy guthrie,sheriff,36.00000,11.06843,3.25249,9.78502,0.00000,8.00000,1.70155
