word,balanced_share_of_titles,creators_using,raw_pooled_share_of_titles,raw_titles,rank_balanced,rank_raw
biggest,0.004212667308248615,145,0.0036325552820487446,881,178,330
dead,0.0041830114361363305,139,0.006312647147351451,1531,179,113
elon,0.004160025571637576,133,0.003277958512177925,795,180,380
hit,0.0041325061487672175,129,0.008935013957093792,2167,181,58
family,0.004128348224072635,135,0.005215871091704497,1265,182,169
voters,0.004024590214698497,124,0.00388819481381608,943,183,294
chaos,0.0039990873567974285,126,0.004650990190863773,1128,184,217
peace,0.003986075796031046,122,0.008093877433214172,1963,185,70
threat,0.003963450773076986,130,0.006992978159312907,1696,186,90
texas,0.003953033555265616,116,0.0060570076155841155,1469,187,129
way,0.003925544803096886,136,0.0032161102383632474,780,188,390
police,0.003908493793637987,119,0.0075990912426967495,1843,189,78
warns,0.003892079145813749,104,0.010085391850046798,2446,190,43
loses,0.003878792824730664,123,0.00462212766308359,1121,191,221
musk,0.0038668617823262186,122,0.003677910682846175,892,192,323
amid,0.0038586268910325346,74,0.017927752969747947,4348,193,11
regime,0.003858419681218513,114,0.003937673432867822,955,194,289
panic,0.003817323616550922,106,0.0039789056154109406,965,195,283
europe,0.003782117993649958,105,0.006992978159312907,1696,196,90
admits,0.003759145483558322,114,0.003290328166940861,798,197,377
killed,0.003747569002908286,117,0.00813510961575729,1973,198,69
greenland,0.003745569370768975,122,0.006588902770390345,1598,199,102
elections,0.0037216371135036495,123,0.003970659178902317,963,200,284
murder,0.003702427924753027,116,0.004688099155152579,1137,201,213
bondi,0.0036960988372746664,116,0.0038345929765100256,930,202,297
illegal,0.0036818852544404906,120,0.003484119424893518,845,203,351
ceasefire,0.0036780005961897055,107,0.007797005718903719,1891,204,75
midterms,0.0036735773766999845,112,0.0037851143574582835,918,205,305
immigration,0.003666310685247339,112,0.0035748302264883786,867,206,338
shock,0.003656062289618043,101,0.005801368083816781,1407,207,143
collapse,0.0036519628067223837,130,0.003764498266186724,913,208,309
arrested,0.0036436057274325797,139,0.003925303778104887,952,209,291
west,0.0036354784486365317,112,0.005661178663170178,1373,210,152
brutal,0.0036097439378856913,102,0.003306821039958108,802,211,372
hill,0.0035897910181725617,58,0.0036160624090314972,877,212,335
mayor,0.003586467746342387,119,0.003653171373320304,886,213,327
lindsay,0.0035795211130884726,100,0.0036985267741177345,897,214,318
red,0.0035792740453342996,120,0.004820042139290559,1169,215,202
year,0.0035688488159530247,138,0.004448952496402492,1079,216,234
health,0.00356737729592969,109,0.004296393420992953,1042,217,245
democratic,0.0035668128838141147,104,0.0036449249368116802,884,218,328
clancy,0.0035601969171115038,91,0.004185066528126533,1015,219,260
host,0.0035431923286513086,85,0.00382222332174709,927,220,301
tech,0.0035402409370875946,105,0.004114971817803232,998,221,265
country,0.0035351850941616942,135,0.0038345929765100256,930,222,297
threatens,0.003531983591788074,114,0.005916818194937512,1435,223,137
huge,0.0035289547591833316,116,0.004486061460691299,1088,224,231
rep,0.0035286111875260226,92,0.007384683893472533,1791,225,84
putin,0.0035250286392612675,71,0.011182167905693752,2712,226,32
lindsey,0.0034798746357790323,124,0.004189189746380845,1016,227,258
ceo,0.0034372022067844198,84,0.003735635738406541,906,228,314
cup,0.0034203423533795993,105,0.006737338627545572,1634,229,97
mass,0.0034090357278482282,126,0.0036160624090314972,877,230,335
th,0.003366179374390388,131,0.004943738686919915,1199,231,190
starmer,0.0033578583859153535,61,0.004523170424980106,1097,232,227
air,0.003322631221139565,110,0.006815679774377497,1653,233,95
protest,0.0033079438089759095,112,0.005158146036144131,1251,234,174
prices,0.003270974238834645,97,0.0061724577267048475,1497,235,124
social,0.0032614376508598624,117,0.0033233139129753555,806,236,369
strike,0.0032553972007693653,100,0.008996862230908469,2182,237,56
trial,0.0032296000013494076,107,0.004832411794053495,1172,238,200
say,0.0032216814219881225,120,0.005121037071855325,1242,239,176
economic,0.003168850067673548,102,0.00409023250827736,992,240,269
lebanon,0.003153001606437452,70,0.005817860956834028,1411,241,140
vote,0.003128671931504974,122,0.00382222332174709,927,242,301
maduro,0.003121793691105825,117,0.004935492250411291,1197,243,191
nato,0.003110402058278953,98,0.009582359223020752,2324,244,47
law,0.0030847776361053727,121,0.003743882174915165,908,245,312
today,0.0030600820373622335,94,0.0033274371312296673,807,246,367
times,0.0030541851269199703,111,0.008341270528472883,2023,247,65
protests,0.003048825090223866,109,0.005351937294096789,1298,248,164
investigation,0.0030387353773542866,113,0.004197436182889469,1018,249,256
national,0.00301159621242364,104,0.005966296813989255,1447,250,134
speaks,0.002999713307568034,110,0.004374734567824879,1061,251,238
noem,0.0029936239365553905,107,0.0035748302264883786,867,252,338
rubio,0.0029873921281996832,100,0.005277719365519175,1280,253,166
victory,0.002979877755042364,112,0.003368669313772786,817,254,363
billion,0.0029726011893523446,106,0.00433350238528176,1051,255,242
latest,0.0029519167116882337,111,0.00422217549241534,1024,256,253
million,0.0029511900484098298,114,0.0035459676987081956,860,257,343
home,0.0029060354976346687,123,0.004890136849613861,1186,258,197
faces,0.0028644665744191247,108,0.005578714298083941,1353,259,159
support,0.002864187934314391,116,0.003875825159053144,940,260,296
moment,0.0028359475352849367,108,0.004259284456704147,1033,261,249
hearing,0.002831379940400555,101,0.005248856837738992,1273,262,168
middle,0.002813616501442522,107,0.00553335889728651,1342,263,161
press,0.0028132958162418987,92,0.004749947428967258,1152,264,207
official,0.002811112742976248,102,0.0039995217066825,970,265,281
gives,0.0028080662397166746,112,0.0033892854050443454,822,266,361
revealed,0.0028049923163330267,100,0.0034882426431478296,846,267,350
india,0.0027857564724717747,48,0.011949086500995756,2898,268,30
public,0.002785560316351031,112,0.003818100103492778,926,269,303
expert,0.002780108451171445,88,0.003950043087630758,958,270,286
federal,0.002756817488484014,95,0.004869520758342302,1181,271,199
york,0.002753343447243011,109,0.0037768679209496596,916,272,306
hits,0.0027185730182131412,97,0.006341509675131634,1538,273,109
arrest,0.002693765358776474,116,0.0034964890796564535,848,274,349
turns,0.002691660238330946,108,0.003537721262199572,858,275,344
school,0.002661082123224069,107,0.0034717497701305822,842,276,353
turn,0.002621845542442013,122,0.0033604228772641624,815,277,364
leader,0.0025756680485989054,112,0.006036391524312556,1464,278,131
energy,0.0025663565382375362,87,0.0042675308932127705,1035,279,248
blanche,0.002557904082029218,71,0.004102602163040296,995,280,267
dem,0.002529816522299006,71,0.0047293313376956985,1147,281,208
center,0.0025260941658765946,102,0.003830469758255714,929,282,299
defense,0.002522233450669711,107,0.003624308845540121,879,283,331
security,0.0025001530726448816,100,0.006650751044205023,1613,284,99
shows,0.002456634851522122,109,0.0052694729290105515,1278,285,167
firstpost,0.0024378614595907387,1,0.022958079240008412,5568,286,7
demands,0.0024351597935651542,101,0.004057246762242866,984,287,275
troops,0.0024167516195716,91,0.005628192917135683,1365,288,156
south,0.0024117926406157612,87,0.004951985123428538,1201,289,189
week,0.0023920683597700673,87,0.003455256897113335,838,290,356
city,0.002379393601485853,88,0.0036944035558634223,896,291,320
senator,0.002378938913013456,103,0.003203740583600312,777,292,393
agents,0.0023454592362933398,96,0.0035583373534711312,863,293,341
message,0.0023265524497449778,110,0.0036160624090314972,877,294,335
east,0.0023160312303748907,90,0.005764259119527974,1398,295,147
final,0.0023053363779993075,108,0.0034676265518762705,841,296,355
protesters,0.00228950130312621,76,0.004007768143191123,972,297,280
gas,0.002288892559211245,94,0.004300516639247265,1043,298,244
missing,0.00227175208307833,102,0.004415966750367997,1071,299,236
event,0.0022594118443527234,102,0.0033727925320270976,818,300,362
fed,0.0022564201464098277,79,0.00428814698448433,1040,301,246
erupts,0.0022466587332791122,81,0.004415966750367997,1071,302,236
border,0.0022461156477642176,86,0.004114971817803232,998,303,265
help,0.002235045679502701,116,0.003620185627285809,878,304,333
jesse,0.002226159799641314,78,0.003706773210626358,899,305,317
primary,0.002210739420253459,86,0.003682033901100487,893,306,322
deadly,0.002207966854302628,82,0.006411604385454935,1555,307,105
leaders,0.0021957740898374566,103,0.004646866972609461,1127,308,218
dhs,0.0021777129620453397,80,0.00491075294088542,1191,309,193
trade,0.0021460668398073446,81,0.0072527409093345535,1759,310,88
states,0.0021449094828152027,101,0.0033439300042469146,811,311,365
force,0.002133942801949105,105,0.004123218254311855,1000,312,264
team,0.0021304841218610757,105,0.0035294748256909482,856,313,345
sports,0.002123112095861592,78,0.004630374099592213,1123,314,220
slams,0.00212195740402915,75,0.006242552437028149,1514,315,118
order,0.002121292497873907,108,0.0031790012740744405,771,316,398
pentagon,0.0021126145436944285,91,0.0040737396352601134,988,317,271
sen,0.0021016835164735844,61,0.004993217305971657,1211,318,184
chief,0.0020890692474835547,98,0.005780751992545221,1402,319,145
crash,0.0020670640648136848,97,0.0035294748256909482,856,320,345
operation,0.0020582020667629986,91,0.0037521286114237883,910,321,311
general,0.00202303515274902,93,0.00331094425821242,803,322,370
funding,0.0020027959443518046,93,0.003232603111380495,784,323,387
pm,0.0020002479260502024,61,0.010456481492934865,2536,324,38
xi,0.001997139119503398,69,0.004415966750367997,1071,325,236
drone,0.0019948535579798247,67,0.006304400710842827,1529,326,115
meet,0.001968544527744074,77,0.004197436182889469,1018,327,256
tariffs,0.0019482008681212955,89,0.00417682009161791,1013,328,261
issues,0.0019312337322654788,85,0.004271654111467083,1036,329,247
open,0.0019238049905744591,103,0.004168573655109286,1011,330,262
missile,0.0019176063966997291,64,0.00651056162355842,1579,331,103
details,0.001916465849936005,76,0.005966296813989255,1447,332,134
