creator,genre,predictor,coef_per_sd,se_hc3,p,n,r2,r2_adj,n_topic_dummies,group,organisation,clipper,subscribers
@ABCNews,videos,F8,0.11429275885224491,0.021387361703129104,9.094812596533712e-08,7971,0.2566541463737956,0.23732409199268167,178,neutral,ABC News,False,19800000.0
@ABCNews,videos,F9,-0.14232888326635,0.02137458101053008,2.7608783428453518e-11,7971,0.2566541463737956,0.23732409199268167,178,neutral,ABC News,False,19800000.0
@ABCNews,videos,F10,-0.06817871187720206,0.02044657431616056,0.0008545876402196265,7971,0.2566541463737956,0.23732409199268167,178,neutral,ABC News,False,19800000.0
@ABCNews,videos,F11,0.1760966570212147,0.029740113087997455,3.196336117988069e-09,7971,0.2566541463737956,0.23732409199268167,178,neutral,ABC News,False,19800000.0
@ABCNews,videos,F12,0.02294701083265981,0.02095686915419542,0.2735325431738812,7971,0.2566541463737956,0.23732409199268167,178,neutral,ABC News,False,19800000.0
@ABCNews,videos,curiosity_gap,-0.013567587822324215,0.018710482757420883,0.4683704632114649,7971,0.2566541463737956,0.23732409199268167,178,neutral,ABC News,False,19800000.0
@ABCNews,videos,outrage,0.13653033419648672,0.019171146841690155,1.066370852144897e-12,7971,0.2566541463737956,0.23732409199268167,178,neutral,ABC News,False,19800000.0
@ABCNews,videos,humor,0.025470980363871448,0.022561663641302163,0.2589191099589877,7971,0.2566541463737956,0.23732409199268167,178,neutral,ABC News,False,19800000.0
@ABCNews,videos,n_tokens,0.11330064991272792,0.02871705891020126,7.966264114208171e-05,7971,0.2566541463737956,0.23732409199268167,178,neutral,ABC News,False,19800000.0
@ANINewsIndia,streams,F1,-0.01639183473480907,0.020230242795365883,0.41778853826384954,7579,0.23591909373396025,0.22539062104561214,79,neutral,ANI,False,9760000.0
@ANINewsIndia,streams,F2,0.02868808483032305,0.014887051744188157,0.05397346796349847,7579,0.23591909373396025,0.22539062104561214,79,neutral,ANI,False,9760000.0
@ANINewsIndia,streams,F3,-0.1987126253500155,0.015439919262155499,6.635403728110981e-38,7579,0.23591909373396025,0.22539062104561214,79,neutral,ANI,False,9760000.0
@ANINewsIndia,streams,F4,0.06074573436746718,0.015526154643159259,9.13539627512423e-05,7579,0.23591909373396025,0.22539062104561214,79,neutral,ANI,False,9760000.0
@ANINewsIndia,streams,F5,0.04550015552204738,0.014377697691278946,0.0015527797270132532,7579,0.23591909373396025,0.22539062104561214,79,neutral,ANI,False,9760000.0
@ANINewsIndia,streams,F6,-0.04837684903258215,0.01555448912254333,0.0018699013188945564,7579,0.23591909373396025,0.22539062104561214,79,neutral,ANI,False,9760000.0
@ANINewsIndia,streams,F7,-0.030499472540243752,0.014768240628623343,0.03890342734282715,7579,0.23591909373396025,0.22539062104561214,79,neutral,ANI,False,9760000.0
@ANINewsIndia,streams,F8,0.014161029298103638,0.012909134756397525,0.27265126430422526,7579,0.23591909373396025,0.22539062104561214,79,neutral,ANI,False,9760000.0
@ANINewsIndia,streams,F9,0.017505995552356962,0.014254302402313406,0.21940187981120096,7579,0.23591909373396025,0.22539062104561214,79,neutral,ANI,False,9760000.0
@ANINewsIndia,streams,F10,-0.055233622106819744,0.013783865212070067,6.146325891975213e-05,7579,0.23591909373396025,0.22539062104561214,79,neutral,ANI,False,9760000.0
@ANINewsIndia,streams,F11,0.022416936947075833,0.02082495640190485,0.28172792650396283,7579,0.23591909373396025,0.22539062104561214,79,neutral,ANI,False,9760000.0
@ANINewsIndia,streams,F12,0.007296118437516874,0.014754851795787269,0.6209605606463294,7579,0.23591909373396025,0.22539062104561214,79,neutral,ANI,False,9760000.0
@ANINewsIndia,streams,curiosity_gap,-0.010170543911915561,0.0126071733854665,0.4198239335625922,7579,0.23591909373396025,0.22539062104561214,79,neutral,ANI,False,9760000.0
@ANINewsIndia,streams,outrage,0.11033031696453903,0.014279797653146211,1.1069827222221241e-14,7579,0.23591909373396025,0.22539062104561214,79,neutral,ANI,False,9760000.0
@ANINewsIndia,streams,humor,0.01632609401176293,0.004941555094251429,0.0009537116600354384,7579,0.23591909373396025,0.22539062104561214,79,neutral,ANI,False,9760000.0
@ANINewsIndia,streams,n_tokens,0.05299982378084537,0.013887649658612321,0.0001354525169723566,7579,0.23591909373396025,0.22539062104561214,79,neutral,ANI,False,9760000.0
@ANINewsIndia,videos,F1,-0.07783973667394067,0.02232273808266323,0.0004884428045015001,12279,0.10618389597784095,0.0946065402867694,133,neutral,ANI,False,9760000.0
@ANINewsIndia,videos,F2,-0.022562720632239398,0.0149758839007057,0.1319122935125778,12279,0.10618389597784095,0.0946065402867694,133,neutral,ANI,False,9760000.0
@ANINewsIndia,videos,F3,0.020638478939593648,0.014382084023005903,0.15128336541429405,12279,0.10618389597784095,0.0946065402867694,133,neutral,ANI,False,9760000.0
@ANINewsIndia,videos,F4,0.02042640013694355,0.016055923255775168,0.20330086034148387,12279,0.10618389597784095,0.0946065402867694,133,neutral,ANI,False,9760000.0
@ANINewsIndia,videos,F5,0.004191935736865542,0.014548516113891146,0.7732434522020964,12279,0.10618389597784095,0.0946065402867694,133,neutral,ANI,False,9760000.0
@ANINewsIndia,videos,F6,0.05659024998780004,0.01641403672121547,0.0005654357662004414,12279,0.10618389597784095,0.0946065402867694,133,neutral,ANI,False,9760000.0
@ANINewsIndia,videos,F7,-0.060057261562939446,0.016821487715005558,0.00035661276164616565,12279,0.10618389597784095,0.0946065402867694,133,neutral,ANI,False,9760000.0
@ANINewsIndia,videos,F8,0.008478366268229627,0.015667451078792374,0.5884074914956856,12279,0.10618389597784095,0.0946065402867694,133,neutral,ANI,False,9760000.0
@ANINewsIndia,videos,F9,-0.043150495688496764,0.015388236105624242,0.0050453766339387,12279,0.10618389597784095,0.0946065402867694,133,neutral,ANI,False,9760000.0
@ANINewsIndia,videos,F10,-0.020768612806468037,0.016556193953397105,0.20968517420677169,12279,0.10618389597784095,0.0946065402867694,133,neutral,ANI,False,9760000.0
@ANINewsIndia,videos,F11,0.04014762678960597,0.022225427492831688,0.0708585885190089,12279,0.10618389597784095,0.0946065402867694,133,neutral,ANI,False,9760000.0
@ANINewsIndia,videos,F12,-0.045535338820174395,0.01618017968851331,0.004888866912886563,12279,0.10618389597784095,0.0946065402867694,133,neutral,ANI,False,9760000.0
@ANINewsIndia,videos,curiosity_gap,0.011274673604240105,0.012536402055970992,0.36846369657155487,12279,0.10618389597784095,0.0946065402867694,133,neutral,ANI,False,9760000.0
