left_creator,right_creator,distance,distance_percentile_all_pairs
@TheDonLemonShow,@JesseKellyDC,1.8117676315659756,1.496031746031746
@TheMichaelCohenShow,@JustPearlyThings,1.8149224272919158,1.507936507936508
@TheYoungTurks,@GrahamAllen,1.8156771881927667,1.5119047619047619
@EzraKleinShow,@AndrewKlavan,1.8162000359669392,1.5158730158730158
@TheHumanistReport,@FreshFitMiami,1.8185056616530444,1.5238095238095237
@TheMichaelCohenShow,@AnthonyBrianLogan,1.8216515716268447,1.5396825396825398
@TheYoungTurks,@SaltyCracker,1.8231457159148763,1.5555555555555556
@Xanderhal,@chicksonright,1.823783279439154,1.5634920634920633
@Forthepeoplepodcast305,@MichaelKnowles,1.8239385218899158,1.5674603174603174
@zeteo,@TheBrianKilmeadeShow,1.8264076791316917,1.5793650793650793
@GlennKirschner2,@SaltyCracker,1.8280958535981389,1.5873015873015872
@OwenReport,@clayandbuck,1.8286087916317169,1.5912698412698414
@LeejaMiller,@bbrettcooper,1.8362239245166323,1.6031746031746033
@podsaveamerica,@MyronGainesX,1.837090532830168,1.6111111111111112
@DylanBurnsLIVE,@ThePodcastoftheLotusEaters,1.8392048407166615,1.623015873015873
@TheMajorityReport,@XAVIAER,1.8395306576759392,1.6269841269841272
@underthedesknews,@DarkHorsePod,1.8403567806927759,1.6349206349206349
@deanwithrs,@TheOfficerTatum,1.8419864133183437,1.6428571428571428
@TheLincolnProject,@JesseKellyDC,1.851507798881731,1.6865079365079365
@RebelHQ,@MyronGainesX,1.8520697351814492,1.6904761904761905
@TheLincolnProject,@GrahamAllen,1.852354833129938,1.6944444444444446
@SMN,@theisabelbrown,1.8524963262899579,1.6984126984126984
@jimacosta,@Tim_Black,1.8528897931819541,1.7023809523809526
@franifio,@RealDanBongino,1.8533451681356232,1.7103174603174602
@podsaveamerica,@MichaelKnowles,1.8626376013515833,1.7380952380952381
@TheMajorityReport,@GrahamAllen,1.8663391186694434,1.7619047619047619
@DropSiteNews,@clayandbuck,1.8675296090879074,1.7777777777777777
@TheYoungTurks,@JustPearlyThings,1.8720248499115675,1.8095238095238095
@PTLRadioShow,@TheAdamCarollaShow1,1.8759743784493936,1.8214285714285714
@EzraKleinShow,@MrTariqNasheed,1.8782812687426589,1.8373015873015874
@therationalnational,@lizwheeler,1.883362953540537,1.8650793650793651
@DueDissidence,https://rumble.com/c/nickjfuentes,1.8835068425656096,1.869047619047619
@OwenReport,@AlexStein99,1.8847065751918883,1.8809523809523812
@TheDonLemonShow,@Styxhexenhammer666,1.8858666696989577,1.892857142857143
@chriscuomo,@AndrewKlavan,1.8875012521379884,1.8968253968253967
@TheYoungTurks,@XAVIAER,1.89035997425877,1.9047619047619049
@PTLRadioShow,@MichaelKnowles,1.8950729178437489,1.9325396825396826
@BadEmpanadaLive,@RealDanBongino,1.8954140178557495,1.9444444444444444
@TheMichaelCohenShow,@RileyGaines,1.9000825112699737,1.972222222222222
@TheMajorityReport,@BenShapiro,1.9016132618505912,1.984126984126984
@Forthepeoplepodcast305,@fightbackpodcast,1.903032624753597,1.9880952380952381
@SMN,@RealDanBongino,1.9044756861736338,1.992063492063492
@NovaraMedia,@JustPearlyThings,1.9054593674074018,1.996031746031746
@DropSiteNews,@XAVIAER,1.905476927200509,2.0
@TheLincolnProject,@Styxhexenhammer666,1.9069022219669023,2.003968253968254
@EzraKleinShow,@BenShapiro,1.9108288411225478,2.0198412698412698
@BadEmpanadaLive,@ThePodcastoftheLotusEaters,1.9129707705955354,2.035714285714286
@LegalEagle,@Styxhexenhammer666,1.9135901081383924,2.0396825396825395
@TheMajorityReport,@chicksonright,1.917020381446867,2.055555555555556
@OwenJonesTalks,@chicksonright,1.9232187846414686,2.0873015873015874
@thomhartmann,@RealDanBongino,1.9233012090960209,2.0912698412698414
@SkyNews,@RebelNewsOnline,1.9246773859279689,2.107142857142857
