creator,group,twin_across_divide,twin_distance,twin_rank_among_all_neighbours,nearest_same_group,nearest_same_group_distance,twin_closer_than_any_same_group
@nationalreview,right,@TheDailyBeast,1.8295438296176436,1,@ColemanHughesOfficial,2.252963054564919,True
@RebelNewsOnline,right,@SkyNews,1.840399116974572,3,@morebridgetphetasy,2.4469374722920407,True
@SkyNews,left,@RebelNewsOnline,1.840399116974572,3,@CNN,1.4241659409729885,False
@RealAmericasVoice,right,@dollemore,1.848023680380177,3,@oann,1.4707566748012393,False
@dollemore,left,@RealAmericasVoice,1.848023680380177,3,@DueDissidence,1.5671618399193317,False
@chriscuomo,left,@MrTariqNasheed,1.878619470124298,4,@TheAtlantic,1.7049283345372286,False
@RestPoliticsUS,left,@AndrewKlavan,1.8894334046024253,1,@LeejaMiller,2.019230907643826,True
@TheAmalaEkpunobi,right,@Xanderhal,1.902313523500302,7,@StevenCrowder,1.734938380477711,False
@FreshFitMiami,right,@TheHumanistReport,1.903106463092827,2,@ChadPrather1,1.6821354771558987,False
@ColemanHughesOfficial,right,@nousnetwork,1.904871130663097,1,@MrTariqNasheed,2.091005853921791,True
@ajplus,left,@theisabelbrown,1.9387159501959539,2,@LeejaMiller,1.3837958274925344,False
@BreakThroughNews,left,@HangOutwithSeanHannity,1.9526325809872989,3,@jimacosta,1.8407567637731836,False
@thedavidpakmanshow,left,@RebelNewsOnline,1.9557142736066722,2,@Vaush,1.9330562663395352,False
@OfficialSaharTV,right,@Xanderhal,1.9671735689003773,4,@CamHigby,1.5108749083258457,False
@marclamonthillnetwork,left,@TheAdamCarollaShow1,1.9836315825550885,1,@rolandsmartin,2.556903665892067,True
@OwenJonesTalks,left,@BenShapiro,2.0026005911576834,5,@NovaraMedia,1.5788713062491078,False
@adammockler,left,@The_Crucible,2.013250663801139,2,@TheMichaelCohenShow,1.7144695236720984,False
@The_Crucible,right,@adammockler,2.013250663801139,2,https://rumble.com/c/russellbrand,2.1497814610747215,True
@jimacosta,left,@Tim_Black,2.013251275406985,2,@BreakThroughNews,1.8407567637731836,False
@Tim_Black,right,@jimacosta,2.013251275406985,1,@MarkDice,2.0349799660602206,True
https://rumble.com/c/TheAlexJonesShowLive,right,@SMN,2.028132402826819,1,@MichaelKnowles,2.468884027263816,True
@StosselTV,right,@underthedesknews,2.067402806975979,2,@FreshFitMiami,2.0274294065768084,False
@CNN,left,@RebelNewsOnline,2.0793645858215744,9,@SkyNews,1.4241659409729885,False
@TheRealTabithaSpeaks,left,@clayandbuck,2.09113086593698,3,@DemocracyDocket,1.9395512076295673,False
@MarkDice,right,@TheHumanistReport,2.0920493752487586,6,@glennbeck,1.5209676427438672,False
@OutKick,right,@TheDonLemonShow,2.0952915260256906,3,@clayandbuck,2.0581171062504366,False
@ActualJusticeWarrior,right,@SabbySabs,2.096309447433122,1,@JesseKellyDC,2.564642023459738,True
@SabbySabs,left,@ActualJusticeWarrior,2.096309447433122,1,@breakingpoints,2.278112413425309,True
@usefulidiots,left,@chicksonright,2.1049698048611667,5,@RebelHQ,1.841143710254257,False
@katiephangnews,left,@TheOfficerTatum,2.121968653208474,1,@LegalAFMTN,2.187306675204555,True
@RedactedNews,right,@BreakThroughNews,2.1566307237443025,1,@glennbeck,2.2078993630037123,True
@TheSerfTimes,left,@chicksonright,2.166114441474369,9,@TheMichaelCohenShow,2.0333880383613865,False
@DemocracyNow,left,@MLChristiansen,2.1834179714526956,1,@rolandsmartin,2.4815734590856806,True
@HasanAbi,left,@TimcastNews,2.1948986751973067,2,@Vaush,1.513714361514624,False
@TimcastNews,right,@HasanAbi,2.1948986751973067,4,@Timcast,1.5659872236127006,False
@RobertGouveiaEsq,right,@DueDissidence,2.2069917186506984,1,https://rumble.com/c/nickjfuentes,2.42166348687306,True
@SecularTalk,left,@TheOfficerTatum,2.207860962931174,3,@deanwithrs,2.171128116139136,False
@BlackConservativePerspective,right,@katiephangnews,2.2170979291755453,1,@TheOfficerTatum,2.665448679413728,True
@breakingpoints,left,@RobertGouveiaEsq,2.233821275191976,2,@DueDissidence,1.353861907173602,False
@bulwarkmedia,left,@RubinReport,2.2376559446462103,3,@DemocracyDocket,1.906552073861982,False
@PiscoLitty,left,https://rumble.com/c/nickjfuentes,2.248508265528742,1,@TheYoungTurks,2.489840759512811,True
@nytimes,left,@nationalreview,2.249498199640262,3,@samharrisorg,2.1016849599343574,False
@MattWalsh,right,@thomhartmann,2.259545127780107,6,@glennbeck,1.2827892477134584,False
@VivaFrei,right,@rolandsmartin,2.270598283093589,2,@MegynKelly,1.9576213129031041,False
@MikeFromPA,left,@JillianMichaels,2.2765981066806327,1,@deanwithrs,2.4364390832860665,True
@TheDamageReport,left,@chicksonright,2.2924767324610515,5,@Forthepeoplepodcast305,1.9772018092651584,False
@X22Report-y5y,right,@bulwarkmedia,2.2982098763868115,2,@OutKick,2.1994024764330886,False
@dineshdsouza,right,@BadEmpanadaLive,2.3545124040093333,1,@JustPearlyThings,2.4939210453071623,True
@lonerboxlive,right,@rolandsmartin,2.3594708403418942,4,@winston_marshall,2.3056391135116097,False
@PragerU,right,@DemocracyDocket,2.4075462982267406,5,@MegynKelly,2.0395224648502324,False
@RealAlexClark,right,@cafedotcom,2.40826468610479,1,@MichaelMaliceofficial,2.6737159754708943,True
@AfterPartyEmily,right,https://rumble.com/c/GGreenwald,2.4220943907364285,2,@MegynKelly,2.413671784131767,False
https://rumble.com/c/russellbrand,right,@adammockler,2.461662500118003,5,@The_Crucible,2.1497814610747215,False
@LiberalHivemind,right,@Vaush,2.5432357876609037,6,https://rumble.com/c/russellbrand,2.256631754674572,False
@PoliticsGirl,left,@ThePodcastoftheLotusEaters,2.5587486907751127,3,@franifio,2.4062394817962875,False
@ponderingpolitics,left,https://rumble.com/c/nickjfuentes,2.603737659781739,1,@PiscoLitty,2.665562722396393,True
@msnow,left,@FoxNews,2.616539403641935,1,@SkyNews,3.012912684837633,True
@FoxNews,right,@msnow,2.616539403641935,1,@RebelNewsOnline,2.8039954043591013,True
@harryjsisson,left,https://rumble.com/c/nickjfuentes,2.6172140869121043,3,@adammockler,2.0323551672546656,False
@TimcastIRL,right,@Vaush,2.637283908080097,3,@Timcast,1.3890330844929915,False
@RonPlacone,left,@clayandbuck,2.6473200249147935,3,@underthedesknews,1.9617409591523427,False
@fastpoliticspodcast,left,@fightbackpodcast,2.662130162702987,3,@JamarlThomas,2.1504927333390205,False
@thegrayzone7996,left,@RebelNewsOnline,2.699911661055803,6,@SkyNews,2.658907571510665,False
@JamarlThomas,left,@TheAdamCarollaShow1,2.7009317536141744,4,@bulwarkmedia,2.075109114621576,False
@StatusCoup,left,@RealAmericasVoice,2.720890366961199,2,@SecularTalk,2.2013059111647006,False
@aljazeeraenglish,left,@RebelNewsOnline,2.7274437023645515,11,@CNN,1.9751819203015122,False
@BlazeTV,right,https://rumble.com/c/GGreenwald,2.7394989659587283,12,@winston_marshall,2.3773674549685615,False
@NewsmaxTV,right,@msnow,2.7544174218088777,2,@FoxNews,3.0719304831982974,True
@Timcast,right,@Vaush,2.7592343655093443,4,@TimcastIRL,1.3890330844929915,False
@DoubleDownNews,left,@DrSteveTurleyTV,2.7641935531113817,1,@SecularTalk,2.8740301603794527,True
@DrSteveTurleyTV,right,@DoubleDownNews,2.7641935531113817,1,@ChadPrather1,3.183660234898571,True
@triggerpod,right,@TheMajorityReport,2.825255907071471,1,@fightbackpodcast,3.0331301164355065,True
@briantylercohen,left,@FoxNews,2.877797114789341,1,@MeidasTouch,3.195738058319116,True
@newdiscourses,right,@TheLincolnProject,2.947899312677653,1,@lizwheeler,3.276892095436637,True
@BadFaithPodcast,left,@MegynKelly,2.9576022636767614,1,@marclamonthillnetwork,3.1078394316318163,True
@MichaelMaliceofficial,right,@cafedotcom,3.0203016073987587,7,@MegynKelly,2.341188438063592,False
@Vox,left,@nationalreview,3.02856397260418,8,@chriscuomo,2.9231520103339346,False
@turningpointusa,right,@TheJoyReidShow,3.035962225675541,7,@PragerU,2.420179276320991,False
@LeverNews,left,@Tim_Black,3.131862708730478,7,@BreakThroughNews,2.5320789723629917,False
@NPR,left,@RebelNewsOnline,3.1808913629571944,9,@SkyNews,2.8977817853166874,False
