genre,creator,group,x,y,topic_cluster
videos,@chicksonright,right,0.4472,0.3484,0
videos,@chinainsights-r2w,neutral,-0.6238,-0.3608,0
videos,@chriscuomo,left,0.2464,-0.0829,0
videos,@clayandbuck,right,0.0598,0.0963,0
videos,@deanwithrs,left,-0.8044,0.0441,0
videos,@destiny,left,-0.1073,0.4328,0
videos,@destinyhqclips,neutral,0.2584,0.6532,0
videos,@dineshdsouza,right,-0.6244,0.02,0
videos,@dollemore,left,0.518,-0.0656,0
videos,@fastpoliticspodcast,left,0.3173,-0.5178,0
videos,@fightbackpodcast,right,-0.3118,0.1056,0
videos,@franifio,left,-0.0117,0.0865,0
videos,@glennbeck,right,-0.0271,-0.016,0
videos,@harryjsisson,left,0.6362,-0.2735,0
videos,@hutch,neutral,-0.1303,0.6603,0
videos,@jimacosta,left,0.4482,-0.1651,0
videos,@jlptalk,right,-0.0403,0.5577,0
videos,@joerogan,neutral,-0.7828,-0.3567,2
videos,@judgingfreedom,left,-0.1598,-0.6223,0
videos,@katiephangnews,left,0.6489,-0.2127,0
videos,@laurenchenclips,right,-0.0631,0.679,0
videos,@lizwheeler,right,0.5204,0.4378,0
videos,@lonerboxlive,right,-0.4502,-0.4184,0
videos,@lovettorleaveitpodcast,left,0.6068,0.2267,0
videos,@marclamonthillnetwork,left,0.3059,0.581,0
videos,@markets,neutral,-0.2033,-0.4877,0
videos,@marklevinshow,right,-0.2353,-0.0964,0
videos,@morebridgetphetasy,right,-0.4542,0.2403,0
videos,@moreperfectunion,left,0.5798,0.4674,0
videos,@msnow,left,0.3082,-0.1445,0
videos,@nationalreview,right,-0.0085,0.3528,0
videos,@newdiscourses,right,-0.6754,0.2526,0
videos,@newyorker,neutral,-0.7266,-0.089,0
videos,@nousnetwork,left,-0.5351,-0.5343,0
videos,@nypost,right,0.2192,-0.327,0
videos,@nytimes,left,0.3726,-0.5386,0
videos,@oann,right,0.0764,-0.0836,0
videos,@podsaveamerica,left,0.4323,-0.1096,0
videos,@ponderingpolitics,left,0.6574,-0.0994,0
videos,@rolandsmartin,left,0.391,0.4064,0
videos,@samharrisorg,left,-0.4096,-0.0007,0
videos,@thedavidpakmanshow,left,0.5699,-0.004,0
videos,@thegrayzone7996,left,-0.1008,-0.6598,0
videos,@thehill,neutral,0.2157,-0.1389,0
videos,@theisabelbrown,right,-0.3126,0.4897,0
videos,@thejimmydoreshow,neutral,0.0082,-0.217,0
videos,@therationalnational,left,-0.2789,-0.3258,0
videos,@thewarningwithsteveschmidt,left,-0.298,-0.4879,0
videos,@thomhartmann,left,0.3034,-0.1683,0
videos,@timesofindia,left,0.0983,-0.5346,0
videos,@triggerpod,right,-0.5555,-0.0297,0
videos,@turningpointusa,right,-0.4315,0.5704,0
videos,@underthedesknews,left,-0.4811,0.1257,0
