creator,genre,caps_share,exclamations,power_words,emoji,vader_intensity,n_titles,caps_share_01,exclamations_01,power_words_01,emoji_01,vader_intensity_01,arousal_index,low_n,group,organisation,clipper,rank_in_genre,percentile_in_genre
@LiberalHivemind,videos,0.28351334113745463,0.4645390070921986,0.26713947990543735,0.11583924349881797,0.22176359338061466,846,0.4430126102682013,0.4404601460896104,0.21013610807237054,0.7726775936681961,0.40899431781271434,0.45505615518221854,False,right,Liberal Hivemind,False,31.0,87.44769874476988
@thejimmydoreshow,videos,0.1646322013055273,0.987783595113438,0.5139616055846422,0.0,0.2553342059336824,1146,0.25177495315580467,0.9365829348368024,0.4979323982421234,0.0,0.5626557038963524,0.4497891980262166,False,neutral,Jimmy Dore,False,32.0,87.02928870292888
@VivaFrei,videos,0.15712026160755502,1.054380664652568,0.44108761329305135,0.0,0.2607915407854985,331,0.2396909022269456,0.9997280195993468,0.4129608237786675,0.0,0.5876353385791273,0.44800301683681737,False,right,Viva Frei,False,33.0,86.61087866108787
@FreshFitMiami,videos,0.06195863695863696,0.918918918918919,0.4864864864864865,0.0,0.30880180180180183,111,0.08660954575108093,0.8712877822791799,0.4658962210693427,0.0,0.8073907345326717,0.4462368567264551,False,right,Fresh & Fit,False,34.0,86.19246861924687
@RebelHQ,videos,0.19852742716519806,0.228328173374613,0.8893188854489165,0.0007739938080495357,0.29972987616099067,1292,0.30630036896072704,0.21649303732419523,0.935601559124199,0.00516273807609855,0.7658661818837998,0.4458847770738039,False,left,TYT Network,False,35.0,85.77405857740585
@TimcastNews,videos,0.6866113727647105,0.016853932584269662,0.45318352059925093,0.00749063670411985,0.2801947565543071,534,1.0,0.015980327797916218,0.42706473459858285,0.04996447636194252,0.6764488812215769,0.4338916839960037,False,right,Timcast,False,36.0,85.35564853556485
@JacksonHinkleOfficial,videos,0.8522982959194298,0.03608247422680412,0.4690721649484536,0.0,0.281659793814433,388,1.0,0.03421217944364881,0.44559100280466046,0.0,0.6831547361028144,0.4325915836702247,False,neutral,Jackson Hinkle,False,37.0,84.93723849372385
@TimesNowWorld,videos,0.22592889357187332,0.24983322214809872,0.8562374916611074,0.00022237046920169,0.27981276406493216,8994,0.3503796253042071,0.23688339589435026,0.8970284272399438,0.0014832683109449246,0.6747004026885116,0.4320950238875915,False,neutral,Times Group,False,38.0,84.51882845188284
@JackCocchiarellaShow,videos,0.0908547325378034,0.2440944881889764,0.8779527559055118,0.0006561679790026247,0.3221351706036746,1524,0.13309313117151259,0.2314421228055163,0.9223485741773301,0.004376809445091421,0.8684210159438722,0.4319363307086645,False,left,Jack Cocchiarella,False,39.0,84.10041841004184
@HasanabiClips,videos,0.17120450338525545,0.09071729957805907,0.5295358649789029,0.1371308016877637,0.2128059071729958,474,0.2623474598910117,0.08601506959581628,0.51609209143606,0.9146977713729033,0.36799266862954444,0.4294290121850671,False,left,HasanAbi,True,40.0,83.68200836820083
@PiersMorganUncensored,videos,0.11961788166695544,0.8066298342541437,0.6353591160220995,0.0,0.2549447513812155,181,0.17936285283140063,0.764819077002296,0.6394827274259531,0.0,0.5608730695683655,0.42890754536560305,False,neutral,Piers Morgan,False,41.0,83.26359832635984
@TimcastIRL,videos,0.6492515671463039,0.0023391812865497076,0.4070175438596491,0.0,0.29001520467836256,855,1.0,0.0022179324351103992,0.3732348893156326,0.0,0.7213996150909513,0.4193704873683388,False,right,Timcast,False,42.0,82.84518828451883
@StatusCoup,videos,0.32558794096511695,0.30947775628626695,0.4274661508704062,0.01160541586073501,0.31092843326885883,517,0.5106957423979863,0.2934363221693449,0.39707810523738457,0.07741111328030166,0.8171248774054146,0.4191492320980864,False,left,Status Coup,False,43.0,82.42677824267783
