title_key_raw,n_creators,n_organisations,n_titles,example,creators,groups,n_groups,within_group,same_organisation_only
bonus episode january 15 2026,2,1,2,"Bonus Episode: January 15, 2026",@TheDamageReport; @TheYoungTurks,left,1,True,True
bonus episode january 16 2026,2,1,2,"Bonus Episode: January 16, 2026",@TheDamageReport; @TheYoungTurks,left,1,True,True
bonus episode january 2 2026,2,1,2,"Bonus Episode: January 2, 2026",@TheDamageReport; @TheYoungTurks,left,1,True,True
bonus episode january 20 2026,2,1,2,"Bonus Episode: January 20, 2026",@TheDamageReport; @TheYoungTurks,left,1,True,True
bonus episode january 21 2026,2,1,2,"Bonus Episode: January 21, 2026",@TheDamageReport; @TheYoungTurks,left,1,True,True
bonus episode january 27 2026,2,1,2,"Bonus Episode: January 27, 2026",@TheDamageReport; @TheYoungTurks,left,1,True,True
bonus episode january 28 2026,2,1,2,"Bonus Episode: January 28, 2026",@TheDamageReport; @TheYoungTurks,left,1,True,True
bonus episode january 5 2026,2,1,2,"Bonus Episode: January 5, 2026",@TheDamageReport; @TheYoungTurks,left,1,True,True
bonus episode january 6 2026,2,1,2,"Bonus Episode: January 6, 2026",@TheDamageReport; @TheYoungTurks,left,1,True,True
bonus episode january 9 2026,2,1,2,"Bonus Episode:  January 9, 2026",@TheDamageReport; @TheYoungTurks,left,1,True,True
bonus episode july 1 2026,2,1,2,"Bonus Episode: July 1, 2026",@TheDamageReport; @TheYoungTurks,left,1,True,True
bonus episode july 10 2026,2,1,2,"Bonus Episode: July 10, 2026",@TheDamageReport; @TheYoungTurks,left,1,True,True
bonus episode july 13 2026,2,1,2,"Bonus Episode: July 13, 2026",@TheDamageReport; @TheYoungTurks,left,1,True,True
bonus episode july 14 2026,2,1,2,"Bonus Episode: July 14, 2026",@TheDamageReport; @TheYoungTurks,left,1,True,True
bonus episode july 15 2026,2,1,2,"Bonus Episode: July 15, 2026",@TheDamageReport; @TheYoungTurks,left,1,True,True
bonus episode july 2 2026,2,1,2,"Bonus Episode: July 2, 2026",@TheDamageReport; @TheYoungTurks,left,1,True,True
bonus episode july 20 2026,2,1,2,"Bonus Episode: July 20, 2026",@TheDamageReport; @TheYoungTurks,left,1,True,True
bonus episode july 21 2026,2,1,2,"Bonus Episode: July 21, 2026",@TheDamageReport; @TheYoungTurks,left,1,True,True
bonus episode july 22 2026,2,1,2,"Bonus Episode: July 22, 2026",@TheDamageReport; @TheYoungTurks,left,1,True,True
bonus episode july 23 2026,2,1,2,"Bonus Episode: July 23, 2026",@TheDamageReport; @TheYoungTurks,left,1,True,True
bonus episode july 24 2026,2,1,2,"Bonus Episode: July 24, 2026",@TheDamageReport; @TheYoungTurks,left,1,True,True
bonus episode july 27 2026,2,1,2,"Bonus Episode: July 27, 2026",@TheDamageReport; @TheYoungTurks,left,1,True,True
bonus episode july 28 2026,2,1,2,"Bonus Episode: July 28, 2026",@TheDamageReport; @TheYoungTurks,left,1,True,True
bonus episode july 29 2026,2,1,2,"Bonus Episode: July 29, 2026",@TheDamageReport; @TheYoungTurks,left,1,True,True
bonus episode july 30 2026,2,1,2,"Bonus Episode: July 30, 2026",@TheDamageReport; @TheYoungTurks,left,1,True,True
bonus episode july 31 2026,2,1,2,"Bonus Episode: July 31, 2026",@TheDamageReport; @TheYoungTurks,left,1,True,True
bonus episode july 7 2026,2,1,2,"Bonus Episode: July 7, 2026",@TheDamageReport; @TheYoungTurks,left,1,True,True
bonus episode july 8 2026,2,1,2,"Bonus Episode: July 8, 2026",@TheDamageReport; @TheYoungTurks,left,1,True,True
bonus episode july 9 2026,2,1,2,"Bonus Episode: July 9, 2026",@TheDamageReport; @TheYoungTurks,left,1,True,True
bonus episode june 10 2026,2,1,2,"Bonus Episode: June 10, 2026",@TheDamageReport; @TheYoungTurks,left,1,True,True
bonus episode june 11 2026,2,1,2,"Bonus Episode:  June 11, 2026",@TheDamageReport; @TheYoungTurks,left,1,True,True
bonus episode june 12 2026,2,1,2,"Bonus Episode:  June 12, 2026",@TheDamageReport; @TheYoungTurks,left,1,True,True
bonus episode june 15 2026,2,1,2,"Bonus Episode: June 15, 2026",@TheDamageReport; @TheYoungTurks,left,1,True,True
bonus episode june 16 2026,2,1,2,"Bonus Episode: June 16, 2026",@TheDamageReport; @TheYoungTurks,left,1,True,True
bonus episode june 17 2026,2,1,2,"Bonus Episode: June 17, 2026",@TheDamageReport; @TheYoungTurks,left,1,True,True
bonus episode june 23 2026,2,1,2,"Bonus Episode: June 23, 2026",@TheDamageReport; @TheYoungTurks,left,1,True,True
bonus episode june 24 2026,2,1,2,"Bonus Episode: June 24, 2026",@TheDamageReport; @TheYoungTurks,left,1,True,True
bonus episode june 26 2026,2,1,2,"Bonus Episode: June 26, 2026",@TheDamageReport; @TheYoungTurks,left,1,True,True
bonus episode june 29 2026,2,1,2,"Bonus Episode: June 29, 2026",@TheDamageReport; @TheYoungTurks,left,1,True,True
