scope,group,genre,target,predictor,n_creators,spearman_r,p
within_group,right,videos,gini,log_n_videos,73,0.107,0.3658
within_group,right,videos,gini,log_subscribers,73,-0.202,0.0865
within_group,right,videos,top10_share,F1_controlled,73,0.245,0.0365
within_group,right,videos,top10_share,F2_controlled,73,-0.193,0.1019
within_group,right,videos,top10_share,F3_controlled,73,0.058,0.6248
within_group,right,videos,top10_share,F4_controlled,73,-0.131,0.2694
within_group,right,videos,top10_share,F5_controlled,73,0.299,0.0102
within_group,right,videos,top10_share,F6_controlled,73,0.248,0.0347
within_group,right,videos,top10_share,F7_controlled,73,-0.181,0.1256
within_group,right,videos,top10_share,F8_controlled,73,0.095,0.4265
within_group,right,videos,top10_share,F9_controlled,73,-0.217,0.0655
within_group,right,videos,top10_share,F10_controlled,73,0.332,0.0041
within_group,right,videos,top10_share,F11_controlled,73,0.185,0.1177
within_group,right,videos,top10_share,F12_controlled,73,0.09,0.451
within_group,right,videos,top10_share,curiosity_gap,73,-0.386,0.0007
within_group,right,videos,top10_share,outrage,73,-0.526,0.0
within_group,right,videos,top10_share,humor,73,-0.105,0.3778
within_group,right,videos,top10_share,log_n_videos,73,0.067,0.5722
within_group,right,videos,top10_share,log_subscribers,73,-0.234,0.0462
pooled_within_group (group-demeaned),ALL,streams,gini,F1_controlled,57,0.385,0.0031
pooled_within_group (group-demeaned),ALL,streams,gini,F2_controlled,57,-0.045,0.7408
pooled_within_group (group-demeaned),ALL,streams,gini,F3_controlled,57,0.44,0.0006
pooled_within_group (group-demeaned),ALL,streams,gini,F4_controlled,57,-0.007,0.9565
pooled_within_group (group-demeaned),ALL,streams,gini,F5_controlled,57,-0.169,0.2102
pooled_within_group (group-demeaned),ALL,streams,gini,F6_controlled,57,-0.09,0.5036
pooled_within_group (group-demeaned),ALL,streams,gini,F7_controlled,57,0.263,0.0485
pooled_within_group (group-demeaned),ALL,streams,gini,F8_controlled,57,-0.05,0.7113
pooled_within_group (group-demeaned),ALL,streams,gini,F9_controlled,57,0.065,0.6326
pooled_within_group (group-demeaned),ALL,streams,gini,F10_controlled,57,-0.038,0.778
pooled_within_group (group-demeaned),ALL,streams,gini,F11_controlled,57,-0.118,0.3832
pooled_within_group (group-demeaned),ALL,streams,gini,F12_controlled,57,0.025,0.8508
pooled_within_group (group-demeaned),ALL,streams,gini,curiosity_gap,57,-0.16,0.2359
pooled_within_group (group-demeaned),ALL,streams,gini,outrage,57,-0.447,0.0005
pooled_within_group (group-demeaned),ALL,streams,gini,humor,57,0.026,0.8496
pooled_within_group (group-demeaned),ALL,streams,gini,log_n_videos,57,0.303,0.0219
pooled_within_group (group-demeaned),ALL,streams,gini,log_subscribers,57,0.336,0.0106
pooled_within_group (group-demeaned),ALL,streams,top10_share,F1_controlled,57,0.419,0.0012
pooled_within_group (group-demeaned),ALL,streams,top10_share,F2_controlled,57,-0.045,0.7408
pooled_within_group (group-demeaned),ALL,streams,top10_share,F3_controlled,57,0.395,0.0024
pooled_within_group (group-demeaned),ALL,streams,top10_share,F4_controlled,57,0.011,0.9355
pooled_within_group (group-demeaned),ALL,streams,top10_share,F5_controlled,57,-0.117,0.3874
pooled_within_group (group-demeaned),ALL,streams,top10_share,F6_controlled,57,-0.127,0.3446
pooled_within_group (group-demeaned),ALL,streams,top10_share,F7_controlled,57,0.278,0.0365
pooled_within_group (group-demeaned),ALL,streams,top10_share,F8_controlled,57,-0.056,0.6808
pooled_within_group (group-demeaned),ALL,streams,top10_share,F9_controlled,57,0.01,0.939
pooled_within_group (group-demeaned),ALL,streams,top10_share,F10_controlled,57,-0.046,0.7364
pooled_within_group (group-demeaned),ALL,streams,top10_share,F11_controlled,57,-0.146,0.279
pooled_within_group (group-demeaned),ALL,streams,top10_share,F12_controlled,57,0.025,0.8564
pooled_within_group (group-demeaned),ALL,streams,top10_share,curiosity_gap,57,-0.124,0.3581
pooled_within_group (group-demeaned),ALL,streams,top10_share,outrage,57,-0.458,0.0003
pooled_within_group (group-demeaned),ALL,streams,top10_share,humor,57,0.046,0.7332
pooled_within_group (group-demeaned),ALL,streams,top10_share,log_n_videos,57,0.258,0.0524
pooled_within_group (group-demeaned),ALL,streams,top10_share,log_subscribers,57,0.34,0.0098
pooled_within_group (group-demeaned),ALL,videos,gini,F1_controlled,189,0.222,0.0021
pooled_within_group (group-demeaned),ALL,videos,gini,F2_controlled,189,0.03,0.6817
pooled_within_group (group-demeaned),ALL,videos,gini,F3_controlled,189,-0.023,0.7545
pooled_within_group (group-demeaned),ALL,videos,gini,F4_controlled,189,-0.083,0.2546
pooled_within_group (group-demeaned),ALL,videos,gini,F5_controlled,189,0.271,0.0002
pooled_within_group (group-demeaned),ALL,videos,gini,F6_controlled,189,0.144,0.0477
pooled_within_group (group-demeaned),ALL,videos,gini,F7_controlled,189,0.063,0.3897
pooled_within_group (group-demeaned),ALL,videos,gini,F8_controlled,189,0.204,0.0048
pooled_within_group (group-demeaned),ALL,videos,gini,F9_controlled,189,-0.134,0.0653
pooled_within_group (group-demeaned),ALL,videos,gini,F10_controlled,189,0.265,0.0002
pooled_within_group (group-demeaned),ALL,videos,gini,F11_controlled,189,0.167,0.0219
pooled_within_group (group-demeaned),ALL,videos,gini,F12_controlled,189,0.24,0.0009
pooled_within_group (group-demeaned),ALL,videos,gini,curiosity_gap,189,-0.204,0.0049
pooled_within_group (group-demeaned),ALL,videos,gini,outrage,189,-0.468,0.0
pooled_within_group (group-demeaned),ALL,videos,gini,humor,189,-0.049,0.5027
pooled_within_group (group-demeaned),ALL,videos,gini,log_n_videos,189,0.182,0.0122
pooled_within_group (group-demeaned),ALL,videos,gini,log_subscribers,189,0.007,0.9186
pooled_within_group (group-demeaned),ALL,videos,top10_share,F1_controlled,189,0.237,0.001
pooled_within_group (group-demeaned),ALL,videos,top10_share,F2_controlled,189,0.038,0.6046
pooled_within_group (group-demeaned),ALL,videos,top10_share,F3_controlled,189,-0.05,0.4945
pooled_within_group (group-demeaned),ALL,videos,top10_share,F4_controlled,189,-0.11,0.1312
pooled_within_group (group-demeaned),ALL,videos,top10_share,F5_controlled,189,0.259,0.0003
pooled_within_group (group-demeaned),ALL,videos,top10_share,F6_controlled,189,0.131,0.0724
pooled_within_group (group-demeaned),ALL,videos,top10_share,F7_controlled,189,0.065,0.3754
pooled_within_group (group-demeaned),ALL,videos,top10_share,F8_controlled,189,0.191,0.0085
pooled_within_group (group-demeaned),ALL,videos,top10_share,F9_controlled,189,-0.14,0.0546
pooled_within_group (group-demeaned),ALL,videos,top10_share,F10_controlled,189,0.263,0.0003
pooled_within_group (group-demeaned),ALL,videos,top10_share,F11_controlled,189,0.169,0.0198
pooled_within_group (group-demeaned),ALL,videos,top10_share,F12_controlled,189,0.211,0.0036
pooled_within_group (group-demeaned),ALL,videos,top10_share,curiosity_gap,189,-0.199,0.0059
pooled_within_group (group-demeaned),ALL,videos,top10_share,outrage,189,-0.459,0.0
pooled_within_group (group-demeaned),ALL,videos,top10_share,humor,189,-0.044,0.5518
pooled_within_group (group-demeaned),ALL,videos,top10_share,log_n_videos,189,0.162,0.0256
pooled_within_group (group-demeaned),ALL,videos,top10_share,log_subscribers,189,-0.023,0.7545
