a,b,series,lag_days,ccf_residual,ccf_prewhitened,band
epstein,trump,pooled,1,-0.0780,0.0310,0.1225
epstein,trump,pooled,2,-0.0395,0.0006,0.1225
epstein,trump,pooled,3,-0.0357,-0.0043,0.1225
epstein,trump,pooled,4,-0.0375,0.0167,0.1225
epstein,trump,pooled,5,-0.0725,-0.0439,0.1225
epstein,trump,pooled,6,-0.0712,-0.0360,0.1225
epstein,trump,pooled,7,-0.0382,0.0197,0.1225
epstein,trump,pooled,8,-0.0309,0.0438,0.1225
epstein,trump,pooled,9,-0.0914,-0.0799,0.1225
epstein,trump,pooled,10,-0.0847,-0.0218,0.1225
epstein,trump,pooled,11,-0.0751,-0.0917,0.1225
epstein,trump,pooled,12,0.0330,0.0825,0.1225
epstein,trump,pooled,13,0.0386,-0.0357,0.1225
epstein,trump,pooled,14,0.1021,0.0661,0.1225
epstein,trump,channels,-14,-0.0009,-0.0259,0.1227
epstein,trump,channels,-13,-0.0210,-0.0039,0.1227
epstein,trump,channels,-12,-0.0447,-0.0499,0.1227
epstein,trump,channels,-11,0.0018,0.0052,0.1227
epstein,trump,channels,-10,0.0311,0.0579,0.1227
epstein,trump,channels,-9,0.0273,0.0114,0.1227
epstein,trump,channels,-8,-0.0037,0.0596,0.1227
epstein,trump,channels,-7,-0.1138,-0.1130,0.1227
epstein,trump,channels,-6,-0.1155,-0.0559,0.1227
epstein,trump,channels,-5,-0.1232,-0.1030,0.1227
epstein,trump,channels,-4,-0.0080,0.0719,0.1227
epstein,trump,channels,-3,-0.0167,0.0083,0.1227
epstein,trump,channels,-2,-0.0069,0.0514,0.1227
epstein,trump,channels,-1,-0.0883,-0.0568,0.1227
epstein,trump,channels,0,-0.1085,-0.0851,0.1227
epstein,trump,channels,1,-0.0333,0.0138,0.1227
epstein,trump,channels,2,-0.0180,0.0065,0.1227
epstein,trump,channels,3,-0.0359,-0.0273,0.1227
epstein,trump,channels,4,-0.0317,-0.0164,0.1227
epstein,trump,channels,5,-0.0185,0.0162,0.1227
epstein,trump,channels,6,-0.0278,0.0145,0.1227
epstein,trump,channels,7,-0.0271,0.0535,0.1227
epstein,trump,channels,8,-0.0947,-0.0473,0.1227
epstein,trump,channels,9,-0.1484,-0.1046,0.1227
epstein,trump,channels,10,-0.0970,0.0399,0.1227
epstein,trump,channels,11,-0.1585,-0.1521,0.1227
epstein,trump,channels,12,-0.0476,0.0254,0.1227
