comparison,rank,type,rank_1,rank_2,count_1,count_2,contribution,side
gemma,78,house,17.5,40.5,47,39,-0.00018637926626569783,system_1
gemma,79,dei,7654.0,331.0,0,13,0.00018614546864572344,system_2
gemma,80,splc,7654.0,331.0,0,13,0.00018614546864572344,system_2
gemma,81,bannon,7654.0,331.0,0,13,0.00018614546864572344,system_2
gemma,82,wolff,287.5,4910.0,12,1,-0.00018444385990126308,system_1
gemma,83,biden,260.0,64.5,13,32,0.00018443650904578432,system_2
gemma,84,can't,47.5,161.0,31,20,-0.00018388289014015412,system_1
gemma,85,gets,13.0,27.0,68,47,-0.00018336529020858045,system_1
gemma,86,uygur,368.0,8066.0,10,0,-0.0001799534129145978,system_1
gemma,87,marandi,368.0,8066.0,10,0,-0.0001799534129145978,system_1
gemma,88,morgan,1507.5,185.5,3,18,0.00017760978798612038,system_2
gemma,89,mamdani,31.5,83.0,36,27,-0.0001764906015191279,system_1
gemma,90,epstein,7.0,12.0,100,76,-0.00017433315243477136,system_1
gemma,91,canada,260.0,70.5,13,30,0.00017345290519279422,system_2
gemma,92,freedom,1142.0,173.0,4,19,0.00017102040357877408,system_2
gemma,93,milo,7654.0,417.0,0,11,0.00016996626633655683,system_2
gemma,94,karmelo,7654.0,417.0,0,11,0.00016996626633655683,system_2
gemma,95,islamic,7654.0,417.0,0,11,0.00016996626633655683,system_2
gemma,96,vol,7654.0,417.0,0,11,0.00016996626633655683,system_2
gemma,97,vaush,426.0,8066.0,9,0,-0.00016985852172136348,system_1
gemma,98,dnc,426.0,8066.0,9,0,-0.00016985852172136348,system_1
gemma,99,mohammad,426.0,8066.0,9,0,-0.00016985852172136348,system_1
gemma,100,palestine,150.0,856.0,17,6,-0.0001696274112731134,system_1
opus,1,maga,4.0,130.0,201,16,-0.0006638782306655074,system_1
opus,2,women,123.0,5.0,18,73,0.0006068346571964691,system_2
opus,3,fraud,341.5,7.0,10,67,0.0006020444405269609,system_2
opus,4,breaking,8.0,458.0,84,7,-0.0005908030545555802,system_1
opus,5,democrats,42.5,4.0,32,92,0.0005583585229584547,system_2
opus,6,woke,818.0,12.0,5,53,0.0005417596856621369,system_2
opus,7,america,10.0,2.0,64,114,0.0005413619480018754,system_2
opus,8,fox,15.0,1862.5,49,2,-0.0005347710146848292,system_1
opus,9,donald,13.0,566.0,53,6,-0.0005100792386796769,system_1
opus,10,pray,3971.5,27.0,1,32,0.0004664480447190252,system_2
opus,11,charlie,394.5,15.0,9,46,0.0004650807017274335,system_2
opus,12,california,557.5,17.0,7,44,0.0004628460998047943,system_2
opus,13,kirk,297.5,14.0,11,49,0.0004598664867062744,system_2
opus,14,republicans,11.0,130.0,59,16,-0.0004430146243893453,system_1
opus,15,left,82.0,9.0,23,63,0.00044081405440521095,system_2
opus,16,panics,26.0,1240.5,39,3,-0.00043275711704505375,system_1
opus,17,epstein,7.0,45.0,108,24,-0.0004289396728990077,system_1
opus,18,jlp,6783.5,42.0,0,25,0.00041991360677592676,system_2
opus,19,israel,6.0,31.5,128,29,-0.0004183362628897434,system_1
opus,20,war,3.0,10.0,219,59,-0.0004123057176730589,system_1
opus,21,islam,2050.0,34.5,2,28,0.0004113051232377585,system_2
opus,22,gaza,31.5,1240.5,36,3,-0.00040468308271329506,system_1
opus,23,venezuela,26.0,566.0,39,6,-0.00039526841805299765,system_1
opus,24,trans,818.0,30.0,5,30,0.00039286059420422063,system_2
opus,25,hasanabi,47.0,3768.0,30,1,-0.00039002052656863866,system_1
opus,26,democrat,258.5,21.5,12,39,0.000375933433141531,system_2
opus,27,plan,16.0,130.0,48,16,-0.0003714729527717292,system_1
opus,28,ds,6783.5,66.5,0,21,0.0003638378588117387,system_2
opus,29,liberal,669.0,34.5,6,28,0.0003622069191693272,system_2
opus,30,vance,21.5,204.5,45,12,-0.0003580460557186253,system_1
opus,31,black,31.5,8.0,36,66,0.00034876817886644987,system_2
opus,32,newsom,669.0,39.0,6,26,0.00034473717921760903,system_2
opus,33,biden,468.5,34.5,8,28,0.0003417023965540503,system_2
opus,34,omg,82.0,6678.5,23,0,-0.00033976131214958217,system_1
opus,35,walz,6783.5,85.0,0,19,0.0003362077580530092,system_2
opus,36,viral,557.5,39.0,7,26,0.0003344255141936368,system_2
opus,37,house,21.5,146.5,45,15,-0.0003294316483134538,system_1
opus,38,jd,29.5,270.0,37,10,-0.0003279536023896686,system_1
opus,39,somali,2050.0,66.5,2,21,0.00032677253535341245,system_2
opus,40,israeli,51.0,911.0,29,4,-0.00032442610121773867,system_1
opus,41,mamdani,108.0,19.0,19,41,0.0003218935626335263,system_2
opus,42,people,56.0,13.0,28,51,0.0003206356821799713,system_2
opus,43,secret,24.0,162.5,42,14,-0.00031992706999222134,system_1
opus,44,muslim,669.0,50.0,6,23,0.00031059506703524047,system_2
opus,45,preet,108.0,6678.5,19,0,-0.00031027137908970487,system_1
opus,46,bharara,108.0,6678.5,19,0,-0.00031027137908970487,system_1
opus,47,disaster,34.0,270.0,35,10,-0.0003059211566263655,system_1
opus,48,myron,3971.5,99.0,1,18,0.0003045203131535108,system_2
opus,49,view,3971.5,99.0,1,18,0.0003045203131535108,system_2
opus,50,leftist,557.5,50.0,7,23,0.00029991047149921355,system_2
opus,51,gavin,1033.5,66.5,4,21,0.00029687519635807,system_2
opus,52,fauci,1033.5,66.5,4,21,0.00029687519635807,system_2
opus,53,noem,63.5,911.0,26,4,-0.000296241517640001,system_1
opus,54,minnesota,155.5,27.0,16,32,0.00029605044033826586,system_2
opus,55,files,47.0,458.0,30,7,-0.0002960434093963281,system_1
opus,56,media,87.0,20.0,22,40,0.00028901821337561274,system_2
opus,57,race,818.0,66.5,5,21,0.0002847222432316138,system_2
opus,58,illegal,176.0,31.5,15,29,0.0002821162260355514,system_2
opus,59,rick,123.0,3768.0,18,1,-0.00027999805512025114,system_1
opus,60,leftists,1033.5,76.5,4,20,0.0002797579731155591,system_2
opus,61,melania,97.5,1862.5,20,2,-0.0002787345127288512,system_1
opus,62,doj,18.0,66.5,47,21,-0.00027681391169478585,system_1
opus,63,swalwell,3971.5,130.0,1,16,0.0002760610177967844,system_2
opus,64,liberals,3971.5,130.0,1,16,0.0002760610177967844,system_2
opus,65,kristi,75.5,911.0,24,4,-0.00027481065044581093,system_1
opus,66,aipac,155.5,6678.5,16,0,-0.00027390552030663216,system_1
opus,67,mayor,669.0,66.5,6,21,0.00027333143362412633,system_2
opus,68,reacts,28.0,130.0,38,16,-0.00027244232988304885,system_1
opus,69,loses,51.0,378.5,29,8,-0.00027166412689738856,system_1
opus,70,lib,6783.5,162.5,0,14,0.00027013321766654493,system_2
opus,71,wilson,108.0,1862.5,19,2,-0.0002674629943639531,system_1
opus,72,mass,818.0,76.5,5,20,0.00026735483438495206,system_2
opus,73,court,14.0,42.0,52,25,-0.00026515098311961834,system_1
opus,74,shock,82.0,911.0,23,4,-0.00026482695718775653,system_1
opus,75,deep,1391.0,99.0,3,18,0.00026414254873516574,system_2
opus,76,hollywood,3971.5,146.5,1,15,0.0002640864237606686,system_2
opus,77,voters,60.0,458.0,27,7,-0.0002627663927219504,system_1
opus,78,finally,34.0,162.5,35,14,-0.00026233002501598545,system_1
opus,79,billionaire,176.0,6678.5,15,0,-0.0002621936075584637,system_1
opus,80,men,557.5,66.5,7,21,0.0002621695732003938,system_2
opus,81,hegseth,75.5,704.0,24,5,-0.0002603882281195694,system_1
opus,82,splc,6783.5,183.0,0,13,0.00025900313303259254,system_2
opus,83,racism,6783.5,183.0,0,13,0.00025900313303259254,system_2
opus,84,islamic,6783.5,183.0,0,13,0.00025900313303259254,system_2
opus,85,backfires,56.0,378.5,28,8,-0.00025872739526117084,system_1
opus,86,canada,224.0,42.0,13,25,0.0002585553986516462,system_2
opus,87,humiliated,87.0,911.0,22,4,-0.0002577638258526829,system_1
opus,88,gop,47.0,270.0,30,10,-0.00025753402652710036,system_1
opus,89,billionaires,155.5,3768.0,16,1,-0.000256459207642734,system_1
opus,90,nick,818.0,85.0,5,19,0.0002545802248705004,system_2
opus,91,american,92.0,25.0,21,35,0.00025453087202040314,system_2
opus,92,abortion,3971.5,162.5,1,14,0.0002539379835314261,system_2
opus,93,anti-ice,3971.5,162.5,1,14,0.0002539379835314261,system_2
opus,94,brian,123.0,1862.5,18,2,-0.00025345491665896376,system_1
opus,95,modern,2050.0,130.0,2,16,0.0002516784243148217,system_2
opus,96,kids,1033.5,99.0,4,18,0.0002494101255360009,system_2
opus,97,student,1033.5,99.0,4,18,0.0002494101255360009,system_2
opus,98,karmelo,1391.0,114.0,3,17,0.0002484439634105335,system_2
opus,99,congress,68.5,458.0,25,7,-0.00024526846299715985,system_1
opus,100,fbi,258.5,50.0,12,23,0.0002449334488431087,system_2
consensus,1,woke,2874.5,7.0,0,26,0.00130224294797121,system_2
consensus,2,democrat,463.5,5.5,2,27,0.0012694491487462982,system_2
consensus,3,fraud,1280.5,8.0,1,25,0.0012049104671212538,system_2
consensus,4,women,238.0,5.5,3,27,0.0011987924670768253,system_2
