published,creator,group,title_raw,view_count,url
2026-03-09,@MegynKelly,right,"Seventh Iran War U.S. Death, IED Attack in NYC, New Epstein Security Guard Questions: AM Update 3/9",53000.0,https://www.youtube.com/watch?v=Zo03eaTqTpM
2026-03-09,@adammockler,left,Epstein Bombshell Drops as WAR BACKFIRES,253000.0,https://www.youtube.com/watch?v=ukVCAZ0xhYk
2026-03-10,@jlptalk,right,Michael Tracey Breaks Down the Epstein Files for JLP (Plus Iran War),1300.0,https://www.youtube.com/watch?v=xRsTDdMJ-Is
2026-03-10,@NYTPodcasts,left,"Trump Zigzags on When War Will End, and Investigators Search Epstein’s Ranch in New Mexico",31000.0,https://www.youtube.com/watch?v=KskzCXGrRfM
2026-03-11,@SecularTalk,left,POLL: AMERICANS ERUPT IN ANGER AT ‘JEFFREY EPSTEIN WAR’ | The Kyle Kulinski Show,129000.0,https://www.youtube.com/watch?v=rgPUAOfkqXo
2026-03-11,@breakingpoints,left,"SHOCK POLL: Americans Say War For EPSTEIN, ISRAEL",262000.0,https://www.youtube.com/watch?v=jed30jUAQWI
2026-03-12,@TheDonLemonShow,left,LEMON DROP | Is The Iran War Donald Trump's Epstein Distraction!?,11000.0,https://www.youtube.com/watch?v=Lua95QrP8Ks
2026-03-12,@msnow,left,"Epstein crisis & 'Warmonger' Trump's 'killer robot' AI: War blowback with Ari, Jason & Ish",32000.0,https://www.youtube.com/watch?v=S6Kr6-KhDkQ
2026-03-12,@NewsNation,neutral,"Operation Epic Fury, Gen Z reacts to war; Epstein ranch search | Jesse Weber Live Full Show 3/10",2400.0,https://www.youtube.com/watch?v=rnCPmuni9Uo
2026-03-13,@TheLincolnProject,left,Trump’s Iran Clusterf*ck War Is The Ultimate Epstein Distraction,201000.0,https://www.youtube.com/watch?v=13kJ8j0wfEY
2026-03-14,@msnow,left,U.K. leader: Trump is ‘losing allies’ and perhaps using war to ‘distract from Epstein files’,337000.0,https://www.youtube.com/watch?v=uRjPG_Y6x1s
2026-03-15,@jimacosta,left,"Jamie Raskin on Trump’s Iran War, Civilian Casualties, and the Epstein Cover-Up Questions",12000.0,https://www.youtube.com/watch?v=aXaLLprptTc
2026-03-15,@TimesNowWorld,neutral,LARIJANI BOMBSHELL: Epstein Network Plotting A New 9/11 To Frame Iran | US-Iran War,2300.0,https://www.youtube.com/watch?v=AUPOW_EEIFI
2026-03-16,@marclamonthillnetwork,left,Marc Lamont Hill: Did the Iran War Bury the Epstein Files? The Timing Has Everyone Asking Questions,796.0,https://www.youtube.com/watch?v=LCQ6lrWE7HE
2026-03-24,@SecularTalk,left,‘BRING THEM HOME!’: Graham Platner COOKS Trump & ‘EPSTEIN’S WAR’ | The Kyle Kulinski Show,115000.0,https://www.youtube.com/watch?v=i08-yz6ZeUQ
2026-03-24,@jimacosta,left,Rep. Ro Khanna Drops Bombshell on Epstein's Death | Tara Palmeri + Iran War Crisis,41000.0,https://www.youtube.com/watch?v=FnO7rvqIvt0
2026-03-27,@PTLRadioShow,left,"Joe Walsh SOUNDS OFF On Trump, Iran War & Epstein Files",829.0,https://www.youtube.com/watch?v=Xpkf0Hw3cb4
2026-04-01,@axios,neutral,"Jamie Dimon on Trump, the war in Iran, and Epstein | The Axios Show",199000.0,https://www.youtube.com/watch?v=Wan7sLrKCk8
2026-04-02,@thehill,neutral,"Whitney Cummings trashes Trump for Supreme Court focus amid Epstein scandal, Iran War | RISING",2700.0,https://www.youtube.com/watch?v=GBJz85DCtRU
2026-04-09,@TheSerfTimes,left,US & Israel LOSE WAR - MMIWGS2LGBTQQIA+ MAGA MELTDOWN - Melania EPSTEIN enthusiast (GHISLANE BESTIE),2100.0,https://www.youtube.com/watch?v=Jr1OTp2Sc2A
2026-04-10,@thewarningwithsteveschmidt,left,Steve Schmidt: Trump Misplayed the War in Iran. Melania Lied About Epstein.,,https://www.youtube.com/watch?v=s_Zvj4akIP8
2026-04-10,@TheDailyBeast,left,How Trump's War In Iran Silences Epstein's Victims,10000.0,https://www.youtube.com/watch?v=EragGrOw1Uc
2026-04-12,@MeidasTouch,left,LIVE: Trump in FULL CRISIS over EPSTEIN AND WAR CRIMES!!!! | Legal AF,541000.0,https://www.youtube.com/watch?v=4Q3U7CEtBjU
2026-04-16,@SecularTalk,left,Zohran SILENCES ALL CRITICS As He GOES TO WAR With Epstein Class & RACKS UP WINS! | Kyle Kulinski,116000.0,https://www.youtube.com/watch?v=MT6cBglhozo
2026-04-16,@marclamonthillnetwork,left,"Marc Lamont Hill CLASHES on Trump, Epstein & Iran War Debate | Piers Morgan Uncensored",3600.0,https://www.youtube.com/watch?v=1UF_mV1jkkk
2026-04-29,@StatusCoup,left,LIVE: Legal WAR to FORCE Trump to Release FULL Epstein Files,11000.0,https://www.youtube.com/watch?v=0PztZH1cygk
2026-05-12,@DropSiteNews,left,From Iran to Nebraska: Ripple Effects of US-Israeli War Plus Updates on Epstein Files | Ep. 60,15000.0,https://www.youtube.com/watch?v=d9dtg6mkWbc
2026-05-20,@USATODAY,neutral,"Full Massie concession speech addresses Epstein files, Iran war & more after Kentucky election loss",130000.0,https://www.youtube.com/watch?v=7TXyXTBQFYk
2026-05-29,@RealAmericasVoice,right,"PAM BONDI EPSTEIN BOMBSHELL, HEGSETH UPDATES & IRAN WAR | THE AMERICAN SUNRISE SHOW",2500.0,https://www.youtube.com/watch?v=oelqcIakK4w
2026-05-29,@CBSNews,neutral,"Trump mulling on next steps in Iran war, Bondi testifies on Epstein files, more | The Takeout",16000.0,https://www.youtube.com/watch?v=p5Lix6aqzDY
2026-06-03,@ANINewsIndia,neutral,“Did your son and Epstein discuss pole dancing?”: War of words between Bessent and Senator Wyden,1700.0,https://www.youtube.com/watch?v=9tjKfCsTLBA
2026-06-12,@dollemore,left,"Trump Can't Hide From NEW EPSTEIN LEAK & Hegseth Faces WAR CRIME ACCUSATIONS - June 11, 2026",32000.0,https://www.youtube.com/watch?v=eWsj_6kRTTc
2026-06-15,@thehill,neutral,"Alleged SITUATION ROOM tapes on EPSTEIN, IRAN war reportedly LEAKED to NYT reporters | RISING",10000.0,https://www.youtube.com/watch?v=MHx99pwbJoM
2026-06-15,@thehill,neutral,"Joe Rogan FED UP with Trump Admin over EPSTEIN files, Iran War | RISING",16000.0,https://www.youtube.com/watch?v=xapDwOf1d7c
2026-07-27,@Firstpost,neutral,"'Trump Has Failed America', Hakeem Jeffries Unloads On Trump Over Economy, Iran War & Epstein Files",958.0,https://www.youtube.com/watch?v=MLkHNDOx8AQ
2026-08-13,@MeidasTouch,left,LIVE: EPSTEIN HEARING + TRUMP LOSING WAR - 8/13/2026,331000.0,https://www.youtube.com/watch?v=pt2fZ7ehk5U
2026-08-16,@timesofindia,left,‘OPERATION EPSTEIN FURY…’: US Soldiers OPENLY REVOLT Against Trump Over Iran War; ‘You Bibi's Cuck’,44000.0,https://www.youtube.com/watch?v=HHSX11rtios
2026-08-18,@DemocracyNow,left,"“Regime Change” Author Maggie Haberman on Trump’s Imperial Presidency, Epstein Files & War on Iran",786000.0,https://www.youtube.com/watch?v=EJNo7FQ2xmk
2026-09-03,@dollemore,left,Epstein Island Visitor Howard Lutnick Disregards Troop Deaths in Iran War!,21000.0,https://www.youtube.com/watch?v=b72_U3Og7fY
