organisation,genre,n_channels,channels,n_unique,F1_controlled,F1_raw,F2_controlled,F2_raw,F3_controlled,F3_raw,F4_controlled,F4_raw,F5_controlled,F5_raw,F6_controlled,F6_raw,F7_controlled,F7_raw,F8_controlled,F8_raw,F9_controlled,F9_raw,F10_controlled,F10_raw,F11_controlled,F11_raw,F12_controlled,F12_raw
Ask Project,streams,1,@CoreyGilShusterAskProject,2,1.1976331165071263,0.9677347649969036,3.6179532412987463,2.8169515713491875,-0.4043394447719766,-0.5052199422957744,0.450575283721323,0.2286427615046535,4.6834577014085355,3.887153751572906,0.6975861711263757,0.2468672714169192,-0.524691231044421,-0.1114275872726315,-1.101241919351251,3.848318917002492,-0.2375015151889424,-0.5044559814057583,0.0777201695840126,-0.2285315157854134,-0.3483598598605897,-0.5092585129999939,-0.5094803480517207,0.5165625428398968
Ask Project,videos,1,@CoreyGilShusterAskProject,49,1.9082937920163263,1.845723617414864,1.206072777666093,1.1743644807804223,0.0705388910999178,-0.038928240599534,-0.0416832002506579,-0.18050941144577162,3.3459242294338045,3.414440630556009,-2.1412927636296795,-2.31545412393899,-0.1626486019417901,0.151740002867095,-0.1848177061509781,0.1035614203435983,1.391479073976173,1.2711253226155803,-0.7523175604603245,-0.36498186708430175,0.7244034128797894,0.8039173370765647,1.5931293917495677,1.9156421674015776
Associated Press,streams,1,@AssociatedPress,1098,0.6233721220434233,1.056105596457322,0.302886016331884,0.2606721052759177,3.1083210537219954,3.694895757404696,-0.0092790974755454,-0.210574968879646,-0.3040963127969272,-0.6842593937490714,-0.258245369674891,-0.0449729047736099,0.6058679747852429,1.3985703818759991,0.4620593673074344,0.7959829887818475,-0.6252028143478477,-0.8530994208735551,-0.9489054658943588,-0.7468390036179949,-0.656735509687882,-0.1966629468051952,-0.5630371075949115,-0.3364845912933514
Associated Press,videos,1,@AssociatedPress,5262,0.8473405922085795,0.6881765277353923,0.9051565826410616,0.972639384396324,-0.7647697509575404,-0.529525165369293,0.0057413158969709,-0.1463714490980938,-0.1819952737871723,-0.4379465560922437,-0.4505363779032982,-0.4995468438348918,1.3291547377481396,2.1547931715378583,0.0720723435174253,0.341822471331368,0.0255989108377871,-0.20238517937038122,0.2284894315120171,0.6492967755968607,-0.015320502775769802,0.2666848823819173,0.45519340918765383,0.970701749532579
Axios,streams,1,@axios,7,1.0621071017926416,2.174640268425201,-2.078438428784829,-2.245161746998756,0.2159622930350871,0.341877752869678,-0.041916594670946807,-0.3450247294775849,-0.9542380183516768,-0.4517397748814601,-1.6696762328996593,-2.0360695576608037,0.3746107411063045,0.8554994576239048,0.8434143530365112,1.395887219376215,-0.3175936239824685,-0.4273947333438648,0.2980994444288004,0.3755189795125166,-0.2144783405249792,0.5006538174515793,-0.984486122369994,-0.6230696270635631
Axios,videos,1,@axios,137,0.49167747266812356,1.1374052798494878,-0.1605063078302433,-0.3790172322725785,-0.3564537839531635,-0.1969742385311112,0.0422632933965315,-0.052969374711297,0.3940946781718641,0.519112476021617,-0.2115850510868447,-0.3490402034047628,0.2679749789207709,0.4478030803739223,-0.2877724840873975,-0.0438392582957846,-0.3282791144773206,-0.1522353431020708,-0.5768770908471152,-0.5663575984888297,-0.1151155405503547,0.1571702377750689,-0.014809515008386,0.2541673151343894
BBC,videos,1,@BBCNews,2352,0.400258971897636,0.2447280552733211,0.47050958181357144,0.6432906095007175,-0.5262941405062913,-0.3349151028432838,-0.0980757816439725,-0.2280994789701869,1.3911612863259817,1.3158064089356534,-0.4138832761303612,-0.5055656754132218,1.0659758681150182,1.8250598260086544,0.0060524254670585,0.1959346037624509,-0.1193537202298901,-0.2745049707634506,-0.0953720760195999,0.4254353235897822,-0.3083365439878782,-0.0959934366177636,0.6441689097083411,1.357808075131721
Bad Faith,streams,1,@BadFaithPodcast,1,-1.806477283826906,-1.1757615182812926,-6.250581490671862,-6.3724646274547005,-2.6626385143287887,-1.056521061015074,-1.748027985976611,-2.164666372489107,-1.5232609555842975,-2.283793183695552,-2.0357921485217414,-0.634413926145954,-1.2517918799136514,-0.1880873773642473,-0.5958026220374354,-0.060867278884767,4.191813471472305,3.563464300924654,-1.062328412794705,-0.6806145473279057,-0.0214752002324845,1.097495845213558,-1.8552161691836768,-1.6062019292126732
Bad Faith,videos,1,@BadFaithPodcast,77,0.7914509145016291,0.9377746390646339,-0.3724379479434624,-0.4142623246705998,-0.027380071902391296,-0.1569696796350637,-0.1708791093488348,-0.2963765173300848,0.1246306152425043,0.1504590027903115,2.55369651521562,2.591446006016905,-1.1135544171856722,-1.0338133557464877,0.45586155391085625,0.3227301976036414,-0.5702951599364714,-0.5087273174087209,0.9798738917324338,1.2577071229796155,0.9951520820198732,1.116094926191083,0.2042206779292513,0.0649437181158025
BadEmpanada,streams,1,@BadEmpanadaLive,1,2.8977843784828945,4.172347631523002,-3.116648168078889,-4.266959502494992,-4.043811205811555,-1.5933899189574552,-1.030897341780087,-1.389521764765719,1.0765123217743704,0.5220639006279497,-2.903208972875673,-3.0265620653302565,3.600011851148124,2.4536941072588396,-0.6313162330984725,-0.2470672252490953,4.75753872305054,5.5277494596570405,2.040254135704447,0.911296985134315,4.19187745900459,2.0316244383415554,-3.5037062737515883,-3.7229774618160505
BadEmpanada,videos,1,@BadEmpanadaLive,274,0.1589435931187455,0.1428004529048312,-0.4014583250503791,-0.3379801427042662,-0.5738832446541327,-0.6152991829505524,-0.24200775468297417,-0.2620474114997977,-0.1832876912388243,-0.1868123422571344,-0.7646347469797747,-0.8212508099348312,-0.8350632912205761,-0.4883851816424708,-0.5753742103507375,-0.6457623050633898,0.1634042988535128,0.1706420849693145,-0.320990918074386,0.0320011119847803,-0.7980916157106744,-0.7449757066223154,-0.49342493488336114,-0.1417135498730232
Belle of the Ranch,videos,1,@BelleRanch,770,0.6172822587934501,0.7325196614260264,-1.3625275220283646,-1.80673780370945,0.0591697978492091,0.1053160065859576,8.03646000036116,11.319806555753866,-0.0705509582826069,-0.1948595987143046,-0.5367067498671814,-0.956282824891858,0.3392510025131085,0.8424553607281627,-0.3344539220812257,-0.3596419689785824,-0.3593952347520094,-0.6871666351444993,0.3284892025489712,0.7841375419919944,0.3714844329345588,0.8197599520912926,2.456066320206896,4.083201348931628
Benny Johnson,streams,1,@bennyjohnson,162,-1.9202432629577064,-2.1703621734571112,0.39038290508186,0.4703613023460635,0.6236336950140781,0.7961389377896888,1.1745968610414572,1.1086502581437208,-0.2779939229245642,-0.5602723158454986,0.60311389254521,0.9312089235790434,-0.6607884626301878,-0.3476737935527638,0.294853317449111,0.251867567751434,-0.9325164902252898,-0.9263811143975516,-0.0821639135491707,0.2192341596076737,0.10727808604235929,0.3552615057682992,-1.3873690100568508,-1.2917999819950463
Benny Johnson,videos,1,@bennyjohnson,1453,-1.237733029985197,-1.5318981952306272,0.4910386938388446,0.6010603842010653,0.3330967758439063,0.3193596061895566,1.8253100285402069,1.7892643006590432,-0.4177187091316176,-0.6250722960404543,0.4890960668235453,0.7150390622856404,-0.5784071106534944,-0.306061659447831,0.23853679245436146,0.237298385967156,-0.7795187245634034,-0.8203273882242633,0.4603239468953007,0.7789061424111193,-0.0106709887863266,0.1194236977695709,-1.388180864671113,-1.363851249738945
Bill Maher,videos,1,@ClubRandomPodcast,185,0.6732185703612893,1.1498326168256598,-0.5916840346347221,-0.7806703226766203,-0.21368752095608984,-0.5763075329944178,-0.0714444355451282,-0.1482747685723685,0.5473198600263918,0.2737248516318481,0.6555271590757232,2.262768068097448,-0.4288009177276736,-0.6880836431746407,-0.1536279706806768,-0.4112515727310761,-0.21047696665841084,0.0480571379301134,-0.3676449462831968,-0.1465427181439164,-0.7356457108489327,-1.0459677817420534,0.400511441866973,0.0453822077598783
Bitchuation Room,streams,1,@franifio,60,0.0855029621817334,0.4143599597373537,-0.9920503851849124,-1.2262870282054654,-0.2212737102490178,-0.2637287885618597,-0.0807746563867995,-0.1816739396757752,-0.4270228132488704,-0.5610500533913687,0.7038493262702453,1.1188758487305468,-0.464691451884541,-0.3601892909946212,-0.0973468167394925,-0.0411015748058968,-0.3203920254362595,-0.2737214375955393,-0.6372686877322506,-0.4938976167559248,0.1407637202985407,0.2298702159474288,-0.238463062414438,-0.3067545520725569
Bitchuation Room,videos,1,@franifio,271,0.5419964519811953,0.5496213981723699,-0.2975472849416237,-0.2485901365112504,-0.5171357665118582,-0.5595312259212287,-0.2034837155772045,-0.2663149301864597,0.7061503608754832,0.5750374448557939,-0.4390079452945863,-0.24449005512117059,-0.6728649586999657,-0.4683686238159172,-0.5551354457652973,-0.5867630079264607,-0.453285614822956,-0.48303112957905026,-0.920168918540496,-0.6884051669166715,-1.1018519882071296,-0.9721923013424882,0.2697434025261196,0.2928104136665173
Black Conservative Perspective,streams,1,@BlackConservativePerspective,1,0.0111733690369635,1.2065590691512436,-2.932650305611714,-3.277541412796081,-0.9170802016255314,-0.0316800649227069,-0.8115070844924687,-0.7803337446003411,-0.8058984890815786,-1.1101954443253523,2.2434943373059983,2.4538114898303545,-1.525487065035234,-1.3312043840127603,-1.4310693945832968,-0.810633217960148,-1.0976428430381024,-1.0696902998796904,-1.0931258952557483,-0.6217339339376617,-1.5087670122498582,-0.4185748652358972,-1.724738637127765,-2.0535836744602087
Black Conservative Perspective,videos,1,@BlackConservativePerspective,1192,-2.2508145010562,-2.68359450786659,0.3401617398089214,0.46613436412760895,-0.24355336328504448,-0.3755452439327675,-0.3264606979559096,-0.45048883887650704,-0.7924202089702047,-1.055499044638021,0.1143827083004534,0.22163337234007457,0.133760149552604,0.269752657809831,-0.2598522314756333,-0.350415322471211,1.7691530304324716,1.636255540153805,-0.5621592063133886,-0.2792008678665163,1.557281479043549,1.7803460930528023,-0.3755031135175141,-0.5085177897880494
