lane,genre,month,n_creators,n_titles,F1_controlled,F2_controlled,F3_controlled,F4_controlled,F5_controlled,F6_controlled,F7_controlled,F8_controlled,F9_controlled,F10_controlled,F11_controlled,F12_controlled,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,curiosity_gap,outrage,humor,question,breaking_live,episode_show,interview_guest,reaction,confrontation,listicle,howto_explainer,partial_month
us_legacy_tv,videos,2026-05,9,6185,0.6377723080314062,0.31471360486940925,-0.08687382954663016,-0.033658715786862047,0.07873516108230733,-0.30050582101540546,1.1280007709434579,0.11670648270100714,-0.13871232676476633,0.6181945696254935,-0.11931129982565943,-0.03346948572872417,0.5873484926628098,0.24849383840810113,0.06724384941627008,-0.10765341710590548,-0.06265025169037015,-0.3054505984951847,1.6038315748827154,0.3201514395352889,-0.2555758968878704,0.9066069834078649,0.02097061221784488,0.2727576758472725,0.01827854800209026,0.3364613489957215,0.0033401056953275164,0.09591821741560144,0.032910925237668746,0.021677392757045458,0.0848201270651077,0.021531679179143146,0.06859587608463967,0.001960710777395505,0.03948372539015376,False
us_legacy_tv,videos,2026-06,9,5984,0.7130490718450635,0.31673923878379073,-0.10290331332429596,-0.06088806607700422,0.15779125286159865,-0.35309881309936086,1.1526591841971066,0.13089819965620325,-0.22157935298451137,0.7604254261195507,-0.1379651730889171,-0.001331898099643267,0.7448508504091964,0.22384821969605884,0.0038232036444372786,-0.15054557944741512,0.008427624311754969,-0.29073973395758945,1.5536256142882763,0.3459612871082658,-0.31648783970128774,1.0151158301308296,-0.0032508376847830206,0.2025288513885586,0.015978334082331753,0.3319052962211431,0.0009277641157927623,0.10138529883330853,0.031426670836820055,0.019243448531599046,0.07695799359333129,0.024943581302501808,0.06321963074311099,0.00012428535918468804,0.048623019305937855,False
us_legacy_tv,videos,2026-07,8,5828,0.7279197022816439,0.4334145724736003,-0.14995486369939656,-0.07590736267502637,0.10704688521664579,-0.38320338418599775,1.1857757826915938,-0.07858407660830995,-0.177232558904913,0.6658697428987862,0.13521039034931345,0.05663844433483285,0.7765411411672598,0.3832874697176723,-0.002417478395516634,-0.17651007148074244,-0.05648166588149012,-0.3355750154331562,1.6596089591406666,0.12978209573028515,-0.28411443363483296,0.9405623286809656,0.3573793577338661,0.31384339025464325,0.014698937931823385,0.35089502986907894,0.0020635473598603934,0.08679015966831331,0.03178602939503762,0.015785587439320712,0.07634103498771473,0.01807958658300466,0.05104153432356191,0.0,0.04665941337575867,False
us_legacy_tv,videos,2026-08,9,7957,0.5535254741481112,0.20765488424094414,-0.19037795457845622,-0.12226104385913891,-0.013587599957992838,-0.49231339998704154,1.2555952238926253,0.039846585113959006,-0.1920229850660591,0.5674122267587226,-0.2324140913680655,0.04899071485917209,0.5152823960446478,0.15406867570212965,-0.0757519753034143,-0.2226235998893324,-0.16324980215683071,-0.5000993677085633,1.7201233292903266,0.22714438094330522,-0.29767118064828585,0.7968441955938231,-0.11695579465090061,0.23144119270556246,0.0119244036456877,0.35921046663038975,0.0009461745207202395,0.07048320522778183,0.025362803766317926,0.018001877864399433,0.06342279790874088,0.022904916654903566,0.05938597907711231,0.0005916126733800546,0.037668842093346616,False
us_legacy_tv,videos,2026-09,9,4259,0.46340035191274026,0.5000716872982246,-0.18069051355474708,-0.08402239495197628,0.06762801004300953,-0.5358718396682115,1.120537043002602,0.06848550005452309,-0.179706606751484,0.7056877652421036,-0.049779033287508614,0.13743385300087918,0.5624457126967851,0.5631897223140956,-0.09251651516865889,-0.18261486167021765,-0.01734911605628704,-0.5634189680525907,1.6578402866808215,0.6830991936442568,-0.30273427663402797,0.990977906712809,0.03911505638012897,0.30365920124734186,0.015912691703866617,0.2751836531520419,0.0005749500489256856,0.07764945905449672,0.023277235803200333,0.022263916592775712,0.06790161370411135,0.01772252820811844,0.05079501432553615,0.0009076490341127344,0.046971828971601085,True
us_press_print_digital,streams,2026-01,3,109,0.6551430345483783,-0.9985802852909796,0.16745316750155523,-0.2760659260867324,-0.4696806383295022,-0.002608483552730837,-4.010301105098849e-05,-0.11727325519803311,-0.9377542271989583,-1.1116531485121126,-1.019716605933456,-0.05296595914030596,0.7903294704351432,-1.1421628605470264,0.7290721088780915,-0.42261474528804205,-0.9145431547964548,0.24868711122943574,0.6125566191828722,0.3436965943017982,-1.1267007411027132,-0.931573963976006,-0.7181266584922373,0.03631126273322203,0.022283272283272284,0.07967032967032966,0.0,0.0,0.36762311762311767,0.0,0.06969881969881969,0.0,0.006410256410256411,0.0,0.0,False
us_press_print_digital,streams,2026-02,3,156,0.5705297143997102,-0.9226647851174592,-0.15146843208171132,-0.36944811630648694,-0.38049889311376184,0.08154962767684973,0.10789525145257502,-0.30531529374349503,-0.8384239898553855,-0.8531152476150087,-0.7976393463484998,-0.14747632532673924,0.9205459031445641,-0.9994203601312884,0.5469934028023613,-0.5257898817893634,-0.9061900870758434,0.5545351492642302,0.8464252870910342,-0.1946580295170298,-1.0697029628515742,-0.8280476040546755,-0.4078532183179131,-0.039458558686260595,0.03185185185185185,0.053015873015873016,0.0,0.018518518518518517,0.2834920634920635,0.0,0.04338624338624338,0.0044444444444444444,0.014179894179894181,0.0,0.0,False
us_press_print_digital,streams,2026-03,2,102,0.1539363676211789,-0.4977842890217631,-0.3319554258428851,-0.20478384621269466,-0.37660486504493185,0.12119316154701901,0.4158246393907605,-0.034028585811893296,-0.7846870031276518,-0.7787349739242322,-0.5733905838939617,-0.0875568460091072,0.5485036705904711,-0.6795933913035679,0.4006531112481488,-0.32647015683710623,-0.8775351835957375,0.8051294980022263,1.039783721267481,0.03530589420453355,-1.0004918244331087,-0.6240545531492722,-0.11362031631987556,0.1420978628827373,0.009433962264150943,0.1438197920677705,0.0,0.0,0.24605313823642666,0.0,0.10685406237966885,0.019638043896804003,0.01020408163265306,0.0,0.01020408163265306,False
us_press_print_digital,streams,2026-04,2,110,0.0527792671748572,-0.7547315144820194,0.17160522332252048,-0.2522969171035104,-0.40106758336592496,0.6590408592124984,0.280742943995852,0.023653604864169148,-0.9411114145588955,-0.8230057248865612,-0.47151254557539873,-0.1581511259643921,0.544333388134454,-0.9292774908572735,1.0425763751698998,-0.4211757401839469,-0.9836139586444099,0.9840893144985221,1.1535130124217206,0.10329266179178055,-1.2402091200643273,-0.7225565881214346,0.08447327581895325,0.12134875272360299,0.01827849783981389,0.09272183449651047,0.0,0.0,0.4581256231306082,0.0,0.12794948487869726,0.0,0.00980392156862745,0.00980392156862745,0.0,False
us_press_print_digital,streams,2026-05,4,145,0.6905682817903982,-1.1341051598579377,0.7227780538496086,-0.0632832641309047,-0.6587220244490979,-0.04525876804646911,0.647458953424544,-0.06827051750907373,-0.8729891606753166,-1.0332729947011214,-0.6774961800035918,-0.3252135644564717,1.143111899074155,-1.2324273625890858,1.2412449757098047,-0.1783169349076941,-0.9057898768001406,0.2828527760800075,1.2330239953579627,0.16591472828407086,-1.0804648434694497,-0.975949990263567,-0.22885208225737272,-0.09353158787733803,0.04195878932968536,0.05901621265290747,0.0,0.0,0.4625516093697337,0.0,0.11007014661274014,0.005813953488372093,0.009437141894169195,0.0,0.0,False
