term_a,term_b,observed,expected_strat,lift_strat,z_cmh,q_cmh,channels,npmi,log_or,weight,co_left,co_neutral,co_right
south,korean,87.00000,3.06002,28.43118,49.05380,0.00000,15.00000,0.56485,5.33957,4.82940,10,66,11
shadow,fleet,74.00000,2.77844,26.63367,49.02673,0.00000,16.00000,0.71867,6.66800,4.73518,20,43,11
chip,roy,59.00000,1.43209,40.50020,48.92322,0.00000,13.00000,0.72232,6.91728,5.33986,9,2,47
ban,social media,87.00000,3.10888,27.98436,48.89525,0.00000,25.00000,0.51044,4.41667,4.80655,25,54,8
saudi,houthis,195.00000,15.24023,12.79508,48.76137,0.00000,23.00000,0.64213,5.43341,3.67752,54,128,13
cup,fans,322.00000,39.34789,8.18341,48.67471,0.00000,35.00000,0.56706,4.45022,3.03270,40,260,22
house,ufc,261.00000,28.08017,9.29482,48.61825,0.00000,65.00000,0.45671,3.90051,3.21643,50,123,88
world cup,fans,320.00000,39.12176,8.17959,48.52405,0.00000,35.00000,0.57012,4.47497,3.03203,40,258,22
blanche,attorney general,132.00000,7.38844,17.86576,48.50131,0.00000,30.00000,0.60727,5.34981,4.15913,19,94,19
epstein,jeffrey,275.00000,35.63980,7.68803,48.47153,0.00000,66.00000,0.49794,4.36092,2.94261,83,125,66
report,jobs,152.00000,9.28899,16.36345,48.46284,0.00000,29.00000,0.44879,3.73175,4.03241,27,96,29
oil,tankers,173.00000,12.12163,14.27201,48.42547,0.00000,37.00000,0.51425,4.72096,3.83512,50,94,29
white,briefing,276.00000,28.44506,9.70292,48.11731,0.00000,28.00000,0.36044,2.74874,3.27842,38,184,54
fed,powell,148.00000,9.49894,15.58069,47.98284,0.00000,29.00000,0.62174,5.42442,3.96169,20,112,16
policies,sanctuary,49.00000,1.03885,47.16773,47.78446,0.00000,11.00000,0.64420,6.13562,5.55973,6,5,38
heat,extreme,84.00000,3.28721,25.55360,47.78347,0.00000,21.00000,0.66224,5.99943,4.67545,22,60,2
chair,powell,97.00000,4.03949,24.01294,47.67869,0.00000,28.00000,0.63833,5.64270,4.58574,17,68,12
lindsay clancy,clancy trial,319.00000,44.74347,7.12953,47.63834,0.00000,45.00000,0.79857,7.88309,2.83381,17,229,73
alex,stein,218.00000,23.59185,9.11332,47.59837,0.00000,7.00000,0.74964,7.63597,3.18798,7,0,208
supreme,mojtaba,111.00000,5.29358,20.96879,47.57102,0.00000,17.00000,0.46901,4.13716,4.39017,19,89,3
lindsay,clancy trial,320.00000,45.21950,7.07659,47.51269,0.00000,45.00000,0.79349,7.85523,2.82306,17,229,74
questions,raises,100.00000,4.25554,23.49878,47.42753,0.00000,38.00000,0.47969,4.14043,4.55451,31,40,29
hormuz,blockade,515.00000,99.95207,5.15247,47.41865,0.00000,52.00000,0.51201,3.90943,2.36526,130,330,55
nuclear,program,93.00000,3.74836,24.81088,47.32720,0.00000,25.00000,0.44082,3.90177,4.63290,18,61,14
lebanon,hezbollah,249.00000,26.00670,9.57445,47.21986,0.00000,31.00000,0.57840,4.64834,3.25919,84,129,36
center,detention,82.00000,3.02442,27.11264,47.20824,0.00000,25.00000,0.53524,4.78605,4.76089,26,39,17
cook,lisa,44.00000,0.87118,50.50606,47.16102,0.00000,15.00000,0.76114,7.53650,5.65838,12,29,3
iran,talks,1890.00000,807.53626,2.34045,47.15747,0.00000,76.00000,0.25072,1.75582,1.22679,474,1200,216
black,sea,87.00000,3.29888,26.37262,47.08905,0.00000,12.00000,0.34863,2.98003,4.72097,32,51,4
supreme court,ruling,281.00000,33.48304,8.39231,47.07346,0.00000,57.00000,0.57976,4.62217,3.06907,106,111,64
shooting,minneapolis,569.00000,121.01985,4.69345,47.05218,0.00000,72.00000,0.52625,3.78643,2.23065,119,331,118
warning,stark,101.00000,4.59640,21.97370,47.03434,0.00000,23.00000,0.57621,6.37674,4.45771,23,53,25
houthis,red sea,111.00000,5.39637,20.56939,47.03089,0.00000,21.00000,0.72795,6.61534,4.36243,33,72,6
ship,cargo,68.00000,2.06128,32.98917,47.02769,0.00000,21.00000,0.55915,5.12962,5.04392,9,46,13
tiger woods,dui,59.00000,1.57357,37.49442,47.02006,0.00000,18.00000,0.83622,8.48629,5.22860,2,36,21
treasury,scott bessent,61.00000,1.80765,33.74549,47.01121,0.00000,22.00000,0.68296,6.36674,5.07662,8,38,15
conference,hold,263.00000,26.95840,9.75577,46.96198,0.00000,19.00000,0.46986,3.62410,3.28626,16,230,17
khamenei,ayatollah,102.00000,4.62570,22.05074,46.89040,0.00000,21.00000,0.58858,5.32202,4.46275,14,79,9
woods,dui,59.00000,1.58543,37.21399,46.84418,0.00000,18.00000,0.81466,8.18391,5.21777,2,36,21
uss,ford,45.00000,1.07347,41.92024,46.82216,0.00000,12.00000,0.59253,5.58407,5.38958,10,31,4
sense,common,64.00000,1.96633,32.54790,46.72488,0.00000,28.00000,0.79755,7.85718,5.02449,2,10,52
strait,reopen,117.00000,6.22897,18.78320,46.62568,0.00000,30.00000,0.53194,5.19128,4.23137,25,78,14
social,ban,88.00000,3.49242,25.19745,46.41020,0.00000,25.00000,0.46981,4.03904,4.65521,26,54,8
harry,meghan,101.00000,4.79147,20.87043,46.35063,0.00000,25.00000,0.81007,7.89590,4.38339,10,66,24
kevin warsh,federal reserve,56.00000,1.66819,33.56924,46.34086,0.00000,23.00000,0.71750,6.82811,5.06907,5,47,4
canadian,mark carney,58.00000,1.53656,37.74658,46.33562,0.00000,10.00000,0.61464,5.66501,5.23827,1,55,2
artemis,crew,329.00000,51.04363,6.44547,46.32121,0.00000,29.00000,0.73502,6.08953,2.68828,42,245,42
