term_a,term_b,observed,expected_strat,lift_strat,z_cmh,q_cmh,channels,npmi,log_or,weight,co_left,co_neutral,co_right
leaders,discuss,27.00000,3.41811,7.89910,12.99354,0.00000,12.00000,0.27549,2.65015,2.98169,5,20,2
surge,price,22.00000,2.34435,9.38427,12.99318,0.00000,11.00000,0.29578,2.88459,3.23024,6,16,0
trump,xi jinping,196.00000,92.07512,2.12870,12.99231,0.00000,33.00000,0.08650,0.95590,1.08997,51,124,21
saudi arabia,kuwait,26.00000,3.19300,8.14281,12.99012,0.00000,8.00000,0.35783,3.43697,3.02553,8,14,4
sparks,concerns,24.00000,2.74033,8.75807,12.98809,0.00000,13.00000,0.25662,2.47879,3.13061,5,12,7
taiwan,beijing,53.00000,11.49697,4.60991,12.98768,0.00000,9.00000,0.43701,3.93394,2.20474,10,43,0
graham,allegations,43.00000,8.49888,5.05949,12.98660,0.00000,28.00000,0.28960,2.64819,2.33899,16,14,13
air,truck,20.00000,2.01180,9.94133,12.98613,0.00000,11.00000,0.29191,2.92645,3.31344,6,12,2
james,director,23.00000,2.58544,8.89596,12.98193,0.00000,15.00000,0.26325,2.55358,3.15315,5,13,5
viral,videos,23.00000,2.63786,8.71920,12.97931,0.00000,19.00000,0.28693,2.79688,3.12420,7,5,11
massive,storm,59.00000,13.21467,4.46473,12.97889,0.00000,22.00000,0.23194,2.04762,2.15857,4,41,14
invasion,taiwan,20.00000,2.11987,9.43453,12.97742,0.00000,10.00000,0.28491,2.80331,3.23795,2,16,2
dead,multiple,28.00000,3.62042,7.73391,12.97699,0.00000,13.00000,0.25541,2.44456,2.95120,3,16,9
stephen,cbs,34.00000,5.47666,6.20817,12.97428,0.00000,15.00000,0.40679,3.81792,2.63417,23,8,3
way,possible,24.00000,2.59004,8.88017,12.97348,0.00000,13.00000,0.28793,2.78244,3.15059,9,0,14
arrested,alleged,31.00000,4.35259,7.12219,12.97335,0.00000,17.00000,0.23731,2.23076,2.83232,2,20,9
major,blow,60.00000,13.88702,4.32058,12.97150,0.00000,24.00000,0.28391,2.52217,2.11123,30,14,16
files,ag,48.00000,9.70397,4.94643,12.97147,0.00000,20.00000,0.26707,2.41434,2.30639,28,14,6
agent,patrol,22.00000,2.40508,9.14730,12.97041,0.00000,14.00000,0.35908,3.52089,3.19335,2,6,14
eu,ceuta,27.00000,3.54277,7.62116,12.96845,0.00000,8.00000,0.32960,3.19039,2.93001,4,23,0
files,reveal,52.00000,12.45298,4.17571,12.96734,0.00000,37.00000,0.27463,2.46260,2.06202,32,7,13
left,far,35.00000,6.53385,5.20367,12.96705,0.00000,30.00000,0.30319,2.83051,2.37953,5,3,26
minnesota,ag,49.00000,9.96884,4.91532,12.96517,0.00000,18.00000,0.27354,2.46769,2.29728,21,9,19
hold,fauci,24.00000,2.99894,8.00283,12.96515,0.00000,17.00000,0.19332,1.86790,3.00051,4,12,8
tehran,iranians,33.00000,4.92034,6.70685,12.96452,0.00000,14.00000,0.28379,2.67036,2.74564,8,21,4
meeting,machado,20.00000,2.02032,9.89941,12.96369,0.00000,11.00000,0.32620,3.30932,3.30734,2,14,4
jury,murder trial,31.00000,4.54455,6.82136,12.96172,0.00000,12.00000,0.42554,4.03822,2.77006,1,27,3
worse,problem,31.00000,4.62467,6.70319,12.96002,0.00000,17.00000,0.29989,2.82370,2.74485,27,0,4
holds,council,39.00000,6.56601,5.93968,12.95817,0.00000,8.00000,0.27621,2.57296,2.57038,3,35,1
secretary,navy,34.00000,5.13798,6.61739,12.95510,0.00000,21.00000,0.22646,2.10943,2.72626,10,15,9
crisis,economic,67.00000,16.48870,4.06339,12.95129,0.00000,24.00000,0.19761,1.71603,2.02268,31,30,6
shooting,involving,30.00000,4.46356,6.72109,12.95061,0.00000,11.00000,0.36067,3.65807,2.74870,2,25,3
oil,shock,93.00000,27.87057,3.33685,12.94556,0.00000,23.00000,0.18152,1.52224,1.73849,32,54,7
president,bilateral meeting,62.00000,17.51839,3.53914,12.94324,0.00000,8.00000,0.36449,3.72074,1.82340,3,38,21
crash,fatal,25.00000,3.01048,8.30431,12.94282,0.00000,16.00000,0.27236,2.62190,3.05386,8,14,3
iranian,aviv,61.00000,14.40070,4.23591,12.93973,0.00000,12.00000,0.33135,2.99175,2.08267,20,30,11
iranian,tel aviv,61.00000,14.40070,4.23591,12.93973,0.00000,12.00000,0.33135,2.99175,2.08267,20,30,11
israel,flotilla,37.00000,6.46591,5.72232,12.93495,0.00000,15.00000,0.29689,3.03858,2.51660,15,20,2
drone,uae,64.00000,15.18476,4.21475,12.93425,0.00000,13.00000,0.28834,2.52315,2.07545,23,35,6
police,stabbing,25.00000,3.07721,8.12425,12.93159,0.00000,16.00000,0.31140,3.08022,3.02223,5,13,7
deadly,explosion,33.00000,4.89125,6.74674,12.93131,0.00000,12.00000,0.29358,2.77564,2.75419,7,20,6
protest,arrested,44.00000,8.35433,5.26673,12.93115,0.00000,26.00000,0.19576,1.77556,2.39691,16,20,8
charlie,candace,88.00000,30.80777,2.85642,12.92956,0.00000,39.00000,0.39493,3.36927,1.51421,24,20,44
federal,charges,43.00000,7.84736,5.47955,12.92718,0.00000,19.00000,0.29631,2.70263,2.45406,8,27,8
american,bases,57.00000,12.68453,4.49366,12.92697,0.00000,7.00000,0.24889,2.21485,2.16789,46,8,3
says,signed,39.00000,6.86549,5.68059,12.92604,0.00000,16.00000,0.23142,2.39593,2.50604,6,33,0
arabia,kuwait,26.00000,3.21774,8.08020,12.92579,0.00000,8.00000,0.35700,3.42880,3.01439,8,14,4
lindsey,seat,30.00000,4.35335,6.89125,12.92442,0.00000,15.00000,0.34391,3.27615,2.78477,6,16,8
iran,escalate,138.00000,56.43124,2.44545,12.92418,0.00000,38.00000,0.16049,1.66072,1.29010,39,74,25
deal,tehran,115.00000,38.30539,3.00219,12.92375,0.00000,19.00000,0.17878,1.47050,1.58601,27,84,4
worse,way,31.00000,4.52891,6.84491,12.92185,0.00000,20.00000,0.27233,2.56124,2.77503,10,2,19
fbi,suspect,59.00000,13.41669,4.39751,12.92028,0.00000,17.00000,0.28889,2.54880,2.13669,10,27,22
dr,healthcare,22.00000,2.44946,8.98156,12.91940,0.00000,13.00000,0.30423,2.98664,3.16697,4,3,15
iran,hard,190.00000,91.87205,2.06809,12.91838,0.00000,39.00000,0.14096,1.34036,1.04830,44,104,42
exposed,scam,45.00000,9.02354,4.98696,12.91639,0.00000,32.00000,0.30306,2.77911,2.31816,23,3,19
epstein,ro khanna,43.00000,7.81144,5.24871,12.91496,0.00000,21.00000,0.26432,2.52728,2.39196,22,18,1
family,nolan wells,60.00000,20.15636,2.97673,12.91381,0.00000,18.00000,0.39658,3.54774,1.57373,26,16,18
iran,jordan,185.00000,86.04843,2.14995,12.91320,0.00000,28.00000,0.14563,1.40008,1.10430,76,91,18
data,backlash,34.00000,5.33721,6.37037,12.90874,0.00000,21.00000,0.27709,2.58303,2.67138,13,14,7
iranian,tel,61.00000,14.44205,4.22378,12.90853,0.00000,12.00000,0.33102,2.98844,2.07853,20,30,11
marco rubio,testifies,22.00000,2.39321,9.19268,12.90826,0.00000,9.00000,0.30094,2.93357,3.20049,7,15,0
deadly,school,43.00000,7.72238,5.56823,12.90728,0.00000,17.00000,0.21795,1.98232,2.47722,14,24,5
clancy,attorney,65.00000,17.37407,3.74121,12.90613,0.00000,16.00000,0.34872,3.05660,1.90350,3,42,20
missing,families,31.00000,4.44083,6.98068,12.90333,0.00000,8.00000,0.28422,2.67957,2.80337,12,19,0
bondi,testimony,32.00000,5.23708,6.11028,12.90306,0.00000,21.00000,0.29733,2.79593,2.61124,17,13,2
fires,kristi noem,32.00000,4.95539,6.45761,12.90257,0.00000,23.00000,0.28530,2.67679,2.69100,17,13,2
supreme court,virginia,46.00000,9.22771,4.98499,12.90098,0.00000,25.00000,0.29190,2.65820,2.31759,9,12,25
cuba,takeover,24.00000,2.91121,8.24399,12.90070,0.00000,19.00000,0.28244,2.73297,3.04334,6,10,8
mamdani,inauguration,31.00000,6.33191,4.73790,12.90065,0.00000,18.00000,0.39253,3.86917,2.24425,14,12,4
midterm,dallas,24.00000,3.09959,7.74296,12.90023,0.00000,16.00000,0.43998,4.35067,2.95288,2,13,9
plan,kushner,24.00000,2.83069,8.47850,12.89983,0.00000,17.00000,0.24498,2.40378,3.08381,9,9,6
york,building,36.00000,5.86214,6.14110,12.89011,0.00000,13.00000,0.26910,2.49383,2.61850,2,32,2
democrats,dhs,83.00000,23.03221,3.56023,12.88974,0.00000,27.00000,0.21828,1.85256,1.83197,16,30,36
protests,turn,39.00000,6.71315,5.80949,12.88827,0.00000,21.00000,0.22357,2.05443,2.53841,10,20,9
republican,governor,40.00000,7.14761,5.59627,12.88768,0.00000,22.00000,0.26719,2.44864,2.48447,10,13,17
scotus,voting rights,31.00000,4.89040,6.33895,12.88664,0.00000,18.00000,0.45350,4.36455,2.66424,23,3,5
plan,secret,97.00000,29.15038,3.25896,12.88593,0.00000,44.00000,0.21514,1.79198,1.70441,58,15,22
defence,rutte,24.00000,2.80232,8.56434,12.87875,0.00000,5.00000,0.35040,3.41121,3.09834,3,21,0
hegseth,fury,47.00000,9.57617,4.90802,12.87604,0.00000,14.00000,0.26742,2.43115,2.29514,4,22,21
fans,flood,22.00000,2.41566,9.10723,12.87601,0.00000,8.00000,0.27468,2.67784,3.18701,2,18,2
ice,renee good,106.00000,40.04085,2.64730,12.87592,0.00000,39.00000,0.37381,3.48613,1.40452,45,45,16
air,crashes,36.00000,5.82993,6.17503,12.87573,0.00000,13.00000,0.22908,2.12773,2.62645,9,24,3
federal,powell,33.00000,5.05397,6.52951,12.87493,0.00000,16.00000,0.33639,3.17892,2.70698,7,23,3
nuclear,north,42.00000,7.45823,5.63136,12.87423,0.00000,12.00000,0.22697,2.07897,2.49348,7,33,2
donald,beach,21.00000,2.22561,9.43560,12.87375,0.00000,7.00000,0.24604,2.43717,3.23811,0,18,3
modi,welcome,74.00000,20.67182,3.57975,12.87210,0.00000,5.00000,0.34682,3.06958,1.83986,0,74,0
death,tribute,27.00000,3.49191,7.73216,12.87164,0.00000,9.00000,0.25955,2.50308,2.95087,5,22,0
marco,testifies,22.00000,2.40519,9.14690,12.86718,0.00000,9.00000,0.29771,2.90187,3.19328,7,15,0
korea,jinping,20.00000,2.05554,9.72979,12.86407,0.00000,8.00000,0.31117,3.06435,3.28241,3,17,0
shooting,agent,93.00000,29.15130,3.19025,12.86050,0.00000,35.00000,0.29976,2.55050,1.67367,21,47,25
gulf,countries,25.00000,3.11106,8.03585,12.85710,0.00000,15.00000,0.29395,2.83962,3.00645,10,14,1
defence,boost,21.00000,2.20060,9.54286,12.85577,0.00000,6.00000,0.32423,3.19172,3.25442,4,17,0
killed,police,95.00000,28.39761,3.34535,12.85407,0.00000,21.00000,0.20067,1.67386,1.74216,18,68,9
venezuela,run,81.00000,25.69018,3.15296,12.85290,0.00000,38.00000,0.30109,2.59271,1.65670,36,35,10
president,peru,23.00000,2.65044,8.67782,12.85094,0.00000,7.00000,0.22567,2.32824,3.11733,7,16,0
election,nepal,31.00000,4.55509,6.80557,12.84805,0.00000,6.00000,0.14167,1.34103,2.76672,3,28,0
minneapolis,czar,29.00000,4.15707,6.97606,12.84745,0.00000,12.00000,0.36513,3.59166,2.80241,4,23,2
rep,eric,35.00000,5.61663,6.23149,12.84531,0.00000,16.00000,0.25860,2.41666,2.63958,9,22,4
delivers,powerful,31.00000,4.61635,6.71527,12.84509,0.00000,11.00000,0.31692,2.99341,2.74744,2,11,18
chaos,airports,22.00000,2.57024,8.55951,12.84419,0.00000,17.00000,0.31594,3.11443,3.09753,6,10,6
ice,deadly,132.00000,49.78605,2.65135,12.84348,0.00000,42.00000,0.15262,1.23811,1.40672,55,56,21
iranian,ships,61.00000,14.11338,4.32214,12.84200,0.00000,21.00000,0.26959,2.39244,2.11175,15,30,16
violence,drug,21.00000,2.21883,9.46447,12.83838,0.00000,9.00000,0.28568,2.79809,3.24252,8,13,0
israel,dome,44.00000,8.62819,5.09956,12.83821,0.00000,8.00000,0.29385,2.92470,2.35037,15,28,1
venezuela,search,45.00000,8.89058,5.06154,12.83640,0.00000,15.00000,0.19720,1.79085,2.33958,10,32,3
conference,tom homan,21.00000,2.25909,9.29577,12.83480,0.00000,12.00000,0.24087,2.38991,3.21657,2,16,3
women,hockey,20.00000,2.22793,8.97696,12.83409,0.00000,12.00000,0.30136,3.01017,3.16623,4,12,4
artemis ii,returns,26.00000,3.57312,7.27655,12.83388,0.00000,15.00000,0.30426,2.92097,2.86325,2,20,4
dems,flip,24.00000,2.89164,8.29979,12.83173,0.00000,12.00000,0.32762,3.23039,3.05308,22,2,0
minister,deputy,38.00000,6.52449,5.82421,12.83156,0.00000,12.00000,0.32837,3.08854,2.54206,9,27,2
amid,shortage,38.00000,6.48440,5.86022,12.83081,0.00000,10.00000,0.26125,2.54028,2.55096,3,35,0
russian,moscow,85.00000,24.41617,3.48130,12.83021,0.00000,15.00000,0.36042,3.09144,1.79963,17,63,5
charlie,killing,28.00000,3.85349,7.26614,12.82953,0.00000,12.00000,0.20338,1.93299,2.86119,1,24,3
nancy,suspect,73.00000,21.01904,3.47304,12.82183,0.00000,17.00000,0.35410,3.06503,1.79620,6,43,24
meets,xi jinping,34.00000,5.26783,6.45427,12.82108,0.00000,13.00000,0.32328,3.02994,2.69025,7,25,2
fires,kristi,32.00000,4.99930,6.40089,12.82057,0.00000,23.00000,0.28383,2.66287,2.67827,17,13,2
americans,stranded,21.00000,2.27914,9.21398,12.81748,0.00000,15.00000,0.29398,2.93481,3.20383,7,11,3
patel,todd,23.00000,2.67912,8.58492,12.81541,0.00000,15.00000,0.26458,2.56574,3.10180,8,11,4
dinner,hosts,30.00000,4.30573,6.96747,12.81462,0.00000,13.00000,0.29636,2.79878,2.80063,2,21,7
nato,germany,90.00000,27.33967,3.29192,12.81400,0.00000,11.00000,0.30361,2.58844,1.71893,16,72,2
rep,hall,22.00000,2.45154,8.97397,12.80813,0.00000,15.00000,0.25436,2.50420,3.16575,9,12,1
senate,blanche,113.00000,39.12375,2.88827,12.80242,0.00000,31.00000,0.28592,2.36225,1.53021,45,53,15
tariff,decision,24.00000,2.94472,8.15018,12.80043,0.00000,13.00000,0.30290,2.92718,3.02683,11,9,4
deal,wants,75.00000,19.99402,3.75112,12.79672,0.00000,26.00000,0.15727,1.35829,1.90732,13,47,15
testify,hillary clinton,21.00000,2.36261,8.88847,12.79454,0.00000,13.00000,0.41479,4.08286,3.15193,4,12,5
world cup,egypt,34.00000,5.55384,6.12189,12.79396,0.00000,12.00000,0.34721,3.34512,2.61398,6,25,3
plane,air force,25.00000,3.05380,8.18653,12.78833,0.00000,13.00000,0.31689,3.05110,3.03325,2,20,3
putin,brics,136.00000,57.19152,2.37798,12.78823,0.00000,7.00000,0.36864,3.07246,1.24973,13,123,0
chaos,streets,24.00000,2.82522,8.49491,12.78775,0.00000,11.00000,0.26407,2.56021,3.08660,10,4,10
tehran,smoke,33.00000,5.03946,6.54832,12.78422,0.00000,12.00000,0.32057,3.03550,2.71112,7,23,3
prime minister,canadian,20.00000,2.04020,9.80297,12.78259,0.00000,10.00000,0.32231,3.17692,3.29322,5,13,2
lindsay clancy,children,40.00000,7.62110,5.24859,12.78155,0.00000,15.00000,0.28499,2.61285,2.39193,0,29,11
pm,bilateral meeting,55.00000,13.19538,4.16812,12.77867,0.00000,9.00000,0.38829,3.87667,2.05940,0,49,6
tech,billionaires,20.00000,2.23420,8.95177,12.77864,0.00000,15.00000,0.32993,3.28004,3.16217,11,7,2
conference,jeffries,21.00000,2.24580,9.35080,12.77694,0.00000,8.00000,0.21276,2.10347,3.22509,1,19,1
saudi,gulf,72.00000,18.75678,3.83861,12.77275,0.00000,8.00000,0.32395,2.79933,1.94058,38,32,2
white house,holds,124.00000,43.63989,2.84144,12.77241,0.00000,20.00000,0.18119,1.46877,1.50662,18,78,28
court,rights,64.00000,16.28086,3.93100,12.76836,0.00000,32.00000,0.23721,2.09503,1.97489,27,30,7
faces,mps,20.00000,2.06716,9.67512,12.76829,0.00000,5.00000,0.25796,2.56315,3.27428,9,11,0
rubio,pope,34.00000,5.38025,6.31941,12.76558,0.00000,19.00000,0.22131,2.06468,2.65979,4,18,12
data,voter,32.00000,4.75445,6.52021,12.76538,0.00000,20.00000,0.28426,2.66813,2.70492,12,8,11
graham,primary,51.00000,10.96193,4.65246,12.76434,0.00000,21.00000,0.24279,2.16850,2.21800,6,31,14
attacks,lebanon,116.00000,40.16982,2.88774,12.76058,0.00000,24.00000,0.25107,2.05638,1.52994,68,44,4
ahead,match,30.00000,4.22329,7.10347,12.75937,0.00000,11.00000,0.27146,2.58964,2.82852,2,25,3
health,concerns,29.00000,4.07305,7.11997,12.75403,0.00000,18.00000,0.25809,2.44683,2.83187,15,11,3
amid,protests,134.00000,48.86923,2.74201,12.75275,0.00000,22.00000,0.18503,1.49878,1.45523,31,94,9
pakistan,saudi arabia,47.00000,9.25696,5.07726,12.75174,0.00000,13.00000,0.31872,2.89522,2.34405,13,32,2
india,global,187.00000,81.97828,2.28109,12.74759,0.00000,7.00000,0.22420,1.74513,1.18972,8,179,0
address,sotu,31.00000,4.69209,6.60686,12.74308,0.00000,13.00000,0.41551,3.97885,2.72397,10,16,5
launch,houthis,25.00000,3.12511,7.99972,12.74151,0.00000,10.00000,0.32358,3.11939,2.99995,9,13,3
fbi,agents,53.00000,11.43621,4.63440,12.73884,0.00000,28.00000,0.25836,2.30020,2.21238,22,19,12
case,karmelo anthony,51.00000,13.07857,3.89951,12.73649,0.00000,22.00000,0.29791,2.70985,1.96329,4,11,36
britain,restore,25.00000,3.69005,6.77498,12.73538,0.00000,7.00000,0.52288,5.20115,2.76022,2,1,22
cup,egypt,34.00000,5.58830,6.08414,12.73535,0.00000,12.00000,0.34383,3.31397,2.60505,6,25,3
meet,discuss,21.00000,2.22438,9.44084,12.73531,0.00000,10.00000,0.28150,2.76741,3.23891,2,19,0
death toll,earthquakes,21.00000,2.33195,9.00536,12.73510,0.00000,7.00000,0.48033,4.75439,3.17078,5,14,2
leave,floods,21.00000,2.31814,9.05900,12.73454,0.00000,7.00000,0.29696,2.90812,3.17935,13,7,1
keir starmer,mandelson,52.00000,14.84191,3.50359,12.73347,0.00000,14.00000,0.48970,4.44930,1.80884,20,30,2
pakistan,arabia,47.00000,9.27570,5.06700,12.73262,0.00000,13.00000,0.31783,2.88669,2.34113,13,32,2
graham,service,40.00000,7.25035,5.51698,12.72799,0.00000,18.00000,0.24678,2.26454,2.46388,11,25,4
oil,uae,87.00000,26.02351,3.34313,12.72709,0.00000,23.00000,0.24655,2.10369,1.74120,26,57,4
office,georgia,23.00000,2.84005,8.09844,12.72680,0.00000,17.00000,0.29352,2.84949,3.01764,6,10,7
lebanon,despite,58.00000,13.43128,4.31828,12.72562,0.00000,16.00000,0.29020,2.56685,2.11046,36,19,3
cuba,island,26.00000,3.31893,7.83384,12.72415,0.00000,18.00000,0.26087,2.49968,2.96972,10,13,3
strait of hormuz,ship,69.00000,17.79684,3.87709,12.72314,0.00000,20.00000,0.26500,2.30495,1.95498,18,39,12
mass,arrests,27.00000,3.64629,7.40479,12.72223,0.00000,12.00000,0.31378,3.00744,2.88846,3,4,20
winter,cold,26.00000,3.42004,7.60225,12.72129,0.00000,11.00000,0.43663,4.23840,2.92643,1,24,1
protest,minneapolis,103.00000,35.64972,2.86117,12.72068,0.00000,27.00000,0.24920,2.06445,1.51661,27,57,18
attack,ballistic missile,32.00000,4.82063,6.63813,12.72053,0.00000,10.00000,0.29880,2.99721,2.73078,8,22,2
search,earthquakes,20.00000,2.11364,9.46234,12.72044,0.00000,11.00000,0.35733,3.54591,3.24220,3,15,2
white,secret,99.00000,31.03057,3.19040,12.71969,0.00000,34.00000,0.14889,1.23959,1.67374,30,56,13
strait,allies,66.00000,16.31899,4.04437,12.71035,0.00000,24.00000,0.22494,1.96309,2.01591,12,42,12
invasion,muslim,22.00000,2.54804,8.63409,12.71028,0.00000,9.00000,0.32019,3.12314,3.11004,3,0,19
supreme,ballroom,48.00000,10.01684,4.79193,12.70747,0.00000,22.00000,0.27483,2.50001,2.26061,14,26,8
hearing,jack,49.00000,11.08320,4.42111,12.70614,0.00000,20.00000,0.25949,2.33782,2.14441,24,9,16
threats,gabbard,21.00000,2.32901,9.01673,12.70514,0.00000,15.00000,0.29621,2.90825,3.17260,4,12,5
chief,der,22.00000,2.46133,8.93826,12.70349,0.00000,5.00000,0.33440,3.37451,3.15999,0,21,1
ceasefire,gaza,82.00000,24.31279,3.37271,12.70283,0.00000,18.00000,0.24663,2.09736,1.75391,63,19,0
spacex,stock,25.00000,3.29780,7.58081,12.70272,0.00000,11.00000,0.38426,3.71548,2.92235,10,13,2
usa,olympics,24.00000,3.07247,7.81131,12.70070,0.00000,13.00000,0.34631,3.36798,2.96557,0,19,5
hegseth,senator,54.00000,11.96287,4.51397,12.70059,0.00000,17.00000,0.23562,2.09872,2.17440,17,35,2
strait of hormuz,allies,58.00000,13.22139,4.38683,12.69862,0.00000,24.00000,0.22585,1.99458,2.13318,10,38,10
epstein files,lawmakers,37.00000,6.33701,5.83872,12.69782,0.00000,18.00000,0.28791,2.66885,2.54565,8,25,4
meet,jinping,34.00000,5.34743,6.35820,12.69522,0.00000,14.00000,0.32360,3.03124,2.66862,6,25,3
ai,chip,57.00000,13.36879,4.26366,12.68897,0.00000,8.00000,0.31745,2.94353,2.09209,0,56,1
candace,andrew wilson,49.00000,13.33661,3.59911,12.68872,0.00000,24.00000,0.55835,5.31852,1.84764,2,9,37
hearing,vd,21.00000,2.35982,8.89898,12.68578,0.00000,8.00000,0.31739,3.19472,3.15364,1,17,3
iran,progress,105.00000,37.07954,2.83175,12.68152,0.00000,20.00000,0.15099,1.60603,1.50169,16,75,14
alleged,ufc,29.00000,4.26029,6.80705,12.67824,0.00000,12.00000,0.30813,2.92424,2.76703,2,12,15
attack,deadly,134.00000,48.63716,2.75509,12.67789,0.00000,22.00000,0.19310,1.55968,1.46210,41,78,15
attacks,halt,24.00000,2.89333,8.29495,12.67741,0.00000,8.00000,0.28317,2.81175,3.05223,7,16,1
white,service,71.00000,18.60778,3.81561,12.67294,0.00000,24.00000,0.21676,1.89613,1.93191,11,49,11
platner,drop,36.00000,6.77606,5.31282,12.67290,0.00000,25.00000,0.35814,3.33225,2.40948,13,13,10
congress,rep,71.00000,18.99239,3.73834,12.67169,0.00000,24.00000,0.18847,1.62197,1.90240,23,29,19
visit,iii,27.00000,3.76132,7.17833,12.66995,0.00000,9.00000,0.34144,3.29933,2.84365,0,25,2
stop,won't,48.00000,9.46384,4.96627,12.66790,0.00000,29.00000,0.23571,2.11659,2.31216,31,8,8
immigration,agents,42.00000,7.88491,5.32663,12.66782,0.00000,21.00000,0.27928,2.54611,2.41322,11,26,5
republicans,texas,84.00000,24.74121,3.39515,12.66688,0.00000,30.00000,0.23771,2.01235,1.76347,61,7,16
world,stadium,46.00000,10.32721,4.45425,12.66601,0.00000,11.00000,0.27632,2.81941,2.15518,2,43,1
case,birthright citizenship,42.00000,8.38639,5.00811,12.66228,0.00000,19.00000,0.26240,2.42317,2.32427,11,14,17
shows,moments,25.00000,3.09487,8.07789,12.66108,0.00000,9.00000,0.28554,2.76206,3.01398,4,15,6
day,charlie kirk,74.00000,22.14651,3.34138,12.66025,0.00000,22.00000,0.19444,1.67658,1.74045,12,17,45
lebanon,airstrikes,25.00000,3.20032,7.81171,12.65503,0.00000,8.00000,0.32180,3.15358,2.96564,6,18,1
eu,european,46.00000,9.20618,4.99664,12.65348,0.00000,8.00000,0.34170,3.11780,2.32096,9,35,2
deal,bros,25.00000,3.17013,7.88611,12.65163,0.00000,11.00000,0.23352,2.34685,2.97931,2,23,0
keir,mandelson,53.00000,15.29828,3.46444,12.64427,0.00000,14.00000,0.48953,4.44026,1.79262,21,30,2
breaking,killed,94.00000,29.59059,3.17669,12.64370,0.00000,22.00000,0.10225,0.85609,1.66752,29,45,20
hearing,kristi noem,44.00000,8.69582,5.05990,12.64344,0.00000,22.00000,0.24978,2.27534,2.33911,23,15,6
case,twist,20.00000,2.11449,9.45854,12.64339,0.00000,9.00000,0.28748,2.91786,3.24162,8,8,4
biden,obama,34.00000,5.63267,6.03621,12.63918,0.00000,18.00000,0.27923,2.60171,2.59364,10,13,11
scott,minutes,23.00000,2.84764,8.07687,12.63855,0.00000,17.00000,0.27183,2.63727,3.01380,8,8,7
xi,north,31.00000,4.64480,6.67413,12.63736,0.00000,10.00000,0.24353,2.29328,2.73858,5,25,1
charlie,murder trial,24.00000,3.31258,7.24510,12.63683,0.00000,13.00000,0.28696,2.78763,2.85701,2,3,19
funding,jeffries,21.00000,2.30057,9.12818,12.63649,0.00000,12.00000,0.30766,3.02244,3.19033,7,12,2
earth,ii astronauts,21.00000,2.35500,8.91721,12.63573,0.00000,12.00000,0.52081,5.23790,3.15659,2,16,3
case,defense,63.00000,15.27318,4.12488,12.63500,0.00000,20.00000,0.21813,1.90919,2.04435,4,33,26
strait,warships,33.00000,5.15242,6.40475,12.63173,0.00000,12.00000,0.27052,2.58430,2.67914,15,15,3
sea,coast,20.00000,2.13485,9.36835,12.63169,0.00000,11.00000,0.32731,3.22960,3.22779,8,9,3
elections,vote,51.00000,10.61854,4.70875,12.63132,0.00000,22.00000,0.27204,2.43014,2.23534,11,26,13
house,funding,94.00000,29.06345,3.23430,12.62977,0.00000,25.00000,0.20112,1.71332,1.69345,23,60,11
death,palestinians,25.00000,3.20868,7.79136,12.62743,0.00000,13.00000,0.27190,2.65117,2.96188,12,12,1
federal,pleads,26.00000,3.36767,7.72047,12.62704,0.00000,15.00000,0.28982,2.79299,2.94869,5,17,4
meeting,jinping,47.00000,9.48980,4.95268,12.62524,0.00000,13.00000,0.30877,2.81629,2.30821,5,37,5
dem,strategist,24.00000,2.94117,8.16002,12.62439,0.00000,6.00000,0.40735,4.06056,3.02857,14,5,5
minnesota,insurrection,45.00000,9.15626,4.91467,12.62402,0.00000,24.00000,0.40547,3.84324,2.29709,9,18,18
reveals,secret,76.00000,20.93565,3.63017,12.62021,0.00000,27.00000,0.20825,1.77972,1.86004,25,34,17
china,philippines,45.00000,8.78567,5.12198,12.61987,0.00000,9.00000,0.25775,2.41948,2.35670,5,39,1
addresses,charles,24.00000,3.01093,7.97097,12.61945,0.00000,18.00000,0.26223,2.53465,2.99475,5,15,4
big,time,82.00000,23.37476,3.50806,12.61905,0.00000,25.00000,0.16091,1.36574,1.81067,62,9,11
collapse,suffers,26.00000,3.39932,7.64858,12.61849,0.00000,10.00000,0.33344,3.21778,2.93519,24,0,2
prices,record,39.00000,6.77620,5.75544,12.61805,0.00000,20.00000,0.22178,2.03694,2.52493,15,22,2
cuba,cuban,25.00000,3.33525,7.49568,12.61387,0.00000,17.00000,0.37628,3.67265,2.90606,6,14,5
pakistan,suicide,20.00000,2.11392,9.46108,12.61133,0.00000,5.00000,0.29697,2.96299,3.24200,1,17,2
ballot,fulton,20.00000,2.41967,8.26558,12.60986,0.00000,5.00000,0.54085,5.41532,3.04712,1,1,18
deal,possible,49.00000,10.15520,4.82512,12.60912,0.00000,19.00000,0.18826,1.72049,2.27056,10,30,9
world cup,champions,22.00000,2.58655,8.50553,12.60784,0.00000,6.00000,0.32255,3.24749,3.08840,1,20,1
iranian,sri,23.00000,2.75493,8.34867,12.60484,0.00000,9.00000,0.32692,3.33760,3.06155,3,19,1
lindsey graham,legacy,27.00000,4.14195,6.51867,12.60453,0.00000,20.00000,0.33237,3.18358,2.70458,8,8,11
day,celebrates,36.00000,5.95465,6.04570,12.60021,0.00000,13.00000,0.22468,2.12095,2.59591,2,28,6
