term,n_titles,degree,strength,betweenness,community
presence,137,2,5.47358,0.00004,0
weapons,617,3,5.41078,0.00001,0
kharg,199,3,5.40516,0.00003,0
boats,126,2,5.32426,0.00000,0
hub,284,2,5.29362,0.00000,0
trying,659,2,5.27370,0.00005,0
condemns,213,2,5.22506,0.00000,0
expands,284,3,5.19324,0.00013,0
spirals,236,2,5.16502,0.00003,0
route,216,2,5.09675,0.00000,0
targeted,447,3,5.05518,0.00000,0
lebanese,142,2,4.99488,0.00000,0
seal,107,1,4.94560,0.00000,0
bibi,239,2,4.88315,0.00000,0
sudan,199,2,4.82815,0.00004,0
sending,186,1,4.63136,0.00000,0
genocide,187,2,4.61701,0.00000,0
tests,219,2,4.61696,0.00000,0
agrees,145,2,4.61665,0.00000,0
shut,454,2,4.54673,0.00000,0
blown,172,1,4.45818,0.00000,0
threaten,225,1,4.26492,0.00000,0
hunger,101,1,4.24069,0.00000,0
planned,211,2,4.19644,0.00022,0
abu,111,1,4.15986,0.00000,0
rips,415,1,4.15722,0.00000,0
start,415,2,4.14986,0.00004,0
renewed,108,2,4.09704,0.00000,0
pause,170,2,4.07031,0.00012,0
pounds,149,2,4.05928,0.00001,0
safe,357,2,3.96276,0.00000,0
flags,274,1,3.92295,0.00000,0
begs,235,1,3.79980,0.00000,0
sinks,177,1,3.78852,0.00000,0
swarm,111,1,3.78615,0.00000,0
fell,100,1,3.75882,0.00000,0
preparing,205,2,3.62539,0.00005,0
industry,375,2,3.57419,0.00014,0
falling,243,1,3.52911,0.00000,0
arsenal,166,1,3.52343,0.00000,0
banks,146,1,3.49993,0.00000,0
frontline,184,2,3.37885,0.00000,0
us-israeli,131,2,3.31984,0.00000,0
striking,146,2,3.08854,0.00006,0
sri,103,1,3.06155,0.00000,0
halt,176,1,3.05223,0.00000,0
piece,111,1,3.04546,0.00000,0
naval blockade,137,2,2.99203,0.00000,0
commercial,108,1,2.98176,0.00000,0
mali,117,1,2.97824,0.00000,0
israelis,189,1,2.94890,0.00000,0
exports,122,1,2.94514,0.00000,0
zone,217,2,2.82079,0.00011,0
helping,225,1,2.63146,0.00000,0
deployed,184,1,2.54700,0.00000,0
surges,349,1,2.50831,0.00000,0
nukes,256,1,2.48909,0.00000,0
visa,245,1,2.45551,0.00000,0
intense,164,1,2.43762,0.00000,0
coalition,168,1,2.13428,0.00000,0
battlefield,101,1,2.10038,0.00000,0
joins,572,1,2.08246,0.00000,0
gains,199,1,1.99718,0.00000,0
halts,161,1,1.96980,0.00000,0
offensive,157,1,1.87312,0.00000,0
shuts,461,1,1.79680,0.00000,0
bombed,235,1,1.77647,0.00000,0
blames,326,1,1.56694,0.00000,0
casualties,242,1,1.43588,0.00000,0
senate,2833,126,291.54495,0.03512,1
election,2993,77,172.45774,0.02233,1
primary,1055,55,146.11240,0.00982,1
fraud,1768,60,140.12828,0.01747,1
rep,1887,43,115.57850,0.00836,1
gop,2735,56,112.67704,0.00730,1
race,1337,40,105.79432,0.00941,1
graham,1662,40,102.59952,0.00757,1
win,1542,44,99.99639,0.01787,1
texas,1634,37,84.12996,0.01121,1
mayor,1102,29,80.12929,0.00549,1
vote,1096,31,75.32755,0.00202,1
california,1383,28,69.29423,0.00416,1
democrats,2748,38,67.77257,0.00314,1
act,1291,27,66.95681,0.00448,1
funding,909,26,63.26066,0.00361,1
runoff,174,15,62.98343,0.00025,1
lindsey graham,865,20,62.81360,0.00101,1
lindsey,1136,21,62.06451,0.00215,1
democratic,972,24,61.48806,0.00158,1
allegations,566,18,61.33522,0.00275,1
end,2103,28,60.96402,0.00855,1
governor,846,21,60.55271,0.00143,1
republicans,2079,30,57.50070,0.00450,1
dems,1698,30,56.97077,0.00458,1
party,1676,25,54.05131,0.00570,1
scandal,978,24,52.67596,0.00347,1
tsa,382,19,52.48504,0.00200,1
john,1063,16,52.09365,0.00093,1
wins,829,20,49.21285,0.00191,1
james,873,17,49.12020,0.00190,1
platner,785,19,48.40528,0.00064,1
gov,559,13,47.21384,0.00304,1
shutdown,810,19,46.88803,0.00213,1
candidate,672,18,46.65329,0.00031,1
sexual,218,12,45.93986,0.00080,1
republican,1235,17,45.52734,0.00059,1
maine,438,14,44.04691,0.00129,1
voters,1021,21,44.03358,0.00212,1
michigan,700,18,42.51576,0.00209,1
talarico,438,13,41.59410,0.00135,1
elections,1244,17,40.97091,0.00065,1
key,1211,18,40.45864,0.00238,1
georgia,507,11,39.86220,0.00116,1
swalwell,426,13,39.55576,0.00079,1
graham platner,455,14,39.12916,0.00036,1
save,1136,15,38.28647,0.00315,1
paxton,376,12,37.98183,0.00008,1
partial,172,10,37.20676,0.00030,1
tim,953,13,36.74687,0.00067,1
darline,151,9,36.68153,0.00006,1
carolina,371,10,36.39399,0.00005,1
darline graham,138,9,36.33296,0.00006,1
midterm,787,15,35.03115,0.00105,1
powers,343,10,34.96624,0.00084,1
dem,1208,16,34.91091,0.00091,1
el-sayed,565,15,34.64535,0.00100,1
walz,666,15,34.53665,0.00090,1
exposes,1624,19,33.64311,0.00351,1
drops,1655,16,33.47818,0.00179,1
redistricting,401,12,32.21049,0.00080,1
cornyn,192,9,32.20293,0.00003,1
abdul,465,13,32.00817,0.00110,1
pratt,382,12,31.97258,0.00141,1
