phrase,word_a,word_b,gap,titles,channels,npmi,bound_pair
spirit airlines,spirit,airlines,0,113,40,0.8214,False
jill biden,jill,biden,0,113,35,0.712,False
steve hilton,steve,hilton,0,113,34,0.6521,False
adam carolla,adam,carolla,0,111,19,0.8258,False
james comey,james,comey,0,111,39,0.6204,False
th birthday,th,birthday,0,111,35,0.5464,False
michelle obama,michelle,obama,0,110,47,0.6954,False
lake ontario,lake,ontario,0,109,37,0.8375,False
coast guard,coast,guard,0,109,29,0.6733,False
guthrie disappearance,guthrie,disappearance,0,109,18,0.5617,False
north carolina,north,carolina,0,108,31,0.61,False
michigan synagogue,michigan,synagogue,0,107,24,0.6921,False
el mencho,el,mencho,0,105,34,0.8594,False
jon ossoff,jon,ossoff,0,104,37,0.7895,False
human rights,human,rights,0,103,25,0.5615,False
ii astronauts,ii,astronauts,0,103,23,0.5789,False
uss abraham,uss,abraham,0,103,26,0.7728,False
caught on camera,caught,camera,1,102,40,0.5154,False
queen camilla,queen,camilla,0,102,23,0.9044,False
hantavirus outbreak,hantavirus,outbreak,0,101,28,0.5976,False
election integrity,election,integrity,0,101,34,0.5317,False
mike lindell,mike,lindell,0,101,17,0.6923,False
tensions escalate,tensions,escalate,0,100,17,0.528,False
project freedom,project,freedom,0,100,32,0.5533,False
climate change,climate,change,0,100,43,0.5759,False
jon stewart,jon,stewart,0,100,33,0.8229,False
dan bongino,dan,bongino,0,100,31,0.7749,False
tommy robinson,tommy,robinson,0,99,26,0.7301,False
looks like,looks,like,0,99,52,0.5095,False
mehdi hasan,mehdi,hasan,0,99,34,0.6745,False
jesse watters,jesse,watters,0,99,25,0.5864,False
toll rises,toll,rises,0,98,19,0.6662,False
john fetterman,john,fetterman,0,98,41,0.5525,False
shots fired,shots,fired,0,97,44,0.6201,False
pleads not guilty,pleads,guilty,1,97,30,0.6014,False
treasury secretary,treasury,secretary,0,97,31,0.5462,False
stark warning,stark,warning,0,96,21,0.5661,False
trump-xi summit,trump-xi,summit,0,96,20,0.5354,False
abu dhabi,abu,dhabi,0,96,11,0.9805,True
sam altman,sam,altman,0,96,35,0.7971,False
las vegas,las,vegas,0,95,32,0.9528,True
spacex ipo,spacex,ipo,0,94,28,0.6319,False
nancy mace,nancy,mace,0,94,33,0.6396,False
chuck schumer,chuck,schumer,0,94,35,0.8004,False
james carville,james,carville,0,94,26,0.6884,False
times square,times,square,0,94,26,0.5003,False
nepal flood,nepal,flood,0,93,17,0.5136,False
mass deportations,mass,deportations,0,93,29,0.6031,False
signs executive,signs,executive,0,93,19,0.6098,False
foreign ministers,foreign,ministers,0,93,11,0.5452,False
crown prince,crown,prince,0,93,25,0.7378,False
ground invasion,ground,invasion,0,93,37,0.5067,False
falling apart,falling,apart,0,92,56,0.6489,False
bari weiss,bari,weiss,0,92,31,0.9676,True
tear gas,tear,gas,0,92,18,0.6139,False
media addiction,media,addiction,0,92,27,0.507,False
flash flood,flash,flood,0,91,17,0.6469,False
sexual assault,sexual,assault,0,91,22,0.6891,False
missile barrage,missile,barrage,0,89,12,0.5184,False
hong kong,hong,kong,0,89,17,0.9097,False
town hall,town,hall,0,88,43,0.6952,False
stock market,stock,market,0,88,32,0.5522,False
warner bros,warner,bros,0,87,22,0.8587,True
kid rock,kid,rock,0,87,35,0.7269,False
insider trading,insider,trading,0,86,46,0.7608,False
trita parsi,trita,parsi,0,86,20,0.9944,True
space station,space,station,0,86,17,0.6328,False
james comer,james,comer,0,86,18,0.6363,False
flock cameras,flock,cameras,0,85,43,0.7723,False
iron dome,iron,dome,0,85,17,0.8862,True
stephen colbert,stephen,colbert,0,85,37,0.6503,False
speaker johnson,speaker,johnson,0,85,22,0.5731,False
partial government,partial,government,0,84,16,0.5615,False
right wing,right,wing,0,84,36,0.5759,False
solar eclipse,solar,eclipse,0,84,17,0.897,True
delaney hall,delaney,hall,0,82,27,0.8389,False
victor davis,victor,davis,0,82,14,0.7847,False
ransom note,ransom,note,0,82,15,0.7749,False
karen bass,karen,bass,0,82,31,0.8305,False
davis hanson,davis,hanson,0,82,14,0.8205,False
israeli settlers,israeli,settlers,0,81,29,0.5495,False
detention center,detention,center,0,81,25,0.5329,False
south korean,south,korean,0,81,14,0.5511,False
power plants,power,plants,0,81,27,0.5266,False
rude awakening,rude,awakening,0,81,12,0.954,True
dire warning,dire,warning,0,81,25,0.5256,False
aircraft carrier,aircraft,carrier,0,81,27,0.684,False
en route,en,route,0,81,14,0.8638,False
sophie cunningham,sophie,cunningham,0,80,34,0.9611,True
benjamin netanyahu,benjamin,netanyahu,0,80,29,0.563,False
preliminary hearing,preliminary,hearing,0,80,22,0.5618,False
