term,n_titles,degree,strength,betweenness,community
king,307,1,2.97975,0.00000,4
jinping,82,1,2.97213,0.00000,4
pope,183,1,2.84190,0.00000,4
kremlin,43,1,2.51815,0.00000,4
trip,152,1,2.42860,0.00000,4
surprise,238,1,1.77777,0.00000,4
vows,212,1,1.63884,0.00000,4
bombs,373,1,1.19151,0.00000,4
secret,1027,10,21.79224,0.02019,5
chief,472,6,17.02297,0.00758,5
worse,470,6,16.93565,0.01212,5
exposed,1003,8,16.03222,0.01626,5
national,283,4,15.49353,0.00351,5
plan,1087,8,15.29152,0.02354,5
gets,1651,7,15.25488,0.01235,5
truth,676,5,13.43403,0.00403,5
reveals,580,5,11.97099,0.00685,5
emergency,408,3,10.43690,0.00371,5
details,373,5,10.39195,0.02081,5
meeting,370,3,10.32634,0.00319,5
caught,733,4,10.08438,0.00387,5
got,498,4,9.51496,0.00261,5
security,443,3,9.41715,0.00403,5
scandal,453,5,9.36835,0.01084,5
shocking,738,5,9.31954,0.00658,5
holds,200,2,8.84505,0.00082,5
revealed,510,5,8.75357,0.01427,5
declares,277,3,8.60873,0.00644,5
plot,369,3,8.39592,0.00246,5
report,640,3,8.27905,0.00249,5
victory,335,3,7.14805,0.00763,5
social,274,2,6.91475,0.00063,5
getting,405,2,6.79370,0.00082,5
leaks,329,3,6.25332,0.00088,5
leaked,380,2,5.93343,0.00246,5
police,418,3,5.88422,0.00793,5
problem,220,2,5.87102,0.00000,5
tv,373,2,5.58712,0.00111,5
mandelson,228,3,5.17037,0.00269,5
weapon,140,2,5.13689,0.00291,5
conference,256,1,4.61503,0.00000,5
heated,157,2,4.58468,0.00246,5
secrets,143,2,4.44631,0.00323,5
guard,88,1,4.38475,0.00000,5
assassination,161,1,4.29538,0.00000,5
staff,116,1,4.27815,0.00000,5
jobs,101,1,4.11674,0.00000,5
audio,73,1,3.62765,0.00000,5
telling,80,1,3.59693,0.00000,5
lies,533,2,3.58416,0.00514,5
army,444,2,3.56360,0.00019,5
keeps,146,1,3.50676,0.00000,5
spy,115,1,3.45748,0.00000,5
exposes,658,2,3.12067,0.00029,5
accidentally,163,1,3.03108,0.00000,5
awakening,80,1,3.02191,0.00000,5
unveils,114,1,2.96143,0.00000,5
lie,256,1,2.91370,0.00000,5
cam,649,1,2.66418,0.00000,5
debate,657,1,2.60858,0.00000,5
scam,160,1,2.46420,0.00000,5
destroyed,258,1,2.42914,0.00000,5
think,234,1,2.26759,0.00000,5
booed,116,1,2.25695,0.00000,5
peter,127,1,2.16566,0.00000,5
humiliated,388,1,1.62194,0.00000,5
israel,2842,26,42.49576,0.04617,6
israeli,1149,13,32.42177,0.01152,6
gaza,750,13,28.45005,0.02382,6
killed,657,10,24.75141,0.01651,6
settler,68,5,17.10840,0.00120,6
west bank,175,5,16.03237,0.00310,6
settlers,65,4,15.71142,0.00006,6
bank,233,5,15.48478,0.00310,6
lebanon,759,7,14.28190,0.00252,6
idf,291,4,12.39849,0.00280,6
hezbollah,325,5,12.11758,0.00251,6
ceasefire,703,6,12.01917,0.00263,6
troops,747,6,11.74453,0.00789,6
invasion,317,4,11.44906,0.00228,6
soldiers,216,4,10.72608,0.00280,6
ground,265,3,10.52573,0.00270,6
west,333,3,10.29629,0.00001,6
violence,244,3,9.50606,0.00210,6
cuba,372,3,8.71843,0.00057,6
flotilla,48,2,6.58311,0.00082,6
rejects,212,3,6.07923,0.00117,6
palestinian,162,3,5.57811,0.00017,6
genocide,108,2,4.57207,0.00000,6
palestinians,157,2,4.47697,0.00017,6
aid,152,2,4.35552,0.00000,6
political,440,2,4.01787,0.00154,6
soldier,86,1,3.92967,0.00000,6
boots,45,1,3.81339,0.00000,6
board of peace,88,2,3.74712,0.00442,6
activists,80,1,3.64042,0.00000,6
injured,114,1,3.51346,0.00000,6
service,212,1,3.29414,0.00000,6
dozens,102,1,3.26440,0.00000,6
despite,246,1,3.22325,0.00000,6
crash,254,1,2.90170,0.00000,6
board,148,1,2.64069,0.00000,6
hamas,62,1,2.62270,0.00000,6
children,247,1,2.22764,0.00000,6
southern lebanon,98,1,2.11843,0.00000,6
lebanese,67,1,2.01344,0.00000,6
southern,197,1,1.94720,0.00000,6
launch,144,1,1.82299,0.00000,6
tel,145,1,1.52561,0.00000,6
aviv,144,1,1.50409,0.00000,6
tel aviv,144,1,1.50409,0.00000,6
south,341,1,1.43635,0.00000,6
oil,945,24,53.80663,0.06720,7
prices,491,11,37.33747,0.01282,7
crisis,908,14,34.60142,0.03764,7
amid,1341,9,16.95229,0.01302,7
rising,177,4,13.75636,0.00152,7
venezuela,843,7,12.69717,0.01018,7
gas,385,4,11.41707,0.00635,7
global,500,5,11.21619,0.00254,7
price,147,3,11.18825,0.00246,7
energy,236,4,11.05646,0.00063,7
high,223,3,10.87415,0.00268,7
tensions,302,3,9.38568,0.00023,7
sanctions,188,4,8.08000,0.00742,7
surge,225,3,7.88290,0.02040,7
economic,338,3,7.14301,0.00689,7
tankers,80,2,6.70491,0.00000,7
rise,201,2,6.69667,0.00020,7
fuel,174,2,6.18206,0.00034,7
food,183,2,5.75917,0.00034,7
costs,141,2,5.71365,0.00163,7
sites,135,2,5.61230,0.00080,7
pay,245,1,4.55612,0.00000,7
soar,45,1,4.35818,0.00000,7
island,189,2,4.18951,0.01608,7
spike,45,1,3.98240,0.00000,7
deepens,94,1,3.93297,0.00000,7
gas prices,190,1,3.80593,0.00000,7
higher,43,1,3.78148,0.00000,7
venezuelan,88,2,3.70867,0.00079,7
tanker,107,1,3.63653,0.00000,7
earthquake,92,1,3.62097,0.00000,7
d-day,39,1,3.56952,0.00000,7
housing,110,1,3.40877,0.00000,7
economy,518,1,2.87592,0.00000,7
kharg,71,1,2.49796,0.00000,7
fears,220,1,2.09536,0.00000,7
run,259,1,1.64133,0.00000,7
escalation,246,1,1.58148,0.00000,7
conflict,279,1,1.47682,0.00000,7
war,7469,29,45.16024,0.06713,8
maga,3221,14,22.25301,0.02902,8
major,1010,8,15.51835,0.01601,8
suffers,245,4,13.42617,0.00253,8
loss,265,4,10.39090,0.00373,8
collapse,435,4,10.07108,0.00491,8
civil,180,3,8.27868,0.01918,8
erupts,595,3,7.63415,0.01123,8
chaos,535,2,6.77120,0.00111,8
total,323,2,6.55251,0.00084,8
huge,702,2,4.58944,0.00045,8
humiliation,218,1,3.95659,0.00000,8
escalates,214,2,3.16756,0.00504,8
influencer,77,1,2.48359,0.00000,8
support,345,2,2.37136,0.00590,8
