genre,titles,creator,group,nn1,nn2,nn3,nn4,nn5,nn1_group,nn2_group,nn3_group,nn4_group,nn5_group,nn1_js,nn2_js,nn3_js,nn4_js,nn5_js
videos,political,@marklevinshow,right,@TheBrianKilmeadeShow,@NewsmaxTV,@FoxNewsChannelClips,https://rumble.com/c/BannonsWarRoom,@JillianMichaels,right,right,right,right,right,0.538,0.54,0.561,0.563,0.565
videos,political,@morebridgetphetasy,right,@PragerU,@MattWalsh,@AndrewKlavan,@Styxhexenhammer666,@samharrisorg,right,right,right,right,left,0.605,0.607,0.631,0.637,0.638
videos,political,@moreperfectunion,left,@Forbes,@LeverNews,@Vox,@MattWalsh,@oann,neutral,left,left,right,right,0.642,0.766,0.774,0.778,0.779
videos,political,@msnow,left,@thehill,@CNN,@bulwarkmedia,@CBSNews,@RealAmericasVoice,neutral,left,left,neutral,right,0.373,0.395,0.407,0.418,0.432
videos,political,@nationalreview,right,@MichaelKnowles,@BenShapiro,@AfterPartyEmily,@franifio,@BlazeTV,right,right,right,left,right,0.581,0.582,0.588,0.615,0.615
videos,political,@newdiscourses,right,@morebridgetphetasy,@PragerU,@AndrewKlavan,@EzraKleinShow,@dineshdsouza,right,right,right,left,right,0.646,0.669,0.671,0.696,0.701
videos,political,@nousnetwork,left,@ANINewsIndia,@OfficialSaharTV,@Firstpost,@winston_marshall,@marklevinshow,neutral,right,neutral,right,right,0.597,0.711,0.738,0.77,0.787
videos,political,@nypost,right,@AssociatedPress,@CBSNews,@USATODAY,@NewsNation,@FoxNews,neutral,neutral,neutral,neutral,right,0.329,0.391,0.412,0.416,0.426
videos,political,@nytimes,left,@AssociatedPress,@Reuters,@DemocracyNow,@franifio,@nypost,neutral,neutral,left,left,right,0.731,0.737,0.756,0.76,0.761
videos,political,@oann,right,@NewsmaxTV,@FoxNewsChannelClips,@CBSNews,@NewsNation,@RealAmericasVoice,right,right,neutral,neutral,right,0.356,0.368,0.369,0.374,0.375
videos,political,@podsaveamerica,left,@SecularTalk,@FarronBalanced,@TheDamageReport,@dollemore,@msnow,left,left,left,left,left,0.456,0.456,0.462,0.463,0.473
videos,political,@ponderingpolitics,left,@LukeBeasley,@JackCocchiarellaShow,@thedavidpakmanshow,@adammockler,@MeidasTouch,left,left,left,left,left,0.436,0.503,0.531,0.532,0.537
videos,political,@rolandsmartin,left,@Tim_Black,@TheRealTabithaSpeaks,@BlackConservativePerspective,@TheJoyReidShow,@TheDonLemonShow,right,left,right,left,left,0.531,0.587,0.592,0.603,0.637
videos,political,@samharrisorg,left,@EzraKleinShow,@wethefifth,@morebridgetphetasy,@marklevinshow,@TheAtlantic,left,neutral,right,right,left,0.628,0.635,0.638,0.64,0.656
videos,political,@thedavidpakmanshow,left,@adammockler,@harryjsisson,@FarronBalanced,@JackCocchiarellaShow,@TheMichaelCohenShow,left,left,left,left,left,0.42,0.432,0.435,0.449,0.469
videos,political,@thegrayzone7996,left,@DropSiteNews,@BreakThroughNews,@aljazeeraenglish,@KimIversen,@usefulidiots,left,left,left,neutral,left,0.5,0.551,0.551,0.581,0.583
videos,political,@thehill,neutral,@CBSNews,@msnow,@NewsmaxTV,@USATODAY,@FoxNewsChannelClips,neutral,left,right,neutral,right,0.336,0.373,0.39,0.396,0.397
