term,n_titles,acf_lag1_residual,mean_channels_per_day
high,940,0.0763,3.2218
threats,940,0.2139,3.0428
remarks,939,-0.0972,2.8249
record,935,0.1045,3.1323
revealed,933,0.0593,3.3152
union,932,0.1287,1.8132
artemis ii,931,0.6009,1.4475
mission,931,0.2817,2.6654
andrew,930,0.3710,2.6693
defence,930,0.1490,2.2996
illegal,928,0.0959,3.2062
ties,924,0.2199,2.6265
thousands,922,0.1583,3.0895
elon,919,0.2572,3.1518
alleged,915,0.1890,2.9611
killing,913,0.1675,2.9339
men,912,0.0525,3.2140
million,912,0.0819,3.2179
funding,909,0.2646,2.8677
usa,909,0.3018,2.2374
tucker,908,0.4144,3.1401
tonight,906,0.0910,2.3463
states,905,0.2673,3.1634
address,904,0.2154,2.4358
storm,903,0.1403,2.3463
uae,897,0.3605,2.0272
week,895,0.0546,3.0506
base,894,0.2625,2.6265
explodes,887,-0.0011,2.7743
melania,886,0.2781,2.9261
lies,885,0.0609,3.2257
hasan,883,0.2548,3.1518
navy,881,0.0428,2.7626
fauci,880,0.6834,1.9805
turn,880,0.0068,3.2101
irgc,878,0.3203,1.8132
ship,877,0.3434,2.3969
biden,876,0.2367,3.0156
worse,874,0.0506,3.2646
james,873,0.0419,2.9844
obama,871,0.4066,2.7198
response,871,0.0355,3.0078
social,868,0.1150,2.9183
michael,867,-0.0514,2.8016
admits,865,0.0816,3.1206
lindsey graham,865,0.4317,1.9728
rise,865,0.0510,3.0000
suspect,862,0.3176,2.4319
market,860,0.0400,2.6848
senator,859,0.1422,2.8249
fans,853,0.2168,2.3658
scott,848,0.1677,2.8638
governor,846,0.2118,2.8521
pressure,845,0.0942,2.8599
announcement,842,0.1564,2.7704
brutal,842,0.0172,2.9961
politics,840,0.0304,3.0428
vows,840,0.0885,2.7626
search,839,0.3235,2.5253
shot,838,0.2246,2.6770
continues,836,0.0161,2.9105
bannon,834,0.2356,1.5759
post,834,0.2068,2.8171
japan,829,0.1913,2.1868
lost,829,0.0212,3.0973
wins,829,0.0575,2.7665
florida,827,0.2232,2.7626
wrong,825,-0.0640,3.0895
coming,824,-0.0152,3.1245
way,824,-0.0541,3.0584
bomb,822,-0.0403,2.8249
money,822,0.0961,3.0000
plans,821,0.1890,2.9183
they're,819,-0.0684,2.9650
backfires,818,-0.0850,2.9455
demand,815,-0.0082,2.8755
doesn't,815,0.0728,2.9767
pete,815,0.2192,2.6693
return,815,0.0502,2.7549
dinner,814,0.4984,1.4358
macron,813,0.1979,1.8054
away,812,0.0717,3.0039
plot,812,0.0714,2.7665
battle,811,-0.0193,2.9066
claim,811,0.0305,2.7471
children,810,0.0231,2.8327
rejects,809,0.1266,2.6304
shutdown,808,0.3854,2.2996
chinese,807,0.1483,2.5058
despite,807,0.0118,2.7471
nasa,805,0.4787,2.1089
strategy,805,-0.0450,2.8366
leavitt,804,0.2890,2.4669
airport,802,0.2208,2.2568
legal,799,0.0091,2.8794
rescue,799,0.3882,2.1479
office,798,0.0501,2.7782
days,794,0.0591,2.7549
nepal,792,0.3865,1.1556
newsom,792,0.3256,2.8054
question,792,-0.0712,2.9572
brian,790,-0.0081,1.7354
gen,790,0.0629,2.6732
balance,787,-0.0109,1.6265
kill,787,0.0294,2.8132
midterm,787,0.0228,2.5409
ready,787,-0.0014,2.6693
tells,787,0.0607,2.8482
ends,786,0.0674,2.7471
platner,785,0.5080,2.0506
let talk,784,0.0758,1.0623
reality,784,-0.0460,2.9144
launch,783,0.0349,2.3502
cam,782,-0.0573,1.4397
cnn,782,0.2092,2.7821
elon musk,781,0.2230,2.6420
johnson,780,0.0854,2.7626
explosive,779,0.0881,2.2451
footage,777,0.1254,2.6304
we're,777,-0.0188,2.7588
campaign,772,0.1223,2.7160
surge,771,0.0484,2.6304
candace,770,0.2738,2.5798
meltdown,768,0.0996,2.8677
scotus,767,0.4146,2.4436
germany,764,0.1962,2.1673
probe,764,0.1719,2.4747
patel,763,0.3913,2.4125
daily,759,0.0308,2.7665
terror,759,0.2507,2.4086
agent,758,0.2591,2.4591
freedom,757,0.1698,2.4591
arrives,756,0.2039,2.0078
building,754,0.1259,2.2490
reporter,753,0.0436,2.7471
service,753,0.3674,2.4864
sends,751,0.0478,2.6109
pope,750,0.3015,2.0350
violence,748,0.2997,2.4669
mexico,747,0.2245,2.2879
admin,746,0.0518,2.5486
ceremony,746,0.1364,2.0467
attorney,743,0.1538,2.4708
ruling,743,0.3760,2.3502
today,743,-0.0362,2.5759
game,741,0.0856,2.6148
kelly,737,0.1960,2.5914
justice,735,0.1896,2.5837
fired,733,0.1697,2.5409
ground,733,0.2422,2.4280
shapiro,733,0.1523,2.0039
backlash,731,0.0769,2.6848
smith,729,0.2456,2.1479
run,728,-0.0102,2.6031
sea,726,0.1439,2.1051
leaves,724,0.0197,2.5253
pay,722,0.0540,2.5370
free,721,0.0366,2.6576
members,721,0.0194,2.5253
administration,720,0.0514,2.5331
cia,720,0.2700,2.3541
collapses,720,0.0876,2.4825
kills,720,0.1120,2.3891
woke,719,0.1556,2.4319
dangerous,717,-0.0032,2.6498
explained,716,0.0798,2.3502
evidence,713,0.2404,2.5292
