term,n_titles,acf_lag1_residual,mean_channels_per_day
stunned,480,-0.0525,1.8054
weighs,480,0.0146,1.6576
went,480,0.0594,1.8132
wh,480,0.1528,1.5175
journalist,479,0.0547,1.7160
accuses,478,0.0152,1.6459
ilhan omar,478,0.3635,1.5875
attacked,477,0.1484,1.7198
king charles,477,0.4482,0.8638
stunning,477,0.0258,1.7160
zohran mamdani,475,0.2446,1.6459
nolan,474,0.5666,1.2685
lie,472,-0.0727,1.7977
paul,472,0.2273,1.5058
showdown,472,0.0626,1.6226
updates,472,0.0453,1.5525
child,471,0.0167,1.7354
defeat,471,0.1047,1.6848
fear,471,0.0423,1.7549
meta,471,0.3406,1.3541
sky,471,0.0301,1.2490
analysis,470,0.0042,1.4747
church,470,0.0604,1.5525
civil,469,0.1369,1.6809
failed,469,0.0678,1.7315
jeffrey,469,0.1937,1.6109
lying,469,0.1801,1.7860
ebola,468,0.5002,1.2724
check,467,-0.0954,1.7276
survivors,467,0.2915,1.5642
seen,466,0.0017,1.6887
abdul,465,0.3158,1.4825
fm,465,0.0629,1.3463
takeover,464,0.1317,1.6965
turkey,464,0.1470,1.2451
anti-ice,463,0.3492,1.4436
heated,463,0.1349,1.6498
shocks,463,0.0243,1.6226
analyst,461,0.2393,1.5409
block,461,0.0911,1.6770
covid,461,0.1398,1.4708
karmelo,461,0.7430,1.3385
assault,460,0.1313,1.5603
returns,460,0.0937,1.6576
turning,460,0.1409,1.6576
early,459,0.1856,1.6498
kennedy,459,0.1688,1.5525
wild,458,0.0146,1.6732
guard,457,0.2514,1.5292
panel,457,0.0068,1.4708
shuts,457,0.0835,1.6848
epic,456,0.2161,1.4747
fighter,456,0.1020,1.3774
project,456,0.2314,1.5409
rfk jr,456,0.2177,1.5058
tanker,456,0.2004,1.3580
graham platner,455,0.5285,1.3735
potential,454,0.0682,1.6031
presidential,454,0.1810,1.4981
shut,454,0.0315,1.6732
powerful,453,0.1292,1.6148
briefs,452,0.0319,1.2023
heat,452,0.2680,1.4825
mom,452,0.1499,1.5292
soon,452,0.1063,1.5914
corruption,451,0.0361,1.6265
united,451,0.0901,1.5953
aid,450,0.1195,1.5525
desperate,450,0.0643,1.6693
mullin,450,0.3529,1.2062
god,449,0.0445,1.6459
jones,449,0.0609,1.6070
long,449,-0.0209,1.6576
jinping,448,0.3262,1.0350
comes,447,-0.0306,1.6926
didn't,447,0.0342,1.7121
targeted,447,0.0870,1.6031
european,446,0.2128,1.5525
jackson,446,0.2986,1.1167
mistake,446,-0.0071,1.6693
crowd,445,0.1676,1.4903
join,445,-0.0033,1.5447
teen,445,0.1093,1.6031
wildfires,445,0.4725,1.2763
birthright citizenship,444,0.5988,1.1479
fiery,444,0.0518,1.3930
kevin,444,0.0999,1.3696
love,444,0.1718,1.6420
alex pretti,441,0.6519,1.0195
visits,441,0.0426,1.4280
press briefing,440,-0.0378,1.3074
correspondents,439,0.6820,0.6965
july,439,0.3985,1.2023
trip,439,0.1372,1.5447
fallout,438,0.1738,1.5720
maine,438,0.4834,1.3502
talarico,438,0.3878,1.4241
growing,437,0.0206,1.5837
head,437,0.0081,1.6226
idf,437,0.1196,1.3074
qatar,437,0.3121,1.2412
role,437,-0.1203,1.5681
hantavirus,436,0.8235,0.9261
hundreds,436,0.0457,1.5097
houthis,435,0.5289,1.0078
humiliates,435,-0.1195,1.6031
iranians,435,0.2029,1.5447
issue,435,-0.0140,1.5642
revolt,435,-0.0808,1.5292
wells,434,0.4917,1.1051
assembly,433,0.2580,0.7004
hate,433,0.1063,1.6109
mp,433,0.0245,1.1245
opposition,433,0.1504,1.1362
term,433,0.1121,1.5409
xi jinping,433,0.3170,1.0156
london,432,0.0757,1.4358
massie,432,0.6050,1.3930
tyler robinson,431,0.4935,1.2296
grand,430,0.1347,1.3463
parade,430,0.1710,1.1595
supporters,430,-0.0028,1.5097
warsh,430,0.4110,0.8872
cbs,428,0.1191,1.4280
surprise,428,0.0919,1.5136
coverage,427,0.2126,1.4553
father,427,0.1072,1.5136
focus,427,-0.0562,1.5409
piker,427,0.2954,1.5603
tries,427,-0.0069,1.6070
swalwell,426,0.6125,1.0739
crazy,425,0.0314,1.6148
leaks,425,0.0448,1.4553
scam,425,0.1395,1.5914
raises,423,-0.0295,1.5136
stuns,423,0.0300,1.4942
weekend,423,0.1581,1.4514
raid,422,0.1651,1.4319
costs,421,0.1526,1.5097
jets,421,0.3358,1.2724
sunday,421,-0.0172,1.1479
violent,421,0.1115,1.5058
wildfire,421,0.3091,1.1284
signals,420,-0.1111,1.4008
super,420,0.3172,1.3113
streets,419,0.0754,1.4475
karmelo anthony,417,0.7437,1.2179
toll,417,0.3113,1.3541
welcome,417,0.2053,1.2918
blue,416,0.0960,1.4747
committee,416,0.2609,1.3735
highlights,416,0.0480,1.3541
reflecting,416,0.4467,1.3113
adam,415,0.0821,1.4708
correspondents dinner,415,0.7344,0.6459
rips,415,0.1367,1.5214
stand,415,0.0844,1.5370
start,415,0.0436,1.5370
gavin,414,0.3081,1.5214
posts,414,0.0333,1.5019
andy,413,0.2509,1.1518
sounds,413,-0.0933,1.4981
attempt,412,0.1808,1.4436
comments,412,0.0678,1.4747
past,412,0.0285,1.5175
session,412,0.1733,0.9377
eyes,411,-0.0389,1.4591
nolan wells,411,0.6104,1.0467
capitol,410,0.2142,1.3580
hasan piker,410,0.2864,1.5019
view,410,0.1492,1.4514
answer,409,-0.1140,1.4630
nearly,409,0.0283,1.5214
need to know,409,0.0402,1.0467
multiple,408,-0.0420,1.4397
charged,407,0.1796,1.3969
megyn,407,0.2224,1.4047
trans,407,0.3117,1.4903
low,406,0.1029,1.4942
safety,406,0.1078,1.4903
used,405,0.0890,1.5253
clashes,404,0.1057,1.3307
earth,404,0.1985,1.2607
hillary,404,0.3283,1.0311
rogan,404,0.2834,1.4903
lead,402,-0.1222,1.4708
legacy,402,0.1821,1.4397
mcconnell,402,0.4337,1.3619
redistricting,401,0.5172,1.2490
reflecting pool,401,0.4756,1.2529
jim,400,0.0978,1.4008
situation,400,0.0425,1.4436
winning,400,0.1115,1.4864
leads,399,0.0198,1.3930
seeks,398,0.0016,1.3735
ambassador,397,0.0826,1.3385
answers,397,0.0686,1.4864
true,397,0.0821,1.5136
blocks,396,0.1044,1.4202
critical,396,0.1381,1.3852
supply,396,0.0024,1.3658
erika,395,0.3440,1.3346
operations,395,0.1153,1.3619
strong,395,-0.1026,1.4163
arrive,394,0.1129,1.2257
fmr,394,0.0435,1.1051
uss,394,0.3877,1.1089
wave,394,0.1695,1.4202
bangladesh,393,0.2636,0.8521
chris,393,0.0308,1.2840
colombia,393,0.4713,1.0428
fails,393,0.0167,1.4591
homan,393,0.3354,1.1440
damage,392,0.0655,1.4436
department,392,0.1618,1.3658
intelligence,392,0.1952,1.3619
arrests,391,-0.0229,1.4436
harris,391,0.2067,1.3580
taylor,391,0.1213,1.3463
triggers,391,-0.0349,1.3619
council,390,0.1083,1.3152
christian,389,-0.0277,1.4163
convention,389,0.2935,0.9805
erupt,389,0.0967,1.3813
targeting,389,0.1441,1.4241
ny,388,0.1035,1.3969
travel,388,0.2567,1.3735
brief,387,0.1242,1.4553
you're,387,0.0716,1.4358
bbc,386,0.0663,1.0700
gavin newsom,386,0.3191,1.4241
means,386,0.0553,1.4280
merz,386,0.1606,1.0428
nations,386,0.1206,1.3307
denies,385,0.1092,1.3619
rock,385,0.0630,1.3424
ballistic,384,0.0673,1.1712
mandelson,384,0.6875,0.7704
runs,384,0.0312,1.4436
canadian,383,0.2274,1.2763
countries,383,0.0921,1.3813
greg,383,0.0730,1.3580
old,383,0.2071,1.4047
working,383,-0.1399,1.3735
failure,382,0.1435,1.4163
pratt,382,0.4415,1.2685
thought,382,0.0173,1.4163
tsa,382,0.6163,0.9689
hospital,381,0.1587,1.2374
college,380,0.1776,1.3502
intel,380,0.2068,1.2918
results,380,0.1851,1.1907
trouble,380,-0.1019,1.4514
train,379,0.2166,1.1518
closing,378,0.0810,1.3463
crimes,378,0.1030,1.4008
grows,378,-0.0312,1.4241
puts,378,0.0165,1.3735
naval,377,0.2338,1.2101
parents,377,0.0282,1.3658
paxton,376,0.4037,1.1128
homes,375,0.1493,1.3268
industry,375,-0.1137,1.3891
sign,375,0.1797,1.3307
spencer,375,0.2991,1.2996
expected,374,-0.0515,1.3424
resigns,374,0.3905,1.2335
venezuelan,374,0.3848,1.0934
cruise,373,0.4804,1.0156
envoy,373,0.1048,1.0739
facility,373,0.2198,1.2257
gabbard,373,0.5007,1.0506
tried,373,-0.0432,1.4086
finds,372,-0.0669,1.3191
happens,372,0.0185,1.4125
weapon,372,0.1153,1.2879
carolina,371,0.1776,1.2335
celebrates,371,0.0724,1.2490
spending,371,0.1213,1.3113
ultimatum,371,0.1799,1.2374
attend,370,0.1209,1.1323
centers,370,0.1047,1.3424
dan,370,0.1288,1.3658
glenn,370,0.0402,1.2763
gone,370,-0.1189,1.4047
officers,370,0.2313,1.2879
peter,370,0.1502,1.2257
abdul el-sayed,369,0.3497,1.1479
told,369,0.0032,1.4008
camera,367,0.0437,1.3619
goes viral,367,-0.0805,1.3735
policies,366,0.1049,1.3502
al,365,0.0121,1.2218
anthropic,365,0.2600,1.1051
beirut,365,0.4460,0.9416
bombing,365,0.2349,1.3074
reform,365,0.0582,1.1595
trapped,365,0.2099,1.2957
culture,364,0.0348,1.3385
flight,364,0.0895,1.2335
land,364,0.0552,1.3424
looks,364,-0.0692,1.3502
matt,364,-0.0687,1.3152
pleads,364,0.2474,1.2179
tel,363,0.3864,0.9377
aviv,362,0.3998,0.9339
lincoln,362,0.4107,0.9922
moments,362,0.0971,1.3074
sites,362,0.0859,1.1790
steve bannon,362,0.3153,0.9455
tel aviv,362,0.3998,0.9339
challenges,361,-0.0657,1.3191
clancy trial,361,0.3270,0.9767
edition,361,0.1563,1.2218
underway,361,0.0073,1.2374
megyn kelly,360,0.2277,1.2763
resignation,360,0.2510,1.0661
sam,360,0.0821,1.2374
morgan,359,0.1214,1.2685
risks,359,0.0281,1.2996
testify,359,0.1532,1.1907
exit,358,0.1547,1.1790
vp,358,0.1449,1.1323
changes,357,0.0736,1.3463
controversy,357,0.0853,1.2802
dollar,357,-0.0079,1.2140
instantly,357,-0.0225,1.2685
kim,357,0.2108,1.1712
maher,357,0.2035,1.2763
paris,357,0.0267,1.1012
safe,357,0.0186,1.2996
agreement,356,0.4212,1.1712
asked,356,-0.0485,1.3424
experts,356,-0.0687,1.2957
green,356,0.1216,1.1751
south africa,356,0.1132,0.9339
book,355,0.0748,1.2607
executive,355,0.2006,1.2179
site,355,0.1853,1.1751
zelenskyy,355,0.2085,1.1284
cancer,354,0.1692,1.2840
omg,354,0.0464,1.1868
videos,354,0.1491,1.2918
discuss,353,0.0652,1.2490
heads,353,0.1320,1.2840
held,353,0.0807,1.2335
match,353,0.3208,1.1206
changed,352,0.1296,1.3385
hungary,352,0.1703,0.9805
play,352,0.0237,1.2957
shocked,352,-0.0323,1.3035
caller,351,-0.1007,0.8794
growth,351,0.0165,1.0895
rare,351,-0.0788,1.2607
argentina,350,0.2614,0.9494
explosion,350,0.2566,1.1440
killer,350,0.1616,1.2218
sets,350,0.0546,1.2918
gather,349,0.2008,1.1051
italy,349,0.1832,1.1245
private,349,0.0992,1.2218
surges,349,0.0727,1.2646
thomas,349,0.3667,1.2296
trust,349,0.0163,1.2218
community,348,0.0548,1.2529
gun,348,0.0568,1.2568
independence,348,0.0901,0.9222
rob,348,-0.0786,0.9883
tim walz,348,0.3825,1.1284
torches,348,-0.1430,1.2685
defend,347,-0.0088,1.3152
migrants,347,0.1304,1.0817
murder trial,347,0.3029,1.0623
strategic,347,0.0094,1.2062
arms,346,0.1495,1.1245
hidden,346,-0.2275,1.2879
jeffries,346,0.2627,1.2568
migrant,346,0.2070,1.1790
australia,345,0.1744,1.0389
stay,345,-0.0177,1.2957
unhinged,345,-0.0718,1.2763
armed,344,0.1278,1.1556
enters,344,0.0318,1.2335
erika kirk,344,0.3480,1.1868
faith,343,0.0618,1.2724
firing,343,0.2635,1.1440
powers,343,0.3222,1.1712
shift,343,0.0534,1.2607
boom,342,0.1178,1.2218
cities,342,0.1398,1.2179
congressman,342,0.1109,1.2296
medical,342,-0.0270,1.2568
member,342,0.1190,1.2529
ohio,342,0.2802,1.1323
presser,342,-0.0073,1.2179
rates,342,0.1905,1.0545
things,342,-0.0579,1.2996
votes,342,0.0695,1.2257
blast,341,0.0344,1.1518
bring,340,0.0241,1.2763
deals,340,0.0700,1.1556
fail,340,0.0053,1.1128
efforts,339,0.1872,1.2374
reach,339,0.1618,1.1868
talking,339,-0.1417,1.2879
coast,337,0.1202,1.1518
mind,337,-0.1594,1.3035
holy,336,-0.0244,1.2218
prepares,336,0.0494,1.2257
shooter,336,0.3547,1.0623
celebrate,335,0.1682,1.1362
tribute,335,0.2268,1.0272
congressional,334,0.2432,1.1751
facing,334,-0.0123,1.2490
heavy,334,0.0100,1.1012
pick,334,0.1659,1.0739
proposal,334,0.2628,1.0661
bilateral,333,0.1533,0.7082
body,333,0.1313,1.1790
dramatic,333,0.0091,1.1051
oman,333,0.3642,0.9533
tulsi,333,0.5002,1.0700
won,333,0.0487,1.2607
ali,332,0.2405,1.0156
keeps,332,-0.0075,1.2568
palestinian,332,0.0606,1.1634
patriot,332,0.1734,1.0973
stock,332,-0.0277,1.1673
wnba,332,0.2112,1.1362
protect,331,-0.0203,1.2490
abuse,330,0.1475,1.1907
better,330,-0.0242,1.2607
career,330,0.0755,1.2451
forum,330,0.2705,0.8249
spencer pratt,330,0.4422,1.1479
england,329,0.1425,0.8872
expose,329,0.0157,1.2412
german,329,0.0155,1.0817
hails,329,0.0548,0.8911
ministry,329,0.1803,1.0428
month,329,0.2204,1.1829
asks,328,-0.0447,1.2062
rocks,328,-0.0899,1.1323
secy,328,0.0735,0.9183
terrifying,328,-0.0518,1.1984
drama,327,0.0125,1.1829
joe rogan,327,0.2642,1.2140
pulse,327,-0.0157,0.8521
rises,327,0.0545,1.1518
blames,326,-0.0233,1.2179
hollywood,326,0.0757,1.2023
looms,326,0.0961,1.1556
mocks,326,-0.0390,1.0895
outrage,326,0.0245,1.1751
surrender,326,0.3310,1.1167
capital,325,-0.0221,1.1323
davis,325,-0.0111,1.0311
liberals,325,-0.0756,1.1128
powell,325,0.3001,0.8599
praises,325,-0.0786,1.1362
senators,325,0.2152,1.1518
cases,324,0.0084,1.1634
thing,324,-0.0931,1.2218
captures,323,0.0633,1.0117
doctor,323,0.1633,1.1518
dsa,323,0.3675,1.1323
hiding,323,0.1033,1.2257
late,323,0.1869,1.1323
map,323,0.1111,1.1089
savannah,323,0.5830,0.8638
sheriff,323,0.2944,1.0039
explosions,322,0.2262,0.9339
housing,322,0.2086,1.1556
program,322,0.0888,1.1829
andy burnham,321,0.2499,0.8210
melts,321,0.0365,1.2374
movement,321,-0.0535,1.2101
offers,321,0.1080,1.1012
tears,321,0.0849,1.1712
proof,320,0.1511,1.1634
remains,320,-0.0514,1.1984
tour,320,0.1094,1.1323
billionaire,319,0.1020,1.1206
deepens,319,0.0079,0.9844
high-stakes,319,0.2758,0.9650
jon,318,0.0472,1.0739
mojtaba,318,0.4586,0.7743
paper,318,0.1736,0.5992
deaths,317,0.1972,1.1634
farmers,317,0.1205,1.0895
fetterman,317,0.2063,1.1673
financial,317,0.1083,1.1829
hillary clinton,317,0.3121,0.8054
incident,317,0.1955,1.0272
seat,317,0.1073,1.1167
chicago,316,0.2255,1.1362
escalate,316,0.1651,1.1323
islam,316,-0.0095,1.1128
robert,316,0.1551,1.0272
saying,316,-0.0255,1.1790
western,316,0.1559,1.0973
el,315,0.2727,0.9455
hot,315,-0.0005,1.1595
weeks,315,0.1394,1.1128
crypto,314,0.1370,1.0389
flee,314,0.0768,1.1323
george,314,0.1179,1.1206
ken,314,0.1515,1.0700
online,314,-0.0214,1.1634
plus,314,-0.0093,1.1984
save act,314,0.3821,1.0739
jesus,313,0.3127,1.0973
labour,313,0.2621,0.9339
laura,313,0.0924,1.1479
mangione,313,0.5502,0.7626
discusses,312,-0.0540,1.1245
gutfeld,312,-0.0266,0.7743
jail,312,0.0727,1.1401
numbers,312,0.0719,1.1868
reality check,312,-0.1148,1.1479
smoke,312,0.3101,1.0233
west bank,312,0.2122,1.0233
begin,311,0.1488,1.1440
dubai,311,0.3208,0.7860
jack smith,311,0.4636,0.7665
openai,311,0.1316,0.9883
retaliation,311,0.2754,1.0623
schools,311,-0.0443,1.1323
boss,310,0.0877,1.0934
camp,310,0.1703,1.0584
husband,310,0.1326,1.0934
marc,310,0.1864,0.8444
pilot,310,0.2093,0.9572
jan,309,0.2398,0.9339
knicks,309,0.6805,0.8249
months,309,0.0917,1.1167
passes,309,0.2361,1.0778
conspiracy,308,0.1222,1.1245
dave,308,0.1444,1.0778
enforcement,308,-0.0076,1.1245
spy,308,0.2428,1.0623
suffers,308,-0.0200,1.1673
town,308,0.1049,1.1012
build,307,0.0303,1.1206
charge,307,-0.0516,1.0973
send,307,0.1670,1.1167
shoots,307,0.1487,1.0428
alliance,306,0.1019,1.0973
explode,306,0.0086,1.1051
us-israel,306,0.4684,0.7315
amendment,305,0.1702,1.0895
democracy,305,0.1513,1.1206
direct,305,-0.1154,0.9844
games,305,0.1213,1.0623
meloni,305,0.2501,0.7549
mental,305,0.0101,1.1479
wars,305,0.0314,1.1479
cover-up,304,0.0526,1.1167
exchange,304,0.1477,1.0661
flag,304,0.0292,1.0856
bell,303,0.0764,1.0739
data centers,303,0.1236,1.0934
dozens,303,0.0992,1.0934
hope,303,0.0343,1.1167
network,303,0.0287,1.0973
radical,303,0.0381,1.1284
sees,303,-0.0138,1.0350
wall street,303,-0.1157,1.0039
aide,302,0.0948,0.9650
calling,302,-0.0528,1.1362
kamala,302,0.3216,1.0895
relationship,302,0.2017,1.1128
took,302,-0.0362,1.1556
kyle,301,0.0872,0.8210
lives,301,0.0754,1.1284
ms,301,0.0591,0.8366
piers,301,0.1810,1.0661
plea,301,0.1720,1.0078
south korea,301,0.1608,0.9533
conservative,300,0.1889,1.0895
detained,300,0.0837,0.9805
die,300,-0.0158,1.0973
harry,300,0.3822,0.9377
success,300,-0.0333,1.1167
victim,300,0.0955,1.1167
activist,299,-0.0179,1.1089
north korea,299,0.2588,1.0078
reported,299,-0.0129,1.0778
access,298,0.0985,1.1089
grow,298,0.0285,1.1206
list,298,0.1002,1.0739
nba,298,0.3241,0.9300
revolution,298,-0.0255,1.0856
rule,298,0.1025,1.0856
bowl,297,0.5332,0.8405
celebration,297,0.1818,0.9961
lawmaker,297,0.0366,1.0506
place,297,0.0170,1.1051
professor,297,0.0832,1.0389
veteran,297,0.0974,1.1089
attorney general,296,0.3110,0.9728
billions,296,0.0226,1.0817
deploys,296,0.0864,1.0272
fair,296,0.4376,1.0039
ryan,296,0.1314,0.9922
astronauts,295,0.3905,0.8872
delivers remarks,295,0.1377,1.0156
phone,295,0.0641,1.0700
sec,295,0.0736,1.0389
burns,294,0.0307,1.0506
busted,294,-0.0348,1.0739
candidates,294,0.0710,1.0428
cartel,294,0.4095,0.8638
central,294,0.0867,1.0506
islamic,294,0.1508,0.9572
nvidia,294,0.2552,0.6459
somali,294,0.2376,1.0000
film,293,0.0257,1.0311
hall,293,0.2203,1.0000
intensifies,293,0.0551,1.0350
lines,293,0.1661,1.0506
newsmax,293,0.0157,0.7860
speaker,293,0.1570,1.0078
tankers,293,0.3153,0.9455
baby,292,0.0923,1.1051
climate,292,0.1464,1.0506
impeachment,292,0.2319,1.0272
jimmy,292,0.3414,0.9494
rate,292,-0.0134,0.9689
sources,292,0.0446,0.9416
activists,291,0.1533,1.0506
evil,291,0.0760,1.1245
higher,291,0.1323,1.0233
kent,291,0.5969,0.8755
sex,291,0.1568,1.0700
philippines,290,0.1825,0.8249
boost,289,-0.1300,1.0117
daughter,289,0.1103,1.0895
diplomacy,289,0.0659,0.9650
empire,289,0.0249,0.9883
house correspondents,289,0.7288,0.5097
largest,289,0.0244,1.0311
person,289,0.1142,1.0272
racism,289,0.1045,1.0350
round,289,0.2543,0.8677
company,288,-0.0476,1.0973
disturbing,288,-0.0001,1.0700
renee,288,0.3464,0.8755
complete,287,0.0931,1.0817
destiny,287,-0.0493,1.0506
ipo,287,0.2107,0.7237
olympics,287,0.4846,0.9144
turned,287,-0.0130,1.0778
winter storm,287,0.7159,0.5370
challenge,286,0.0205,1.0389
mn,286,0.2728,0.8833
survivor,286,0.1948,1.0078
destruction,285,0.0389,1.0467
posobiec,285,0.0551,0.9144
ted,285,0.1520,1.0156
terrified,285,-0.0187,1.0973
bus,284,0.1381,1.0272
expands,284,0.1451,1.0117
hub,284,0.0529,0.9533
tell,284,0.0192,1.0856
university,284,0.1304,0.9844
welcomes,284,0.0681,0.9066
beat,283,0.0129,1.0000
bizarre,283,0.0726,1.0389
double,283,0.0172,1.0661
healthcare,283,-0.0332,1.0078
port,283,0.0872,0.9183
resign,283,0.2890,0.9961
savannah guthrie,283,0.6062,0.7354
board of peace,282,0.4897,0.6342
citizens,282,0.0185,1.0000
lot,282,-0.0162,1.0506
republic,282,0.0040,0.7354
youth,282,0.0436,0.9066
jake,281,0.0326,0.9728
schumer,281,0.2223,0.9767
banned,280,0.0746,1.0272
confirmation,280,0.2490,0.7821
consequences,280,-0.0037,1.0350
deputy,280,0.0489,0.8833
photo,280,0.1988,0.9300
yemen,280,0.3418,0.8599
approval,279,0.2629,1.0195
companies,279,0.0144,1.0156
death toll,279,0.4111,0.8988
remain,279,-0.0439,1.0117
san,279,0.2099,0.8016
football,278,0.0981,1.0039
guy,278,-0.0991,1.0078
honor,278,0.0633,0.8911
leaving,278,0.1963,1.0467
likely,278,0.0352,1.0311
oh,278,-0.0706,1.0233
steps,278,0.0369,1.0195
warships,278,0.1510,0.8482
jewish,277,0.0881,0.9844
piers morgan,277,0.1536,0.9883
rain,277,0.0739,0.9377
beach,276,0.1816,0.8911
cover,276,-0.0038,1.0233
apple,275,0.1990,0.7626
comey,275,0.5526,0.7121
flags,274,-0.0752,0.9883
mps,274,0.2122,0.7160
names,274,0.1589,0.9572
participates,274,0.0863,0.9183
plant,274,0.2745,0.8794
promises,274,0.0042,1.0350
reportedly,274,0.0928,0.9650
age,273,0.0823,0.9961
alive,273,0.1717,0.9922
humiliation,273,0.0286,0.9883
regime change,273,0.2439,0.9144
celebrations,272,0.2842,0.7588
detention,272,0.1215,0.9455
syria,272,0.0637,0.8210
festival,271,0.1483,0.8482
narrative,271,0.0476,1.0272
palestinians,271,0.1318,0.9222
patrol,271,0.3126,0.8988
propaganda,271,-0.0841,1.0428
rages,271,0.0324,1.0117
snaps,271,0.0219,0.9922
trap,271,0.1122,1.0233
khanna,270,0.2989,0.9611
region,270,0.1618,0.9689
rocket,270,0.1701,0.8444
rutte,270,0.2846,0.7276
super bowl,270,0.6007,0.7510
vice,270,0.1891,0.8872
crockett,269,0.3745,0.9377
fighters,269,0.0124,0.8016
forever,269,0.0663,1.0039
mitch,269,0.3626,0.9183
staff,269,0.0355,0.9767
ben shapiro,268,0.1016,1.0156
brings,268,0.1773,1.0195
county,268,0.2450,0.8949
emotional,268,0.0551,0.9767
ending,268,0.0299,0.9844
flames,268,0.0088,0.9416
kushner,268,0.4189,0.9027
scene,268,0.1127,0.9261
tulsi gabbard,268,0.4825,0.8560
fed chair,267,0.3850,0.8327
palestine,267,-0.0068,0.9805
prof,267,0.0797,0.8716
proves,267,-0.0227,1.0117
step,267,0.0676,1.0156
blocked,266,0.0835,0.9611
honors,266,0.1498,0.9261
mystery,266,0.1084,0.9416
thinks,266,-0.0310,1.0156
wilson,266,0.1716,0.9222
witness,266,0.0825,0.9650
birthday,265,0.2868,0.8911
denmark,265,0.2732,0.7821
modern,265,-0.0063,0.9728
offer,265,0.0399,0.8911
quits,265,0.1390,0.9455
verdict,265,0.3153,0.8794
watters,265,0.3064,0.7510
airlines,264,0.3755,0.8521
chip,264,0.0223,0.8132
edge,264,0.0160,0.9222
education,264,0.0926,0.8949
kremlin,264,0.0314,0.7315
larry,264,0.1445,0.9377
shots,264,0.1386,0.8677
stupid,264,0.0349,0.9728
tom homan,264,0.2895,0.8366
clear,263,0.0304,0.9883
fast,263,0.0724,0.9728
flash,263,0.3408,0.6459
local,263,0.1067,0.8872
op,263,-0.0640,0.8054
touts,263,0.1533,0.9416
centre,262,-0.0794,0.7860
confronts,262,0.0769,0.9961
horror,262,0.0393,0.9455
ii crew,262,0.6333,0.5914
insider,262,0.0603,0.9883
ministers,262,0.1881,0.7549
muslims,262,0.0630,0.9377
primaries,262,0.3504,0.8366
sneako,262,0.1133,0.7899
urgent,262,-0.1129,0.9689
dream,261,0.0211,0.9572
levin,261,0.1203,0.9144
markwayne,261,0.2943,0.7510
raise,261,-0.0781,0.9767
whistleblower,261,0.1943,0.9300
debt,260,0.1389,0.8677
living,260,-0.0080,0.9961
absolutely,259,0.0003,0.9883
captured,259,0.1073,0.8288
hands,259,0.0258,0.9728
road,259,-0.0549,0.9494
taken,259,0.0276,0.9494
accidentally,258,-0.0073,0.9844
bernie,258,0.1653,0.9300
dolly,258,0.6706,0.5058
embarrassing,258,-0.0445,0.9844
ram,258,0.0902,0.4747
secrets,258,-0.0362,0.9883
departs,257,0.1045,0.6732
earnings,257,0.2222,0.5603
joe kent,257,0.5903,0.7821
records,257,-0.0180,0.9494
roundtable,257,0.1603,0.9183
warn,257,0.0931,0.9805
york city,257,0.1104,0.8872
bahrain,256,0.2822,0.7082
bans,256,-0.0105,0.9066
cops,256,0.0793,0.9377
events,256,0.0507,0.9572
grilled,256,0.2927,0.8949
indictment,256,0.4275,0.8405
leftist,256,0.0225,0.9844
linked,256,0.0753,0.9183
nukes,256,-0.1289,0.9572
reporters,256,-0.0059,0.9533
silent,256,-0.0947,0.9844
south carolina,256,0.2051,0.8482
actor,255,0.0575,0.8560
card,255,0.2145,0.8405
indonesia,255,0.1758,0.7237
music,255,0.2000,0.8755
parton,255,0.5912,0.5409
storms,255,0.2138,0.9611
fights,254,0.0525,0.9650
fox host,254,0.0353,0.9494
pride,254,0.4515,0.7899
socialism,254,0.0114,0.9222
stephen miller,254,0.2484,0.9416
acting,253,0.0523,0.8599
dhs funding,253,0.4448,0.7588
lake,253,0.2653,0.7665
remark,253,0.0248,0.7549
terrorism,253,0.1275,0.8911
try,253,0.1243,0.9611
voice,253,0.0280,0.9416
alex jones,252,0.1806,0.8872
appears,252,-0.0352,0.8949
iii,252,0.2404,0.6148
rage,252,0.1058,0.9650
secret service,252,0.4588,0.8171
tate,252,0.4534,0.8560
arab,251,0.0636,0.7626
broke,251,-0.0747,0.9494
epic fury,251,0.4639,0.7121
farage,251,0.2910,0.6887
islamabad,251,0.4982,0.5292
markwayne mullin,251,0.2940,0.7237
raids,251,0.0588,0.8677
renee good,251,0.3820,0.7977
retired,251,0.1201,0.8638
sick,251,0.0646,0.9572
standoff,251,0.1300,0.8638
loose,250,0.0202,0.9222
pass,250,0.0148,0.9377
treasury,250,0.2041,0.8171
truce,250,0.1824,0.6187
