row_id,video_id,creator,genre,topic_id,topic_sim,weak_assignment,political
150,d2OR-WC572c,@AsmonTV,videos,1,0.45580566,False,True
151,Um7RD2muq5Y,@AsmonTV,videos,128,0.662544,False,True
152,Wiw7YGzCf9o,@AsmonTV,videos,1,0.35244563,True,True
153,5XpnevCY8c8,@AsmonTV,videos,1,0.3848012,True,True
154,tlVG1w659T8,@AsmonTV,videos,1,0.34061077,True,True
155,IiBY-eASKTY,@AsmonTV,videos,11,0.44807526,False,True
156,6NdgmGgCojU,@AsmonTV,videos,1,0.41745007,True,True
157,8DoD3S0QE28,@AsmonTV,videos,1,0.33928996,True,True
158,xkhD_EypA5g,@AsmonTV,videos,54,0.35370845,True,False
159,kvl9WmOngSI,@AsmonTV,videos,191,0.18963997,True,True
160,s19wxm-HE2w,@AsmonTV,videos,1,0.4089554,True,True
161,Z-fdUCQ82_s,@AsmonTV,videos,1,0.46445033,False,True
162,gi841n7sDeU,@AsmonTV,videos,163,0.4726537,False,True
163,vgKO7rf53ek,@AsmonTV,videos,1,0.45580566,False,True
164,0OsSVrsWems,@AsmonTV,videos,95,0.3547695,True,False
165,Wv_nTm_lBrA,@AsmonTV,videos,1,0.39594495,True,True
166,TJcHkl7etrE,@AsmonTV,videos,152,0.23041682,True,False
167,zfeHNQ4Sfok,@AsmonTV,videos,13,0.59918696,False,True
168,y2kIhH15YNk,@AsmonTV,videos,1,0.5212913,False,True
169,PGW2wG92YRo,@AsmonTV,videos,125,0.49753144,False,False
170,Og31LNrJYJo,@AsmonTV,videos,1,0.42486283,True,True
171,yX5ci1KEgQY,@AsmonTV,videos,1,0.50990844,False,True
172,Q0fI0-Htd6A,@AsmonTV,videos,9,0.33339715,True,True
173,S5LXxKQTNoM,@AsmonTV,videos,125,0.5168342,False,False
174,LBEUP6RNQhY,@AsmonTV,videos,1,0.28423095,True,True
175,ExVRS0satZA,@AsmonTV,videos,13,0.3810966,True,True
176,WFP2cyn1u1A,@AsmonTV,videos,1,0.46941984,False,True
177,m2RIqTfcyiA,@AsmonTV,videos,1,0.38634753,True,True
178,qVCf3E6efxw,@AsmonTV,videos,154,0.6047081,False,True
179,1QtzQ-OduUg,@AsmonTV,videos,204,0.42141035,True,True
180,FWucG5XlDZk,@AsmonTV,videos,40,0.46012622,False,True
181,fX2am7ZxEP8,@AsmonTV,videos,59,0.4602515,False,True
182,w6Qt8qhQdj4,@AsmonTV,videos,1,0.2520185,True,True
183,T2pQjjvjKtY,@AsmonTV,videos,11,0.34546518,True,True
184,GmM_f4kTT_U,@AsmonTV,videos,11,0.4179283,True,True
185,mdn7EDNrw4U,@AsmonTV,videos,11,0.54107165,False,True
186,LgbmwV_FPac,@AsmonTV,videos,1,0.28427503,True,True
187,FE2qJkfXdS8,@AsmonTV,videos,1,0.40280306,True,True
188,rUsHZ2uqE7E,@AsmonTV,videos,1,0.44031784,True,True
189,4R0TuNZ3AbI,@AsmonTV,videos,114,0.47719422,False,True
190,00b3MT8SgpE,@AsmonTV,videos,125,0.5208114,False,False
191,224oxvBqixI,@AsmonTV,videos,1,0.4234909,True,True
192,dFrX54XBfIk,@AsmonTV,videos,1,0.58898365,False,True
193,W5LkXE50y64,@AsmonTV,videos,1,0.24584365,True,True
194,nZIckNnhwNg,@AsmonTV,videos,54,0.32821572,True,False
195,6x-ab-AAz9I,@AsmonTV,videos,48,0.75531554,False,True
196,QhZ2ZoSHl_I,@AsmonTV,videos,1,0.46142888,False,True
197,N6J7auRZltg,@AsmonTV,videos,175,0.08360522,True,False
198,mickPeJxup8,@AsmonTV,videos,1,0.53748,False,True
199,VpRqCv8Xk6Q,@AsmonTV,videos,125,0.51795477,False,False
200,fT_B-rntZLk,@AsmonTV,videos,70,0.56302494,False,True
