a,b,co_mentions,channels_co_mentioning,phrase_pair,r_pooled,r_lo_pooled,r_hi_pooled,r_shift_p_pooled,peak_ccf_pooled,peak_lag_pooled,peak_shift_p_pooled,pw_peak_ccf_pooled,pw_peak_lag_pooled,pw_band_pooled,r_channels,r_lo_channels,r_hi_channels,r_shift_p_channels,peak_ccf_channels,peak_lag_channels,peak_shift_p_channels,pw_peak_ccf_channels,pw_peak_lag_channels,pw_band_channels,r_pooled_knots3,r_pooled_knots10,granger_order,granger_a_to_b_p,granger_b_to_a_p,naive_or,week_observed,week_expected,week_lift,week_z,week_p,week_or_mh,week_or_lo,week_or_hi,week_log_or_se,day_or_mh,day_or_lo,day_or_hi,day_z,z_half_a,or_half_a,z_half_b,or_half_b,title_replicated,group_left_or,group_left_lo,group_left_hi,group_neutral_or,group_neutral_lo,group_neutral_hi,group_right_or,group_right_lo,group_right_hi,group_heterogeneity_p,loo_or_min,loo_or_max,loo_z_min,loo_z_max,loo_most_influential_org,meta_k,meta_theta_re,meta_se_re,meta_tau2,meta_i2,meta_q,meta_q_p,meta_share_or_gt1,meta_share_sig_pos,meta_share_sig_neg,screen_lift,screen_q,screen_replicated,screen_channels,title_kind,title_direction,time_reading
maduro,greenland,8,7,False,-0.0422,-0.1869,0.0927,0.5760,0.1676,14,0.5240,0.1784,14,0.1225,-0.0035,-0.1361,0.1175,0.9460,-0.1501,-11,0.6940,-0.1489,-11,0.1225,-0.1598,-0.0446,1,0.1128,0.0456,0.7935,8.0000,42.5168,0.1882,-5.9435,0.0000,0.1597,0.0791,0.3225,0.3585,0.1622,0.0773,0.3404,-5.6327,-5.0694,0.0700,-3.2889,0.2740,True,0.1572,0.0492,0.5027,0.1635,0.0605,0.4419,0.1531,0.0229,1.0230,0.9976,0.1374,0.2103,-6.0957,-4.5021,Times Group,31,1.0623,0.2169,0.0000,0.0000,21.3527,0.8765,0.9032,0.0968,0.0000,,,,,channels,avoid,none
epstein,ceasefire,2,2,False,0.1225,-0.0354,0.2507,0.1120,0.2125,-1,0.2380,0.1468,3,0.1225,0.1434,-0.0024,0.2669,0.0800,0.2240,-1,0.1440,0.1538,3,0.1227,0.0106,0.1036,1,0.9805,0.0052,0.0441,2.0000,28.9074,0.0692,-5.3801,0.0000,0.0590,0.0146,0.2379,0.7114,0.0760,0.0203,0.2846,-5.1415,-3.4571,0.0690,-4.1226,0.0517,True,,,,0.1435,0.0349,0.5905,,,,,0.0296,0.0668,-5.5210,-5.0152,MS NOW,44,-0.0173,0.2089,0.0000,0.0000,21.6960,0.9972,0.4318,0.0000,0.0000,,,,,channels,avoid,none
deal,shooting,11,11,False,-0.1392,-0.2762,0.0138,0.1660,-0.1746,-7,0.6960,-0.1874,-7,0.1247,-0.1182,-0.2620,0.0332,0.2320,-0.1903,-7,0.5340,-0.1737,-7,0.1237,-0.0014,0.0206,1,0.2434,0.9264,0.1972,11.0000,45.2772,0.2429,-5.3041,0.0000,0.2218,0.1207,0.4076,0.3104,0.1930,0.0994,0.3747,-5.4106,-3.1611,0.2823,-4.2760,0.1780,True,0.1057,0.0118,0.9482,0.1563,0.0647,0.3773,0.5795,0.2313,1.4515,0.0890,0.2001,0.2719,-5.4428,-4.4652,Network18,57,0.3655,0.1749,0.1109,0.0644,59.8538,0.3377,0.6491,0.0351,0.0175,,,,,channels,avoid,none
epstein,deal,25,13,False,0.1302,-0.0175,0.2774,0.1640,0.1302,0,0.8220,0.1357,0,0.1225,0.0851,-0.0501,0.2164,0.3360,0.0851,0,1.0000,0.1376,-3,0.1227,0.1528,0.1659,3,0.3944,0.0210,0.2654,25.0000,64.2434,0.3891,-5.2521,0.0000,0.3503,0.2327,0.5272,0.2086,0.3076,0.1979,0.4781,-5.5640,-2.9151,0.4481,-4.4306,0.2760,True,0.4413,0.2583,0.7538,0.2625,0.1281,0.5382,0.3016,0.0779,1.1673,0.5055,0.3133,0.3779,-5.4332,-4.8281,The Hill,71,0.0970,0.1366,0.0000,0.0000,53.8845,0.9230,0.5070,0.0423,0.0000,0.3891,0.0000,True,13.0000,channels,avoid,none
ice,lindsey graham,0,0,False,0.1422,-0.0464,0.2874,0.1060,0.2049,4,0.3840,0.1648,5,0.1227,0.1278,-0.0414,0.2743,0.1240,0.1888,5,0.6000,0.1601,5,0.1227,0.0109,0.0575,1,0.5665,0.2266,,0.0000,22.1499,0.0000,-5.0671,0.0000,,,,,,,,-4.6351,-3.6777,,-3.4863,,True,,,,,,,,,,,,,,,,39,0.3472,0.2324,0.0000,0.0000,17.4910,0.9982,0.6410,0.0256,0.0000,,,,,channels,avoid,none
war,ceasefire,363,47,False,-0.0020,-0.1459,0.1456,0.9620,-0.1378,-5,0.7400,0.1460,0,0.1250,-0.0360,-0.1769,0.1013,0.6740,-0.1063,9,1.0000,-0.1220,2,0.1235,-0.0065,0.1051,2,0.4993,0.2627,2.5096,363.0000,292.6667,1.2403,4.9264,0.0000,1.3634,1.2026,1.5458,0.0640,1.4287,1.2451,1.6392,5.1466,0.1296,1.0155,5.9928,1.5610,False,0.7927,0.6135,1.0244,1.6804,1.4419,1.9585,1.8380,1.1105,3.0422,0.0000,1.2082,1.4713,2.5186,5.9595,Network18,50,0.6000,0.1210,0.2582,0.5462,107.9659,0.0000,0.7200,0.2400,0.0200,1.2403,0.0000,False,47.0000,none,co-mention,none
war,alex,36,20,False,-0.0704,-0.2330,0.0844,0.2520,0.2177,13,0.1120,-0.1264,5,0.1250,-0.1267,-0.2507,0.0044,0.1200,0.1938,13,0.2300,0.1789,8,0.1235,-0.1669,0.1179,4,0.4667,0.1376,0.4429,36.0000,71.9003,0.5007,-4.8096,0.0000,0.4187,0.2920,0.6005,0.1840,0.3268,0.2118,0.5043,-5.1638,-1.5192,0.6525,-4.8215,0.3156,False,0.3068,0.1404,0.6706,0.5271,0.2277,1.2204,0.4450,0.2794,0.7089,0.6196,0.3999,0.4649,-4.9721,-3.4029,Real America's Voice,47,-0.1387,0.1499,0.0000,0.0000,33.6242,0.9126,0.4681,0.0000,0.0213,0.5007,0.0000,False,20.0000,none,avoid,none
alex,america,19,12,False,-0.0788,-0.1957,0.0658,0.3440,0.1419,-14,0.7080,0.0929,4,0.1227,-0.1021,-0.2058,0.0258,0.2460,-0.1551,-1,0.6860,-0.1166,-1,0.1227,-0.1274,-0.0949,2,0.7606,0.3854,0.5842,18.0000,47.2261,0.3811,-4.7111,0.0000,0.3369,0.2089,0.5434,0.2439,0.2911,0.1742,0.4867,-4.9830,-0.8871,0.6451,-4.7458,0.2873,False,1.0997,0.4287,2.8212,0.6781,0.2598,1.7702,0.1906,0.0938,0.3870,0.0076,0.2669,0.5812,-5.0607,-1.9885,Real America's Voice,44,0.6931,0.2070,0.4035,0.2368,56.3383,0.0835,0.8182,0.0909,0.0227,,,,,none,avoid,none
deal,minneapolis,3,3,False,0.0434,-0.0770,0.1543,0.5200,0.1057,-3,0.9260,-0.1547,-4,0.1247,0.0735,-0.0408,0.1895,0.3280,0.1190,-3,0.9660,-0.1785,-4,0.1237,0.3099,0.0605,5,0.3003,0.0156,0.0845,3.0000,24.5981,0.1220,-4.5911,0.0000,0.1054,0.0331,0.3351,0.5902,0.1320,0.0405,0.4302,-3.8770,-3.2064,0.0775,-3.2911,0.1285,True,,,,0.0654,0.0088,0.4842,0.3170,0.0755,1.3308,0.2091,0.0709,0.1237,-4.7256,-4.1513,Times Group,43,0.1979,0.2075,0.0000,0.0000,28.8355,0.9390,0.5814,0.0000,0.0000,,,,,channels,avoid,none
shooting,america,42,13,False,-0.1467,-0.2443,-0.0370,0.0820,-0.1947,1,0.3760,-0.1479,-2,0.1225,-0.1045,-0.2247,0.0309,0.2840,-0.1763,3,0.4020,0.1282,-10,0.1230,-0.1972,-0.1140,1,0.0243,0.0336,0.4740,41.0000,77.5548,0.5287,-4.5327,0.0000,0.4801,0.3476,0.6631,0.1648,0.4626,0.3307,0.6469,-4.5898,-3.5013,0.1122,-3.3176,0.5733,True,0.5743,0.2349,1.4040,0.5444,0.3683,0.8046,0.3039,0.1423,0.6491,0.3828,0.4131,0.5055,-4.7498,-4.2035,Times Group,54,0.0400,0.1285,0.0000,0.0000,45.2915,0.7651,0.6111,0.0185,0.0000,0.5287,0.0000,True,13.0000,channels,avoid,none
china,minneapolis,4,4,False,-0.0538,-0.1894,0.0970,0.4300,-0.1423,-7,0.6120,0.1139,14,0.1230,-0.0419,-0.1941,0.1151,0.5560,-0.1235,-6,0.7600,0.1266,14,0.1230,0.1087,-0.0208,3,0.9960,0.3729,0.1217,4.0000,25.0714,0.1595,-4.4691,0.0000,0.1429,0.0528,0.3863,0.5075,0.1534,0.0549,0.4288,-4.1193,-2.9739,0.0888,-3.3414,0.1783,True,0.2221,0.0548,0.9007,0.0771,0.0110,0.5404,0.1803,0.0233,1.3942,0.6823,0.1056,0.1650,-4.6715,-3.9544,Times Group,33,0.2134,0.2278,0.0000,0.0000,23.7011,0.8550,0.5758,0.0303,0.0000,,,,,channels,avoid,none
deal,alex,0,0,False,0.0216,-0.1137,0.1479,0.8600,0.0951,-6,0.9880,-0.1714,2,0.1247,0.0243,-0.1020,0.1441,0.7980,0.1157,7,0.9440,-0.1361,2,0.1237,0.1182,-0.0922,3,0.0297,0.8093,,0.0000,15.7400,0.0000,-4.2923,0.0000,,,,,,,,-3.9864,-2.2187,,-3.6778,,True,,,,,,,,,,,,,,,,39,0.7876,0.2341,0.0000,0.0000,17.2173,0.9985,0.7692,0.0000,0.0000,,,,,channels,avoid,none
ceasefire,shooting,4,3,False,-0.1275,-0.2836,0.0225,0.0980,0.1965,13,0.2560,0.1308,12,0.1225,-0.0914,-0.2292,0.0675,0.1980,0.2095,13,0.0940,0.1651,12,0.1237,-0.0271,-0.0979,1,0.0866,0.3022,0.1498,4.0000,23.8896,0.1674,-4.2855,0.0000,0.1602,0.0605,0.4241,0.4966,0.2973,0.1106,0.7990,-2.5701,-3.1133,,-3.0177,0.2537,True,,,,0.1728,0.0561,0.5324,0.2759,0.0396,1.9229,0.6829,0.0959,0.1764,-4.4946,-3.9987,CBS News,38,0.3658,0.2135,0.0000,0.0000,33.3445,0.6412,0.5526,0.0526,0.0000,,,,,channels,avoid,none
ice,ceasefire,1,1,False,0.0183,-0.1205,0.1524,0.8200,-0.0958,-14,0.9980,-0.1044,13,0.1227,0.0442,-0.0854,0.1829,0.6200,0.0880,3,1.0000,-0.0873,-7,0.1227,0.1013,0.0822,1,0.7071,0.4242,0.0184,1.0000,17.9734,0.0556,-4.1994,0.0000,0.0542,0.0079,0.3722,0.9826,0.0588,0.0082,0.4208,-3.8577,-2.5038,,-3.3734,0.0802,True,,,,,,,0.3486,0.0492,2.4689,,0.0542,0.0605,-4.3178,-3.9305,Network18,43,-0.0924,0.2160,0.0000,0.0000,28.0618,0.9512,0.3953,0.0233,0.0000,,,,,channels,avoid,none
fauci,lindsey graham,2,2,False,0.0364,-0.1798,0.2536,0.7140,0.3040,-14,0.1980,0.1085,-13,0.1227,-0.0018,-0.2003,0.1794,0.9720,0.3170,-14,0.0500,0.1416,-13,0.1227,0.0867,0.1036,2,0.7380,0.6050,0.7277,2.0000,15.8684,0.1260,-3.9346,0.0001,0.1063,0.0264,0.4279,0.7104,0.0993,0.0172,0.5729,-3.1856,-3.1729,0.0948,-2.3383,0.1245,True,0.2301,0.0326,1.6250,0.1645,0.0209,1.2946,,,,0.8168,0.0483,0.1226,-4.2052,-3.6075,Fox News,23,1.8891,0.2925,0.0000,0.0000,9.7156,0.9887,1.0000,0.2174,0.0000,,,,,channels,avoid,none
epstein,venezuela,7,7,False,-0.1488,-0.2705,-0.0149,0.1880,-0.2243,8,0.2020,-0.1517,8,0.1225,-0.1468,-0.2595,-0.0209,0.1600,-0.2069,8,0.5420,-0.1467,8,0.1227,-0.1065,-0.1167,1,0.3111,0.9147,0.1369,7.0000,24.7168,0.2832,-3.9186,0.0001,0.2539,0.1197,0.5385,0.3837,0.3363,0.1375,0.8227,-2.4454,-3.3812,0.1740,-2.0575,0.3747,True,0.3314,0.1463,0.7508,0.1415,0.0208,0.9644,,,,0.4240,0.2150,0.2777,-4.1286,-3.4103,Times Group,56,0.2094,0.1825,0.0000,0.0000,36.9524,0.9707,0.5357,0.0179,0.0000,,,,,channels,avoid,none
war,platner,9,8,False,0.1750,0.0673,0.2849,0.2680,0.2529,-1,0.4820,0.2259,-14,0.1250,0.1352,0.0434,0.2312,0.4680,0.1884,-1,0.7680,-0.1406,10,0.1235,0.0051,0.1317,3,0.2329,0.0015,0.1578,9.0000,27.9140,0.3224,-3.8861,0.0001,0.2937,0.1511,0.5711,0.3392,0.2235,0.1041,0.4798,-4.2586,-1.7311,0.5129,-3.7019,0.1207,False,0.3436,0.1510,0.7818,0.1234,0.0174,0.8753,0.4069,0.1015,1.6322,0.5909,0.2410,0.3391,-4.0780,-3.3802,MS NOW,37,0.1195,0.2042,0.0000,0.0000,20.4463,0.9826,0.5405,0.0270,0.0000,,,,,none,avoid,none
state,epstein files,2,2,False,-0.0322,-0.1640,0.1157,0.7020,0.2019,-14,0.0800,0.1168,-14,0.1232,-0.0602,-0.1900,0.0718,0.4620,-0.1686,3,0.3400,-0.1545,3,0.1227,0.0362,-0.0330,3,0.1252,0.6995,0.1336,2.0000,16.9376,0.1181,-3.8423,0.0001,0.1004,0.0235,0.4290,0.7410,,,,-4.0522,-2.3059,0.1297,-3.0756,0.0819,True,0.1058,0.0139,0.8045,0.1159,0.0144,0.9322,,,,0.9508,0.0502,0.1222,-4.0754,-3.4002,MS NOW,47,0.9002,0.2096,0.0000,0.0000,16.8954,1.0000,0.8936,0.0213,0.0000,,,,,channels,avoid,none
war,minneapolis,27,16,False,0.0780,-0.0411,0.1883,0.2280,0.1820,-2,0.0000,0.1518,11,0.1250,0.0605,-0.0786,0.1884,0.3500,0.2140,4,0.0260,-0.1278,-13,0.1235,-0.3303,-0.0242,5,0.0730,0.3016,0.1887,27.0000,52.1069,0.5182,-3.8140,0.0001,0.4715,0.3169,0.7016,0.2028,0.4164,0.2670,0.6496,-4.0327,-2.4253,0.5545,-3.0461,0.3574,True,0.4672,0.2624,0.8318,0.3452,0.1512,0.7880,0.6662,0.3190,1.3916,0.5012,0.4344,0.5065,-4.0676,-3.3816,Times Group,52,-0.5055,0.1644,0.0842,0.0624,54.3930,0.3466,0.3269,0.0192,0.0962,0.5182,0.0002,False,16.0000,channels,avoid,none
deal,america,102,27,False,-0.0064,-0.1521,0.1736,0.9920,0.1911,12,0.2480,-0.1719,-14,0.1247,0.0137,-0.1388,0.1371,0.8840,0.1388,12,0.7760,-0.1732,-14,0.1237,-0.0836,-0.0854,1,0.5362,0.8688,0.7327,102.0000,143.9878,0.7084,-3.7757,0.0002,0.6796,0.5545,0.8330,0.1038,0.6969,0.5653,0.8590,-3.4497,-1.1810,0.7678,-3.6251,0.6591,False,0.6555,0.4084,1.0523,0.6602,0.5029,0.8666,0.7474,0.4997,1.1179,0.8692,0.6302,0.7184,-4.2196,-2.6906,Network18,71,0.0952,0.0901,0.0000,0.0000,66.2911,0.6035,0.6197,0.0282,0.0141,0.7084,0.0003,False,27.0000,none,avoid,none
greenland,alex,0,0,False,-0.2280,-0.4237,0.0078,0.0000,-0.2512,-2,0.0000,-0.1230,-2,0.1227,-0.1678,-0.3536,0.0362,0.0460,-0.1975,-2,0.3340,-0.1239,7,0.1227,-0.0724,-0.1011,2,0.2881,0.0242,,0.0000,10.6824,0.0000,-3.6547,0.0003,,,,,,,,-2.3982,-2.7174,,-2.4593,,True,,,,,,,,,,,,,,,,27,1.4832,0.2809,0.0000,0.0000,14.3714,0.9678,0.8889,0.0741,0.0000,,,,,channels,avoid,none
deal,fauci,2,2,False,0.1037,-0.1072,0.2770,0.5040,0.2517,5,0.4760,0.1380,5,0.1247,0.0860,-0.1292,0.2484,0.4020,0.2304,6,0.4520,0.1391,6,0.1237,0.0871,0.1065,2,0.4926,0.1120,0.1265,2.0000,14.6857,0.1362,-3.6422,0.0003,0.1072,0.0251,0.4583,0.7411,0.0889,0.0155,0.5097,-3.4159,-2.3667,,-2.7895,0.1606,True,,,,,,,0.1951,0.0461,0.8250,,0.0493,0.1257,-3.9021,-3.2348,Real America's Voice,32,0.6950,0.2527,0.0000,0.0000,16.9464,0.9809,0.7500,0.0312,0.0000,,,,,channels,avoid,none
epstein files,minneapolis,2,2,False,-0.0545,-0.1648,0.0602,0.4880,-0.1774,3,0.1020,-0.1398,2,0.1230,-0.0046,-0.1088,0.0890,0.9620,-0.1229,3,1.0000,0.1513,1,0.1230,0.0353,0.0121,3,0.0012,0.6894,0.2003,2.0000,15.1251,0.1322,-3.6288,0.0003,0.1224,0.0309,0.4853,0.7027,0.1456,0.0314,0.6743,-2.7968,-2.8022,,-2.3402,0.2307,True,0.1128,0.0165,0.7732,,,,0.5113,0.0682,3.8307,0.2877,0.0599,0.1483,-3.8900,-3.1997,MS NOW,34,1.0971,0.2391,0.0000,0.0000,21.8063,0.9318,0.8235,0.0588,0.0000,,,,,channels,avoid,none
epstein,greenland,6,5,False,-0.0964,-0.2380,0.0591,0.1720,-0.2604,-2,0.0000,-0.1792,-6,0.1225,-0.1189,-0.2409,0.0186,0.0720,-0.2444,-2,0.0000,-0.1567,-2,0.1227,-0.0851,0.0661,2,0.4994,0.0040,0.1648,6.0000,20.8431,0.2879,-3.5527,0.0004,0.2309,0.0968,0.5508,0.4435,0.1832,0.0708,0.4744,-3.8773,-3.4591,0.0542,-1.4223,0.4976,False,0.3562,0.1425,0.8901,0.0507,0.0029,0.8735,,,,0.2013,0.1551,0.2947,-3.7949,-2.6374,Times Group,42,0.0322,0.2089,0.0000,0.0000,18.5685,0.9990,0.5714,0.0000,0.0000,,,,,none,avoid,none
epstein,maduro,0,0,False,-0.0232,-0.1421,0.0877,0.6800,0.1595,14,0.6600,-0.1305,-6,0.1225,-0.0063,-0.1163,0.1131,0.8740,0.1756,14,0.4100,-0.1266,-6,0.1227,-0.0889,-0.0519,1,0.6014,0.8127,,0.0000,10.1596,0.0000,-3.5435,0.0004,,,,,,,,-2.6511,-2.8604,,-2.0963,,True,,,,,,,,,,,,,,,,33,0.2634,0.2516,0.0000,0.0000,16.9916,0.9862,0.6061,0.0000,0.0000,,,,,channels,avoid,none
shooting,lindsey graham,0,0,False,0.0545,-0.0745,0.1892,0.6400,0.1767,5,0.7220,0.1492,5,0.1225,0.0603,-0.0771,0.1818,0.5320,0.1832,5,0.6620,0.1522,5,0.1230,0.0081,0.0378,1,0.5196,0.8295,,0.0000,11.2376,0.0000,-3.5283,0.0004,,,,,,,,-3.9790,-2.6788,,-2.2964,,True,,,,,,,,,,,,,,,,33,0.9607,0.2533,0.0000,0.0000,19.0392,0.9660,0.7879,0.0606,0.0000,,,,,channels,avoid,none
epstein,lindsey graham,1,1,False,0.0987,-0.0668,0.2180,0.2220,0.1726,-3,0.5680,0.1953,-3,0.1225,0.1146,-0.0380,0.2430,0.1460,-0.1892,13,0.5340,-0.2084,13,0.1227,0.0031,0.1280,1,0.6775,0.3183,0.0605,1.0000,12.6148,0.0793,-3.5071,0.0005,0.0669,0.0090,0.4986,1.0244,0.0438,0.0026,0.7330,-2.9080,-2.8270,,-2.1120,0.1484,True,0.1117,0.0149,0.8371,,,,,,,,0.0669,0.0789,-3.7651,-3.1857,TYT Network,36,0.5950,0.2416,0.0000,0.0000,20.4108,0.9766,0.8056,0.0278,0.0000,,,,,channels,avoid,none
war,greenland,44,15,False,0.0857,-0.0492,0.2124,0.4240,0.2917,-13,0.1320,0.1351,-14,0.1250,0.1080,-0.0290,0.2394,0.2820,0.2443,-14,0.2080,-0.2096,1,0.1235,-0.2115,-0.2074,2,0.1586,0.2973,0.3215,44.0000,69.1191,0.6366,-3.4114,0.0006,0.5678,0.4099,0.7866,0.1663,0.5619,0.3977,0.7940,-3.2409,-2.3465,0.6298,-2.5679,0.4543,True,0.7757,0.5001,1.2031,0.3863,0.2249,0.6636,0.6542,0.1961,2.1827,0.1441,0.4798,0.6378,-3.7255,-2.6455,Network18,45,-0.6195,0.1764,0.1674,0.1509,51.8196,0.1952,0.3556,0.0222,0.0667,0.6366,0.0010,False,15.0000,channels,avoid,none
epstein files,shooting,4,4,False,-0.0215,-0.1852,0.1419,0.7580,0.2813,12,0.0000,0.2432,12,0.1230,-0.0165,-0.1979,0.1431,0.8500,0.2502,12,0.0000,0.2154,12,0.1230,-0.0097,0.0085,1,0.5883,0.3718,0.2544,4.0000,16.9040,0.2366,-3.3172,0.0009,0.2005,0.0706,0.5691,0.5322,0.1916,0.0479,0.7668,-2.5912,-2.0540,0.2874,-2.6439,0.1148,True,0.3081,0.0912,1.0408,,,,0.7170,0.0911,5.6440,0.4895,0.1432,0.2275,-3.5574,-3.0037,MS NOW,43,0.8987,0.2165,0.0000,0.0000,28.1283,0.9502,0.7907,0.0465,0.0000,,,,,channels,avoid,none
china,alex,5,4,False,0.1902,0.0034,0.3268,0.0260,0.2206,-1,0.2260,-0.1610,13,0.1230,0.0998,-0.0471,0.2387,0.3320,-0.1877,13,0.4600,-0.1410,13,0.1230,0.2362,0.1863,2,0.6331,0.0590,0.2634,5.0000,16.9795,0.2945,-3.1302,0.0017,0.2535,0.1014,0.6335,0.4673,0.2186,0.0834,0.5732,-3.3737,-1.4808,0.3376,-2.7741,0.2183,False,0.4496,0.0601,3.3620,0.1845,0.0257,1.3251,0.2471,0.0739,0.8263,0.8157,0.1979,0.2701,-3.3695,-2.7351,Real America's Voice,27,1.1910,0.2530,0.0791,0.0459,27.2499,0.3963,0.9259,0.1111,0.0000,,,,,none,avoid,none
deal,state,26,14,False,-0.1771,-0.3111,-0.0346,0.0800,-0.3478,-7,0.0020,-0.1392,-7,0.1247,-0.2026,-0.3263,-0.0720,0.0220,-0.3673,-7,0.0040,-0.1905,-7,0.1237,-0.1019,-0.0797,5,0.6856,0.0086,0.4948,26.0000,46.2571,0.5621,-3.1149,0.0018,0.5393,0.3634,0.8003,0.2014,0.5787,0.3824,0.8757,-2.5897,-2.6131,0.3523,-1.9614,0.6386,False,0.4670,0.1894,1.1512,0.5438,0.3174,0.9317,0.5939,0.2784,1.2671,0.9227,0.4915,0.5684,-3.4141,-2.7839,Times Group,58,0.4448,0.1423,0.0000,0.0000,51.6858,0.6740,0.6552,0.0517,0.0000,0.5621,0.0029,False,14.0000,none,avoid,state leads by 7 d (negative)
ceasefire,china,32,14,False,-0.0151,-0.1740,0.1622,0.8700,-0.2414,-4,0.0000,-0.2191,-11,0.1225,0.0197,-0.1351,0.1738,0.8140,-0.2150,-11,0.1880,-0.1983,-11,0.1237,0.0357,0.0523,4,0.5680,0.0178,0.8250,32.0000,53.0457,0.6033,-3.1007,0.0019,0.5623,0.3900,0.8108,0.1867,0.5856,0.3959,0.8662,-2.6909,-0.6482,0.8449,-3.3725,0.4104,False,0.2137,0.0647,0.7056,0.6031,0.3951,0.9204,1.3552,0.5149,3.5669,0.0615,0.5063,0.6350,-3.2496,-2.2778,Network18,39,0.4210,0.1605,0.0758,0.0806,41.3291,0.3273,0.7692,0.0513,0.0256,0.6032,0.0030,False,14.0000,none,avoid,none
fauci,shooting,0,0,False,0.0361,-0.0647,0.1408,0.7460,-0.1625,8,0.7700,-0.1887,8,0.1227,0.0516,-0.0716,0.1593,0.6660,-0.1837,8,0.7860,-0.1974,8,0.1227,0.0501,0.0222,1,0.4322,0.2756,,0.0000,7.9272,0.0000,-3.0606,0.0022,,,,,,,,-2.1801,-2.5678,,-1.6726,,False,,,,,,,,,,,,,,,,29,0.6937,0.2708,0.0000,0.0000,10.5450,0.9989,0.7586,0.0000,0.0000,,,,,none,avoid,none
greenland,state,5,5,False,-0.0114,-0.1406,0.1197,0.9240,0.1535,3,0.5440,0.1544,3,0.1227,0.0168,-0.1012,0.1448,0.7800,0.1565,3,0.4880,0.1565,3,0.1227,0.0028,-0.0242,2,0.1046,0.8640,0.2451,5.0000,16.5931,0.3013,-3.0573,0.0022,0.2771,0.1140,0.6736,0.4532,0.2810,0.1088,0.7253,-2.7958,-1.6095,0.3387,-2.6022,0.2478,False,,,,0.2470,0.0601,1.0157,0.9206,0.2799,3.0280,0.1630,0.2189,0.3177,-3.3106,-2.6632,Times Group,38,0.7486,0.2158,0.0000,0.0000,25.4455,0.9245,0.7105,0.0526,0.0000,,,,,none,avoid,none
platner,america,8,5,False,-0.1820,-0.3215,0.0679,0.0280,0.3599,-6,0.0000,0.2311,-6,0.1227,-0.2100,-0.3476,-0.0428,0.0060,-0.2822,4,0.0000,-0.2126,0,0.1245,-0.0983,-0.2230,2,0.0169,0.0038,0.3555,8.0000,20.5022,0.3902,-3.0492,0.0023,0.3399,0.1647,0.7017,0.3698,0.3175,0.1399,0.7205,-2.8605,-1.6932,0.2944,-2.5378,0.3571,False,0.5404,0.1922,1.5193,,,,0.3308,0.1188,0.9214,0.5086,0.2500,0.3910,-3.4824,-2.6221,The Bulwark,31,0.8973,0.2275,0.0000,0.0000,28.8762,0.5241,0.7742,0.0968,0.0000,,,,,none,avoid,america leads by 6 d
ice,state,38,20,False,-0.0540,-0.1614,0.0571,0.5860,-0.1709,14,0.5180,-0.1713,3,0.1227,-0.0521,-0.1639,0.0719,0.6420,-0.1915,3,0.3000,-0.1917,3,0.1227,-0.0132,0.0027,3,0.0585,0.8541,0.5726,38.0000,59.6130,0.6374,-3.0404,0.0024,0.6005,0.4298,0.8390,0.1706,0.5575,0.3934,0.7901,-3.4047,-2.2962,0.5219,-2.0496,0.6529,True,0.6200,0.3802,1.0110,0.6171,0.3338,1.1407,0.5482,0.2753,1.0914,0.9554,0.5495,0.6248,-3.3399,-2.7930,CBS News,63,0.2021,0.1262,0.0000,0.0000,26.0326,1.0000,0.6190,0.0000,0.0000,0.6374,0.0037,False,20.0000,channels,avoid,none
china,lindsey graham,3,2,False,0.1762,0.0799,0.2594,0.0720,0.2345,11,0.1560,0.1787,11,0.1230,0.1482,0.0373,0.2579,0.1420,0.1914,11,0.5260,0.1433,11,0.1230,0.1245,0.0902,1,0.1824,0.6438,0.2086,3.0000,13.3110,0.2254,-3.0402,0.0024,0.1702,0.0474,0.6107,0.6518,0.1392,0.0274,0.7060,-2.5157,-1.6495,0.3493,-2.6462,,False,0.6807,0.1662,2.7879,0.0416,0.0015,1.1410,,,,0.1280,0.0251,0.1862,-3.2250,-2.8511,Network18,29,0.8626,0.2534,0.0000,0.0000,10.7882,0.9986,0.8966,0.0000,0.0000,,,,,none,avoid,none
epstein files,china,2,1,False,0.0828,-0.0019,0.1668,0.4260,0.1496,-4,0.8520,0.1456,-4,0.1230,0.0651,-0.0322,0.1566,0.5060,0.1557,-1,0.7920,0.1388,-1,0.1230,0.0791,0.0158,3,0.6694,0.2070,0.0859,2.0000,12.1480,0.1646,-3.0296,0.0024,0.1586,0.0401,0.6280,0.7020,0.1708,0.0439,0.6648,-2.9379,-2.6549,,-1.6034,0.3411,False,,,,0.2902,0.0724,1.1633,,,,,0.1586,0.2451,-3.5416,-2.1885,Times Group,32,0.7824,0.2433,0.0000,0.0000,17.1608,0.9789,0.8125,0.0312,0.0000,,,,,none,avoid,none
