creator,channel_name,platform,lane,organisation,clipper,subscribers,n_videos,n_streams,low_n_videos,low_n_streams,note,status
@triggerpod,Triggernometry,youtube,interview_podcast,Triggernometry,False,1920000.0,151,6,False,True,heterodox,proposed
@turningpointusa,Turning Point USA,youtube,right_commentary,Turning Point USA,False,7680000.0,183,13,False,True,,proposed
@underthedesknews,Under The Desk News,youtube,independent_digital_news,Under the Desk News,False,249000.0,79,115,False,False,left,proposed
@usefulidiots,Useful Idiots,youtube,interview_podcast,Useful Idiots,False,192000.0,186,12,False,True,left,proposed
@wethefifth,The Fifth Column - A Podcast,youtube,centrist_heterodox,The Fifth Column,False,75300.0,112,2,False,True,libertarian,proposed
@winston_marshall,Winston Marshall,youtube,interview_podcast,Winston Marshall,False,494000.0,109,0,False,True,right-leaning,proposed
@wsj,The Wall Street Journal,youtube,us_press_print_digital,Wall Street Journal,False,6690000.0,119,11,False,True,,proposed
@zeteo,Zeteo,youtube,independent_digital_news,Zeteo,False,2240000.0,206,25,False,True,,proposed
https://rumble.com/c/BannonsWarRoom,BannonsWarRoom,rumble,right_commentary,War Room,False,,4506,0,False,True,,proposed
https://rumble.com/c/GGreenwald,GGreenwald,rumble,independent_digital_news,Glenn Greenwald,False,,76,0,False,True,System Update; heterodox,proposed
https://rumble.com/c/TheAlexJonesShowLive,TheAlexJonesShowLive,rumble,right_commentary,InfoWars,False,,513,0,False,True,,proposed
https://rumble.com/c/nickjfuentes,nickjfuentes,rumble,right_commentary,Nick Fuentes,False,,305,0,False,True,,proposed
https://rumble.com/c/russellbrand,russellbrand,rumble,centrist_heterodox,Russell Brand,False,,259,0,False,True,,proposed
