creator,channel_name,platform,organisation,clipper,subscribers,n_videos,n_streams,low_n_videos,low_n_streams,note
@YaBoiHakim,Hakim,youtube,Hakim,False,377000.0,16,0,True,True,explainer videos
@ZeihanonGeopolitics,Zeihan on Geopolitics,youtube,Peter Zeihan,False,969000.0,217,0,False,True,
@ZubyMusic,Zuby,youtube,Zuby,False,282000.0,139,0,False,True,
@aaronparnas1,Aaron Parnas,youtube,Aaron Parnas,False,826000.0,819,10,False,True,
@adammockler,Adam Mockler,youtube,Adam Mockler,False,2220000.0,1117,2,False,True,
@ajplus,AJ+,youtube,Al Jazeera,False,2530000.0,50,0,False,True,
@aljazeeraenglish,Al Jazeera English,youtube,Al Jazeera,False,18200000.0,7000,0,False,True,
@axios,Axios,youtube,Axios,False,114000.0,137,7,False,True,
@bbrettcooper,Brett Cooper,youtube,Brett Cooper,False,1700000.0,143,0,False,True,culture commentary
@bennyjohnson,Benny Johnson,youtube,Benny Johnson,False,6100000.0,1508,168,False,False,TPUSA contributor
@breakingpoints,Breaking Points,youtube,Breaking Points,False,2100000.0,1037,4,False,True,
@briantylercohen,Brian Tyler Cohen,youtube,Brian Tyler Cohen,False,5260000.0,1081,10,False,True,
@bulwarkmedia,The Bulwark,youtube,The Bulwark,False,1760000.0,1826,228,False,False,
@bushrakhanum,Bushra Khanum,youtube,Network18,False,59700.0,22,0,True,True,Network18 anchor's own channel
@cafedotcom,Stay Tuned with Preet Bharara,youtube,CAFE,False,61400.0,54,0,False,True,Preet Bharara
@chicksonright,Chicks on the Right,youtube,Chicks on the Right,False,191000.0,475,179,False,False,
@chinainsights-r2w,China Insights,youtube,China Insights,False,350000.0,278,0,False,True,China news
@chriscuomo,The Chris Cuomo Project,youtube,Chris Cuomo,False,652000.0,208,8,False,True,"NewsNation host, own channel"
@clayandbuck,The Clay Travis & Buck Sexton Show,youtube,Clay & Buck,False,150000.0,581,42,False,True,radio
@deanwithrs,Dean Withers,youtube,Dean Withers,False,938000.0,265,266,False,False,debate streamer
@destiny,Destiny,youtube,Destiny,False,878000.0,267,0,False,True,
@destinyhqclips,destinyhqclips,youtube,Destiny,True,10500.0,197,0,False,True,fan channel
@dineshdsouza,Dinesh D'Souza,youtube,Dinesh D'Souza,False,810000.0,92,2,False,True,
@dollemore,Jesse Dollemore,youtube,Jesse Dollemore,False,1300000.0,1439,4,False,True,
@doomscrollpodcast,Joshua Citarella,youtube,Doomscroll,False,146000.0,17,0,True,True,
@evanjmez,Evan James,youtube,Evan James,False,3240.0,22,0,True,True,
@fastpoliticspodcast,Fast Politics w/ Molly Jong-Fast,youtube,Fast Politics,False,91200.0,145,0,False,True,interview podcast format
@fightbackpodcast,Jake Shields' Fight Back Podcast,youtube,Jake Shields,False,206000.0,627,24,False,True,
@franifio,The Bitchuation Room (with Francesca Fiorentini),youtube,Bitchuation Room,False,286000.0,282,62,False,False,comedians + organisers
@glennbeck,Glenn Beck,youtube,Blaze Media,False,1790000.0,460,125,False,False,
@harryjsisson,Harry Sisson,youtube,Harry Sisson,False,605000.0,681,3,False,True,
@hutch,Hutch,youtube,Hutch,False,841000.0,162,50,False,False,
@jimacosta,Jim Acosta,youtube,Jim Acosta,False,336000.0,313,160,False,False,
@jlptalk,Jesse Lee Peterson,youtube,Jesse Lee Peterson,False,625000.0,304,187,False,False,call-in show
@joerogan,PowerfulJRE,youtube,Joe Rogan,False,21100000.0,141,1,False,True,
@johnnyharris,Johnny Harris,youtube,Johnny Harris,False,7950000.0,13,0,True,True,
@judgingfreedom,Judge Napolitano - Judging Freedom,youtube,Judging Freedom,False,786000.0,355,697,False,False,Napolitano; interviews
@katiephangnews,Katie Phang,youtube,MeidasTouch Network,False,812000.0,403,44,False,True,powered by MeidasTouch per description
@katmabu,Kat Abughazaleh,youtube,Kat Abughazaleh,False,170000.0,34,0,True,True,
@laurenchenclips,Lauren Chen Clips,youtube,Lauren Chen,True,11400.0,109,0,False,True,clips channel
@lizwheeler,Liz Wheeler,youtube,Liz Wheeler,False,445000.0,86,70,False,False,
@lonerboxlive,LonerBox Live,youtube,LonerBox,False,59700.0,88,0,False,True,
@lovettorleaveitpodcast,Lovett or Leave It,youtube,Crooked Media,False,144000.0,114,0,False,True,comedy panel
@marclamonthillnetwork,Marc Lamont Hill Network,youtube,Marc Lamont Hill,False,275000.0,321,151,False,False,
@markets,Bloomberg Television,youtube,Bloomberg,False,3270000.0,7974,56,False,False,Bloomberg Television; markets
@marklevinshow,The Mark Levin Show,youtube,Mark Levin,False,103000.0,505,0,False,True,
@mikhaila,Mikhaila Peterson,youtube,Mikhaila Peterson,False,1380000.0,27,0,True,True,
@morebridgetphetasy,Walk-Ins Welcome with Bridget Phetasy,youtube,Bridget Phetasy,False,13100.0,206,0,False,True,
@moreperfectunion,More Perfect Union,youtube,More Perfect Union,False,3940000.0,71,4,False,True,nonprofit newsroom
@msnow,MS NOW,youtube,MS NOW,False,9980000.0,9879,325,False,False,formerly MSNBC
@nationalreview,National Review,youtube,National Review,False,116000.0,191,2,False,True,magazine
@newdiscourses,New Discourses,youtube,New Discourses,False,177000.0,98,0,False,True,James Lindsay
@newyorker,The New Yorker,youtube,The New Yorker,False,1200000.0,51,0,False,True,
@notsoErudite,notsoErudite,youtube,notsoErudite,False,125000.0,43,20,True,True,debate / call-in
@nousnetwork,nous,youtube,nous,False,88500.0,156,0,False,True,Indian Muslims research
@nypost,New York Post,youtube,New York Post,False,2560000.0,6304,110,False,False,tabloid
@nytimes,The New York Times,youtube,New York Times,False,5260000.0,71,0,False,True,
@oann,One America News Network,youtube,OAN,False,1420000.0,1803,309,False,False,
@podsaveamerica,Pod Save America,youtube,Crooked Media,False,1280000.0,667,0,False,True,
@ponderingpolitics,Pondering Politics,youtube,Pondering Politics,False,861000.0,1467,2,False,True,
@revleftradio,Rev Left Radio,youtube,Rev Left Radio,False,31900.0,38,3,True,True,
@rolandsmartin,Roland S. Martin,youtube,Black Star Network,False,1960000.0,742,584,False,False,daily news show
@samharrisorg,Sam Harris,youtube,Sam Harris,False,869000.0,116,0,False,True,
@theGuardian,The Guardian,youtube,The Guardian,False,2620000.0,39,0,True,True,UK press
@thedavidpakmanshow,David Pakman Show,youtube,David Pakman,False,3660000.0,1641,5,False,True,
@thegrayzone7996,The Grayzone,youtube,The Grayzone,False,575000.0,155,36,False,True,
@thehill,The Hill,youtube,The Hill,False,2150000.0,4249,505,False,False,mostly 'Rising' commentary show
@theisabelbrown,Isabel Brown,youtube,Isabel Brown,False,181000.0,141,0,False,True,culture commentary
@thejimmydoreshow,The Jimmy Dore Show,youtube,Jimmy Dore,False,1870000.0,1146,115,False,False,anti-establishment
@therationalnational,The Rational National,youtube,Rational National,False,779000.0,142,7,False,True,Canadian
@thewarningwithsteveschmidt,The Warning with Steve Schmidt,youtube,Steve Schmidt,False,528000.0,289,110,False,False,
@thomhartmann,Thom Hartmann Program,youtube,Thom Hartmann,False,547000.0,784,0,False,True,
@timesofindia,Times Of India,youtube,Times Group,False,6000000.0,9926,2295,False,False,India
@triggerpod,Triggernometry,youtube,Triggernometry,False,1920000.0,151,6,False,True,
@turningpointusa,Turning Point USA,youtube,Turning Point USA,False,7680000.0,183,13,False,True,
@underthedesknews,Under The Desk News,youtube,Under the Desk News,False,249000.0,79,115,False,False,
@usefulidiots,Useful Idiots,youtube,Useful Idiots,False,192000.0,186,12,False,True,
@wethefifth,The Fifth Column - A Podcast,youtube,The Fifth Column,False,75300.0,112,2,False,True,
@winston_marshall,Winston Marshall,youtube,Winston Marshall,False,494000.0,109,0,False,True,
@wsj,The Wall Street Journal,youtube,Wall Street Journal,False,6690000.0,119,11,False,True,
@zeteo,Zeteo,youtube,Zeteo,False,2240000.0,206,25,False,True,
https://rumble.com/c/BannonsWarRoom,BannonsWarRoom,rumble,War Room,False,,4506,0,False,True,
https://rumble.com/c/GGreenwald,GGreenwald,rumble,Glenn Greenwald,False,,76,0,False,True,System Update
https://rumble.com/c/TheAlexJonesShowLive,TheAlexJonesShowLive,rumble,InfoWars,False,,513,0,False,True,
https://rumble.com/c/nickjfuentes,nickjfuentes,rumble,Nick Fuentes,False,,305,0,False,True,
https://rumble.com/c/russellbrand,russellbrand,rumble,Russell Brand,False,,259,0,False,True,
