day,titles,active_channels,epstein_titles,epstein_channels,epstein_share,epstein_residual_pooled,epstein_residual_channels,iran_titles,iran_channels,iran_share,iran_residual_pooled,iran_residual_channels,war_titles,war_channels,war_share,war_residual_pooled,war_residual_channels,trump_titles,trump_channels,trump_share,trump_residual_pooled,trump_residual_channels,israel_titles,israel_channels,israel_share,israel_residual_pooled,israel_residual_channels,files_titles,files_channels,files_share,files_residual_pooled,files_residual_channels,epstein_broad_titles,epstein_broad_channels,epstein_broad_share,epstein_broad_residual_pooled,epstein_broad_residual_channels,iran_broad_titles,iran_broad_channels,iran_broad_share,iran_broad_residual_pooled,iran_broad_residual_channels,war_broad_titles,war_broad_channels,war_broad_share,war_broad_residual_pooled,war_broad_residual_channels,israel_broad_titles,israel_broad_channels,israel_broad_share,israel_broad_residual_pooled,israel_broad_residual_channels,political_titles,political_channels,political_share,political_residual_pooled,political_residual_channels
2026-01-21,1467.000000,191.000000,20.000000,15.000000,0.013633,-0.169008,-0.023377,33.000000,23.000000,0.022495,-0.221419,0.090356,26.000000,18.000000,0.017723,0.036689,0.106330,675.000000,110.000000,0.460123,0.543735,0.211501,6.000000,4.000000,0.004090,-0.039698,-0.293428,9.000000,8.000000,0.006135,-0.237639,-0.071309,22.000000,16.000000,0.014997,-0.141737,-0.011783,36.000000,25.000000,0.024540,-0.283977,0.069245,46.000000,29.000000,0.031357,0.005042,0.121259,20.000000,12.000000,0.013633,0.103493,-0.075382,1388.000000,185.000000,0.946149,0.017609,-0.008436
2026-01-22,1357.000000,179.000000,16.000000,14.000000,0.011791,-0.539608,-0.213854,19.000000,17.000000,0.014001,-0.613071,-0.103520,20.000000,12.000000,0.014738,-0.172873,-0.185585,499.000000,104.000000,0.367723,0.380234,0.234581,8.000000,7.000000,0.005895,0.243503,0.206267,2.000000,2.000000,0.001474,-1.633399,-1.402841,17.000000,15.000000,0.012528,-0.561347,-0.217845,22.000000,18.000000,0.016212,-0.604916,-0.151374,38.000000,21.000000,0.028003,-0.117148,-0.101103,40.000000,17.000000,0.029477,0.825615,0.304818,1302.000000,172.000000,0.959469,0.035561,-0.018676
2026-01-23,1243.000000,182.000000,4.000000,4.000000,0.003218,-1.763096,-1.375440,34.000000,17.000000,0.027353,0.020827,-0.069860,28.000000,18.000000,0.022526,0.322235,0.280332,334.000000,81.000000,0.268705,0.081678,0.020785,1.000000,1.000000,0.000805,-1.244794,-1.253026,4.000000,4.000000,0.003218,-1.191232,-0.949151,4.000000,4.000000,0.003218,-1.845483,-1.451467,39.000000,22.000000,0.031376,-0.000719,0.062778,46.000000,28.000000,0.037007,0.223262,0.250630,30.000000,19.000000,0.024135,0.746033,0.479543,1145.000000,178.000000,0.921158,-0.000848,0.001696
2026-01-24,824.000000,139.000000,4.000000,4.000000,0.004854,-1.352518,-0.933840,18.000000,13.000000,0.021845,-0.212483,-0.033196,14.000000,10.000000,0.016990,0.036612,0.095793,186.000000,61.000000,0.225728,-0.087272,0.032203,5.000000,4.000000,0.006068,0.252996,0.166007,0.000000,0.000000,0.000000,-2.769431,-2.500011,4.000000,4.000000,0.004854,-1.425873,-0.993899,19.000000,14.000000,0.023058,-0.313599,-0.063538,36.000000,22.000000,0.043689,0.292405,0.312034,10.000000,8.000000,0.012136,-0.065452,0.018854,743.000000,138.000000,0.901699,-0.021087,0.013809
2026-01-25,678.000000,123.000000,2.000000,2.000000,0.002950,-1.674768,-1.380110,10.000000,8.000000,0.014749,-0.686023,-0.459314,15.000000,11.000000,0.022124,0.170970,0.161638,131.000000,48.000000,0.193215,-0.256452,-0.131718,7.000000,5.000000,0.010324,0.408401,0.222328,2.000000,2.000000,0.002950,-0.865558,-0.653860,2.000000,2.000000,0.002950,-1.745526,-1.431318,14.000000,11.000000,0.020649,-0.553309,-0.266999,30.000000,16.000000,0.044248,0.210080,0.033959,13.000000,9.000000,0.019174,0.001884,0.015942,584.000000,119.000000,0.861357,-0.067590,-0.010793
2026-01-26,1092.000000,166.000000,3.000000,3.000000,0.002747,-1.469808,-1.154254,16.000000,11.000000,0.014652,-0.838040,-0.586477,25.000000,14.000000,0.022894,0.177832,0.027502,211.000000,76.000000,0.193223,-0.281001,-0.006966,22.000000,15.000000,0.020147,1.260561,0.991721,4.000000,4.000000,0.003663,-0.805498,-0.600870,4.000000,4.000000,0.003663,-1.303635,-0.982693,20.000000,13.000000,0.018315,-0.793055,-0.535605,47.000000,27.000000,0.043040,0.190174,0.187460,35.000000,21.000000,0.032051,0.730059,0.580786,963.000000,165.000000,0.881868,-0.043835,0.010157
2026-01-27,1255.000000,187.000000,3.000000,3.000000,0.002390,-2.041265,-1.674514,24.000000,15.000000,0.019124,-0.480274,-0.365374,21.000000,12.000000,0.016733,-0.113740,-0.242771,335.000000,96.000000,0.266932,0.055064,0.115551,12.000000,10.000000,0.009562,0.514661,0.373646,2.000000,2.000000,0.001594,-1.577572,-1.414444,5.000000,5.000000,0.003984,-1.667678,-1.294328,27.000000,17.000000,0.021514,-0.536912,-0.365869,40.000000,21.000000,0.031873,-0.037124,-0.160538,30.000000,23.000000,0.023904,0.444103,0.456642,1179.000000,185.000000,0.939442,0.015270,0.010104
2026-01-28,1315.000000,190.000000,7.000000,5.000000,0.005323,-1.436401,-1.356734,51.000000,19.000000,0.038783,0.145586,-0.204741,29.000000,20.000000,0.022053,0.130771,0.149495,367.000000,92.000000,0.279087,0.089015,0.053757,6.000000,4.000000,0.004563,-0.132954,-0.411383,3.000000,3.000000,0.002281,-1.469211,-1.255884,10.000000,7.000000,0.007605,-1.163361,-1.095326,60.000000,22.000000,0.045627,0.161744,-0.152647,54.000000,32.000000,0.041065,0.193356,0.189329,15.000000,10.000000,0.011407,-0.247736,-0.346335,1228.000000,185.000000,0.933840,0.006024,-0.004471
2026-01-29,1267.000000,182.000000,5.000000,5.000000,0.003946,-1.934193,-1.498363,59.000000,31.000000,0.046567,0.378087,0.341893,31.000000,18.000000,0.024467,0.177343,0.106779,326.000000,87.000000,0.257301,0.068110,0.053954,6.000000,6.000000,0.004736,-0.189723,-0.096822,7.000000,7.000000,0.005525,-0.789474,-0.605790,6.000000,6.000000,0.004736,-1.842773,-1.397674,62.000000,32.000000,0.048934,0.296884,0.282536,49.000000,28.000000,0.038674,0.094215,0.113536,14.000000,13.000000,0.011050,-0.331819,-0.082344,1203.000000,180.000000,0.949487,0.026119,0.008942
2026-01-30,1219.000000,180.000000,64.000000,33.000000,0.052502,0.561635,0.348890,56.000000,24.000000,0.045939,0.321120,0.140368,34.000000,20.000000,0.027892,0.360750,0.293379,321.000000,86.000000,0.263331,0.105674,0.103411,5.000000,5.000000,0.004102,-0.188587,-0.105232,46.000000,29.000000,0.037736,0.859317,0.674425,66.000000,34.000000,0.054143,0.517130,0.308602,69.000000,29.000000,0.056604,0.376921,0.221175,68.000000,37.000000,0.055783,0.494345,0.469583,14.000000,13.000000,0.011485,-0.193617,0.003028,1167.000000,176.000000,0.957342,0.038213,0.000300
2026-01-31,783.000000,147.000000,71.000000,38.000000,0.090677,1.114522,0.868040,39.000000,17.000000,0.049808,0.366203,0.022845,26.000000,16.000000,0.033206,0.495805,0.375155,159.000000,60.000000,0.203065,-0.148963,-0.028986,4.000000,4.000000,0.005109,-0.186329,-0.069798,34.000000,23.000000,0.043423,1.230160,1.043987,71.000000,38.000000,0.090677,1.050754,0.816184,44.000000,18.000000,0.056194,0.338204,-0.008746,45.000000,27.000000,0.057471,0.402274,0.375764,11.000000,8.000000,0.014049,-0.154557,-0.164511,738.000000,143.000000,0.942529,0.023237,-0.007345
2026-02-01,640.000000,118.000000,54.000000,31.000000,0.084375,1.123541,0.911154,40.000000,21.000000,0.062500,0.473474,0.351987,20.000000,11.000000,0.031250,0.291959,0.070276,151.000000,51.000000,0.235937,-0.014095,-0.021052,9.000000,8.000000,0.014063,0.387633,0.502072,32.000000,21.000000,0.050000,1.490176,1.305470,54.000000,31.000000,0.084375,1.064452,0.869896,45.000000,22.000000,0.070312,0.407288,0.302917,36.000000,18.000000,0.056250,0.261557,0.094150,21.000000,12.000000,0.032813,0.279496,0.196368,608.000000,117.000000,0.950000,0.029902,0.012504
2026-02-02,1042.000000,163.000000,132.000000,63.000000,0.126679,1.878582,1.484643,40.000000,20.000000,0.038388,-0.157351,-0.157339,29.000000,13.000000,0.027831,0.134118,-0.172828,239.000000,71.000000,0.229367,-0.067300,-0.048192,4.000000,3.000000,0.003839,-0.639969,-0.690195,72.000000,47.000000,0.069098,1.772577,1.557151,132.000000,63.000000,0.126679,1.807035,1.416456,52.000000,22.000000,0.049904,-0.061648,-0.157570,49.000000,19.000000,0.047025,0.069876,-0.246677,18.000000,11.000000,0.017274,-0.133311,-0.168692,963.000000,159.000000,0.924184,0.002236,-0.009561
2026-02-03,1295.000000,185.000000,170.000000,78.000000,0.131274,1.490618,1.175637,40.000000,22.000000,0.030888,-0.287983,-0.157570,24.000000,13.000000,0.018533,-0.269437,-0.315601,287.000000,81.000000,0.221622,-0.088881,-0.035668,11.000000,8.000000,0.008494,0.040796,-0.052906,68.000000,42.000000,0.052510,1.471773,1.229379,170.000000,78.000000,0.131274,1.427580,1.116891,48.000000,25.000000,0.037066,-0.270873,-0.137478,55.000000,27.000000,0.042471,0.017105,-0.024425,19.000000,12.000000,0.014672,-0.304878,-0.311923,1179.000000,182.000000,0.910425,-0.017226,0.003640
2026-02-04,1293.000000,182.000000,139.000000,71.000000,0.107502,1.190973,0.987293,37.000000,21.000000,0.028616,-0.447549,-0.247659,28.000000,18.000000,0.021655,-0.159192,-0.083356,266.000000,76.000000,0.205723,-0.174517,-0.087527,4.000000,4.000000,0.003094,-0.862219,-0.607244,66.000000,32.000000,0.051044,1.280518,0.831809,140.000000,71.000000,0.108275,1.151652,0.952959,51.000000,24.000000,0.039443,-0.265563,-0.190706,54.000000,28.000000,0.041763,-0.038891,-0.031267,14.000000,10.000000,0.010828,-0.578568,-0.456982,1199.000000,180.000000,0.927301,-0.002521,0.010198
2026-02-05,1329.000000,184.000000,123.000000,64.000000,0.092551,0.827585,0.696691,48.000000,23.000000,0.036117,-0.179434,-0.152362,29.000000,16.000000,0.021821,-0.224349,-0.202993,284.000000,80.000000,0.213695,-0.077317,-0.035595,9.000000,9.000000,0.006772,-0.253684,0.021702,47.000000,36.000000,0.035365,0.815189,0.798536,124.000000,64.000000,0.093303,0.778433,0.645964,54.000000,24.000000,0.040632,-0.182975,-0.183482,53.000000,27.000000,0.039880,-0.142995,-0.075540,16.000000,14.000000,0.012039,-0.540821,-0.179994,1151.000000,184.000000,0.866065,-0.067649,0.019257
2026-02-06,1234.000000,189.000000,90.000000,57.000000,0.072934,0.597369,0.592867,55.000000,28.000000,0.044571,-0.025801,0.046342,26.000000,13.000000,0.021070,-0.218318,-0.367893,245.000000,78.000000,0.198541,-0.137294,-0.038569,7.000000,7.000000,0.005673,-0.301727,-0.103887,35.000000,27.000000,0.028363,0.401759,0.404679,90.000000,57.000000,0.072934,0.542036,0.539901,63.000000,30.000000,0.051053,-0.031727,0.027467,56.000000,24.000000,0.045381,0.005806,-0.156649,12.000000,12.000000,0.009724,-0.653007,-0.284860,1091.000000,187.000000,0.884117,-0.043505,0.011555
2026-02-07,793.000000,149.000000,62.000000,41.000000,0.078184,0.688411,0.690720,29.000000,18.000000,0.036570,-0.265551,-0.137348,17.000000,11.000000,0.021438,-0.248175,-0.203820,183.000000,65.000000,0.230769,0.016328,0.039517,12.000000,8.000000,0.015132,0.398162,0.283560,24.000000,20.000000,0.030265,0.717655,0.759016,63.000000,42.000000,0.079445,0.661357,0.680377,34.000000,18.000000,0.042875,-0.245060,-0.205978,35.000000,18.000000,0.044136,-0.157321,-0.194768,15.000000,9.000000,0.018916,-0.174557,-0.232628,704.000000,147.000000,0.887768,-0.039058,0.006106
2026-02-08,606.000000,125.000000,47.000000,32.000000,0.077558,0.774066,0.655662,24.000000,12.000000,0.039604,-0.311004,-0.454723,14.000000,9.000000,0.023102,-0.328160,-0.391015,122.000000,49.000000,0.201320,-0.135536,-0.116339,7.000000,4.000000,0.011551,-0.230201,-0.467945,13.000000,11.000000,0.021452,0.526320,0.503515,48.000000,32.000000,0.079208,0.757626,0.632944,26.000000,14.000000,0.042904,-0.403693,-0.382068,21.000000,12.000000,0.034653,-0.525427,-0.523510,20.000000,10.000000,0.033003,-0.025316,-0.203940,538.000000,121.000000,0.887789,-0.040574,-0.011743
2026-02-09,1096.000000,163.000000,100.000000,47.000000,0.091241,1.298153,0.974636,28.000000,15.000000,0.025547,-0.903611,-0.648315,29.000000,14.000000,0.026460,-0.255338,-0.321995,177.000000,65.000000,0.161496,-0.382194,-0.135362,14.000000,9.000000,0.012774,0.034171,0.025064,38.000000,25.000000,0.034672,0.966967,0.831735,128.000000,52.000000,0.116788,1.495007,1.025781,35.000000,18.000000,0.031934,-0.836109,-0.545780,44.000000,23.000000,0.040146,-0.411265,-0.235425,31.000000,18.000000,0.028285,0.032082,0.135701,1001.000000,162.000000,0.913321,-0.012585,0.008561
