term,n_titles,degree,strength,betweenness,community
tsa,220,13,38.29860,0.00214,1
conference,1800,18,37.66926,0.00526,1
beijing,459,16,37.10382,0.00103,1
funding,432,14,36.06747,0.00325,1
emergency,423,9,35.41417,0.00190,1
ufc,161,9,35.40142,0.00064,1
foreign,792,14,34.48480,0.00439,1
partial,140,9,33.23646,0.00051,1
plot,226,9,33.14380,0.00074,1
end,973,16,33.04922,0.00576,1
noem,288,11,32.67389,0.00197,1
king charles,311,12,32.47927,0.00031,1
testify,205,9,32.46954,0.00163,1
macron,656,13,32.43818,0.00300,1
meet,852,16,32.38987,0.00387,1
ceremony,552,9,31.68234,0.00089,1
building,462,9,30.65054,0.00170,1
press briefing,331,8,30.16988,0.00006,1
ballroom,143,8,30.08076,0.00121,1
karoline leavitt,147,7,30.07860,0.00003,1
karoline,155,7,29.85439,0.00003,1
contempt,71,7,29.68901,0.00035,1
hosts,363,12,29.66065,0.00136,1
committee,281,7,29.45956,0.00011,1
leavitt,228,8,29.22379,0.00119,1
xi jinping,324,13,28.54882,0.00138,1
jinping,337,13,28.37088,0.00138,1
vote,384,10,27.68662,0.00079,1
speaker,138,5,26.62644,0.00008,1
secret service,118,7,26.40565,0.00005,1
charles,326,10,25.65433,0.00022,1
joint,431,7,25.20668,0.00067,1
taiwan,442,9,24.86737,0.00045,1
event,463,9,24.38002,0.00133,1
queen camilla,80,9,24.10580,0.00016,1
camilla,82,9,24.07314,0.00016,1
secret,535,9,23.98853,0.00454,1
chinese,509,9,23.78618,0.00047,1
family,631,9,23.67346,0.00080,1
bessent,274,7,23.62451,0.00174,1
congress,1234,10,23.49533,0.00071,1
queen,136,9,23.49236,0.00016,1
andrew,314,8,23.09262,0.00118,1
drills,146,6,22.99433,0.00040,1
treasury,137,4,22.69842,0.00005,1
royal,135,6,22.45218,0.00027,1
melania,186,7,22.17275,0.00271,1
iii,164,7,22.12803,0.00011,1
zelenskyy,239,7,21.30038,0.00073,1
modi,2774,13,21.25596,0.00155,1
bilateral,284,9,20.04224,0.00068,1
speaks,1406,10,20.01124,0.00399,1
freedom,274,8,19.94172,0.00172,1
donald,966,9,19.93717,0.00022,1
correspondents dinner,261,7,19.72333,0.00014,1
welcomes,232,7,19.68538,0.00024,1
key,698,8,19.31845,0.00397,1
government,663,7,19.23065,0.00068,1
construction,96,5,19.19092,0.00019,1
fired,198,6,19.14125,0.00028,1
charles iii,106,6,18.93457,0.00000,1
house correspondents,201,7,18.86117,0.00142,1
clintons,61,4,18.52372,0.00000,1
lines,159,5,18.23794,0.00150,1
oversight,84,4,17.05483,0.00000,1
fight,500,6,16.83340,0.00002,1
ministers,232,5,16.56623,0.00012,1
marco rubio,403,7,16.55511,0.00197,1
correspondents,278,6,16.54643,0.00012,1
marco,404,7,16.52562,0.00197,1
council,255,4,16.33605,0.00248,1
incident,193,6,16.05248,0.00001,1
davos,409,8,15.75735,0.00281,1
homeland security,94,3,15.01043,0.00000,1
homeland,110,3,14.87619,0.00000,1
shots,113,4,14.70869,0.00000,1
arrives,626,8,14.49527,0.00092,1
high-stakes,227,6,14.39212,0.00016,1
welcome,270,4,14.36730,0.00355,1
government shutdown,116,4,14.01758,0.00000,1
paris,296,4,13.65864,0.00005,1
american,717,4,13.59624,0.00080,1
forum,270,6,13.09494,0.00067,1
kristi,164,4,12.89359,0.00017,1
security council,131,3,12.83384,0.00000,1
shooter,134,4,12.59270,0.00017,1
munich,75,3,12.48328,0.00002,1
french,363,3,12.16590,0.00010,1
press conference,1068,5,12.09475,0.00006,1
trump-xi,140,5,11.92877,0.00005,1
kristi noem,163,3,11.36799,0.00000,1
participates,183,4,11.34993,0.00014,1
markwayne mullin,120,3,11.33566,0.00000,1
markwayne,121,3,11.32259,0.00000,1
gunman,100,4,11.27285,0.00000,1
scott bessent,90,2,11.23451,0.00000,1
fair,98,3,11.06314,0.00059,1
lady,99,3,10.71494,0.00000,1
attends,449,5,10.65496,0.00006,1
soon,258,5,10.37188,0.00173,1
landing,80,2,10.34746,0.00008,1
mike johnson,61,2,10.28584,0.00000,1
gets,417,2,9.87225,0.00054,1
scott,220,2,9.79548,0.00000,1
workers,329,3,9.56770,0.00024,1
members,258,3,9.53825,0.00026,1
collapse,394,3,9.24536,0.00031,1
economic forum,140,4,9.24028,0.00028,1
brics,588,7,9.14365,0.00032,1
sco,97,3,8.69482,0.00001,1
host,152,4,8.63309,0.00014,1
johnson,190,2,8.60497,0.00000,1
allen,68,2,8.59580,0.00000,1
cole,47,2,8.57275,0.00000,1
empire,122,2,8.51204,0.00000,1
signing,120,3,8.24019,0.00013,1
mike,228,2,8.19646,0.00000,1
statement,320,2,8.19342,0.00003,1
cabinet meeting,101,4,8.16654,0.00206,1
discuss,229,3,8.02920,0.00004,1
affairs,103,2,7.55261,0.00000,1
business,359,2,7.20151,0.00054,1
great,285,2,7.10248,0.00000,1
photo,153,2,7.03799,0.00030,1
declares,263,2,6.95654,0.00024,1
delhi,1192,4,5.97375,0.00001,1
cabinet,252,3,5.87664,0.00143,1
bilateral meeting,92,2,5.85547,0.00004,1
takeaways,92,1,5.43214,0.00000,1
receives,185,1,5.41360,0.00000,1
react,355,2,5.39453,0.00000,1
human,162,1,5.29908,0.00000,1
declared,67,1,5.22325,0.00000,1
emotional,121,1,5.10295,0.00000,1
delivers remarks,160,2,5.08161,0.00000,1
long,209,1,4.99408,0.00000,1
grand,261,1,4.97038,0.00000,1
zelensky,605,3,4.89571,0.00005,1
palace,99,1,4.85814,0.00000,1
union address,88,2,4.81317,0.00019,1
island,302,2,4.76543,0.00009,1
collapses,106,1,4.74937,0.00000,1
brics summit,228,3,4.74497,0.00005,1
dream,122,1,4.57053,0.00000,1
tv,95,1,4.36819,0.00000,1
wh,93,2,4.32815,0.00000,1
small,124,1,4.13547,0.00000,1
deployed,96,1,4.01184,0.00000,1
reporters,86,1,3.92120,0.00000,1
moments,180,1,3.88975,0.00000,1
heads,217,2,3.77377,0.00008,1
typhoon,76,1,3.75804,0.00000,1
department,196,1,3.73084,0.00000,1
foreign ministry,206,1,3.61985,0.00000,1
departs,250,2,3.57881,0.00013,1
ministry,303,1,3.20564,0.00000,1
counter,90,1,2.87014,0.00000,1
syrian,64,1,2.81242,0.00000,1
stop,384,2,2.74193,0.00030,1
urges,366,1,2.70155,0.00000,1
cuban,92,1,2.64945,0.00000,1
fm,371,1,2.48049,0.00000,1
set,582,1,2.22586,0.00000,1
trip,180,1,2.13730,0.00000,1
wef,97,1,2.07969,0.00000,1
lands,146,1,2.07242,0.00000,1
court,1388,58,185.92312,0.02559,2
hearing,792,56,167.49708,0.02645,2
trial,950,43,119.24404,0.02240,2
supreme court,717,31,107.82382,0.01351,2
murder,797,34,97.60624,0.00985,2
day,1944,32,86.07175,0.02143,2
case,1242,33,82.92056,0.01255,2
meta,347,14,61.73427,0.00822,2
testifies,368,16,55.71120,0.00492,2
defense,547,18,50.73553,0.00975,2
lindsay clancy,613,20,48.64964,0.00157,2
lindsay,622,20,48.64086,0.00157,2
guilty,320,14,47.82211,0.00204,2
kirk,365,16,47.76777,0.01079,2
clancy,654,19,47.22244,0.00225,2
charlie kirk,237,12,43.25612,0.00042,2
charlie,263,12,42.15585,0.00042,2
judge,385,14,41.96973,0.00070,2
killing,443,13,38.10547,0.00206,2
america,3295,16,37.57197,0.00631,2
maduro,751,16,37.38180,0.01009,2
social,394,9,37.04821,0.00193,2
children,358,12,36.85062,0.00321,2
media,1051,12,36.63375,0.00319,2
arguments,116,10,36.53120,0.00043,2
fauci,194,11,36.21103,0.00124,2
th,860,12,35.66029,0.00393,2
tariff,370,14,35.57709,0.00497,2
continues,453,12,34.99376,0.00145,2
mangione,181,10,34.80381,0.00105,2
jackson,212,9,34.50216,0.00308,2
testimony,232,12,34.15955,0.00153,2
addiction,114,6,30.79214,0.00001,2
clinton,241,9,30.71860,0.00023,2
transgender,80,7,30.34419,0.00109,2
social media,317,7,30.30461,0.00072,2
jury,238,12,30.02085,0.00110,2
landmark,131,6,28.92919,0.00001,2
ruling,234,8,27.73939,0.00077,2
cook,95,6,27.63025,0.00045,2
accused,346,8,27.49242,0.00042,2
charges,319,8,26.33555,0.00078,2
jesse jackson,118,6,25.20091,0.00063,2
parade,311,7,25.18202,0.00183,2
memorial,270,7,24.34372,0.00142,2
clancy trial,243,9,24.10595,0.00008,2
rights,252,7,23.76628,0.00138,2
mail-in,56,6,23.73940,0.00044,2
murder trial,245,8,23.31590,0.00007,2
ceo,807,9,22.90800,0.00204,2
jesse,677,6,22.45969,0.00063,2
threat,814,10,22.42830,0.00346,2
robinson,114,6,22.15043,0.00000,2
tyler robinson,98,6,22.02976,0.00000,2
tyler,123,6,21.47187,0.00000,2
voting,159,5,21.13631,0.00014,2
act,366,6,21.03500,0.00244,2
budget,501,6,20.31053,0.00019,2
tupac,135,6,20.23513,0.00008,2
lisa,51,5,19.65275,0.00030,2
sports,1044,6,19.60732,0.00111,2
pete hegseth,307,7,19.50529,0.00247,2
ban,296,5,19.48527,0.00072,2
hears,63,4,19.15436,0.00001,2
tim,207,4,18.62771,0.00020,2
