genre,titles,creator,group,style_cluster,style_cluster_k_groups
videos,political,@BreakThroughNews,left,2,2
videos,political,@CBSNews,neutral,0,0
videos,political,@CNN,left,0,0
videos,political,@CamHigby,right,1,0
videos,political,@CashJordan,right,2,2
videos,political,@ChadPrather1,right,1,0
videos,political,@ClipsCandaceOwens,neutral,1,0
videos,political,@ClubRandomPodcast,neutral,1,0
videos,political,@DailyDenims,left,0,0
videos,political,@DannyHaiphongYT,left,2,2
videos,political,@DarkHorsePod,right,1,0
videos,political,@DemocracyDocket,left,2,2
videos,political,@DemocracyNow,left,2,2
videos,political,@DestinyDGGClips,right,1,0
videos,political,@DoubleDownNews,left,3,1
videos,political,@DrSteveTurleyTV,right,3,1
videos,political,@DropSiteNews,left,2,2
videos,political,@DueDissidence,left,3,1
videos,political,@DylanBurnsLIVE,left,1,0
videos,political,@EzraKleinShow,left,1,0
videos,political,@FarronBalanced,left,1,0
videos,political,@Firstpost,neutral,2,2
videos,political,@FleccasTalks,right,3,1
videos,political,@Forbes,neutral,2,2
videos,political,@Forthepeoplepodcast305,left,1,0
videos,political,@FoxNews,right,0,0
videos,political,@FoxNewsChannelClips,right,0,0
videos,political,@FreshFitMiami,right,1,0
videos,political,@GeopoliticalEconomyReport,left,1,0
videos,political,@GlennKirschner2,left,1,0
videos,political,@GrahamAllen,right,1,0
videos,political,@HangOutwithSeanHannity,right,2,2
videos,political,@HasanAbi,left,1,0
videos,political,@HasanAbiVODs3,left,2,2
videos,political,@HasanReactionsfanTwo,left,1,0
videos,political,@HasanabiClips,left,3,1
videos,political,@JackCocchiarellaShow,left,1,0
videos,political,@JacksonHinkleOfficial,neutral,3,1
videos,political,@JamarlThomas,left,2,2
videos,political,@JesseKellyDC,right,1,0
videos,political,@JillianMichaels,right,1,0
videos,political,@JustPearlyThings,right,1,0
videos,political,@KimIversen,neutral,1,0
videos,political,@LIVESNEAKO,neutral,1,0
videos,political,@LeejaMiller,left,1,0
videos,political,@LegalAFMTN,left,3,1
videos,political,@LegalEagle,left,1,0
videos,political,@LeverNews,left,2,2
videos,political,@LiberalHivemind,right,1,0
videos,political,@LukeBeasley,left,3,1
videos,political,@MLChristiansen,right,2,2
videos,political,@MarkDice,right,1,0
videos,political,@MattWalsh,right,1,0
videos,political,@MegynKelly,right,2,2
videos,political,@MeidasTouch,left,3,1
videos,political,@MichaelKnowles,right,2,2
videos,political,@MikeFromPA,left,3,1
videos,political,@MrTariqNasheed,right,1,0
videos,political,@MyronGainesX,right,1,0
videos,political,@NBCNews,neutral,0,0
videos,political,@NPR,left,0,0
videos,political,@NYTPodcasts,left,1,0
videos,political,@NewsNation,neutral,0,0
videos,political,@NewsmaxTV,right,0,0
videos,political,@NovaraMedia,left,1,0
videos,political,@OfficialSaharTV,right,1,0
videos,political,@OwenJonesTalks,left,1,0
videos,political,@OwenReport,left,1,0
videos,political,@POLITICO,neutral,0,0
videos,political,@PTLRadioShow,left,1,0
videos,political,@PartOfTheProblem,right,1,0
videos,political,@PiersMorganUncensored,neutral,2,2
videos,political,@PiscoLitty,left,3,1
videos,political,@Politicon,left,1,0
videos,political,@PoliticsGirl,left,1,0
videos,political,@PoliticsJOE,left,1,0
videos,political,@PragerU,right,1,0
videos,political,@RSBN,right,2,2
videos,political,@RealAmericasVoice,right,3,1
videos,political,@RealDanBongino,right,1,0
videos,political,@RebelHQ,left,1,0
videos,political,@RebelNewsOnline,right,1,0
videos,political,@RedactedNews,right,2,2
videos,political,@RestPoliticsUS,left,1,0
videos,political,@Reuters,neutral,0,0
videos,political,@RileyGaines,right,1,0
videos,political,@RobertGouveiaEsq,right,3,1
videos,political,@RonPlacone,left,1,0
