genre,titles,creator,group,nn1,nn2,nn3,nn4,nn5,nn1_group,nn2_group,nn3_group,nn4_group,nn5_group,nn1_dist,nn2_dist,nn3_dist,nn4_dist,nn5_dist
videos,all,@JackCocchiarellaShow,left,@SaltyCracker,@FarronBalanced,@chicksonright,@RebelHQ,@NovaraMedia,right,left,right,left,left,1.095,1.249,1.518,1.542,1.598
videos,all,@JacksonHinkleOfficial,neutral,@TheQuartering,@TimcastNews,@HasanAbi,@Timcast,@deanwithrs,right,right,left,right,left,2.315,2.573,3.049,3.268,3.325
videos,all,@JamarlThomas,left,@bulwarkmedia,@fastpoliticspodcast,@LeverNews,@BreakThroughNews,@TheAdamCarollaShow1,left,left,left,left,right,2.259,2.42,2.678,2.747,2.813
videos,all,@JesseKellyDC,right,@FarronBalanced,@OwenReport,@TheMajorityReport,@SaltyCracker,@NovaraMedia,left,left,left,right,left,0.809,1.181,1.273,1.302,1.308
videos,all,@JillianMichaels,right,@SMN,@glennbeck,@ChadPrather1,@RileyGaines,@morebridgetphetasy,left,right,right,right,right,1.284,1.438,1.518,1.624,1.699
videos,all,@JustPearlyThings,right,@hutch,@TheVaushPit,@BenShapiro,@KimIversen,@AlexStein99,neutral,left,right,neutral,right,1.256,1.519,1.523,1.539,1.588
videos,all,@KimIversen,neutral,@BenShapiro,@StevenCrowder,@RileyGaines,@bbrettcooper,@TheAmalaEkpunobi,right,right,right,right,right,1.096,1.277,1.293,1.423,1.434
videos,all,@LIVESNEAKO,neutral,@TheMajorityReport,@NovaraMedia,@destiny,@AlexStein99,@XAVIAER,left,left,left,right,right,1.056,1.293,1.38,1.478,1.585
videos,all,@LeejaMiller,left,@theisabelbrown,@ajplus,@thomhartmann,@KimIversen,@TheAtlantic,right,left,left,neutral,left,1.261,1.359,1.531,1.573,1.606
videos,all,@LegalAFMTN,left,@TheOfficerTatum,@deanwithrs,@dollemore,@DueDissidence,@MeidasTouch,right,left,left,left,left,1.455,1.901,1.912,1.93,2.003
videos,all,@LegalEagle,left,@JesseKellyDC,@BadEmpanadaLive,@DylanBurnsLIVE,@AlexStein99,@FarronBalanced,right,left,left,right,left,1.659,1.659,1.672,1.712,1.771
videos,all,@LeverNews,left,@BreakThroughNews,@jimacosta,@bulwarkmedia,@JamarlThomas,@cafedotcom,left,left,left,left,left,2.497,2.528,2.668,2.678,2.926
videos,all,@LiberalHivemind,right,@DestinyDGGClips,https://rumble.com/c/russellbrand,@CamHigby,@RebelNewsOnline,@TheMichaelCohenShow,right,right,right,right,left,2.222,2.301,2.303,2.342,2.444
videos,all,@LukeBeasley,left,@SecularTalk,@LegalAFMTN,@harryjsisson,@DoubleDownNews,@DrSteveTurleyTV,left,left,left,left,right,2.963,3.435,3.451,3.481,3.509
videos,all,@MLChristiansen,right,@nypost,@rolandsmartin,@clayandbuck,@oann,@DemocracyNow,right,left,right,right,left,1.273,1.591,1.744,1.762,2.051
videos,all,@MarkDice,right,@glennbeck,@JillianMichaels,@ChadPrather1,@morebridgetphetasy,@Tim_Black,right,right,right,right,right,1.498,1.752,1.872,2.051,2.108
videos,all,@MattWalsh,right,@glennbeck,@DestinyDGGClips,@CamHigby,@JillianMichaels,@ZubyMusic,right,right,right,right,right,1.32,1.92,2.164,2.178,2.241
videos,all,@MegynKelly,right,@marclamonthillnetwork,@VivaFrei,@PragerU,https://rumble.com/c/GGreenwald,@cafedotcom,left,right,right,left,left,2.006,2.023,2.036,2.048,2.078
videos,all,@MeidasTouch,left,@LegalAFMTN,@TheOfficerTatum,@deanwithrs,@adammockler,@katiephangnews,left,right,left,left,left,2.003,2.107,2.165,2.24,2.473
videos,all,@MichaelKnowles,right,@DropSiteNews,@NovaraMedia,@XAVIAER,@DarkHorsePod,@TheJoyReidShow,left,left,right,right,left,0.995,1.524,1.535,1.708,1.727
videos,all,@MichaelMaliceofficial,right,@PragerU,@MegynKelly,@turningpointusa,@underthedesknews,@RonPlacone,right,right,right,left,left,2.306,2.347,2.647,2.761,2.788
videos,all,@MikeFromPA,left,@JillianMichaels,@RestPoliticsUS,@HasanAbi,@fightbackpodcast,@deanwithrs,right,left,left,right,left,2.396,2.509,2.555,2.563,2.615
videos,all,@MrTariqNasheed,right,@thomhartmann,@judgingfreedom,@RileyGaines,@chriscuomo,@ZubyMusic,left,left,right,left,right,1.144,1.558,1.589,1.605,1.631
videos,all,@MyronGainesX,right,@thejimmydoreshow,@chicksonright,@fightbackpodcast,@PTLRadioShow,@Forthepeoplepodcast305,neutral,right,right,left,left,1.405,1.477,1.538,1.59,1.691
videos,all,@NBCNews,neutral,@ABCNews,@CBSNews,@CNN,@POLITICO,@axios,neutral,neutral,left,neutral,neutral,1.381,1.658,1.705,1.76,1.906
videos,all,@NPR,left,@ANINewsIndia,@TechCrunch,@USATODAY,@MichaelMaliceofficial,@SkyNews,neutral,neutral,neutral,right,left,2.669,2.843,3.07,3.103,3.115
videos,all,@NYTPodcasts,left,@hutch,@AndrewKlavan,@TheJoyReidShow,@Politicon,@RealDanBongino,neutral,right,left,left,right,1.729,1.781,1.833,1.901,2.02
videos,all,@NewsNation,neutral,@thehill,@NewsmaxTV,@USATODAY,@CBSNews,@BBCNews,neutral,right,neutral,neutral,neutral,1.777,2.276,2.289,2.323,2.408
videos,all,@NewsmaxTV,right,@NewsNation,@msnow,@thehill,@FoxNewsChannelClips,@FoxNews,neutral,left,neutral,right,right,2.276,2.744,2.758,3.165,3.186
videos,all,@NovaraMedia,left,@TheMajorityReport,@TheYoungTurks,@FarronBalanced,@LIVESNEAKO,@JesseKellyDC,left,left,left,neutral,right,1.121,1.151,1.247,1.293,1.308
videos,all,@OfficialSaharTV,right,@DestinyDGGClips,@CamHigby,@RubinReport,@Xanderhal,@glennbeck,right,right,right,left,right,1.366,1.588,1.928,1.932,2.07
videos,all,@OwenJonesTalks,left,@TheYoungTurks,@NovaraMedia,@laurenchenclips,@RebelHQ,@FarronBalanced,left,left,right,left,left,1.375,1.416,1.747,1.78,1.798
videos,all,@OwenReport,left,@JesseKellyDC,@TheMajorityReport,@TheDonLemonShow,@NovaraMedia,@SaltyCracker,right,left,left,left,right,1.181,1.199,1.222,1.337,1.339
videos,all,@POLITICO,neutral,@NBCNews,@ABCNews,@BBCNews,@axios,@CNN,neutral,neutral,neutral,neutral,left,1.76,1.84,2.032,2.044,2.142
videos,all,@PTLRadioShow,left,@chicksonright,@Forthepeoplepodcast305,@SaltyCracker,@HasanReactionsfanTwo,@laurenchenclips,right,left,right,left,right,0.942,1.34,1.366,1.467,1.471
videos,all,@PartOfTheProblem,right,@ZeihanonGeopolitics,@DylanBurnsLIVE,@ThePodcastoftheLotusEaters,@Styxhexenhammer666,@LegalEagle,neutral,left,right,right,left,1.371,1.651,1.846,2.11,2.615
videos,all,@PiersMorganUncensored,neutral,@timesofindia,@jlptalk,@DemocracyNow,@lonerboxlive,@rolandsmartin,left,right,left,right,left,3.65,4.812,4.936,5.429,5.508
videos,all,@PiscoLitty,left,https://rumble.com/c/nickjfuentes,@chinainsights-r2w,@AnthonyBrianLogan,@HasanabiClips,@destinyhqclips,right,neutral,right,left,neutral,2.263,2.698,2.755,2.794,2.797
videos,all,@Politicon,left,@AndrewKlavan,@samharrisorg,@RufoandLomez,@hutch,@NYTPodcasts,right,left,right,neutral,left,1.581,1.694,1.706,1.837,1.901
videos,all,@PoliticsGirl,left,@theisabelbrown,@LeejaMiller,@franifio,@ThePodcastoftheLotusEaters,@TheAtlantic,right,left,left,right,left,2.424,2.435,2.435,2.52,2.569
videos,all,@PoliticsJOE,left,@XAVIAER,@fightbackpodcast,@PTLRadioShow,@TheSerfTimes,@axios,right,right,left,left,neutral,1.975,2.084,2.087,2.12,2.164
videos,all,@PragerU,right,@DarkHorsePod,@MegynKelly,@turningpointusa,@MichaelMaliceofficial,@wethefifth,right,right,right,right,neutral,2.026,2.036,2.24,2.306,2.31
videos,all,@RSBN,right,@aaronparnas1,@TimesNowWorld,https://rumble.com/c/TheAlexJonesShowLive,@DailyDenims,@LukeBeasley,left,neutral,right,left,left,4.597,5.822,6.079,6.205,6.723
videos,all,@RealAlexClark,right,@cafedotcom,@PragerU,@MichaelMaliceofficial,@MegynKelly,https://rumble.com/c/GGreenwald,left,right,right,right,left,2.437,2.825,2.886,2.983,3.25
videos,all,@RealAmericasVoice,right,@oann,@dollemore,@nypost,@DropSiteNews,@DueDissidence,right,left,right,left,left,1.487,1.606,1.88,1.938,1.96
videos,all,@RealDanBongino,right,@BenShapiro,@StevenCrowder,@AlexStein99,@hutch,@RileyGaines,right,right,right,neutral,right,1.295,1.363,1.372,1.398,1.542
videos,all,@RebelHQ,left,@chicksonright,@Forthepeoplepodcast305,@FarronBalanced,@JackCocchiarellaShow,@PTLRadioShow,right,left,left,left,left,0.893,1.481,1.509,1.542,1.582
videos,all,@RebelNewsOnline,right,@thedavidpakmanshow,@SkyNews,@CBSNews,@NBCNews,@axios,left,left,neutral,neutral,neutral,1.89,1.92,2.07,2.105,2.138
videos,all,@RedactedNews,right,@DestinyDGGClips,@BreakThroughNews,@glennbeck,@RubinReport,@OfficialSaharTV,right,left,right,right,right,2.216,2.271,2.273,2.308,2.476
